"asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0.00399999998990097,-0.0120000000060827,0.0247999999919557,0.112401923997822,-0.00713946406904143,0.0134400000024471,-0.00767999999879976,0.00143999999636435,0.0010400000064692,0.00464000000647502,0,-0.00536000001375214,-0.00936000000365312,-0.00296000000162167,0.00159999999596039,-377.439691323918
0.200340543517401,-0.298464371472854,0.594983942392705,0.14117936899824,-0.53774472000243,0.364289159007134,-0.170761476846395,0.0460847223051536,0.00857787370105206,0.0943439051408023,-0.0189676847087647,-0.148857610418665,-0.222193778207406,-0.0543640321626852,0.0477804325118994,-334.101527960228
0.495228048998979,-0.381717666230111,0.735897667182308,0.122146003777137,-0.388352089521684,0.435583154898009,-0.225785784726639,0.108271136577451,-0.0147135711387288,0.204692853564392,-0.0424967172725072,-0.240299877567377,-0.337105793982019,-0.105889290281181,0.0770054249848022,-319.153456974296
1.21352507686307,-0.108681708064454,0.801766932438425,0.171274513097668,-0.636918900202214,0.0944577651806665,-0.0954180953363319,0.100661501569374,-0.125554893722342,0.413359639092869,-0.0521570301419441,-0.521915890741688,-0.392454278249512,-0.0976494996854919,0.260800637006037,-315.511407691802
1.39943866864314,0.43002104605763,1.1725952947519,0.163266219486931,-0.596196427479694,-0.0206679964490693,-0.158719443449878,0.0084552570908431,-0.213653099276289,0.578835471599235,0.011463490202276,-0.781257183576678,-0.35187831455239,-0.0791396791017243,0.480203644684598,-308.188534798311
1.5532868626385,0.525603776032263,1.32088111907681,0.158673447349541,-0.563716746053314,-0.071838756975747,-0.281808420218211,-0.100664797410267,-0.258420256599574,0.544195317875116,0.199072756697122,-0.690161158454195,-0.243653360513704,-0.0487791578059358,0.569853297958097,-305.657150507539
1.61413961032751,0.63042504951359,1.87598502755076,0.109962300699783,-0.404932666185593,-0.474987485301592,-0.252540080043617,-0.42448100471632,-0.608071470120687,0.978469454748727,0.654562322833284,-0.159360649272339,-0.564826681279676,-0.0565245446297587,0.57437166673731,-302.607536409258
1.6846846065653,0.732428118251692,1.8879082946416,0.0670208590829019,-0.315451681414316,-0.464804524092914,-0.725473901773991,-0.956782173596617,-0.411766043129872,1.9581962325706,1.09029265601569,-0.106706639479882,-0.665223912046521,0.0263070630515775,0.404550963087031,-301.625720222645
1.65021267965463,0.598475840240898,1.86817701757734,0.0287503484919716,-0.146799860722862,-0.044592585781392,-0.583040858537284,-0.790685912867978,-0.769340011610764,2.71011109490206,2.03155125183155,-0.716348405005419,-0.232265174263203,0.200654441353,0.25544518098238,-299.41310586946
1.65753141755196,0.634926200991232,1.85174929483647,0.0282212045060378,-0.146347302253752,0.00708092036991531,-0.521062998028708,-0.72526046605816,-0.677751456659177,2.69301341490852,2.15113648067557,-0.742654251768817,-0.260569793673003,0.109184039284054,0.287067963471644,-298.267487092257
1.66505656335872,0.821663375183524,1.6971701630835,0.0524421223372539,-0.263758467090873,0.12670023967796,-0.595945309213128,-0.133107142276405,-0.595749763583056,2.67514991071127,2.14559073856519,-0.499659558935338,-0.318508494214845,-0.0121054946358382,0.666844330520616,-297.327082278615
