"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",0,NA,NA,NA,NA,NA,NA
"asc_ruta2",-7.27689117899826,384.695010209156,-0.018916000951096,0.98490811491173,3.38525676600671,-2.14958323163834,0.0315881959675213
"asc_ruta3",-6.38373053838225,NA,NA,NA,1.28378853434459,-4.97257170289446,6.60705217425672e-07
"asc_rutaEC",19.8258603592278,NA,NA,NA,4.00646144223427,4.94847152408174,7.47985305249443e-07
"b_tt",0.0768858643141206,0.0282537888375271,2.72125854540258,0.00650338752735014,0.0371613868481803,2.06897187740144,0.0385487257806245
"b_dt",-0.36105971829974,0.132939643790548,-2.71596724652432,0.00660824553145556,0.118206349125621,-3.05448667495883,0.00225446029282494
"b_CongAB_ruta1",0.145921307566752,0.497295548209225,0.293429748350289,0.769193689754401,0.489975209824774,0.297813653917178,0.76584539284777
"b_CongCD_ruta1",-0.502474766816331,0.307064597891675,-1.63638130304292,0.101759809762799,0.305970597931754,-1.64223219555366,0.100541892838266
"b_CongEF_ruta1",0,NA,NA,NA,NA,NA,NA
"b_CongAB_ruta2",-1.3592760055633,1.1182349412906,-1.21555493874525,0.224154508514755,1.14481760676272,-1.18732975238477,0.235097576819943
"b_CongCD_ruta2",-0.590002718445118,0.44804433726391,-1.31684002982408,0.187892251788757,0.438531849699157,-1.34540448738187,0.178494646917699
"b_CongEF_ruta2",0,NA,NA,NA,NA,NA,NA
"b_CongAB_ruta3",-16.4222254163258,4773.36916701895,-0.00344038452541934,0.997254975719074,0.630773129630601,-26.0350744901628,0
"b_CongCD_ruta3",0.394693290543275,0.537428507213921,0.734410782541852,0.462698417145852,0.553461312707486,0.713136187627043,0.475761488551234
"b_CongEF_ruta3",0,NA,NA,NA,NA,NA,NA
"b_CongAB_rutaEC",0.243247184903079,0.438289831982352,0.554991622331028,0.57890039074649,0.461635465650123,0.526924820562721,0.598245796787488
"b_CongCD_rutaEC",-0.118588442029951,0.482318080573682,-0.245871856781523,0.805781430212603,0.480675621081551,-0.246711996258765,0.80513112182972
"b_CongEF_rutaEC",0,NA,NA,NA,NA,NA,NA
"b_Sem_0_ruta1",-1.31803566875663,0.98495731623277,-1.33816526567649,0.180842569122761,0.927588305386714,-1.42092743203262,0.155337857129569
"b_Sem_0_ruta2",11.871080096556,175.474182330158,0.06765143418204,0.946063110593535,1.15195349486867,10.3051730381784,0
"b_Sem_0_ruta3",-0.903564236335947,1.56061964607218,-0.578977868572952,0.562604106468129,1.47072673699311,-0.614365819025822,0.538973617590304
"b_Sem_0_rutaEC",-2.0585355228199,0.883063820698215,-2.33112882055599,0.0197465680015587,0.841826106011709,-2.44532155527054,0.0144723045783783
"b_Sem_1_ruta1",-1.49609914507301,0.892851030668711,-1.67564251334569,0.0938082362348289,0.854802910314712,-1.75022701375946,0.0800791492309996
"b_Sem_1_ruta2",12.4095376666239,175.470536326694,0.0707214893531737,0.943619417627525,0.438980669221183,28.2689843464868,0
"b_Sem_1_ruta3",-0.485451687003322,1.21428204762095,-0.399784949431173,0.689314916997153,1.1585302761923,-0.41902373807514,0.675198783896306
"b_Sem_1_rutaEC",-1.73444511226265,0.754914972470926,-2.29753704127182,0.0215881525226815,0.675134841685672,-2.56903510998203,0.0101982124354132
"b_Sem_2_ruta1",-1.66928178304419,0.876090379068848,-1.90537622935477,0.0567311828708827,0.840434890461806,-1.98621190289583,0.0470097997431023
"b_Sem_2_ruta2",12.4602363694168,175.470486892262,0.071010439362759,0.943389447056798,0.420948085739614,29.6004110519327,0
"b_Sem_2_ruta3",-0.51433371914427,1.17142981478922,-0.439064903975331,0.660614508346499,1.13528603139055,-0.453043290345333,0.650517569403786
"b_Sem_2_rutaEC",-1.74498340991948,0.729761691098965,-2.39116883114495,0.0167948278481171,0.651837236427498,-2.67702320825233,0.00742794895542231
"b_Sem_3_ruta1",-0.927294530595852,0.909864182571868,-1.01915708779162,0.308128395434205,0.87047745076454,-1.0652711678877,0.286753236191299
"b_Sem_3_ruta2",11.9397317533784,175.471700495553,0.0680436316492017,0.945750901712959,0.776383534493863,15.3786514305229,0
"b_Sem_3_ruta3",-0.676347784977516,1.20786875498485,-0.559951387256472,0.57551259649229,1.21004481225715,-0.558944411088291,0.576199658721126
"b_Sem_3_rutaEC",-0.780999605761427,0.792555348076716,-0.985419639974254,0.324417986399275,0.71992987635779,-1.08482733028472,0.277998138415646
"b_Sem_4_ruta1",0,NA,NA,NA,NA,NA,NA
"b_Sem_4_ruta2",0,NA,NA,NA,NA,NA,NA
"b_Sem_4_ruta3",0,NA,NA,NA,NA,NA,NA
"b_Sem_4_rutaEC",0,NA,NA,NA,NA,NA,NA
"b_ACC_0_ruta1",20.2413152162567,NA,NA,NA,2.65378353768563,7.627342218691,2.39808173319034e-14
"b_ACC_0_ruta2",12.8530358528862,133.120610133359,0.0965518099715,0.923082327683062,0.312868894295993,41.0812199205924,0
"b_ACC_0_ruta3",23.8939588259016,NA,NA,NA,1.31856060836899,18.1212442372729,0
"b_ACC_0_rutaEC",0.386224134176271,1.56815266576046,0.246292432241587,0.805455867748252,1.32714699014842,0.291018355195966,0.771037281363268
"b_ACC_1_ruta1",19.7814281371015,NA,NA,NA,2.71295302678888,7.29147461890092,3.06643599401468e-13
"b_ACC_1_ruta2",13.5971440221719,133.122636019544,0.102139984819529,0.918645563663957,0.68045882233992,19.9823171891796,0
"b_ACC_1_ruta3",23.4356360561926,NA,NA,NA,1.64293667214795,14.2644792422542,0
