"asc_real","b_tg","b_tl","logLike"
1,1,1,-264.346686862975
1,1,1,-264.346686862975
1,1,1,-264.346686862975
0.928766107314004,0.986810074915411,0.917896742135781,-263.551238675323
-0.646652632922724,-0.15721932763097,-0.150636943361183,-226.123802884787
-0.837531029930471,-0.102850021555649,-0.0797322472133697,-222.043869220056
0.428809645853426,0.229739023609201,0.296366150252536,-206.296533193185
-0.138237225882627,0.0501275575722709,0.133804713077367,-189.641179160519
-0.262815042895827,-0.125838085577507,-0.047131728006279,-188.205942385906
-0.156727519758734,-0.0373844238080112,0.0374149971233518,-187.106613411134
-0.156740502617341,-0.036493502432326,0.0360611060953769,-187.074121727167
-0.14990456601281,-0.0540907369946912,0.0209953866715218,-187.03635851322
-0.143251573609092,-0.0526894147626354,0.0216902368495342,-187.035200368695
-0.144500412773574,-0.0527015433947234,0.0206486237686927,-187.025797890398
-0.146460063671364,-0.0525811190625056,0.0193325462138303,-187.021069154235
-0.1464765197762,-0.0525726181178085,0.0193630092418083,-187.021068072003
