"asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3","b_EduSuperior","b_Exper_2","b_Exper_3","b_Exper_4","b_Exper_5","b_Info_traf","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0.00399999998990097,-0.0120000000060827,-0.0167999999939639,0.112401923997822,-0.00713946406904143,0.0214400000004389,0.000559999989491189,0.00335999999151682,-0.000159999999596039,-0.00247999998464366,0,-0.00464000000647502,-0.00536000001375214,-0.00936000000365312,-0.00296000000162167,0.0206400000024587,0.00944000001254608,0.00064000001657405,0.00672000000122353,0.0123200000052748,0.0198399999862886,0.00720000000001164,-8.00000088929665e-05,0.00175999999555643,0.0135199999931501,0.00464000000647502,0.00487999999677413,0.0018399999862595,0.00431999998909305,0.00999999998384738,0.00552000001334818,-374.835099424716
0.211451028464876,-0.30832818713279,-0.508068382569687,0.0817748061219191,-0.556316362199588,0.225703333080971,0.0189379576021989,0.0843470935421982,-0.0107327046259399,-0.055230885583192,-0.0200293834901254,-0.076999467718558,-0.153744728978064,-0.229419069203596,-0.054868404082062,0.503891623726232,0.209402405849221,0.0154853401522458,0.175350722229669,0.290607456760531,0.475667346597704,0.186580967724426,-0.00258856507969934,0.0492809457733158,0.350064575222317,0.111437884662015,0.131778295830757,0.0481778021769364,0.109951706926716,0.220234165233723,0.139431983646452,-354.275162023665
1.7913852885813,-0.748029076989798,-1.71387783255803,0.0623079931595577,-0.165668018511778,0.312915109565717,0.111711832082374,0.232921962494115,-0.00913894470123511,-0.13484177817311,-0.126823477835834,-0.438838431111834,-0.546229165983657,-0.806708621660298,-0.196603926276459,0.480761099246773,0.140313332154397,-0.0801166275241586,0.27517170159169,0.12878314777089,0.466624751690497,0.0191308687437536,-0.0266343764762983,0.106473251665234,0.436540811559249,0.135926095641809,0.38870542053609,0.0195854125222891,0.209518447929744,-0.0745657171887316,0.246817970910382,-346.484493592165
1.80871927330897,-0.709078258800072,-1.81556903957637,0.0800683765326182,-0.151268663254329,0.154781251695012,0.110347877538831,0.221032088778972,0.0164572983247009,-0.098133901060616,-0.145508551555589,-0.4886803710943,-0.61476675197652,-0.862141181562331,-0.197113902702216,0.491115071505659,0.128326612280667,-0.0976125922634386,0.299211783365736,0.121741409631267,0.481155891623704,-0.00556461302484761,-0.0316224960059956,0.123912530149673,0.460764759488666,0.142656509379813,0.440139085630516,0.0193188098866661,0.229086064389344,-0.113028788352885,0.273066497977355,-341.993373256134
1.58176132894095,-0.26560138373792,-2.24278364191462,0.0753738133773034,-0.156963870061248,0.236919728892078,0.0854883700255572,0.120708910183112,0.153838641801244,0.254877785161125,-0.275892875662082,-0.787378327436164,-0.993919621236934,-1.01375394762075,-0.199218484109683,0.480344833693198,0.0271560322711332,-0.254152238029997,0.409574761319506,0.0483872555851239,0.420024396345881,-0.152561662723843,-0.0636749451755238,0.244292450779349,0.499014214134709,0.138947829856515,0.72374187765722,-0.0016194898359363,0.311107574202059,-0.343980772229089,0.3981163022612,-328.957153883022
1.39196226333336,-0.284421260985764,-2.5676439263443,0.171776079940188,-0.720926645488766,0.0695867239849439,-0.0312588850071932,0.332070049637476,0.536006525594105,1.07017423090206,-0.4320297240264,-1.83223378848637,-1.09413325760084,-0.17900348424627,-0.20949199668971,0.223516532956632,-0.0804434683612854,-1.07206572882361,0.11601946492593,0.355388499302744,-0.0626675052954266,-0.576344095753947,-0.183401611007529,0.534097559466355,0.334080634527702,0.0415432277516973,1.09986003328058,-0.0155010375938207,0.0360825014902204,-0.0877735654000632,0.524898095758165,-328.720379168023
1.09267654784592,-0.474224578776823,-2.57296098963356,0.120597805440557,-0.444505582970237,0.0424872409565182,-0.0348299904155919,0.491305403260091,0.732929623043766,1.41707591254961,-0.51044613175384,-2.44334380616368,-1.06703317804252,0.1257581214176,-0.233052228604669,0.290113794765537,-0.0131839210271846,-1.49430593872276,0.0388030792209414,0.515026852807489,-0.174436973061926,-0.642878512242733,-0.24892483776133,0.700902129064463,0.389909734679727,0.0341454723379208,1.3173672806569,0.00972976239047082,-0.0622726711243918,0.118750330105696,0.58288221514657,-320.219205150234
