"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB"
"asc_ruta1",1,0.910695558940943,0.858144544280096,0.166286061748269,-0.120856469094058,0.0245393026467916,0.0490675370124724,0.0660673903701039,0.0575311146409945,0.025915722114607,0.103192987886495,0.000404479962178657,-0.0890247939532458,-0.0739568025594726,-0.0213499310989564,0.506452821094381,0.169553099135611,0.353034222656635,0.542241794055438,0.547044595630761,0.30171806047887,0.141993164149331
"asc_ruta2",0.910695558940943,1,0.844271712499702,0.0986233922684194,-0.150672306608688,0.0544395632696602,0.0683768819417583,0.0510716014519333,0.013324769880889,-0.0326866685761504,0.126308901770409,-0.0103404185792797,-0.0523252965286336,-0.0730592312982624,-0.00698721923163626,0.473243511806436,0.177360745772182,0.335397949544511,0.518973085000377,0.532636505925553,0.311679171955685,0.125035778245094
"asc_ruta3",0.858144544280096,0.844271712499702,1,0.0290717687550266,-0.132504513389671,0.0542094901833957,0.0590403695813642,0.0653223436179914,0.00729776863702512,-0.0639663155826308,0.125139299883641,-0.0397695275586464,-0.0455207347821315,-0.0734119197978888,-0.0126955470231869,0.446666108511846,0.171379000426254,0.310309050588161,0.485236041794069,0.503892217287684,0.310730609404333,0.119519694978855
"b_time",0.166286061748269,0.0986233922684194,0.0290717687550266,1,-0.337585869085407,-0.406191147272245,0.103944955840181,0.0159932880486077,0.0107548788605564,-0.00491257993456556,-0.110056239195271,0.102336649412689,-0.0857677025050973,0.0581444034225387,-0.081880908362839,0.107483329479784,-0.093921597000442,0.0175874049962234,0.0915810124281733,0.00418096911761396,-0.1283611472106,0.0455697018790731
"b_dist",-0.120856469094058,-0.150672306608688,-0.132504513389671,-0.337585869085407,1,0.0954922694849314,-0.0325394332646048,0.00768903274411583,-0.00279799527610618,-0.0189357637397717,0.0399747790355506,0.219397738563329,-0.0486917451242597,-0.0106778609260114,0.00663550710319835,-0.0999863845012919,-0.0333425959792563,0.0195489592349887,0.0352944574955843,0.0395329960860389,0.0374342156343571,0.0582765022658891
"b_cong",0.0245393026467916,0.0544395632696602,0.0542094901833957,-0.406191147272245,0.0954922694849314,1,-0.00680617285187692,0.00408292736563968,0.0395812642525199,0.000849755722383936,0.0674981328164777,-0.00193473192379339,-0.00256022053543836,-0.0636159677333255,0.0822749805872435,-0.120255306683035,-0.0612964134586251,0.159202873460375,0.0888566489543982,0.109365780716364,0.146470740851112,-0.0933345177162825
"b_Sem_1",0.0490675370124724,0.0683768819417583,0.0590403695813642,0.103944955840181,-0.0325394332646048,-0.00680617285187692,1,0.656801761330165,0.501268601094261,0.420236053739175,-0.0530824006000888,0.0630949172889404,0.0189180704967287,0.104295799694356,-0.0277911062837794,0.0411846981957745,0.0116797948386909,0.0279884146044036,0.0794384592147002,0.0265814032374807,0.0174568072242933,-0.0762589053775286
"b_Sem_2",0.0660673903701039,0.0510716014519333,0.0653223436179914,0.0159932880486077,0.00768903274411583,0.00408292736563968,0.656801761330165,1,0.709249578613865,0.608536634846169,-0.0161411332284895,0.0266586793691471,-0.0115086500505359,0.0915936283308909,-0.0254369578543145,0.0826949700283807,0.031390232505282,0.0351843246262048,-0.000686754424914549,-0.0125124113744824,0.0203888529460898,-0.0418249223286613
"b_Sem_3",0.0575311146409945,0.013324769880889,0.00729776863702512,0.0107548788605564,-0.00279799527610618,0.0395812642525199,0.501268601094261,0.709249578613865,1,0.73209492783319,-0.0459409836644584,-0.0219427428297398,-0.0642039337558869,0.0368481092668416,-0.0265253280574395,0.111634843428732,0.0363072919058876,0.0376738884477414,-0.00680579951537765,-0.0392862505985823,-0.0389716622918235,-0.0196420490040004
"b_Sem_4",0.025915722114607,-0.0326866685761504,-0.0639663155826308,-0.00491257993456556,-0.0189357637397717,0.000849755722383936,0.420236053739175,0.608536634846169,0.73209492783319,1,-0.0610271946560839,-0.0496900253579872,-0.041660370750027,0.0336880589763413,-0.0809992498197961,0.0873512978770892,0.0375147418500776,0.0248598113462842,-0.0131190083581244,-0.0418819932229658,-0.065600411667265,-0.0160021040599382
"b_ACC_1",0.103192987886495,0.126308901770409,0.125139299883641,-0.110056239195271,0.0399747790355506,0.0674981328164777,-0.0530824006000888,-0.0161411332284895,-0.0459409836644584,-0.0610271946560839,1,0.0918491249237168,-0.061124880013626,-0.0764154471872981,-0.014067097827103,0.0271269658436334,0.0231099716309584,0.0289858340886515,0.0527860226897989,0.0356114062722373,0.0863141289596632,0.0760554189586343
"b_ACC_2",0.000404479962178657,-0.0103404185792797,-0.0397695275586464,0.102336649412689,0.219397738563329,-0.00193473192379339,0.0630949172889404,0.0266586793691471,-0.0219427428297398,-0.0496900253579872,0.0918491249237168,1,-0.0404456274312334,0.01786738221476,-0.0602424843984414,-0.0243210040602767,-0.0675497917248464,0.0231883596775127,0.0643777882581553,0.0181764316785306,0.00370257839429363,0.0251437125478944
"b_SI_CAMFD",-0.0890247939532458,-0.0523252965286336,-0.0455207347821315,-0.0857677025050973,-0.0486917451242597,-0.00256022053543836,0.0189180704967287,-0.0115086500505359,-0.0642039337558869,-0.041660370750027,-0.061124880013626,-0.0404456274312334,1,-0.056972539320846,0.0967344751053006,-0.0291163881964223,-0.0176627769037828,0.0264088150937059,-0.0286785638841862,0.0221949065075399,-0.0515116596108786,-0.00910058361633122
"b_SI_PANEL",-0.0739568025594726,-0.0730592312982624,-0.0734119197978888,0.0581444034225387,-0.0106778609260114,-0.0636159677333255,0.104295799694356,0.0915936283308909,0.0368481092668416,0.0336880589763413,-0.0764154471872981,0.01786738221476,-0.056972539320846,1,0.00466342275626499,-0.0066221492368501,0.00544865367126799,-0.00111523423607739,-0.0209583500929957,-0.0255277591604136,-0.0211735752642745,-0.0631272292093844
"b_SI_ZER",-0.0213499310989564,-0.00698721923163626,-0.0126955470231869,-0.081880908362839,0.00663550710319835,0.0822749805872435,-0.0277911062837794,-0.0254369578543145,-0.0265253280574395,-0.0809992498197961,-0.014067097827103,-0.0602424843984414,0.0967344751053006,0.00466342275626499,1,-0.00317174756742457,-0.076652233927801,0.0104658411702194,-0.051901039002342,-0.00811083658497639,0.0496168940285082,0.051662885554544
"b_CSECO",0.506452821094381,0.473243511806436,0.446666108511846,0.107483329479784,-0.0999863845012919,-0.120255306683035,0.0411846981957745,0.0826949700283807,0.111634843428732,0.0873512978770892,0.0271269658436334,-0.0243210040602767,-0.0291163881964223,-0.0066221492368501,-0.00317174756742457,1,0.0192791071027993,-0.0638978404890434,0.0618049156403366,-0.0246441998612028,-0.205253810261578,0.0243164819271676
"b_Hvalle",0.169553099135611,0.177360745772182,0.171379000426254,-0.093921597000442,-0.0333425959792563,-0.0612964134586251,0.0116797948386909,0.031390232505282,0.0363072919058876,0.0375147418500776,0.0231099716309584,-0.0675497917248464,-0.0176627769037828,0.00544865367126799,-0.076652233927801,0.0192791071027993,1,-0.00712453384957962,0.0249526465268701,0.0193425148948359,-0.0673969148822234,0.0178416599532098
"b_Joven30",0.353034222656635,0.335397949544511,0.310309050588161,0.0175874049962234,0.0195489592349887,0.159202873460375,0.0279884146044036,0.0351843246262048,0.0376738884477414,0.0248598113462842,0.0289858340886515,0.0231883596775127,0.0264088150937059,-0.00111523423607739,0.0104658411702194,-0.0638978404890434,-0.00712453384957962,1,0.494111515055468,0.524678148418445,0.0107371208150348,-0.179126741263462
"b_Adulto40",0.542241794055438,0.518973085000377,0.485236041794069,0.0915810124281733,0.0352944574955843,0.0888566489543982,0.0794384592147002,-0.000686754424914549,-0.00680579951537765,-0.0131190083581244,0.0527860226897989,0.0643777882581553,-0.0286785638841862,-0.0209583500929957,-0.051901039002342,0.0618049156403366,0.0249526465268701,0.494111515055468,1,0.726837800442267,-0.0776319755148787,-0.241528047607837
"b_Adulto60",0.547044595630761,0.532636505925553,0.503892217287684,0.00418096911761396,0.0395329960860389,0.109365780716364,0.0265814032374807,-0.0125124113744824,-0.0392862505985823,-0.0418819932229658,0.0356114062722373,0.0181764316785306,0.0221949065075399,-0.0255277591604136,-0.00811083658497639,-0.0246441998612028,0.0193425148948359,0.524678148418445,0.726837800442267,1,-0.0949260620166603,-0.0960174122822037
"b_USOCINTURON",0.30171806047887,0.311679171955685,0.310730609404333,-0.1283611472106,0.0374342156343571,0.146470740851112,0.0174568072242933,0.0203888529460898,-0.0389716622918235,-0.065600411667265,0.0863141289596632,0.00370257839429363,-0.0515116596108786,-0.0211735752642745,0.0496168940285082,-0.205253810261578,-0.0673969148822234,0.0107371208150348,-0.0776319755148787,-0.0949260620166603,1,0.0757072269234998
"b_USODISPMOB",0.141993164149331,0.125035778245094,0.119519694978855,0.0455697018790731,0.0582765022658891,-0.0933345177162825,-0.0762589053775286,-0.0418249223286613,-0.0196420490040004,-0.0160021040599382,0.0760554189586343,0.0251437125478944,-0.00910058361633122,-0.0631272292093844,0.051662885554544,0.0243164819271676,0.0178416599532098,-0.179126741263462,-0.241528047607837,-0.0960174122822037,0.0757072269234998,1
