"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB"
"asc_ruta1",0.303940002219449,0.289512383455967,0.264542937988184,0.00481114346520061,-0.0151967393605395,0.00424021518946004,0.0255173664385095,0.0184834040130823,0.0165903517956649,0.00261493581362219,0.0336193037300537,0.0375561853422835,-0.0313777095932808,-0.00625044441772172,0.00422039892347873,0.0941175209785031,0.026656235373635,0.133202590395106,0.150743488974082,0.132442207364431,0.0586147411159873,0.0162370847404704
"asc_ruta2",0.289512383455969,0.324455053834462,0.273107261832278,0.00336082502256945,-0.0169879988247375,0.00610768560874474,0.0242217913156421,0.0158802230300386,0.00944506544316574,-0.00803968671945537,0.0405346022116944,0.0118151499532202,-0.0247228807136858,-0.00891581456048915,0.00359002862942366,0.0981288347754299,0.0254248276601356,0.130992593027353,0.142838068760827,0.125678592913731,0.0638982661702641,0.0161096061183108
"asc_ruta3",0.264542937988185,0.273107261832277,0.322185717848831,-0.000466638021394001,-0.0107561437825215,0.00611134614106304,0.0184415695325501,0.0210615672216196,0.00896834408228427,-0.00764425560559392,0.0289152809273139,-0.0270821810819578,-0.0170848728547059,-0.00416619891366431,0.00491599597706968,0.092843957122639,0.0272102047941584,0.11905937062543,0.134165669184668,0.118791622941049,0.0601204694529302,0.0177736069091474
"b_time",0.00481114346520062,0.00336082502256945,-0.000466638021393998,0.00124145396015424,-0.00172738820982754,-0.00146806320114233,0.00298972820598315,0.00106329873202582,0.000396206973601601,-0.00100017649999233,0.000939802091633421,0.00855589315678323,-0.00197840834717255,-4.67540842662165e-05,-0.00109363841247979,0.000945871994058039,0.000169629547343244,0.00132098599476607,0.00191124336256418,0.000650998199918868,-0.00137589637044938,0.00110403245756074
"b_dist",-0.0151967393605395,-0.0169879988247374,-0.0107561437825214,-0.00172738820982754,0.0114954613376606,0.00124850813708481,-0.00843729734717543,-0.00549446872874363,-0.00261361132933097,-0.00341142589917725,-0.00297483520880411,0.0320184820247618,0.00116543204001818,0.00218770412781762,0.00111596851004493,-0.00593054606179519,-0.00175973487787033,-0.00486354334830157,-0.000341407160243014,0.00135377455280699,0.000641076075661135,0.0012390876997514
"b_cong",0.00424021518946003,0.00610768560874474,0.00611134614106305,-0.00146806320114233,0.00124850813708481,0.0085289855487826,-0.0017958145247274,-0.000722389620802881,-0.000116190098446596,-0.000995083562810822,0.00190198049064355,0.00787716729232091,-0.00135471841311798,-0.00149562851315232,0.00384021497630997,-0.00418376770560761,-0.00265010385173677,0.00860541058283164,0.00568307534133223,0.00620189053699261,0.00765138478309336,-0.00323073879452105
"b_Sem_1",0.0255173664385095,0.024221791315642,0.0184415695325501,0.00298972820598314,-0.00843729734717543,-0.0017958145247274,0.179405732463606,0.0908409110008587,0.0661732822544251,0.0536318304747211,-0.000686393154361422,0.053956096204106,-0.00459704455502253,0.00832974728580607,-0.00253641501104854,0.0101149999257155,0.0039339013526834,0.0121947919401251,0.0145272158413978,-0.000881003120786682,0.0077927215855189,-0.00484482930840788
"b_Sem_2",0.0184834040130823,0.0158802230300385,0.0210615672216196,0.00106329873202582,-0.00549446872874362,-0.000722389620802881,0.0908409110008588,0.09823733322303,0.0648780244494396,0.0558203511861262,-0.00316665293553581,0.00631074199951525,-0.00494414988661052,0.00918148907099192,-0.000583643954585101,0.011423860826424,0.0028459266178608,0.00106473379182672,-0.00255753908107792,-0.00792606525296101,0.00862581323915601,-0.00394676729011288
"b_Sem_3",0.0165903517956649,0.00944506544316566,0.00896834408228424,0.000396206973601602,-0.00261361132933097,-0.000116190098446596,0.066173282254425,0.0648780244494396,0.0831949875659965,0.0610466102740105,-0.00472221481306053,0.00535635747008004,-0.00416841809024373,0.0056956975407222,-0.000902855687595997,0.0191248508045116,0.00370385280284597,-0.00195402655068516,-0.00681678950830536,-0.0146569636406984,0.00261119235457802,-0.00115818839774775
"b_Sem_4",0.00261493581362213,-0.0080396867194554,-0.00764425560559394,-0.00100017649999233,-0.00341142589917725,-0.000995083562810823,0.0536318304747211,0.0558203511861261,0.0610466102740105,0.0949291751198796,0.00100954222079393,-0.0663919957861827,0.00143261511434961,0.00319117122683711,-0.00878918457594235,0.0123948173809692,-0.00261572014257938,-0.00894541714616109,-0.0100123115773028,-0.0123972864615843,-0.00182044190309386,-0.000692478073072425
