"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB"
"asc_ruta1",1,0.921925742952665,0.845374413185411,0.24767893252128,-0.257094793213158,0.0832808745255549,0.109275741288518,0.106966982109035,0.104330931165521,0.0153945588580567,0.193657561092313,0.073435434314895,-0.217053996446977,-0.0624715457561972,0.0298627564690319,0.477716629408108,0.178927952457412,0.404389504747181,0.602526698975506,0.583583435231714,0.321819657063445,0.106780618812819
"asc_ruta2",0.921925742952671,1,0.844700661042992,0.167457005686817,-0.278164528531661,0.116104943874832,0.100394709781441,0.0889489946279062,0.0574882540642062,-0.0458101802736037,0.225989529630268,0.0223604269380492,-0.165524498329751,-0.0862480015784735,0.0245861745452307,0.482073414214734,0.165178704230176,0.384902386382208,0.552584071929899,0.535987319292393,0.339556032219216,0.102538263329933
"asc_ruta3",0.845374413185413,0.844700661042989,1,-0.0233325212759413,-0.176742198992442,0.116582952785963,0.0767055132443679,0.1183857036852,0.0547785508891026,-0.0437101407028463,0.161775946034818,-0.0514338010326444,-0.114788686744,-0.0404438177403096,0.0337853713367585,0.457714120955083,0.177399330657094,0.351068267674838,0.520858700528485,0.508397200354478,0.320603949775853,0.113527411494346
"b_time",0.24767893252128,0.167457005686817,-0.0233325212759411,1,-0.457258133617768,-0.451160172759836,0.200331038215376,0.0962834635800024,0.0389859593446535,-0.092132208881174,0.0847053366069241,0.26176897275955,-0.214136699765268,-0.00731171966092834,-0.121081771653149,0.0751209149367712,0.0178159712351997,0.0627500448095201,0.119531493366371,0.0448833180889007,-0.118200704108156,0.113604318198936
"b_dist",-0.257094793213158,-0.27816452853166,-0.176742198992441,-0.457258133617768,1,0.126089663393984,-0.185789854387132,-0.163502433604539,-0.0845141097103029,-0.103269693041043,-0.0881128776289323,0.32192570919925,0.0414537887107159,0.112432189780294,0.0406030873697454,-0.15478372420486,-0.0607375609684268,-0.0759225392335242,-0.00701683213520867,0.0306728139720232,0.0180986430541193,0.0419003017406299
"b_cong",0.0832808745255548,0.116104943874832,0.116582952785964,-0.451160172759836,0.126089663393984,1,-0.0459086617039239,-0.0249565487224752,-0.00436186128193639,-0.0349712382236838,0.0654029056432824,0.0919474109476814,-0.0559423650567024,-0.0892360488172023,0.162209829523514,-0.126768889261758,-0.106190951642465,0.155956702199168,0.135602091673368,0.163134525598146,0.250778904744627,-0.126832766265426
"b_Sem_1",0.109275741288518,0.100394709781441,0.0767055132443677,0.200331038215376,-0.185789854387132,-0.0459086617039239,1,0.684266125435543,0.541646496195065,0.410964784097238,-0.00514629242298292,0.137322116268163,-0.0413905343968125,0.108362484383453,-0.0233599805629137,0.0668253954019636,0.0343699275097774,0.0481878304241733,0.0755780871044429,-0.00505277274681928,0.0556891578099504,-0.041470438746014
"b_Sem_2",0.106966982109035,0.0889489946279057,0.1183857036852,0.0962834635800024,-0.163502433604539,-0.0249565487224752,0.684266125435543,1,0.717646802555835,0.578035389884408,-0.0320849864057162,0.0217050238989634,-0.0601580602898396,0.161413600473557,-0.00726407014666865,0.101992545853261,0.0336015045678273,0.00568569935469454,-0.0179810753449754,-0.0614313187024756,0.0833031485194004,-0.0456542849596169
"b_Sem_3",0.104330931165521,0.0574882540642057,0.0547785508891025,0.0389859593446536,-0.0845141097103029,-0.0043618612819364,0.541646496195065,0.717646802555834,1,0.686931006371362,-0.0519920370063591,0.0200188487207226,-0.0551141571129548,0.10880870057266,-0.0122106864053429,0.185542449740031,0.0475202204778575,-0.0113386935044977,-0.0520790397047062,-0.123442840577314,0.0274024839839358,-0.0145582420794076
"b_Sem_4",0.0153945588580563,-0.0458101802736039,-0.0437101407028464,-0.0921322088811739,-0.103269693041043,-0.0349712382236838,0.410964784097238,0.578035389884408,0.686931006371362,1,0.0104055324400004,-0.232291862253573,0.0177325075606249,0.0570710075159738,-0.111280495689416,0.112572961137518,-0.0314170014386877,-0.0485939139362722,-0.0716087622210761,-0.0977456096808295,-0.017884492369033,-0.00814862777572087
