"asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0.00399999998990097,-0.0120000000060827,-0.0167999999939639,0.112401923997822,-0.00713946406904143,0.0214400000004389,0.000559999989491189,0.00335999999151682,-0.000159999999596039,-0.00247999998464366,0,-0.00464000000647502,-0.00536000001375214,-0.00936000000365312,-0.00296000000162167,0.0206400000024587,0.00944000001254608,0.00064000001657405,0.00672000000122353,0.0123200000052748,0.0198399999862886,0.00720000000001164,-375.755181208977
0.206563547977919,-0.305906102755439,-0.502815465857401,0.097607149057389,-0.550159461690854,0.224881256728873,0.0186123164943032,0.0836563566923151,-0.0105083415353138,-0.0549459267348891,-0.0196049520977821,-0.0762190951055557,-0.15208655542375,-0.227030126405354,-0.0544568041157818,0.501566987726312,0.208484150984106,0.0156566143715156,0.174223029143223,0.289516923296093,0.473384152842656,0.185837441553305,-338.430946375697
0.489022758590079,-0.397589530349909,-0.740065814210759,0.0922230305166986,-0.431449842793869,0.192223608258864,0.0377137910889859,0.113662690070145,-0.00669526761324458,-0.0740007121190014,-0.0395713696063948,-0.150047538507595,-0.231937310414804,-0.33961728543882,-0.0837025053531607,0.519798225652589,0.19902451101988,0.00108647084799137,0.20386755161709,0.268478669933901,0.488868374449818,0.162061997404645,-322.061263887246
0.531925131573863,-0.390032492684098,-0.795725336793933,0.111320280260869,-0.501113662556732,0.132679720642219,0.03334767813054,0.0957567655833418,0.00437612978873059,-0.0233381621646041,-0.0538768550289165,-0.180396636900998,-0.287920907400734,-0.366899239630373,-0.0691432232148382,0.492484560773359,0.180668396353994,-0.0152450011215469,0.212364426345636,0.232716064800394,0.457330320466043,0.126740914755471,-319.58043065157
0.50905846660168,-0.306433421368189,-1.03711266370964,0.0978629218596718,-0.549000766786761,0.349842751274543,0.00432136601566983,-0.0222011635716604,0.0864427905987135,0.327072241600017,-0.160333451328357,-0.406161611077169,-0.626354243330249,-0.44171050600235,-0.0362959023353549,0.463732032977888,0.104458777952133,-0.12375732737305,0.294322845199718,0.0678741240543855,0.317215384955499,-0.00718280041712327,-317.436929962631
0.206444808226099,-0.263328236465918,-1.39453250466701,0.0778826433247282,-0.34076183385864,0.20368230647981,-0.0621689249249001,-0.185402648817683,0.288759157519358,0.91977604476916,-0.337953839822917,-0.855017115413901,-1.17356375603547,-0.522439367832052,-0.0131343116862898,0.646831418013757,0.0548457011221024,-0.303069121007335,0.477769147719205,-0.0528459621611033,0.289696226690409,-0.149745506732025,-314.974722397858
0.0407331023654698,-1.37406139837705,-1.48866227729455,0.0584311475749976,-0.293226026424238,0.107728708298209,-0.300791149874605,0.124246188881403,1.00103097611128,1.63868349546195,-0.521517408213938,-2.04133123178414,-1.45427377467519,-0.10300053922665,-0.209542733893192,0.727835105844837,-0.0481463206125099,-0.768857437535805,0.409442531366275,-0.15157460479438,-0.09255733705455,-0.430381595766425,-310.735261319185
-0.580868630704393,-1.5245945922716,-2.32096898741802,0.0477672935505227,-0.338436519682985,-0.0243339117859017,-0.31126225531642,1.24244488856727,1.4732744687328,1.70958762411374,-0.555978625980093,-3.51530182874854,-0.861130103610596,-0.276443370089718,-0.368361076220347,0.546481877626635,0.0251100888278333,-1.19926900865921,-0.10811139841951,-0.348105144258593,-0.606814372809094,-0.409213270715936,-307.750046754032
-0.774271331397731,-1.87144910713104,-2.68430146896175,0.0357381600757115,-0.300160736249307,-0.0691585688651147,0.553237826749904,0.811886025013215,1.23007016364245,1.78065889937636,-0.371242494876138,-4.27787167789354,-0.0395456309966608,-0.5397716927269,0.131164967135167,0.303045187565505,0.254385983217378,-1.28506913790387,-0.801120391609957,-0.645480667454899,-0.482353635380494,-0.186966464753037,-303.947433994852
-0.835375167910577,-1.91215921984411,-2.61329813064354,0.0522475476030786,-0.351064819626357,-0.0827164368263797,0.955840187399896,0.710731632547476,0.730059441007121,1.13783600193641,-0.456325983437641,-4.2425840565426,-0.304989470481942,-0.277745849383282,0.176909192600302,0.0843918883489704,-0.0143711381708018,-1.19633357211245,-0.807604534440465,-1.12695302481761,0.000461094560703312,0.0251743940424408,-301.43249307349
-0.783223708632815,-1.74157450302178,-2.38293933878154,0.0511639059210815,-0.354403679796044,-0.0124791276740072,0.770796562911215,0.408892595060924,0.548738210832746,0.551148867127717,-0.49559642049155,-3.74775981300157,-0.709418835094011,-0.375771149669571,0.0714273708719087,-0.0519049982576065,-0.177157766692187,-1.2043526137439,-1.12003498343954,-0.813834900608211,0.408340871984879,-0.372739276282753,-300.843322847409
-0.573407470279016,-1.59892313404353,-2.14039555723682,0.0582705088170796,-0.310620448146467,0.039511370796754,0.0162823456091384,0.238308487603783,0.19644891880911,0.522383907368162,-0.438855307369694,-2.97352638365934,-0.728764334466904,-0.477489077140306,0.0302870866135497,-0.0203243462532161,-0.0215505166868297,-1.2190674953264,-0.770463773140723,-0.712898524267381,0.48214901748856,-0.418385897644548,-296.919574925468
-0.513864239354329,-1.52289812412106,-2.14101124647879,0.0647463041826823,-0.312047019506216,0.0448923302273119,-0.137005988598741,0.0946957937488135,0.28874076863138,0.466624748817107,-0.404838631938692,-2.78611720575593,-0.713104446808071,-0.434945687339377,-0.0203428886390362,0.0279434119779884,-0.0103484051934444,-1.20597949944229,-0.649445596809832,-0.677478472719625,0.405044528103019,-0.324266687148306,-295.560462038549
-0.466967019193625,-1.4964898915365,-2.13723586652573,0.0770977341137657,-0.311191277510419,0.0215367618376749,-0.0970074269838519,0.105188409236187,0.205565119665962,0.595319587592623,-0.353713775998803,-2.63653648952882,-0.816644348771539,-0.377159952949216,-0.0629726713543783,0.285574868696518,-0.130003932482895,-1.09275163261258,-0.617303046616926,-0.44018394477499,-0.0534910663197233,-0.0756750461033618,-295.437747947974
