"asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0.00399999998990097,-0.0120000000060827,-0.0167999999939639,0.112401923997822,-0.00713946406904143,0.0214400000004389,0.000559999989491189,0.00335999999151682,-0.000159999999596039,-0.00247999998464366,0,-0.00464000000647502,-0.00536000001375214,-0.00936000000365312,-0.00296000000162167,0.0206400000024587,0.00944000001254608,0.00064000001657405,0.00672000000122353,0.0123200000052748,0.0198399999862886,0.00720000000001164,-8.00000088929665e-05,0.00175999999555643,0.0135199999931501,-375.275650162427
0.209100284278921,-0.30740400553654,-0.505895256383007,0.0911930408207806,-0.553679580049397,0.225814132068837,0.0188166461161897,0.0840302417297222,-0.010610120333621,-0.0551319080290533,-0.0198299722025289,-0.0766919839162769,-0.153032971166945,-0.228401198130953,-0.0547651692996126,0.503263437427983,0.209179820094565,0.0155462216788605,0.174891040533687,0.290474145125476,0.475094916866875,0.186397140909004,-0.0025585874937137,0.049152793894644,0.349509426699011,-344.999101580557
1.71396767115277,-0.743429607418571,-1.68893123926708,0.065360137740004,-0.0490723268261446,0.194004907077495,0.115181389174989,0.222674818715632,0.00342060067619217,-0.139760455946351,-0.122556508290873,-0.441615611801545,-0.541475994849265,-0.790116058402449,-0.203060447049183,0.50789546150648,0.141854536291718,-0.0731456095164574,0.284486323135994,0.145419814892579,0.491883781579764,0.0318881049495119,-0.026087098238845,0.111682542082229,0.460301286467215,-343.808875074644
1.70560214143612,-0.699718772256598,-1.76740407144004,0.0781651012565095,-0.045141128275328,0.0828563441339709,0.112768248543002,0.20947169702126,0.0265497755495311,-0.100722078256191,-0.139981117528458,-0.486450440009242,-0.600817192154611,-0.829996401853655,-0.20404067040021,0.514463305651653,0.12749315289545,-0.0861434831861282,0.309449092096189,0.131863976081951,0.50091962969425,0.0136553249639399,-0.0303004529346557,0.128592846390878,0.479674610984126,-340.787329079326
1.46963767942495,-0.2024220093096,-2.28760873487727,0.0778537574974892,-0.095315933429244,0.183959778219148,0.0820029120218662,0.0872582863894602,0.190980993906938,0.328853504653953,-0.299687296755824,-0.872636482984187,-1.05591248458045,-1.00486279773414,-0.22071617873413,0.466241760998242,-0.0276918133190596,-0.230092169575302,0.475559983199279,-0.0530739378367952,0.406968470807806,-0.148675011739789,-0.0671143307470987,0.282549694117664,0.517689754358499,-329.251766950289
1.204713788822,-0.498281026874117,-2.52571637061902,0.121914002265373,-0.367613105252095,0.0629381051343612,-0.0569369899342681,0.196317777795856,0.552994249299367,1.21944212190619,-0.329759806492896,-2.02577486253165,-1.07453874888156,-0.0311618420696529,-0.25896708494098,0.410453392489084,-0.0553110979686972,-0.636793979610906,0.292001423748828,0.0543383528165757,0.127687499111803,-0.416529625201176,-0.171711137504518,0.672758459595843,0.473872007678193,-320.029681097176
0.851075125273793,-0.731685914082799,-2.45821816505096,0.069569312319887,-0.14206106849143,0.0767228798031587,-0.0720013836100767,0.361377984527928,0.723139911234476,1.46440042278247,-0.375080827868487,-2.60028559912091,-0.99786051701137,0.0579101577789812,-0.26651659527787,0.508123773135655,0.0359895273858536,-0.787406461988279,0.226443131291181,0.0751959202226006,0.0684560959616162,-0.407752085429988,-0.222970303827976,0.835895529031005,0.557371716081711,-313.579813434194
