ViajeId;DISTAlt1;TIEMPOAlt1;CONG_A1;CFM A1;DISTAlt2;TIEMPOAlt2;CONG_A2;CFM A2;DISTAlt3;TIEMPOAlt3;CONG_A3;CFM A3;DISTEC;TIEMPOEC;CONGESTION;CFM EC;CHOICE
{CD42E40B-0BCC-E811-914C-74867AD5B714};3.4;16;3;;3.6;16;3;;0;0;0;;271.702.148.821.917;198.486.166.675.886;2;;4
{8CFD31BF-0ECC-E811-914C-74867AD5B714};4.8;22;3;;5;22;3;;5.1;23;3;;476.028.282.418.445;317.712.166.666.985;2;;4
{1D50AE02-10CC-E811-914C-74867AD5B714};6.7;25;3;;6.9;28;3;;6.2;26;3;;647.320.523.924.045;297.498.999.993.006;2;;4
{C301E37A-15CC-E811-914C-74867AD5B714};8.8;33;3;;9;37;3;;9.3;36;3;;738.606.559.844.173;423.804.499.983.788;3;;2
{D6EAAAB4-15CC-E811-914C-74867AD5B714};5.5;19;3;;4.3;20;3;;5.8;31;3;;504.052.394.632.007;300.437.833.309.174;2;;2
{A91D3981-1ACC-E811-914C-74867AD5B714};6.4;27;3;;7.7;25;3;;7.7;29;3;;617.447.176.835.677;236.732.166.647.911;2;;1
{C631A377-91CC-E811-914C-74867AD5B714};5.3;13;2;;6;16;2;;5.2;14;2;;425.420.055.983.641;144.474.499.980.609;1;;4
{83DE382D-94CC-E811-914C-74867AD5B714};7.4;18;3;;6.4;19;3;;5.8;20;3;;536.682.062.574.749;177.477.166.652.679;1;;4
{F77E8A2C-97CC-E811-914C-74867AD5B714};6.1;13;1;;5.3;15;2;;6.6;15;2;;619.934.026.976.725;122.809.999.982.516;1;;1
{8B51EAA6-A6CC-E811-914C-74867AD5B714};5.8;16;2;;7.4;17;2;;6.7;19;2;;461.750.955.657.129;131.595.666.646.957;1;;4
{494F40B8-A8CC-E811-914C-74867AD5B714};4.8;12;1;;9.5;16;1;;6.9;17;2;;470.605.301.356.862;964.128.333.330.154;1;;4
{42F5F39B-A9CC-E811-914C-74867AD5B714};3.1;9;1;;2.7;9;2;;3;9;2;;286.788.098.003.027;734.643.333.355.586;1;;3
{72ED78DC-AACC-E811-914C-74867AD5B714};3.9;10;1;;3.8;11;1;;5.9;12;1;;223.754.823.863.894;672.121.666.669.846;1;;4
{83E43AF4-AACC-E811-914C-74867AD5B714};5.7;15;2;;5.2;16;3;;4.3;19;3;;410.715.184.084.871;168.716.666.658.719;1;;4
{57646952-ACCC-E811-914C-74867AD5B714};2.4;8;2;;2.6;10;2;;3.4;10;2;;279.338.084.021.125;960.693.333.148.956;1;;4
{15FA02A6-ADCC-E811-914C-74867AD5B714};6.5;19;3;;7.8;20;2;;6.6;27;3;;701.179.764.902.764;23.269.883.330.663;3;;1
{EB47DF38-AECC-E811-914C-74867AD5B714};5.1;12;2;;4.9;13;2;;4.6;14;2;;47.309.125.729.437;118.762.666.662.534;1;;2
{514C21C4-B0CC-E811-914C-74867AD5B714};4.2;15;3;;5.2;16;3;;5.6;18;3;;450.774.224.347.259;189.902.166.644.732;1;;4
{9CE74908-B4CC-E811-914C-74867AD5B714};5.1;12;2;;5;13;2;;5;12;2;;337.446.259.714.762;839.699.999.888.738;1;;3
{5EC39CAF-B5CC-E811-914C-74867AD5B714};6.2;15;2;;6.7;15;2;;5.7;14;2;;614.088.830.075.302;154.635.999.997.457;2;;3
{00793F3F-F1CC-E811-914C-74867AD5B714};10.1;24;2;;11.1;27;3;;8.4;30;3;;773.476.294.124.306;221.199.999.968.211;2;;3
{B669EB4C-6FCD-E811-914C-74867AD5B714};4.6;11;2;;6.8;17;2;;0;0;0;;375.011.049.155.141;930.799.999.634.425;1;;4
{24059CC8-75CD-E811-914C-74867AD5B714};4.3;15;3;;5.7;17;3;;5.5;18;3;;438.871.899.411.864;319.890.499.989.192;2;;1
{A59F7B8E-7BCD-E811-914C-74867AD5B714};5.7;17;3;;5.4;18;3;;5.7;22;3;;543.340.364.495.583;164.090.666.651.726;1;;4
{160BB759-80CD-E811-914C-74867AD5B714};5.1;13;2;;5.4;14;2;;5.3;16;3;;380.938.883.249.998;117.963.333.328.565;2;;1
{4A9D79A1-82CD-E811-914C-74867AD5B714};3;9;1;;3;8;1;;4.6;12;3;;312.591.618.058.848;120.245.500.008.265;1;;1
{3D69B31A-89CD-E811-914C-74867AD5B714};12.2;26;3;;0;0;0;;0;0;0;;113.335.482.967.195;245.650.000.015.895;2;;4
{50E02347-92CD-E811-914C-74867AD5B714};11.4;24;2;;11.9;24;2;;12.3;25;2;;960.050.591.436.877;175.812.833.309.174;2;;4
{8791E8C8-38CE-E811-914C-74867AD5B714};6.3;25;3;;5.8;28;3;;5.7;28;3;;63.981.833.403.785;225.513.333.320.618;1;;1
{93260574-3CCE-E811-914C-74867AD5B714};3.6;11;3;;4;12;3;;4.6;13;3;;369.848.809.924.649;123.528.833.349.546;1;;1
{E93A4BC6-3FCE-E811-914C-74867AD5B714};6.6;16;3;;7.3;23;3;;8.9;24;3;;666.016.118.160.946;203.526.666.680.972;2;;1
{0C1FF5E1-42CE-E811-914C-74867AD5B714};5.4;16;3;;5.5;17;3;;5.2;20;3;;573.121.367.198.812;231.963.333.328.565;6;;4
{1A27CCF2-1FCF-E811-914C-74867AD5B714};7;15;1;;7.2;16;2;;7.6;16;2;;709.674.130.805.823;152.309.999.982.516;1;;1
{DD46B43B-49D1-E811-8FB7-74867AD5B714};5.7;14;2;;6.4;15;2;;6.6;17;3;;556.813.306.447.649;150.069.000.005.722;1;;1
{A76E7FCD-4CD1-E811-8FB7-74867AD5B714};3.9;9;2;;3.6;11;2;;4;12;3;;408.511.889.521.957;103.033.833.305.041;1;;4
{9DE61FDB-58D1-E811-8FB7-74867AD5B714};9;18;2;;9.1;20;2;;9.2;20;2;;912.147.634.141.476;237.089.499.990.145;3;;4
{FF2FE1DC-5CD1-E811-8FB7-74867AD5B714};6;15;2;;5.2;16;3;;6.2;21;3;;483.019.102.108.556;183.995.000.004.768;2;;3
{F6529BD5-60D1-E811-8FB7-74867AD5B714};7.1;13;2;;7;13;2;;6.7;15;3;;595.376.092.047.397;13.582.333.334.287;1;;4
{84E86C38-63D1-E811-8FB7-74867AD5B714};5.7;11;2;;5.6;13;3;;6.3;16;2;;5.727.772.685.286;241.589.000.026.385;6;;4
{01579974-02D2-E811-8FB7-74867AD5B714};5.8;18;3;;5.4;20;3;;6.7;25;3;;46.118.611.667.335;198.945.500.016.212;2;;4
{A3CF4FA3-03D2-E811-8FB7-74867AD5B714};6;15;2;;5.2;20;3;;7.2;18;3;;464.474.790.632.234;202.732.166.647.911;3;;4
{D90351C2-05D2-E811-8FB7-74867AD5B714};4.2;12;2;;4.6;14;2;;4.5;14;2;;420.894.096.549.186;108.097.166.657.448;1;;1
{72BC66FC-06D2-E811-8FB7-74867AD5B714};4.8;14;3;;6.1;16;2;;4.7;17;3;;505.083.410.754.439;223.853.833.357.493;2;;4
{AE9201B1-07D2-E811-8FB7-74867AD5B714};2.7;9;2;;3.5;10;1;;5;11;2;;276.889.961.684.186;793.821.666.638.056;1;;1
{FCC5C8F5-08D2-E811-8FB7-74867AD5B714};7.5;19;2;;8.6;20;2;;8.7;22;3;;692.533.269.348.928;202.959.333.340.327;2;;4
{0AFFFCBB-0AD2-E811-8FB7-74867AD5B714};5.4;14;2;;5.5;14;2;;5.6;16;2;;530.979.527.223.473;204.150.666.673.978;2;;4
{6113CA0C-0CD2-E811-8FB7-74867AD5B714};5.3;13;2;;5.4;14;2;;0;0;0;;498.484.594.165.401;172.079.499.999.682;3;;4
{071F74A3-0FD2-E811-8FB7-74867AD5B714};3.4;10;3;;4.2;12;2;;3.9;14;3;;276.399.721.459.216;722.566.666.603.088;1;;1
{9AABCD68-11D2-E811-8FB7-74867AD5B714};2.4;6;2;;0;0;0;;0;0;0;;216.895.666.048.879;655.371.666.749.318;1;;1
{49283310-13D2-E811-8FB7-74867AD5B714};6.7;13;1;;6.7;15;2;;7.4;16;2;;698.659.258.021.562;147.585.500.001.907;1;;1
