"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_ADULTO40","gamma_EXP_1","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_JOVEN30","gamma_EXP_2","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr","sigma_OmLmVel","sigma_IgPare","sigma_UsoCel","sigma_PasoPeaton","sigma_UsoDirec","sigma_UsoPito"
"asc_ruta1",1,0.729787172410296,0.212587402104472,0.222324244018405,0.0299437733741734,-0.0490188925220998,-0.142683717478882,-0.168878369306491,-0.176905589906285,-0.0655195422941857,-0.0767203815538188,-0.072428486681426,0.0141888294126622,-0.00793727981012022,0.0718471853999738,-0.0111004733374287,0.0146450258651933,-0.00983865282217506,0.00092319062716784,0.00293615972735849,-0.00216091727904287,0.0142388675330637,0.0111539913094884,0.0143407244752536,-0.00043100335174624,0.00988124073752953,-0.00511852618710111,-0.00452301300599149,-0.00605908211714371,-0.006072345432748,-0.0152863006673976,-0.00844000755844014,-0.00828264767988039,-0.00850113368328601,-0.00762366188789641,-0.0143022117634606,-0.0143011865343433,0.00916455661292311,0.00917865706386538,0.00898338647213996,-0.00754485770967648,0.0030821735607708,0.00312157459281525,0.00455487442102738,-0.00207001942377606,0.00687847064262283,0.00519898612432191,-0.00424745458423596,-0.00759564836431576,-0.00145229810685765,-0.000278065226973273
"asc_ruta2",0.729787172410296,1,0.180112713147257,0.119455538603937,-0.034838152157318,-0.0528667391676091,-0.089896289050274,-0.0568344520368604,-0.0825958843359675,-0.0443107345975662,-0.0424827009809853,-0.00168747104968442,0.00155869241620863,0.00740865955400158,0.116315430146686,0.010121088551527,-0.0055272219290119,0.00492858261698621,0.000736568998691338,0.000891701478936021,-0.00166391101964676,0.0044181652285786,0.00313333323485555,0.00477289995837682,-0.0016768222923528,0.00155138043702589,-0.0035013292118201,0.00176356372650472,0.00179167785895313,0.000444099797697477,-0.00491034562926424,-0.00302916641770469,-0.00305156208832763,-0.00302141154749711,-0.00286588110102223,-0.00472397297867644,-0.00472600962967052,0.00043102212275311,0.000384690713136898,0.000128620342865926,-0.00275005489953847,0.000628110540671018,0.00148058190374896,0.000763952182592381,-7.2679152402119e-05,0.00236474244378218,0.00215790041043403,-0.00284037099282775,-0.00290895880572006,0.00416837214600096,-7.93381867199887e-05
"asc_rutaEC",0.212587402104472,0.180112713147257,1,-0.0560006916934329,0.250702862287856,-0.188359373327843,-0.0790564807611382,-0.0550969066363088,-0.0741407451210473,-0.116198814150856,-0.118291222767412,0.122185790633416,0.0112147230045356,0.101003567273409,-0.104400269041555,-0.286730982034432,0.352196564770083,-0.830550736205565,0.0976035519452678,-0.0381618478388783,-0.05435060681072,0.227237916742345,0.283555823453326,0.267360279366542,-0.0511594631354145,0.0967463876415433,-0.0751595896999903,-0.215436301028371,-0.222659916059805,-0.185605239213872,-0.264824630599389,-0.0913322960606225,-0.0855128296001459,-0.092351176270296,-0.0763351317965033,-0.268101586357055,-0.268124819798961,0.228653565531931,0.229496470996402,0.234879413343181,-0.0767022445508588,0.0650507971938028,0.0204631093081757,0.0874082114715064,-0.0485010805519908,0.120467375686303,0.0913684010489574,-0.00819580280755964,-0.0713625035967047,-0.187813863533679,-0.0185045760429205
"b_tt",0.222324244018405,0.119455538603937,-0.0560006916934329,1,-0.342348387816063,0.247332361717134,0.0622602146854272,0.0978633871276961,0.0311567452716606,-0.0948362028496897,-0.117765574398285,-0.122333632859242,0.0646795680688425,-0.0864713541928442,-0.0150348650287714,-0.0284656728130291,0.0235608648717992,-0.013707432808064,-0.0154002882648834,0.0164695815584383,0.0101393677348032,0.00679658253137964,-0.0107852830223583,-0.00629667335888716,-0.0087147322332731,0.0129157950317156,-0.000706908109348209,-0.000889218539761212,-0.00535728804628962,-0.0080594152669852,0.0043902790515292,-0.00454272365308086,-0.0050026143247511,-0.0046620082144745,-0.00481577898864968,0.00600462068292197,0.00600345493950641,0.00770101692715078,0.00790069885344033,0.0077610515289604,-0.00457714144972922,-0.00226118178479007,0.0036639409253689,-0.000672753279464713,0.00173910474381224,-0.00326376046686992,-0.00260407838429991,-0.00101866884647249,-0.00661640229248223,-0.00252260510040728,0.00114049161910523
"b_dt",0.0299437733741734,-0.034838152157318,0.250702862287856,-0.342348387816063,1,-0.0765686052789722,-0.0666123623413068,-0.066112125486728,0.0203420237926731,-0.202516230683126,-0.19375682311277,-0.0256289566940637,-0.0148351732512873,0.0483654662954921,-0.148042934829664,-0.168132811448142,0.18325824288862,-0.213036941453296,0.0611195159418541,0.0162794635360741,-0.0490295613500177,0.102682544389992,0.123773616429831,0.11755622161905,-0.00316906740961905,0.00739109867158096,0.00070652770605273,-0.029626546006064,-0.02720374134683,-0.0119395528781411,-0.111093281503349,-0.0657362151899484,-0.0627063710501207,-0.0662750587286388,-0.0583101329906024,-0.119550439520141,-0.119548436840768,0.0266269440898211,0.0266310853407052,0.0275329142530868,-0.0578360667027741,0.0256485277108434,0.00851365114791508,0.037990145202584,-0.0231089986339557,0.0563271106818723,0.0427108102420806,-0.00194236590607278,-0.00781700515538799,-0.0316247812987564,-0.00739205243477576
"b_CongAB",-0.0490188925220998,-0.0528667391676091,-0.188359373327843,0.247332361717134,-0.0765686052789722,1,0.528029375173848,-0.0297901700233976,-0.0295040693655893,-0.0452671450217547,-0.0505703787812406,-0.0409869945932045,0.0580077370343254,-0.109364026338464,0.0485707257657973,0.0148913279481331,0.0148333374789447,-0.0128446298587611,0.0183603721243255,0.0160678712797996,-0.0135977638274315,0.00456060173381677,0.0219914811867402,0.0156024326648754,-0.0305052209766039,-0.00882041130750343,0.000306220269974152,0.0112873388486784,0.00954648980045535,0.0153044846263637,-0.010787547702868,-0.0215608016072018,-0.0212358731231344,-0.0218843998771201,-0.0204183825291657,-0.0171240408978109,-0.0171666243034902,-0.0122366748672613,-0.0120367970204715,-0.011087665407258,-0.0195946955637042,-0.00106025673844231,0.00144015759262135,0.00415725779144491,-0.0039086927060972,0.00880004634382458,0.0127716353011618,0.0123796887148537,0.014743043602273,-0.0150800525405288,-0.00340356948075418
"b_CongCD",-0.142683717478882,-0.089896289050274,-0.0790564807611382,0.0622602146854272,-0.0666123623413068,0.528029375173848,1,-0.0516764661464103,-0.0188457578757462,0.0232666840582174,0.0270216484253507,0.0642033466003414,-0.00542610210492155,-0.0556759346261843,0.0569289386518796,0.0971034011333614,-0.0975164301391094,-0.00251090066124196,-0.0434014665711467,0.00853310762643526,0.035441008613483,-0.060740188368727,-0.0850635029068448,-0.0849531701459102,-0.0154408425947639,0.00615192579361894,-0.00676559326206121,0.00811566381412044,0.0152637659979545,0.0134841263625905,0.082662960166028,0.0431481463542062,0.0414932489097417,0.0436104691095581,0.0383622344531405,0.0855269978448027,0.0855212562401886,-0.020130768774585,-0.0200945130789339,-0.0201211195465862,0.038425731137954,-0.0163518149353851,-0.00836558395792966,-0.0257436850143921,0.0148120994554573,-0.0413762161409749,-0.0314761692626691,0.00515491054272869,0.00996893675357152,0.00691310340165284,0.00206354873387792
"b_Sem_1",-0.168878369306491,-0.0568344520368604,-0.0550969066363088,0.0978633871276961,-0.066112125486728,-0.0297901700233976,-0.0516764661464103,1,0.662294765486915,-0.0588611013051408,-0.0473945783788428,-0.0396203729786182,0.0670996904182999,0.0529989062365219,0.0831629092987387,-0.0824622605084206,0.0824030148161953,-0.0104738307116358,0.0296340530173292,0.00836715955537093,-0.0228336001410724,0.041942234195344,0.049196917206944,0.0448659816993068,0.0118906253720367,-0.0287874699984285,0.0131439032501616,-0.00296940482798781,-0.00589530257403786,-0.00310722178359755,-0.042349361205962,-0.0304102428015633,-0.0294922431308475,-0.030951459106198,-0.0278173690244133,-0.0462136854360254,-0.0462108803881765,0.00416587456072958,0.00426619862739796,0.00443899843451773,-0.0274174425438499,0.00732559466769297,0.00483954493593703,0.0162928814421736,-0.00725477460801411,0.0225988964549901,0.0173801026176839,0.00186645904342056,-0.000282222311511784,-0.00413625500805089,-0.00150375514834428
"b_Sem_2",-0.176905589906285,-0.0825958843359675,-0.0741407451210473,0.0311567452716606,0.0203420237926731,-0.0295040693655893,-0.0188457578757462,0.662294765486915,1,-0.0296521980255963,-0.0172780905084483,0.00586150322851847,0.00341703772916778,0.102461097151325,0.0193792678213057,-0.0656103142025512,0.0662188175198937,0.00428886041265027,0.023316690499977,0.00218980940120572,-0.0141978748791274,0.0277566325776321,0.0373150401048001,0.0332350361403853,0.00960559752982116,-0.0111628304261293,0.0135108994228464,-0.00624062582835769,-0.0109455623714189,-0.00623372831261445,-0.0315429814960558,-0.0212376126019784,-0.0204743249804011,-0.0215709994348122,-0.0193107343499773,-0.034181908607984,-0.0341792138201996,0.00732715680622291,0.00740275509454567,0.00763781917284097,-0.019101824041711,0.00547966950343618,0.00251518158866037,0.0112231233537552,-0.00570754472541918,0.0167355881587655,0.0128015640095266,0.00112647198596388,-0.00139655261665039,-0.00655400203824157,-0.00115547633681575
"b_ACC_0",-0.0655195422941857,-0.0443107345975662,-0.116198814150856,-0.0948362028496897,-0.202516230683126,-0.0452671450217547,0.0232666840582174,-0.0588611013051408,-0.0296521980255963,1,0.966427795676556,0.0397460386979068,-0.0310141296487203,0.0384481107480767,0.0716480396732167,0.110480464581672,-0.12612571471597,0.148005385709528,-0.0312574082429342,-0.0150665167598525,0.0272260440921204,-0.0712278371653971,-0.073663504632355,-0.0717892516712581,0.0080211416287091,-0.00694377099390416,-0.00194495223870676,0.0170284610389482,0.0185498244347472,0.00842262515800954,0.0687276715463054,0.0453474552466958,0.0436638090538408,0.0458171344587553,0.040613283116409,0.0733151000924356,0.0733105217707874,-0.0191758669028436,-0.0193604976090288,-0.0200601787190537,0.0403001803216578,-0.0151153430580368,-0.00763656449639135,-0.0246534431997111,0.0146664660842477,-0.0346993484835639,-0.0259670971598428,-0.00119447722950452,0.00569031909276025,0.0247238248516407,0.00383568636923677
