"asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_ADULTO40","gamma_EXP_1","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_JOVEN30","gamma_EXP_2","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr","sigma_OmLmVel","sigma_IgPare","sigma_UsoCel","sigma_PasoPeaton","sigma_UsoDirec","sigma_UsoPito","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-7617.73811521779
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-7617.73811521779
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-7617.73811521779
0.0236862953170203,0.00768629513913766,-0.0342588857165538,-0.0340943268383853,0.0131329623400234,-0.0180248980177566,0.00331035349518061,0.00135989743284881,-0.00317791913403198,0.00200975511688739,-0.00119140138849616,0.000280927633866668,0.000717217626515776,0.00100441975519061,0.000187631812877953,0.953011503966991,0.976075482845772,0.944539931602776,0.663490068400279,0.233906632929575,0.135402808373328,0.0325902941403911,0.11099213414127,0.25823211966781,0.204940550902393,0.0223399963579141,0.059117591008544,0.0220059385173954,0.19985413789982,0.153562363411766,0.273053394339513,1.07300121389562,1.06064232205972,1.05664903990692,1.15133287612116,1.0341920464416,1.02868864277843,1.09337939729448,1.22119645902421,1.31455663091037,1.08817912224913,1.02662353799678,1.01678132190136,0.999807886197232,1.15764021314681,1.12602172966581,1.10534853674471,1.10006199561758,1.25210787163815,1.4756275282125,1.05610772146611,-5336.32522017397
0.154647127257379,0.0550531985839345,-0.234954619542068,-0.219815340064938,0.0883632473112464,-0.123934437551118,0.0237258426768081,0.00841705581968216,-0.0207410273686906,0.0116410392684351,-0.00799087440109245,0.00306433420257657,0.00838824918297965,0.00740548314031489,0.00125523499277606,0.623839166956651,0.693499130413571,0.537166396606368,0.934540396243334,0.453625318715792,0.162518495960934,0.053290799914625,0.165105133678835,0.513351728829503,0.261629740490147,0.0203048882540069,0.0739646071875335,0.0210125540363647,0.290021443455605,0.230862900999619,0.812329298829601,1.22433242114108,1.16039152484283,1.12882163976021,1.49416505079191,1.1052107803167,1.06259180226542,1.06582455433973,1.42225492342187,1.50745890064901,1.27648146439162,0.775885353585178,0.767561391977719,0.713780803400441,1.03245359713604,0.842372959736455,0.807406876527215,0.98521644336343,0.997827711390436,1.03763645323569,0.892336882902977,-4601.56626865309
0.202879265246318,0.0689316833778796,-0.298988558534232,-0.00601240268960548,0.149289796552212,-0.159764114504693,0.0253445998394147,0.0115128748897257,-0.0239389100477376,0.0207050648591521,-0.00882795755707205,0.00216465899839668,0.00431455645745519,0.00549018079657591,0.00182262201564642,0.517163703475583,0.598022806330609,0.401677323217942,1.0173359160987,0.527473170975471,0.166836507136544,0.0665885721035791,0.18665079489319,0.623528797934433,0.261827752667428,0.0165815569779736,0.0758471632537822,0.0238515797550258,0.303003528851707,0.244087238493867,0.890141791853589,1.28217983528273,1.21252514390661,1.18094333021692,1.60311240165424,1.12650646270922,1.07543476495156,1.02047303726028,1.39730867517434,1.58843775803739,1.33816672619032,0.680097055720997,0.676641662595804,0.60808914748923,0.987648518306126,0.746877084152575,0.700786325205105,0.968734962609006,0.946919678949749,0.945389988371374,0.8379607346761,-4434.91466841142
0.236621556521409,0.0762497182821759,-0.339608910114057,-0.00356086032327831,0.16111702954093,-0.179816077352956,0.0264893571692452,0.0134567122366987,-0.0275294026599472,0.0241168793965582,-0.00995770900827401,0.000319100553399422,0.00238904508027265,0.0064474167065124,0.00296160329098703,0.447070368829428,0.533130465852202,0.308772491157841,1.0379918121105,0.538147686346574,0.161956968549405,0.0648251305064048,0.177125793258299,0.631594062796033,0.253030700543409,0.0128944514611734,0.0800050490411235,0.0253338808094284,0.298494456776895,0.250571282968837,0.830676725239505,1.3231268444035,1.25535201400959,1.22977298301687,1.66228176913767,1.13055985116328,1.07831916833995,1.00423191444047,1.35333499398103,1.60198540769394,1.37480676740578,0.625401833047935,0.633086121031985,0.555119300156745,0.97802363645746,0.702725662375849,0.64925180292843,0.977381456813871,0.972521952685614,0.973594479526239,0.819575861181993,-4355.31943972273
0.330602689863221,0.0632200715076976,-0.378818034907686,0.0475488547628058,0.0903097803770501,-0.185529739669767,0.00525438830350719,0.0186351285016356,-0.034617415709445,0.0351436876758847,-0.0117587434708515,-0.0219504978162032,-0.0246622992996051,0.00871732709517185,0.012992602027597,0.344767833190948,0.43462570912564,0.22884734197272,1.0457713215841,0.548112726954515,0.143773231567353,0.0682061145636951,0.166137641907159,0.800066171553085,0.260748098854179,-0.0139755906386743,0.100387335747679,0.0473354165585633,0.315177851896712,0.299961733969949,0.732456803388072,1.44184606688956,1.37604862262285,1.31692588836622,1.77367140368409,0.989865340444209,0.947785359188615,1.01984901859911,1.44615817366961,1.35061081325295,1.47126822138817,0.547536697204198,0.561124418536236,0.509365462812982,0.968758610566776,0.541444843533188,0.464167000018718,1.02110068514742,0.99676229660612,1.08103009854756,0.834250448548714,-4305.88438337782
0.453912722084896,0.0304519947584391,-0.391622553438754,0.00146827152458479,-0.0584885388816459,-0.164622868521365,-0.0346236406827281,0.0260132806752068,-0.0427384499555413,0.0507279535326193,-0.014675284215724,-0.0598658098600213,-0.0701220858339792,0.0113425730514604,0.0292958797983709,0.260147022303923,0.347237616814717,0.224409594617611,0.950089967692813,0.541867053592663,0.104909991715866,0.0922246804562457,0.198024247355692,1.18184160240593,0.275128009097531,-0.0583339115918196,0.124343086910874,0.0802482431680471,0.357755281648372,0.359748316259663,0.663196504929004,1.52421262421319,1.4546107895218,1.39829796186073,1.89911706910347,0.783323400081863,0.767851062981256,0.946415925786774,1.32638461184542,1.29593831643508,1.58187236026322,0.543323952380461,0.527642847873512,0.487414182800749,0.951877431589712,0.376018860076023,0.322010276727984,1.05424190676515,1.04099823963915,1.15698264198485,0.856013203763448,-4263.29464050153
0.508735532235452,0.0181028987264205,-0.40210266356958,-0.0121791019324335,-0.117663538630374,-0.15855902506046,-0.0510602403882625,0.0292729450152897,-0.0468426825046609,0.0575758732451219,-0.0160537791372489,-0.0758808343727465,-0.0890253796000371,0.012659305995162,0.0363740018529031,0.215024291995395,0.301726172656258,0.211716070186379,0.908489581368574,0.545053444408911,0.0853949827859495,0.103409575022268,0.211330869377497,1.3476711829391,0.276961488412489,-0.0769089923815237,0.13490928445532,0.0921961468964822,0.37413803203756,0.386853403092338,0.624649594556536,1.56422313993047,1.49186826840116,1.43231193921842,1.95745308229628,0.737722446295579,0.695054194944252,0.919634561205455,1.29048634255006,1.24495231862801,1.6301254690351,0.534190008702966,0.515983349837937,0.479267474985558,0.940524268957735,0.373939400994077,0.343561364619926,1.05930024116003,1.04771123124177,1.16434947911644,0.855462122492961,-4233.3748098073
