"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",2.03377963738692,0.40970147495521,4.96405251557677,6.90372628397995e-07,0.616716126325635,3.29775653752414,0.000974605997217548
"asc_ruta2",0.864641726630386,0.349136847800318,2.47651238211586,0.0132673022970473,0.433455128508219,1.99476640086401,0.0460683634797581
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_rutaEC",12.8466781252628,3.81491958118702,3.36748333794904,0.000758576101628439,3.1997339943627,4.01492066149753,5.94657948356225e-05
"b_tt",0.172162429809626,0.0837132876674885,2.05657231494073,0.0397273835714691,0.151616130431924,1.13551526027718,0.256159491655402
"b_dt",-1.01319221555429,0.231541237034984,-4.37586076903099,1.20954205911072e-05,0.276558851184836,-3.66356821057639,0.000248725940669159
"b_CongAB",-0.578252737624511,0.63485201742104,-0.910846499273244,0.362376258263913,0.632577774897933,-0.914121173033328,0.36065317816273
"b_CongCD",-0.806162355127542,0.406430914069191,-1.98351633013403,0.0473097848246289,0.413387056576427,-1.95013932415782,0.0511595153344317
"b_CongEF",0,NA,NA,NA,NA,NA,NA
"b_Sem_1",0.121259968586187,0.564373531099664,0.214857646406478,0.829878306938894,0.504272397861524,0.240465211065321,0.809969629672991
"b_Sem_2",-0.0676389674894798,0.409567782340591,-0.16514718785481,0.86882813235216,0.379968212887947,-0.178012173637868,0.858713415256293
"b_Sem_3",0,NA,NA,NA,NA,NA,NA
"b_ACC_0",6.89773564038112,2.91527622322115,2.36606589298069,0.0179782443060892,2.90298892734943,2.37608058900834,0.017497640760376
"b_ACC_1",5.93175227020772,2.87109308986276,2.06602575553942,0.0388260477332103,2.68639959245144,2.20806773753073,0.0272395515903723
"b_ACC_2",0,NA,NA,NA,NA,NA,NA
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-1.3620825033215,0.500855515118412,-2.71951183965596,0.00653783544415631,0.465693295565032,-2.92484885716225,0.00344623560671531
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.295441928675523,0.341730969358641,-0.864545373894578,0.387288365935492,0.321817955363302,-0.918040537365284,0.358597643566551
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",-1.19173388808548,0.526494906282203,-2.26352406047154,0.0236034031396386,0.644236057497325,-1.8498404027788,0.0643365556946753
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",1.07326994569277,0.614003681545364,1.74798617329377,0.0804664216702866,0.564011527504327,1.90292200310486,0.0570507234248767
"lambda1",21.0781903456383,5.52678932238363,3.81382193460335,0.000136834075758818,7.50364529053616,2.80906006740787,0.00496863751712251
"lambda2",-6.52229966770177,1.2932101543823,-5.04349555685104,4.57103386697355e-07,1.57794711556265,-4.13340827672548,3.57422975869603e-05
"lambda3",3.17885979369591,0.74625298488927,4.25976157960372,2.04645077563903e-05,1.0801351934923,2.94302029305979,0.00325027111949439
"gamma_USOCINTURON",-0.0620244620206491,0.0959618534084089,-0.646344977901542,0.518055965312688,0.13241628306419,-0.468405097812496,0.639494923172746
"gamma_USODISPMOB",-0.0688727991492447,0.0894169832717447,-0.770242929577877,0.441155802886289,0.0975999753175789,-0.705664104167452,0.480397048862681
"gamma_ADULTO40",-0.533351219106093,0.139268772433942,-3.82965405514056,0.000128323529001717,0.162518178489727,-3.28179422180645,0.00103148850404322
"gamma_EXP_1",-0.0852985148891222,0.230547951219016,-0.369981665150823,0.711396151679737,0.304877909519281,-0.279779256632983,0.779646867210039
"gamma_HPICO",0.228614359946141,0.154757241810912,1.47724498880298,0.139609978208563,0.169256715133543,1.35069595180176,0.176792849598715
"gamma_LV1",3.31224599213262,0.870848172611687,3.80347125515478,0.000142682556574236,1.72120835660812,1.92437247902971,0.0543079115311544
"gamma_EDUBASICA",-0.429524014667801,0.163493205049117,-2.62716737700971,0.00860989717642835,0.198264964070223,-2.16641410489284,0.0302795570826937
"gamma_JOVEN30",-1.20267942317449,0.368574726021263,-3.26305451314398,0.00110218316772759,0.383165030056585,-3.13880267987107,0.00169639636899777
"gamma_EXP_2",0.854238284462627,0.275795078372306,3.09736594831275,0.00195248680295057,0.300642719954947,2.84137358985655,0.0044919656336404
"gamma_HTRB_2",-3.15628103186938,1.10843064274231,-2.84752235291925,0.00440609998074137,0.932476220004203,-3.3848380946971,0.00071220249577908
"gamma_HTRB_3",-3.08219437029475,1.0838562983239,-2.84372972234524,0.00445888536126349,0.926003899016091,-3.32848962468698,0.000873182573237763
"gamma_HTRB_4",-2.88737764966102,1.09172810726732,-2.64477723935162,0.00817447116695047,0.92506587951348,-3.12126705092569,0.00180074653830942
