"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongEF_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongEF_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongEF_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_CongEF_rutaEC","b_CSECO","b_HTRB_1","b_HTRB_2","b_HTRB_3","b_EduBasica","b_Joven30","b_Adulto40","b_Adulto60","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_4","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_ADULTO40","gamma_EXP_1","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_JOVEN30","gamma_EXP_2","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta2",-21.3592752620567,4.61607386354201,0.0937012190190887,-31.8060834439632,-3.090509983179,0.839088115365896,7.03564670607008,8.77476768869098,-0.902133017469188,-7.01254176401631,-13.4446004780596,-1.79208252136016e-16,1.58851300936931,3.02756086356176,0.0490685006037016,0.0198524200392847,0.0247780301397456,0.0711643823933572,0.000282565042628104,0.00395541209601708,0.0415246407336514,0.0226479298370033,0.00887946924903654,0.0206847587855462,0.0336106949969196,0.00721646646900053,0.0121265942570248,0.0142080146911145,0.0199427626408327,0.064919383352989,0.0278371963229567,-0.00362607164718153,-0.00175785747514766,-0.0194055671396749,0.684248831434796,8.56307081056585,0.769537139472902,-3.27240760302456,-18.1506611171317,1.24215145362297,11.5966154052011,1.21727640258578,2.56259866571001,1.00181715011273,13.694134800839,16.7970221896845,-41.3308702986358,0.00370126709574192,0.00412381028903388,0.00242566548160543,0.00587439205477592,0.00528487310653857,0.0111649275781686,0.00998826374501452,0.00772804220944169,0.0183149927664966,0.00359746473588516,0.00547982742940801,0.00121970806597655,-0.000109218467000831,-8.72553269151916e-05,0.00536010809454263,0.00174011529026638,-0.000105814461312613,-8.2876161381852e-05,0.00761838536482877,0.000790026947520361,-0.000262759559044334,1.80926570381773e-05,0.00463601319999314,0.00288704096004328,0.0013299223082021,9.03248815923676e-05,-0.00280175347772525,-0.00276316983431885,0.000377609435449879,5.07810574778235e-05,-0.00237620397363012,-0.00185894250890211,-0.000703599488468653,-0.000430945469766384,-0.000761460518973078,7.30002615423393e-06,-0.000802423912339343,-0.000161913442454681,0.00607951969987487,0.0030692139655465,0.00182104026575349,0.000396066998281318,0.00386339236183162,0.0070581613983655,0.00334309593820949,0.00195821499751375,0.00516997834910812,0.00185547358359849,6.25044491382025e-05,-4.76260432990976e-06
"asc_ruta3",4.61607386354201,-14.2263750127193,0.0566392788415262,-20.4149689948024,4.13553634110696,0.634003711681953,4.95121397051587,3.96844477232341,0.0742737074815185,1.4266780987278,3.11512205621469,2.56078535747521e-16,-5.56311479582603,-8.66326059062637,0.0258965680998298,0.0102143416883388,0.0205278003027209,0.0493969890676457,0.000557548117168924,0.00287722811068451,0.0195365906993733,0.0211734950760991,0.00556656526998001,0.0123733321518347,0.0156383339522419,0.00156537774645957,0.0073066694714668,0.0101785392717204,0.0220527785255491,0.0483680370462875,0.0306644268594759,-0.000381239182459947,-0.000543388385712454,-0.0111329133591513,0.51288815807285,9.39109874765467,0.399498945084939,-0.615427375997398,-9.598514733072,0.192367504198869,11.1506824277105,0.653253360624867,1.52866455866233,0.660561715753527,6.21326220809604,13.567943394341,-9.18555096866654,0.00238768773528998,0.0022691083395997,0.00132892159665,0.0034657869422502,0.00280209813163796,0.00271299616878689,0.000620825144094918,-0.00950088464703288,0.00972934465956411,0.00343244833400243,0.00281365990609138,-0.00013301247002594,-0.000499718256651189,-5.56088050233881e-05,0.00297345792705328,0.00105294603854255,-3.93058959748804e-05,-4.47298752751485e-05,0.00398672219929375,1.72332023800714e-05,-0.000428661816971372,2.07898659063448e-05,0.00279267823741299,0.00149354580866527,-6.17531490787191e-05,4.54741960127163e-05,-0.00103404190013657,-0.000293102310085465,0.000708491293310418,3.20272381912808e-05,-0.00130917825763629,0.000661024175846492,-4.11074716573311e-05,-0.000326870243016338,-0.000176282182967061,0.00030419534806269,-0.00010731354825424,-8.5397126810018e-05,0.00348903859752864,0.00113557798377347,0.000753275743033769,-4.88618364981331e-05,0.00161024058787252,0.00350700690427419,0.00390301573148591,0.00167765244396256,0.00276934525079994,0.00107030934395829,5.67796897696505e-05,-5.20175391974356e-06
"asc_rutaEC",0.0937012190190887,0.0566392788415262,-0.350526143622278,-1.04548504548422,0.179042335734042,0.0135374577828483,0.0570476155128629,0.129604664437178,0.0032740247646378,0.0171237288744662,0.0733037768313129,-1.37065527027949e-17,0.0175111201478685,0.039128156124197,-0.194603684712768,-0.0846667129541016,-0.0713684624524535,-0.279779240313226,-0.00430787804680578,-0.025382052065348,-0.159536225223311,-0.0706747836956084,-0.0310983611733858,-0.0797671145793436,-0.101446628587677,-0.0200565984727548,-0.0504496487125301,-0.0593481953680201,-0.07124433007197,-0.261515997480768,-0.118279428683984,0.0169983913369036,0.0308473611766598,0.0952122174651809,-2.66158418345503,-34.8817044107181,-2.74797803612334,9.14350259495304,65.6995602111155,-1.16230562947778,-41.8378252871557,-2.31177455008936,-8.66434451358052,-5.46293088192407,-51.4406047027318,-55.7401979539064,109.979819666526,-0.01627426515937,-0.00611863497633507,-0.00535391746920308,-0.00416827709057698,-0.0370770602038529,-0.0427943344118504,-0.00540748304236252,-0.03807911442225,-0.0650272805146618,-0.0132623667432715,-0.0204481041718736,-0.00288820214469259,-0.00180535367167204,0.000355015999873434,-0.0193750877010245,-0.00724339143392481,0.00050667523348022,0.000367160303202989,-0.0268240294807214,-0.00483451796081394,0.0012186256955584,-0.000174430763690047,-0.0176211745711351,-0.00984871615259248,-0.00335694775773276,-0.000313490237713101,0.00441810930427297,0.0097185439834507,-0.00250628056220557,-0.000504233787976666,0.00554253016530367,0.00460080992442424,0.00293852957866754,0.00213224362489657,0.00163053656803825,-2.48008242598313e-05,0.00278756608972148,0.000608263904050344,-0.0225436675845187,-0.0172560405865346,-0.00991056422925831,-0.00213210127200312,-0.0131390945509237,-0.0272388643921028,-0.0175364663006248,-0.00993936317248992,-0.018652815458861,-0.00543682059233759,-5.58015942169354e-06,-0.000148743022992126
"b_tt",-31.8060834439632,-20.4149689948024,-1.04548504548422,-800.194303001529,-160.8929264952,3.63744657745873,13.1171569088785,36.5119232509809,-0.116566839831605,-4.33644563063447,-27.353070980636,8.57751314720994e-16,14.4649575913396,-34.8799271732041,-0.407006709471813,-0.209531066845465,-0.428935462975494,-0.733532276466647,-0.00579922124049416,0.0436621387360607,-0.334998384200794,-0.349285916993069,-0.259901651482058,-0.103124667056688,-0.16416731111538,-0.0649581860770863,-0.21255051848969,-0.137730969054889,-0.437046609361503,-0.998953259944895,-0.190948848621767,-0.163159703621133,-0.0261335148973265,-0.000703147323799425,-10.0755745448542,-56.9306466339501,-6.38121354770456,30.7082029094892,134.793163846172,42.6393399443692,-182.580171781623,-47.032896874526,-59.3399069769413,8.42636382874076,-100.791600424694,-259.942760217226,-296.320752087123,-0.00228953593171077,0.0050414045644274,0.00492377161270936,-0.0796205787612805,-0.277491986684906,-0.15588042617417,0.145579975884719,0.102745460049563,0.195037588289178,-0.0214006495616424,-0.0585505255980252,-0.0310293618381399,0.0143518661186931,0.00332013048006234,-0.050702736846583,-0.0422658166901137,0.00080255887374614,0.00363996501688254,-0.043200742814212,-0.018869692335512,0.0112338835844122,-0.000150653950485933,-0.0652143152834177,-0.0202074898282155,-0.00462938614435215,-0.00149407492136203,-0.0172573884692117,0.0158151234776171,-0.0181168161651912,-0.00175286680211877,-0.00495545128288749,-0.00635208695392283,0.015136599637608,0.012969607152584,-0.0170578162137977,-0.0199021804208762,0.00233466655067817,0.00276914601090127,-0.0546228562663361,-0.0712450348827423,-0.00247542697135474,-0.0117551347710708,-0.010094257014651,-0.0630278121642171,-0.0569974056011174,-0.0388807102207511,-0.0614792474784034,-0.0371731404174989,0.000677796839917115,0.00246991979353633
"b_dt",-3.090509983179,4.13553634110696,0.179042335734042,-160.8929264952,-64.6446902130345,-0.131241614565214,-2.52446764645022,1.43165445915382,-0.280307562252398,-0.590385223788706,-2.21981719706486,1.71761717503315e-16,6.2494482016493,-2.11391179959286,0.168803145528104,-0.0128413833679681,0.0230670228434696,0.156591428581743,0.0011568000488891,0.0146686520370632,0.0575422270203806,0.0433308480524476,-0.00240406179576144,0.00708563020656841,0.0993053189242798,0.0384885063863335,0.0144945289832263,0.0296473896185389,0.0205648061078719,0.119882143418481,0.0932956608852773,-0.0090474505702666,-0.0455540328216011,-0.0534109722078629,1.17613265538098,28.5717775942235,0.82165456525272,-17.2828149990992,-44.8037369279794,3.15822316080561,27.9763549008014,-2.51330370888679,2.56139270437076,2.97412322994193,21.8545315744358,30.7615133500945,-139.388015012708,0.0177053177460623,0.00756563612742925,0.00932189383347697,0.00932099456496094,-0.0367461851042759,-0.0361826321254612,0.0576216674621335,0.0391274123166326,0.0640217033921375,0.0162341947852585,0.00877383578218797,-0.0088509751228118,0.00249322347532297,0.000987102573366567,0.0139128872388592,-0.00103480575808052,0.00010572179734426,0.000813495589970354,0.0181441495370487,-0.000992426955213579,-0.000619627670827729,0.000292144309390062,0.0197184800812401,0.00666290508884499,0.00119316939790159,0.000388689009653882,-0.000947053285412434,0.00460504195874157,0.0026536766034344,0.000738165309583941,-0.00653092033850504,0.00497705202872042,0.00963118075566188,0.00253897413987774,0.00483274329624068,0.00309549680583341,0.00043874426908773,0.000427106473055789,0.0208735801511511,0.0112851400205394,0.0113920778866792,0.000510956040833402,0.0145678993094674,0.028881518657386,0.0129538377251657,0.00717609951773021,0.0160321666218875,-0.00388945713767131,-0.000442798945055113,0.00147475108492039
"b_CongAB_ruta1",0.839088115365896,0.634003711681953,0.0135374577828483,3.63744657745873,-0.131241614565214,-1.48662869256983,2.05986415948993e-12,-2.11798541619736e-11,0.357735636686355,0.481281808064494,7.06700845232411e-05,-4.70869291736944e-18,0.40605936383889,0.227944347380331,0.0148626802437648,-0.00132625346590867,4.44351837037852e-07,0.0138346086687522,6.883310290397e-13,-2.24307120143419e-06,0.00570862425119558,-0.000252781405757013,8.93310176834881e-07,0.000245666334391206,0.00602293660313861,-0.000514447826151975,-2.68480774699125e-07,-9.50776745008626e-12,0.00294750351566337,0.0140137208710759,0.00419078062530665,0.00528330066223461,-0.00738360259655196,0.00127003950444664,0.0528185270875002,1.14182757840183,-0.00854085356271916,0.39548648307043,-2.04190534455712,-1.36646799078878,2.03516525966316,0.00300437385001873,0.000845493849757376,5.79370257610587e-05,1.6007404129587,2.06115093439552,1.73403418051817,0.000219852000862351,-0.00331492816969846,-0.00352600630463241,-0.00109212729819348,0.00223815817559422,-0.00261453191304316,-0.00187544471018531,0.0045755075790842,-0.000196749998018487,0.00150314928315946,0.000119824090640703,0.00171080096448175,0.00310817257477335,8.70435160555728e-05,0.000750171245250283,0.00294103667574426,-8.32601083185454e-06,-1.55584835700235e-06,0.000195516122900908,0.00338575480055622,-1.11529580480867e-05,-3.02983739538339e-07,0.00161104867752444,0.00079840580829151,0.00101834194979551,0.000286235540967958,0.000111556775823466,0.000351159933973379,0.00134670764273842,0.000409369587188857,-5.5840333707195e-05,0.000140510926509939,0.00165904094611374,0.000218903141691289,0.000580933187555196,0.000811976621294881,-1.26809743475276e-05,-2.10072740320166e-06,0.000126219558502974,0.00274091004717699,0.00329322235516145,0.000337565501312577,-9.90976533096296e-07,0.00154523388014415,0.00379723976252533,0.00184559133084577,0.00121311049859657,0.000989297407748235,-8.46571303130286e-06,0.000419001823375878
"b_CongCD_ruta1",7.03564670607008,4.95121397051587,0.0570476155128629,13.1171569088785,-2.52446764645022,2.05986415948993e-12,-12.0439078283827,2.17169397337596e-12,0.280662991809613,4.29682310563884,2.4581606108361,-2.69699019178412e-16,3.10568801187292,1.84552596714714,0.0290804628689389,0.0219378279418041,0.00602890689121981,0.0546657560418606,0.0034711597185008,0.00178926629987417,0.0278334378966898,0.0122900758173077,0.00219798568377375,0.0128641089691023,0.0184429085123828,0.00467654666133766,0.00508647952157113,0.011714282438971,0.00792801910069947,0.0342279146979824,0.0344275345339787,-0.00192614328390114,-0.00635753811405481,-0.0208300141497511,0.332008539754578,10.6034591534303,0.391163528386599,-0.915467195335659,-11.9536326507975,0.299301246720703,6.37330606289014,-0.465734361560842,0.993888320280523,0.484113352789452,8.33741799684042,9.82859861301638,-13.4642287233596,0.00519670557080904,0.00287150474225349,0.000572010393924626,-0.000136838231531883,-0.00634138396981953,-0.000155013208425402,0.00834093500328405,-0.00189864431084146,0.0156126840368347,0.00508430845741977,0.00549261240295132,-0.00113710604322376,0.000193117643831527,2.74619116746745e-05,0.00396848494032944,0.000649632361175152,-0.00021846393011212,0.000109321262666745,0.00768414394748318,0.000522323577581745,-0.000196282005673851,2.06353779219768e-05,0.00180397526326554,0.00263669602449468,-0.00018745186305067,1.69261034353186e-05,-0.003426482033061,-0.0012347992063073,9.22204168300447e-05,-5.44497569521413e-06,-0.00282419177451604,-0.000335873426514025,0.000103722064480702,-4.97135406937891e-06,-0.00139833689448025,-0.000967173729648766,-0.000183505723775085,-4.85694773165622e-05,0.00297594323871589,0.000176317007300608,0.00166323628942987,0.000326455030542682,0.00234352769979616,0.00447021508277701,0.00249799655782362,0.00235678759604935,0.00274857311412872,0.000272769647541017,0.000175892591237299,8.84371420034515e-05
"b_CongEF_ruta1",8.77476768869098,3.96844477232341,0.129604664437178,36.5119232509809,1.43165445915382,-2.11798541619736e-11,2.17169397337596e-12,-12.8728145261903,0.1861865340474,0.790635343549898,7.79794580785985,1.55010335128901e-16,0.445343281872189,3.5231014929358,0.0756145392862199,0.033984877260087,0.020002690452328,0.0901782084819358,7.25845368468452e-13,0.0152339513236489,0.0640866483154343,0.0324506696907545,0.0190694272694603,0.0372734933606334,0.0403094531831652,0.010029573551063,0.0215035672858128,0.0231746006064407,0.0170889942516272,0.0952553431176451,0.0166372455774451,-0.00798002987755262,0.0015130477077682,-0.0253328901644728,1.07952709134789,5.18237647376105,1.19587800303127,-4.77148332088312,-24.1272057998461,3.30000231738277,17.1859161254147,2.30778813562407,4.98220199699851,3.31894810166958,21.3019628686274,16.2008824559709,-39.9038999600319,0.00476861896233165,0.000169423036939153,0.00455308849621223,-0.00394365853809379,0.0330926969492852,0.0316863064679585,-0.0116688735680618,0.0371737610284967,0.0215656182847036,-0.000354613888888327,0.00654209551681238,0.00122774493447875,-0.000887088989151253,-0.000326690798862861,0.00632257426137799,0.000859701520156487,-0.0001347698016592,-0.000347346312764526,0.00733890128383673,0.00011916011219162,-0.000319805990292589,0.000115203840120508,0.00677734505067917,0.00203282280044529,0.00125783938394309,-0.000125483736749227,0.0027322305070371,-0.00577877835819468,-1.87205448552624e-05,1.75088265045229e-05,0.00102269469164238,-0.00320759296246859,-0.00395668219938366,-0.00158843867198593,0.000124298215091766,-0.000131642923135153,-0.0016817020201981,-0.000310298602585475,0.00987247301172997,0.010133540280427,0.00237978892922747,0.00112088318666624,0.00532251266680988,0.0106576840279459,0.00399515366539453,0.00210102804361452,0.00675161141397666,0.00124897572853738,-0.000281134118210549,-0.000348748171022191
"b_CongAB_ruta2",-0.902133017469188,0.0742737074815185,0.0032740247646378,-0.116566839831605,-0.280307562252398,0.357735636686355,0.280662991809613,0.1861865340474,-0.902133016660909,-7.77766476825137e-10,4.47853139836847e-11,3.51351059184261e-18,0.0727995795448241,0.00147412933436151,0.000249959717516697,0.00302418811663368,-1.22533924129374e-10,0.0034204900768107,8.9163297097627e-12,-5.74950035084872e-12,0.00339400343408564,-2.78202313938417e-05,-0.00052332737691868,3.92205960003402e-06,2.53070592636716e-05,1.25175019236079e-05,-0.000145884685526365,-5.60908266538657e-11,7.6388181887472e-07,0.000290763329506126,0.00291615996603785,0.000261560461370587,0.000461313097797109,-0.00241386108340306,0.00530398713035165,0.884811814486152,-0.000249192650381699,-0.0152931227677031,-0.90627967511127,-0.0642214719366657,0.0206218892339354,-0.161000290317729,-0.180773854978429,1.42152208710764e-09,0.936715735461913,0.0725247460322537,2.0582760145233,0.000176642457382448,-0.000399387476905535,-0.000370898732518973,-0.00185773168500596,-1.55886361720723e-05,-0.000144459056590583,-0.00225695351600222,-0.000330810210928594,-0.00038240524974918,-0.00018441900642208,-9.60315492927758e-05,-0.000193970566226104,4.935112442407e-05,-2.77292948601733e-10,-7.95230553286344e-05,6.79860483698172e-05,-4.16607137324605e-05,9.92755853122793e-06,-5.71327539218061e-05,4.70801475887627e-05,-3.46058792685938e-05,3.39124228777947e-06,-0.000412321672453661,-2.52499032167732e-05,-0.000106312905109014,-5.41689966138519e-06,-0.000308864307749611,-7.0424758991575e-05,1.25240607323656e-05,-2.25110124097824e-07,-0.000164296046457435,-5.67777029436446e-06,-9.63849408169782e-07,-1.11530304033563e-07,-0.000332016091899691,-0.000259307493593367,3.55009484789352e-07,-6.88809343771237e-09,5.95499021501119e-05,0.000131308900815761,0.00012531330587494,1.85397460422251e-06,-4.27977886681863e-07,9.58870953394153e-05,0.000218958184903949,1.54106395031111e-05,-0.000216030834414205,-5.90514678197684e-05,-1.01056291496261e-06,-3.57395873534205e-07
"b_CongCD_ruta2",-7.01254176401631,1.4266780987278,0.0171237288744662,-4.33644563063447,-0.590385223788706,0.481281808064494,4.29682310563884,0.790635343549898,-7.77766476825137e-10,-7.01254176160622,-5.12398540845102e-10,-3.04825998278785e-17,0.978464665729342,0.448213439880388,0.0130170997723751,0.0042362786561122,-0.00012994598839091,0.0149472825987446,0.000282565768903589,0.00118429290852508,0.00513560151503107,0.00551023792862303,0.000485152227498291,0.0106034361611681,0.00523574263095764,0.000201003778098025,0.00139870146053739,0.00716473302731768,0.00273101492440754,0.0156137128984104,0.00888492450510724,-0.00101830915747946,-0.00218960042816098,0.000803287589353397,0.157464185993475,2.77724487258851,0.353541233761066,0.0470311673860953,-4.10026363975099,0.20475233669272,3.25553320178039,0.0340912921193512,0.679817925176928,0.227336433165518,1.92175199619271,3.93965031112914,-5.42612173914622,0.00191026968725088,-0.000231371381155804,0.00111921388936881,0.000494179437647936,0.00565333689408559,0.00507468500877451,-0.000703656254304084,0.00286620873526331,0.0157988027280341,0.000130831322228485,0.00119118270492563,0.000847233385149563,0.000325522312642545,-9.16118414040517e-05,0.00238445263938447,0.000843681737051488,1.2246343241456e-07,-8.7625051018291e-05,0.00305432219243955,0.00082348832527796,-4.89299733098047e-05,-5.29627300765009e-06,0.00109280070822532,0.00107993256375345,0.000172435818780217,4.2438892335058e-05,-0.000341487537097916,-0.000861477143473303,0.000166746525590412,4.94898206700156e-05,-0.000972374381593042,-0.000168013213387928,-0.000920814338397267,-0.000417083893465735,7.31865003225658e-05,0.000140530467045658,-0.000331032293877898,-8.25836702912116e-05,0.0020273293036333,-9.07481672173963e-06,0.000447165824296653,3.19437290001624e-05,0.00195875520405212,0.00265419102621633,0.000390396104632393,0.000134500550312307,0.0017664678188236,0.000744273611201299,9.36841701066606e-06,-1.47849997806825e-05
