"asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_ADULTO40","gamma_EXP_1","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_JOVEN30","gamma_EXP_2","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5173.49314976697
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5173.49314976697
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5173.49314976697
0.0135408918140456,-0.0664591090753675,0.14337732718559,0.533640406501945,-0.0610535047599115,0.0823169175419025,-0.041394101572223,0.00775159860495478,0.00884138862602413,0.0185524550033733,0.00258559011854231,-0.030933138623368,-0.0486333941807971,-0.0159893694217317,0.0091018679086119,0.850512997363694,0.911770776088815,1.07031179557089,-0.397820748912636,-0.100702265626751,-0.0471412335173227,-0.0299958483083174,-0.158133725926746,0.314942369004712,0.0645686988718808,0.00331963819917291,0.0313584314426407,0.00915104756131769,0.0747372134355828,0.0717994131264277,-0.0718107257853262,1.13762007292826,1.14094645739533,1.14207765634637,1.01070487778634,1.08467991719954,1.08944528235588,0.908368938486092,1.03605264500948,1.04234053340042,1.10656150407158,-2.06017684208928,-0.795465165516362,0.942992658179719,2.0435497975559,-2.06097267323639,-0.78410627663834,0.970326722541358,2.02511042548576,-2.06886999181006,-0.758960498729721,0.9528955493588,2.03762593696592,-2.08494569192408,-0.885387175891083,0.869847780792043,2.07594578783028,-2.04213059437461,-0.752005162008572,0.984019742987584,2.00767105811974,-2.03674377076095,-0.741459541837685,0.97837570408592,2.01265109312953,-2.05661827744916,-0.797255192243028,0.93291266146116,2.07892620196799,-2.02862895344151,-0.910732296120841,0.868082324974239,2.06639001803705,-2.02925114386017,-0.958720395807177,0.79780026624212,2.02252119884361,-2.09033135866048,-0.778510292526334,0.948746598965954,2.02365033287788,-4732.52156744808
0.133869497507342,-0.203373514285167,0.478833921152351,0.152249851803659,-0.401525398410016,0.300874468097612,-0.116992302229284,0.0373318744924331,0.027251257861542,0.0526020814380469,-0.000912577246628181,-0.114439373734124,-0.163526997927701,-0.0498793752398125,0.0314614578677225,0.467377920528096,0.627144431811572,1.2385023301944,-1.18691958461749,-0.297078853260297,-0.115964209702141,-0.0902002613161979,-0.478074124932934,1.07868888531717,0.250602732427247,0.0139250217509504,0.120904387127554,0.0378121023539663,0.297420387422319,0.269077736037429,-0.387450101864838,1.46617063521255,1.48008487221307,1.48867931370062,0.999227595600947,1.3313471764771,1.35928105177677,0.702957393448821,1.12762365974591,1.12196895611234,1.35162270240178,-2.20662892939993,-0.329334352404098,0.799171312587309,2.15120066071179,-2.20583956126404,-0.29431104798021,0.894837714361249,2.08870785418599,-2.22742068115302,-0.210195437700752,0.833685964431214,2.13228228796983,-2.29193110232178,-0.634995993383303,0.55190807324428,2.24783354126018,-2.16134994302141,-0.200355724254535,0.941682368443604,2.02744492544519,-2.14285740426627,-0.162014234810113,0.921854054424596,2.04572281207322,-2.16264373576455,-0.323143365889795,0.769650056710872,2.2653379822568,-2.09514518127838,-0.697494459870404,0.555080960831375,2.20692154739156,-2.10350734315842,-0.860302100787926,0.310888641277755,2.03670970724727,-2.29737828492518,-0.28119604174308,0.817270418403003,2.08058650270815,-3924.92765021745
0.186215148016556,-0.268625198178892,0.652642068919506,0.124126900665601,-0.503075510120204,0.406073604193938,-0.15323275214916,0.0564760811326926,0.0299785533869008,0.0784176339906108,-0.00498249130355656,-0.156062692416501,-0.216338882991345,-0.0678864058804379,0.0451382142696107,0.214838612732813,0.255688949652033,1.33635152844804,-0.933485039376046,-0.245519746835622,-0.0606738633533774,-0.0652456058661684,-0.411347471127803,1.08148979793544,0.315013566713306,0.0147141019985055,0.171770083528389,0.0561811761915281,0.404139454500323,0.374227733613718,-0.555372264491823,1.59563780465916,1.61131263127939,1.63137675920516,0.99153503524633,1.24386913030237,1.30247489180796,0.549609307293187,1.13991566691824,1.13701266166331,1.44478115363664,-2.27387359479522,-0.149451211253555,0.732119672573273,2.2043925238427,-2.2683155691784,-0.107556145226247,0.862065148997699,2.12234616428905,-2.29314543187138,0.00830452966533454,0.775369775204952,2.18195186177367,-2.37321452012312,-0.562276712052677,0.419016287297121,2.31187728137325,-2.30233043151813,-0.021741482012867,0.920233291769377,2.03758717265868,-2.28420287337646,0.0354700987800133,0.890986082680672,2.06414995058281,-2.15817611035403,-0.134731567927132,0.723102577757052,2.34617676638754,-2.11113244938766,-0.606189887627148,0.453080151242882,2.2563936532804,-2.13952001465088,-0.820836477779066,0.117853878623832,2.00240483957083,-2.37743936578052,-0.0962237271600084,0.754074491894899,2.10551156674892,-3719.68840445202
0.28538152922815,-0.298715420821966,0.715032648095982,0.0448126224411876,-0.497600946061538,0.441717247804001,-0.172724451144941,0.0791007771993169,0.0240800467900306,0.112298799621946,-0.0138322515930328,-0.189769509614507,-0.255047472259586,-0.0859114823539893,0.0574439144097391,0.0983374910948503,0.103166449186457,1.36203144296937,-0.802049311082172,-0.267206797418382,-0.0497613969225382,-0.0313164494775628,-0.29554272208096,0.994539119325258,0.238835638118961,-0.00121153148607735,0.200954910408671,0.0661432761428209,0.401639776719912,0.39388578686744,-0.186471608372297,1.71490702423183,1.73154035211663,1.7624731008294,1.00038122338971,1.15637830208024,1.23919986220894,0.336612362331565,1.1096791075251,1.14035919687106,1.53174963591408,-2.33953286521045,0.00512093878348471,0.672878193659885,2.26133264084966,-2.32740315087346,0.0532162404956142,0.837451281900404,2.16014565685238,-2.35448174920148,0.204936640465001,0.721412738488826,2.2366778354872,-2.44179090727313,-0.522631504927934,0.307300809626184,2.36840401088396,-2.44146200156519,0.126416205445082,0.902347098285746,2.04972035114317,-2.42910954610762,0.205457980266223,0.86148370359088,2.0858875045109,-2.12003947934311,0.0223516069427893,0.710516968635695,2.42469522746997,-2.11307172936238,-0.520797203656596,0.393229847231856,2.30749665255875,-2.17465612369298,-0.789673327073034,-0.0412893534196777,1.95961033491906,-2.44787797802223,0.0582781959749919,0.698081681479317,2.13043148292954,-3596.10749078297
0.728691775022192,-0.217628306270623,0.544438805850684,0.0133707008992047,0.0151891333205209,0.319273794052252,-0.161552108858976,0.155682339736376,-0.00422339777972492,0.245689286902947,-0.0455708340067714,-0.256948001260366,-0.32180387561007,-0.153108074046303,0.0827564395174623,0.166317408247188,0.126313712719367,1.25048898795631,-0.424905981785891,-0.276002000442143,-0.0233640309629975,0.0239404432393428,-0.120250177288832,1.41821098164525,0.135013010493264,-0.0475273645546544,0.327091686471104,0.124743978530017,0.536187994506664,0.591630819731422,-0.0565581270546376,1.86095883961776,1.88273276793528,1.9342245170962,1.01631901700742,1.24702021174671,1.33012988717529,0.14977361410198,1.14057954025431,1.14104528669815,1.6088970825046,-2.50898330617208,0.124174821955973,0.628914586745724,2.4073983629031,-2.46793013925273,0.190770270445607,0.858241254831666,2.26858185732317,-2.49230058486622,0.429448477656318,0.669073560733697,2.3862009305081,-2.54794199038314,-0.696280835670931,0.228346993514474,2.43705558281738,-2.67846124515573,0.25414350033207,0.897073049321204,2.08643161627693,-2.70977048548781,0.39451997297033,0.818402063358338,2.15261314309709,-1.85022073319952,-0.00258750006244411,0.870476659760264,2.56043798716606,-2.06755008758152,-0.486656492824028,0.40011340584722,2.28044128347169,-2.26746432976906,-0.851472754457392,-0.284988397671138,1.62049341348228,-2.57121425189362,0.130914538708386,0.660115091809129,2.18268328665828,-3499.53113683369
1.09064842046942,-0.0823589320168998,0.436695768496309,0.0328967461650491,0.143791800062452,0.198487787762592,-0.153410208011172,0.197413992424703,-0.0393455051887673,0.354311934732494,-0.0728365958000992,-0.354913833395672,-0.364063638999205,-0.186678286937835,0.140551767098227,0.0313198809777675,-0.399047318859705,1.10506160564379,-0.478054291954584,-0.446643407440143,-0.0370404699729223,0.071860903823766,0.0816739898762892,1.72352850091879,-0.0389303135401799,-0.118576295624498,0.464355803496344,0.208875622829451,0.675731058429034,0.812062923549596,0.120026416980277,2.01019640944487,2.02500061559797,2.09107435736904,1.19256972963091,1.3490384571383,1.44855496557101,0.0277474860533951,1.11337065491394,1.11272584261876,1.7082403785666,-2.66182578976278,0.0565823108812004,0.709221097052819,2.57908355066077,-2.58626352868512,0.176872884736503,0.96708781682321,2.4066369124485,-2.60816948251627,0.369599967412741,0.836079790538705,2.56867104098117,-2.61892949701279,-0.92176881718244,0.201825308311663,2.47650673079389,-2.93078591021897,0.257878413294757,0.948484664389501,2.14754568526159,-3.00439603454095,0.448939571054552,0.848080163469387,2.25076897162179,-1.4966928013923,-0.0244962267112886,0.992574012559134,2.7044279205146,-1.97423131990156,-0.494036316479377,0.552007399872491,2.25069224093511,-2.37442239379377,-1.05915734616757,-0.347018253283423,1.27668261268464,-2.64158401608796,0.0227854403765377,0.718100820019466,2.23641255719066,-3441.33716280948
1.36431902801738,0.103802075873532,0.255525634081519,0.0701210793578499,0.008046255347432,0.0122710621739597,-0.152930302142301,0.199117117291404,-0.0829539512837381,0.440546823828363,-0.0985736234141175,-0.443912266340882,-0.370181787795021,-0.189775860806161,0.205660689514791,0.172039575653903,-0.457925179773683,0.910003711870627,-0.578101326417198,-0.523166417818733,-0.0440221801340407,0.110135496183964,0.28357364629694,1.65456968098223,-0.161687053498025,-0.191062227236544,0.60280670506278,0.319230404629534,0.85792284157612,1.0467895973197,0.0653112691802138,2.19123391708107,2.18208802818889,2.25812689978607,1.40151207535005,1.32067882003127,1.46893581271622,0.13593208076008,1.0682822509932,1.02414241581078,1.84094139130309,-2.79731287081917,-0.0172479710966765,0.793585047525683,2.75390693122754,-2.69070206246776,0.147945103926221,1.0802910923378,2.55338301618985,-2.72397044482813,0.3289815707578,0.981928710029089,2.76236199943253,-2.7468253146631,-1.01742404847174,0.116644874710262,2.51097251833696,-3.1987510988381,0.248983813934,1.02343376243292,2.22657384741724,-3.30179392495712,0.453565694265899,0.939045564130983,2.36775897886722,-1.28571300377747,0.16939569999559,0.969838212276921,2.85809083945162,-1.91617047387749,-0.471108508036914,0.583210022591028,2.24890322046537,-2.51121296723864,-1.26943542702262,-0.520362778967181,1.06931132359037,-2.70291816034297,-0.0473544585017238,0.753350167889659,2.28988854770664,-3391.0782975669
