"asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","gamma_USOCINTURON","gamma_USODISPMOB","gamma_HPICO","gamma_CSECO","gamma_EXP_2","gamma_EXP_3","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_EDUBASICA","gamma_SININFOTRF","gamma_JOVEN30","gamma_ADULTO40","gamma_LV2","gamma_LV4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-8336.79689553761
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-8336.79689553761
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-8336.79689553761
-0.0208295183256269,0.113659034832381,0.388316344469786,-0.0828982767416165,0.0567875511478633,-0.0532034930074588,-0.00566284870728851,-0.00831070065032691,0.0245570787228644,-0.0076150317909196,-0.0293108081677929,-0.0565003923838958,-0.0122079334687442,0.000413917587138713,0.85985993698705,1.08401468512602,0.962632276583463,0.856583823566325,1.03506671637297,-0.957982099498622,-0.269926586770453,-0.0705256417859346,-0.462004676228389,-0.0675103277899325,0.0366176129318774,0.0170843006344512,0.130711964447983,0.109955342486501,-0.268052556202747,0.071268025203608,0.013272327487357,0.0470110477181152,0.84426190587692,-0.310013748821803,1.1256739924429,1.15018072444946,1.14412447053473,0.926822641282342,1.1455505436752,1.16846088983584,0.960046244086698,1.00478273141198,1.0582301261602,1.10867016972043,1.03420095017646,1.05144195456523,0.993594130501151,1.14819095376879,1.3620440402301,1.11259359307587,1.10302705341019,-2.06974653806537,-0.807562047499232,0.93911495548673,2.03876454720739,-2.0685053615598,-0.79383343597874,0.969521217280999,2.02010768221226,-2.08289506367873,-0.766257550800219,0.952596946968697,2.03242834354751,-2.03077257133555,-0.841374973766506,0.894502686220221,2.07933884044178,-2.07392653205898,-0.761999867041595,0.986277875723317,2.00540889450349,-2.07207142771222,-0.748125957557932,0.982154171448201,2.0112229201477,-2.10317848355044,-0.868874458479695,0.889197835000232,2.05856266943738,-2.01724750327412,-0.914470285875723,0.872036289889365,2.06494404515252,-2.02764406090137,-0.956395459594205,0.808901274809614,2.02368653658777,-2.09429477795493,-0.791264865780249,0.945964411017485,2.02135624527,-1.99525059829466,-0.847477170987986,1.00019249564502,2.01649268961046,-1.92965286946855,-0.912221828708425,0.989554291823879,2.01323827600572,-2.01460138591938,-0.957072696997784,0.961181849357672,1.9283361597918,-1.9555378628429,-0.865785439033061,0.992054601898417,2.00859242863953,-3.72092781390529,-1.94635262410156,1.99216794385575,3.98624579748139,-1.9264364305418,-0.958595097996294,0.919330407283269,2.03411320503801,-1.94492719124537,-0.967946228571236,1.01766618224792,1.99652485130355,-7767.0888235668
0.0889573878159038,1.04283332266204,0.0803875770545563,-1.2697317488178,0.561706283138635,-0.485011511836194,-0.0538295247652488,-0.142395150434026,0.188607361286474,-0.0914925180966671,-0.261905375133531,-0.540826251333425,-0.130436404158025,-0.0282454289985851,-0.146925284167594,1.46196628072948,0.0733685450272273,-0.722906605054101,0.836733494589499,-1.81004614141789,0.228935216549569,0.74650788889249,-0.206487940215884,-0.331700667618188,0.373154351512718,0.168900364725392,1.3187697020079,1.10152543082026,1.0653855662893,1.3339531638048,0.129721640585045,0.528004948603936,1.10629137702451,-1.34793916026225,1.54379019421811,1.71849390362431,1.71235327184319,0.405050823602929,1.76722345857368,1.9562829784489,-0.0590748764514701,0.967403601018561,0.941994820369505,1.33634019854386,1.16880661093429,1.24691841196843,0.119102402434676,2.07469017901749,3.7666574658764,1.78456728302653,1.77221392342617,-2.72921784315854,0.305770824918986,0.503837321786172,2.29117371496758,-2.71725541517452,0.390881705963644,0.743811563049195,2.15141835047671,-2.81214315997138,0.591317482643272,0.610473520692656,2.24834967213025,-2.3060333260418,0.0421192221051983,0.111950404332809,2.54450705113981,-2.73598305549019,0.620867507441724,0.883419011288333,2.04010387832174,-2.73319905204881,0.72806816136748,0.849975804995902,2.08686952190549,-2.8767791575485,-0.180904694533303,0.115754938177092,2.41958169978601,-2.1607654180332,-0.405711281683494,-0.0319326985465375,2.36633474073507,-2.23467619028857,-0.701599078246947,-0.51425478289674,1.97122168959759,-2.87579027912716,0.397552049857222,0.553353878561255,2.1537948454958,-2.22141952355578,-0.0178198024845045,0.964595578633385,2.12880645585349,-1.74121130775777,-0.438077487521785,0.863032013117276,2.09370948447114,-2.16209564336819,-0.789695702394732,0.582685994572907,1.33308684846328,-1.65282161671276,0.0311400310022768,0.930975417776892,2.06513096258449,-1.81055334529534,-1.56222822420101,1.93895010954423,3.88559349403563,-1.44930365060207,-0.662610933879249,0.365196946547947,2.24397984662212,-1.6029973973859,-0.739742466335083,1.14871995177017,1.96682401483983,-6877.50885213484
0.102689860003423,1.06010060493885,0.0955718688590672,-1.2916026270231,0.569880068517104,-0.497955613940622,-0.0540526189033428,-0.147266526295382,0.196600363501157,-0.0952336829906256,-0.269139306784406,-0.555977816752411,-0.133550601779528,-0.0287969943562454,-0.167650987125845,1.47373370141241,0.0573595572021356,-0.752293908453659,0.820711343186315,-1.81465942886939,0.231065796385083,0.757860384678745,-0.187903987641294,-0.340763538114271,0.374856470267022,0.173989922745925,1.33079279632493,1.12145034191131,1.06985687126727,1.3639892953372,0.129478430021225,0.528802253913137,1.10473920036524,-1.37800480865231,1.55674021769689,1.7353060441537,1.73066437830117,0.376704016007528,1.78691661642864,1.98181019703122,-0.06026956502099,0.953292506402799,0.922091804170346,1.34324202099292,1.16580406425109,1.24482084281892,0.0864264015241021,2.10668651303918,3.85126656450152,1.80411062667343,1.79286092552342,-2.75488950791881,0.333341587505005,0.499128758396665,2.30146672957137,-2.74285971331247,0.427285581144904,0.741267248159247,2.15704391134849,-2.84073221806772,0.562459682844761,0.675499817465124,2.2575709205625,-2.31069560720582,-0.0212724561186239,0.182515199014352,2.56202744238935,-2.76161077921444,0.66546414563589,0.885607580560045,2.04180728061473,-2.7597645955556,0.775293000429987,0.852414645465266,2.09056023456394,-2.89810915577311,-0.171027240637284,0.108246669319668,2.43308163875527,-2.16383595826849,-0.400518675481587,-0.0525450648136105,2.37341853830421,-2.24244149633661,-0.709742894005197,-0.545847659237117,1.9605074366193,-2.9043947340473,0.423687307263763,0.554122868358487,2.15877479251701,-2.23023995657795,0.00822763317989851,0.966728251499831,2.13450400871636,-1.73640909967646,-0.421375920432669,0.859389004248876,2.0975442308366,-2.16620460308226,-0.783028672774508,0.566041170616669,1.3081260584472,-1.64483244103478,0.0639590126840942,0.93028319005741,2.06765247001218,-1.76383515123028,-1.52536508471193,1.93667929747502,3.88115606928812,-1.43608248858177,-0.651142679167429,0.343639487279332,2.25102193253755,-1.59545076141434,-0.730552002159371,1.15416348015514,1.96553194270119,-6850.16444215926
0.12543945471599,1.0609004628518,0.12602902801196,-1.29414700876124,0.568203806949552,-0.507706870574932,-0.0528866864411417,-0.152016809673437,0.205959812456101,-0.0994865157471221,-0.274916889590725,-0.568148642765224,-0.135355927755466,-0.0289187268106956,-0.172428700256695,1.48358224139612,0.0575561715599793,-0.754618860785302,0.794886789800018,-1.79287057182026,0.219660946420266,0.752869155166877,-0.160211984012173,-0.348753460855471,0.366535615108565,0.178289017273863,1.31342007943725,1.12419497988241,1.03466808755883,1.37896939041248,0.124962345663686,0.512906139102668,1.09076035257903,-1.3979269874607,1.56704166045898,1.74782321011433,1.74612558339101,0.340858714204164,1.80297960544862,2.00322697726129,-0.0298208499786221,0.928165990886008,0.888243727988092,1.34884866685234,1.15559083673066,1.23391931783275,0.0557463016874776,2.13547689634374,3.92929109772024,1.81830069119433,1.80919425188622,-2.78077826271871,0.341743536984367,0.510765503232736,2.31229448793782,-2.76897240873813,0.453465248176179,0.746264351356189,2.16319765245161,-2.86984038450837,0.59643844785847,0.6752730060861,2.26780187668519,-2.31044269021795,-0.0327454567388138,0.203984391835151,2.57928260033498,-2.78733030342209,0.699460486935845,0.896196176470499,2.04385795441495,-2.78727552984727,0.804080617732004,0.871475067810853,2.09495722243543,-2.91229373897085,-0.178740640409063,0.122936999127398,2.44623416242453,-2.16477163475285,-0.410533456958744,-0.0581590676752128,2.37640837303482,-2.25006683082905,-0.739527153987828,-0.554515662245629,1.9420011996955,-2.93163902698933,0.425288976637432,0.576111132924655,2.16368629514289,-2.23902153495866,0.0287504245639099,0.972276709501151,2.14140815645329,-1.73363939308712,-0.406217868609153,0.856979550280396,2.10200698204038,-2.16899376344132,-0.776622945541557,0.54742335253618,1.28140231234212,-1.63992962158609,0.0949872243061663,0.931350660072253,2.07049080453769,-1.74207288547459,-1.46734378559523,1.93424451520401,3.87625858017352,-1.4273806484225,-0.639823831501102,0.322296354573128,2.25713593672833,-1.59278656610507,-0.720980133731051,1.15999598585738,1.96415118883015,-6791.42315605636
0.190856683586727,1.04492956200796,0.128671620103198,-1.29350563006251,0.554617811084629,-0.526905964156152,-0.0489314384419219,-0.164057027383141,0.227805482236766,-0.110208238185457,-0.287302847909935,-0.593580427975032,-0.137655617760728,-0.0290215087962777,-0.168573826661269,1.51031056835227,0.0787408482037365,-0.737134850468531,0.71322252144701,-1.74377687651239,0.182411965983702,0.733452747310534,-0.110688838833033,-0.364126627923386,0.344290683613441,0.187746914204784,1.28032572857341,1.12013861918766,0.937023838436341,1.40940374828291,0.11104706061882,0.486067570032586,1.07089264619951,-1.43695611232446,1.59339266039973,1.77690284587351,1.78231764432638,0.257287449482311,1.83982403404682,2.05139149347282,0.0447316106385597,0.865368270694646,0.800557342820888,1.36420501017345,1.13165181630491,1.20444233196129,-0.00453341088891254,2.19862006501386,4.10677429197526,1.84688360034097,1.84477217827453,-2.84013164828003,0.351088330397722,0.546899412834463,2.33893318555175,-2.82865614497172,0.49437630914625,0.776533813328286,2.17875542193309,-2.93652722328821,0.594813636247905,0.754393161638394,2.293215407938,-2.3050295155034,0.0153294890796825,0.179392188563612,2.61824182657048,-2.84568342361867,0.751948087649443,0.946319681172097,2.04968093568901,-2.85042420386276,0.826715044997875,0.959768429691349,2.10679008411437,-2.93996284216623,-0.186057281772206,0.143138247712405,2.47657394082136,-2.16518443355613,-0.442816037983482,-0.0620585996641252,2.37804183101651,-2.26853223532013,-0.782501219000137,-0.600149010639577,1.89003542261959,-2.99216841019318,0.458294883276916,0.595774702555949,2.17599364011916,-2.25734739899995,0.0684568724639344,0.989975499238967,2.15851239387769,-1.72804239641198,-0.374434479612863,0.853857964835665,2.11256783625092,-2.17433826869397,-0.765380367080476,0.501289074029499,1.21792338822442,-1.63167873156623,0.162786973722399,0.938122317766087,2.07759202287217,-1.66297198589064,-1.36362237109774,1.92896403629866,3.86465253856492,-1.41178355234806,-0.616167950716045,0.276167695281126,2.27021816020442,-1.59130501782589,-0.69892816338505,1.17423146743452,1.96131106960926,-6678.657729007
0.478002191102139,0.891823831519592,-0.146167392354134,-1.21996735034009,0.449220610716866,-0.569919678692168,-0.0283964291205896,-0.209310644260173,0.305126503740296,-0.150656567341698,-0.320573823281664,-0.661160364209749,-0.135845503806909,-0.0279942048247108,-0.0886840019322359,1.62420416325526,0.260648716726703,-0.547025947169874,0.278254344961904,-1.61366195630717,0.0498821748889606,0.679193213586348,-0.0670384949247133,-0.389268543642735,0.285125130471101,0.227348368778305,1.32219167706549,1.08685212139294,0.651612294764412,1.55007730553269,0.0525860023997089,0.551096521585024,1.08960810935317,-1.5068478272753,1.69829483131942,1.87356114394384,1.90503499849403,0.0327827351459644,1.95546326250031,2.19771120559651,0.214188908199708,0.652261833941303,0.467384542585708,1.42740456192603,1.07693173224473,1.09669806915602,-0.103782932771015,2.37789877507851,4.65577126532475,1.91472867202999,1.95195882240215,-3.02621529303482,0.393135337936997,0.643583263893153,2.43775353365441,-3.01350027864787,0.492941717496244,0.996868064990533,2.2405257057686,-3.14626622593296,0.791400806295141,0.801669610359147,2.39327286057851,-2.24854353893752,-0.0415757301177544,0.295154632514626,2.7279048843891,-3.02312681686396,0.770854430716403,1.24980957063878,2.07909229323106,-3.04817423835698,1.00788652330542,1.13537705677868,2.16111598898731,-2.9954542974251,-0.158205537404762,0.103067862312887,2.57193296565923,-2.15510332681612,-0.558040650482323,-0.0615721056399271,2.33896412491832,-2.33427185824769,-0.884236509487654,-0.776058952513143,1.64970954247133,-3.16544359041108,0.532779200169955,0.671523346604414,2.22215406905345,-2.29815528639185,0.127874076203648,1.08319932756172,2.22047470066821,-1.71527354411762,-0.305793740040437,0.864419106889672,2.14532297693402,-2.18465811570226,-0.770120014385166,0.330515615968806,1.00610054977424,-1.62241909847247,0.340599185928743,1.00110473593973,2.10501980924636,-1.28168192135634,-1.17127543390391,1.91750178353836,3.82638733726125,-1.39088649320712,-0.569340815441676,0.167505118157496,2.30321977490999,-1.61375709167063,-0.632102955492571,1.22621352208138,1.95674423831365,-6496.6929425604
0.559386921453031,0.845767487958251,-0.150977729657583,-1.18032738436426,0.41469590940082,-0.581314022494649,-0.0219615049087188,-0.221902835547026,0.329224496466969,-0.162316948611536,-0.329076419149147,-0.679827913595728,-0.134781709662254,-0.0269589735936399,-0.0702031391339078,1.65757950127402,0.310795562429727,-0.485961075421036,0.131120056141722,-1.57680146306068,0.0310939611499959,0.681696541396521,-0.066038093968011,-0.390587132668948,0.274482618258015,0.24107623690204,1.37247574744416,1.08600103783569,0.611439311042532,1.61514956884138,0.0354996235871814,0.60305039329602,1.09783524571127,-1.51486428581396,1.73012071081323,1.90069240109585,1.93960577576944,-0.010696087218726,1.98636478014207,2.2365310490741,0.230503553045821,0.595983660625945,0.371534211043109,1.44587788362098,1.07068560557409,1.06862941592747,-0.110114413636479,2.42387943968097,4.80317115707383,1.93140673194012,1.98238638686522,-3.0769516181853,0.412513892746525,0.660373742480675,2.46739274541466,-3.06319904581302,0.475834699366878,1.07139793868076,2.26016034193353,-3.20346441547706,0.810248572721264,0.848091262648477,2.42447484099464,-2.22652709408879,-0.0262487960280968,0.289528608027713,2.75435503663682,-3.0703461064705,0.760442554980199,1.34642082626765,2.08994489111494,-3.101670145893,1.09793602811383,1.14240330400262,2.17949833684867,-3.00578624085529,-0.158597919763804,0.0853479430742766,2.59742178263789,-2.15053873203581,-0.582664557497564,-0.0668649748203405,2.31950968905717,-2.35359247705065,-0.945297438377732,-0.788443702068332,1.57042025244021,-3.20934955601437,0.523803025017096,0.717229423664227,2.23598570303654,-2.3052729242271,0.13072852628265,1.11469919898195,2.23856879217745,-1.71170694510377,-0.294543936346442,0.871346023203743,2.15347919314293,-2.18662291750667,-0.781962796589424,0.28027978776263,0.947877653787045,-1.62139601062393,0.380062085355762,1.02792162297995,2.1136326836746,-1.21712328692178,-1.0802780934223,1.91603339779428,3.81600392691437,-1.389182873211,-0.564201384278045,0.148547858457506,2.31050453432328,-1.62265760875582,-0.615389964719069,1.24178418943775,1.95684645773229,-6426.3731037599
