"asc_Alt1","asc_Alt2","asc_Alt3","b_tt_Alt1","b_tt_Alt2","b_tt_Alt3","b_tt_Alt4","b_dt_Alt1","b_dt_Alt2","b_dt_Alt3","b_dt_Alt4","b_cg_Alt1","b_cg_Alt2","b_cg_Alt3","b_cg_Alt4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-482.430437669722
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-482.430437669722
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-482.430437669722
0.000332799999159761,-0.000576000000728527,-0.000844800000049873,0.00424320000020089,-0.00961280000046827,-0.0142976000002818,0.0245546929596458,0.00136064000034821,-0.00337951999972575,-0.00441311999966274,0.00597492912202142,0.000774400000227616,-0.00117439999958151,-0.00185599999967963,0.00184640000006766,-425.227295276435
0.000689749755980597,-0.000680408171257836,-0.00108969721345851,0.00906860786572981,-0.00999372970349034,-0.0160302772267017,0.0235415164371678,0.00287255163218608,-0.00384011434405879,-0.00507409756865245,0.00571095106734082,0.0016228562030156,-0.00118713662340638,-0.00218582632048238,0.00179779133645461,-423.290311100271
0.0156626128599475,-0.00626388114508836,-0.0181190540008297,0.088390083830587,0.0871285896044625,0.052303628815567,0.0886000415777054,0.011062979333446,-0.0151030321143845,-0.000918508487562573,0.0220150056774807,0.0364349551457011,0.0156894089778889,-0.00820296550398785,0.0101787208142228,-423.157062393662
0.0185282127520372,-0.00789877385983017,-0.0210346557161035,0.102964483692414,0.094095704342277,0.0710627981253114,0.0991764691863055,0.012213208933168,-0.0211662221139269,0.00154894384445753,0.0260849361064452,0.0430991177833791,0.0174925358252854,-0.00870108532363594,0.0118133495411702,-422.191062418164
0.0800158113834274,-0.0525656100723634,-0.110426760439345,0.147977644795645,0.184327169867725,0.130799582407442,0.0644429371044189,-0.102255839974243,-0.230345865534921,-0.0737062223637223,0.24739529113792,0.184736878912633,0.0595579571401002,-0.083193931973286,0.0550029634668331,-417.721877370541
0.337720079060109,-0.179409710730041,-0.447124196652735,0.088984798904152,0.214120698878824,0.167965015866256,0.101233864946809,-0.345632411775705,-0.570098781718425,-0.245517517264691,-0.148135986486705,0.573962086887086,0.208052848982322,-0.355152324515962,0.12431063500699,-416.338745982104
0.484904272062527,-0.294898620461366,-0.759676689599144,0.120926331002415,0.170802252122939,0.220739916485382,0.100618755562209,-0.470227029394766,-0.504436748195568,-0.444612812049891,-0.205507288792561,0.485070681748309,0.312321340122727,-0.286524377396179,0.183815014484179,-412.536979997221
0.951393622793967,-0.768619297706105,-1.718505084206,0.173460069097331,0.173417598261729,0.150573933068984,0.0976910881060169,-0.664039489879429,-0.672679692582293,-0.38156909688709,-0.364757539846957,0.0495259671504101,0.538772682730073,0.121119703076669,0.289574656099019,-401.441097013901
1.49841231738102,-1.35258705883958,-2.74898691409436,0.0972895922392652,0.116256822241727,0.0838379471922957,0.0797275412556947,-0.593230022057072,-0.443952818055738,-0.175428818255254,-0.301205141603656,0.0451954025836848,0.441578252948177,0.352274058080727,0.111981465600203,-389.444007183907
1.49486345431686,-1.50918668659982,-3.06554408201944,0.0114964817998865,0.114010921299151,0.116825028726673,0.0690772678493452,-0.305021123405419,-0.45764006602834,-0.189995784355296,-0.259743447702367,-0.0966011322020823,0.494990427527506,0.180400605033203,0.0648940151527122,-389.128338335657
1.30509441421959,-1.5837283923519,-3.22479004846075,0.0448308914663778,0.0848776830233382,0.112665996652713,0.0648631710912486,-0.330847242637333,-0.379160291533557,-0.0669479506266857,-0.224172984986296,-0.175212680716483,0.558564628580772,-0.0269680498259694,0.0418154336147432,-386.961923027559
-0.00875829528427685,-1.9107354537757,-3.33110638644466,0.0730873310566718,0.115606364269058,0.104075331014767,0.0795486482912457,-0.312144500749919,-0.410052101720415,-0.163673159850767,-0.27575191866659,0.0210521069517483,0.359446432650905,0.125684296886079,-0.0704471600275758,-379.474428303715
-0.0743310721364327,-1.90070878152965,-3.31306774876389,0.0568803588183646,0.0922445909420799,0.0906313929851194,0.0770140582024975,-0.273200913524677,-0.383663983239833,-0.139090106476635,-0.255734161508525,0.102114186302385,0.497232062637483,0.188331353028806,-0.0571128458155017,-378.770404964661
0.0538328888186686,-1.90591836465808,-3.2296934407824,0.0652881271390976,0.0918179128905058,0.0860342544121063,0.0743530023542859,-0.292129444154051,-0.364556390738333,-0.125865021934094,-0.245031202699156,0.0914569317152511,0.494654740541945,0.196837645800835,0.0170955549287591,-378.161581216265
0.216560161857261,-1.88962623264542,-3.13453067713275,0.0858346861197616,0.0924120213492218,0.0844237469958396,0.0825066605368105,-0.344415383775216,-0.369933462342414,-0.133342811916639,-0.233620718202185,0.0531914939980694,0.526601072142407,0.215019419139394,-0.0685955924681678,-377.635358024135
0.285765780718829,-1.59367643372693,-3.49165825876823,0.0901268975374468,0.091992732445975,0.0644120178230862,0.079962426775658,-0.372723195289366,-0.390164808067402,-0.0728148171296903,-0.23289273253128,0.100137332614917,0.459723465619065,0.358038743537614,0.000616921772925286,-377.262934143151
0.28581887353876,-1.94737541750096,-3.48656227961612,0.0931839718157349,0.0918143212243372,0.0645087311152399,0.081677798086148,-0.374475205279727,-0.367644740687828,-0.0809881394227766,-0.23893391268093,0.0822898103718119,0.545661796450514,0.369606903444375,0.00143570828447777,-377.158291952822
