"","asc_Alt1","asc_Alt2","asc_Alt3","b_tt","b_dt","b_cg"
"asc_Alt1",1,0.557428579692119,0.273230507234233,0.663303285569348,-0.453039652869686,-0.522424622680638
"asc_Alt2",0.557428579692119,1,0.242126126537849,0.403325307656249,-0.310139241691948,-0.367721452518995
"asc_Alt3",0.273230507234234,0.242126126537849,1,-0.0530978045900282,0.0898011118704213,-0.313648804354629
"b_tt",0.663303285569348,0.403325307656249,-0.0530978045900284,1,-0.66450475497345,-0.322173383416915
"b_dt",-0.453039652869686,-0.310139241691948,0.0898011118704213,-0.66450475497345,1,-0.13309054524378
"b_cg",-0.522424622680638,-0.367721452518995,-0.313648804354629,-0.322173383416915,-0.13309054524378,1
