"asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Cong","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","gamma_EXP_3_LV1","gamma_HTRB_2_LV1","gamma_USODISPMOB_LV1","gamma_EDUBASICA_LV2","gamma_JOVEN30_LV2","gamma_ADULTO40_LV2","gamma_EXP_2_LV2","gamma_USODISPMOB_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.326,0.337,0.211,-0.399,-0.409,0.339,0.339,-0.29,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4364.99781277994
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.326,0.337,0.211,-0.399,-0.409,0.339,0.339,-0.29,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4364.99781277994
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.326,0.337,0.211,-0.399,-0.409,0.339,0.339,-0.29,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4364.99781277994
0.194758460565936,-0.277241546427831,0.551724639080931,0.000242340320255607,-0.365801010048017,-0.0482263421872631,0.296825703117065,0.00732034095562995,-0.110995257273316,-0.157728427438997,-0.208476820262149,-0.0820844434201718,0.00636490585748106,0.420400479924865,0.398714619223029,0.274888003128581,1.27573585248319,-0.555342724196613,-0.0883877850715072,-0.685607656613924,0.301402510119602,-0.319754930169787,0.538867121409625,0.552401814107783,0.0764801479317249,1.6951900650165,1.74425483035157,1.76428730244515,0.848501698579639,1.73037912079599,1.82379573723301,1.09971942199627,1.26487508148421,1.53054773161421,-2.40788955811877,-0.0420491230906916,0.710620068071876,2.20170365314698,-2.39068168553058,0.0256633904646153,0.855408816074487,2.10562514216872,-2.46932767872931,0.161629603302572,0.775526899611577,2.16951743600657,-2.47665224701632,-0.508215158130042,0.331332510337233,2.35235108953202,-2.42021572153317,0.1851097951876,0.936453627014998,2.03187835682184,-2.40916593570728,0.256579060282093,0.913434934569523,2.05902758857701,-2.11164606985403,-0.590228682791348,0.358160326664802,2.32717832800699,-2.15157427696977,-0.800836085341871,0.0211112308315931,2.11182102025487,-2.5174839461688,0.0400564133306036,0.733736265625339,2.11185173934791,-3208.78260709479
0.647160986789352,-0.170587485587422,0.153277997279504,-0.041090820799856,-0.33781137674064,-0.0687800832549375,0.212560831222615,-0.0174800987984819,-0.153443269449472,-0.202490325667022,-0.216925695512624,-0.0849683536109961,-0.00401716048695344,0.0484671811474683,-0.00301543730527082,0.537419519702044,1.02908443419433,-0.661178803345137,-0.249054211462845,-0.886931598416143,0.0266443704691291,-0.342315866682357,0.273548579528986,0.540549061822127,-0.109232173288374,1.8587345509822,1.92065562528027,1.95465868050513,1.13757447998282,1.91866104893329,2.0507970095513,1.09730862677417,1.41186014893404,1.68113178013325,-2.52237898321647,0.0796945508828753,0.646562040956096,2.31996927347365,-2.47676340162113,0.174355186133413,0.858706435881567,2.18579332186781,-2.56132721398822,0.386091422873575,0.70418465139117,2.28917517464625,-2.44971821314642,-0.622911580927845,0.276671716332682,2.41070736428377,-2.44050426751428,0.415800281817085,0.965811334882555,2.06133154757588,-2.44948109714622,0.566169455973909,0.893640262243149,2.11517566429995,-2.04549706282311,-0.54246655997525,0.38457307562176,2.29952577265731,-2.23422354645476,-0.8084289821998,-0.17739470289883,1.84543192578599,-2.57199399935469,0.141824324592238,0.676245835462718,2.15853084468647,-3113.59103751814
0.781039617892855,-0.109955661345105,0.188086710381279,0.00640112055392408,-0.401941652019775,-0.0264652611441944,0.258740591394594,-0.0344632215510729,-0.211258050795857,-0.290599010240404,-0.265169204209637,-0.0914350029991228,0.00505555108756638,0.0304000176254921,-0.0537682245445901,0.321764328360807,0.988265191732388,-0.711421269962309,-0.288876983248144,-0.814728292153495,0.0229902675011956,-0.334503665673629,0.150322379605245,0.584659458125458,-0.126939373480994,1.96746643709528,2.02407861776304,2.06516713535483,1.2937991493255,2.00319860306316,2.16538802203539,1.11805420400001,1.47113710024814,1.77341473763428,-2.57715528799651,0.0180331582156478,0.689472644413832,2.42446930524391,-2.50564895714743,0.156833896771026,0.927413551418861,2.26574862539532,-2.58919109783537,0.361730533821133,0.773421584990495,2.40086281714819,-2.46332470207103,-0.794665038006714,0.284812670537151,2.43054775704114,-2.40459239699948,0.457548120452065,1.05792265981895,2.09407309170004,-2.43760172989447,0.651745547833108,0.962445228023584,2.17344769258961,-1.96538621597952,-0.546069694989871,0.498404470007277,2.23552322231899,-2.31908075174348,-0.929757310581221,-0.205014883664991,1.61859429055575,-2.56390206872975,0.05547480512824,0.714155467239027,2.19350616479516,-3078.55694942829
1.19966955502319,0.51386078097568,0.366274931784997,0.462146756331078,-0.4790475982587,0.264387815263865,0.198059271557278,-0.182682497050558,-0.548683676810741,-0.733526241224789,-0.383417078075321,-0.0518977954564733,0.0796720456379019,-0.170464134963596,-0.331086508973143,-0.341188595616064,0.486256999950627,-0.856116323368763,-0.212937610684446,-0.0633797064020913,-0.175649873619179,-0.355382419458046,-0.496103000202154,0.767859212383198,-0.212958014283488,2.41060329318858,2.30693564079024,2.36413290962786,1.40224413115003,1.97894601079984,2.27025850284361,1.39266717038939,1.0512800226205,1.93014858494005,-2.87482302827922,-0.216014156236169,0.710826398753753,3.05967809516853,-2.63392785522673,-0.0518926577345335,1.20238375635802,2.81520339722853,-2.72189371490364,0.381461746891296,0.801127443258603,3.12640861975818,-3.33474464355708,-0.93078797731712,-0.212017700495829,2.46213937563922,-2.18844588400522,0.402340943835992,1.53311832869595,2.38873301951556,-2.36039395440081,0.428468569410125,1.65280483229275,2.60680011896578,-1.66649435642755,-0.13279667104132,0.311751651658776,2.06805861347105,-2.97458271412355,-1.38298830363778,-1.03274065601559,1.08975303178923,-2.61024656517444,-0.0725431003265861,0.4731762532778,2.42931922516587,-3074.09225083444
1.25879544619831,0.641516012132556,0.47561804453447,0.592034249280646,-0.481574272237496,0.306781291766303,0.160129943323866,-0.225328747319879,-0.636690460304915,-0.817385261652227,-0.388044706919398,-0.0367062646277525,0.101820514631782,-0.184758945393911,-0.317991124955256,-0.378570249740372,0.340577094199434,-0.893772703208948,-0.227308559615882,-0.0705522834786716,-0.202383522986151,-0.377602665414751,-0.589317552640369,0.801106598121375,-0.203457582297122,2.48342336011524,2.33553978481758,2.38584948377535,1.47664605599756,1.91666618162298,2.23281780851443,1.40163762780709,0.893103754805658,1.91999978104924,-2.97290409032769,-0.216392731086198,0.67538459824277,3.21776206868938,-2.68538910023008,-0.0520794448075368,1.22641528467617,2.96223648654531,-2.77061088428462,0.408588667156609,0.77974607523296,3.31281497512861,-3.54403474621897,-0.982704831048585,-0.271074467265554,2.44941085981969,-2.16309447162854,0.42657207021366,1.59854096192694,2.48793000087325,-2.36810220946688,0.393645132628169,1.7898595494402,2.74403341786357,-1.65793402638729,-0.279541941676322,0.383686740818815,2.06207588047613,-3.14658956770907,-1.62828471685602,-1.12030779603028,0.995212833418145,-2.65344192559423,-0.0620151628414121,0.400283082207501,2.48097906537029,-3057.6183377931
1.35268359082209,0.771583924288131,0.711428622349506,0.786980061955718,-0.496452499346334,0.320413293005406,0.119446211132445,-0.291637896008335,-0.77703494923493,-0.91708849419541,-0.37681381979035,-0.0145511266832362,0.13796815333805,-0.169973545418069,-0.212794597812223,-0.341021853141476,0.10945633723648,-0.946751489981184,-0.270036872427376,-0.212482565974683,-0.236734286857357,-0.426826468748238,-0.680592912197176,0.836939000382722,-0.185326929302219,2.54625418466636,2.3395588540211,2.37177761164668,1.67868578761801,1.79722810697049,2.14659555052781,1.32886143595049,0.717396009866168,1.88409174259189,-3.13290889232731,-0.244069487402154,0.63872407908975,3.45570938282361,-2.76911558402743,-0.0475702387014156,1.25049606208996,3.18965019806102,-2.84335038840626,0.361555786666779,0.80975358695692,3.59899650680692,-3.79218726875743,-1.18124939169922,-0.238149961251724,2.4078124268904,-2.1251906091323,0.474575753710055,1.66934892391615,2.65447570676716,-2.38512740314458,0.372978612710892,1.96320394690537,2.98006168049638,-1.75169532691954,-0.33455488893578,0.222034634446319,2.07027239067689,-3.41251152688963,-1.85219634951874,-1.33045732507307,0.806858966324169,-2.70816256216484,-0.157998574589079,0.403965270207448,2.54387592882565,-3032.171538254
1.47080057621279,0.800799535786245,0.916454958565439,0.902983839869067,-0.523815575791799,0.244381756314575,0.137450642445924,-0.332960258436903,-0.885764094838077,-0.950423603628768,-0.351228344801673,-0.00529101850192729,0.160291933958166,-0.157098653309093,-0.0849670726382116,-0.238852426224547,-0.0252438214604422,-0.957529865869083,-0.253739918671522,-0.242178749977584,-0.30043133430717,-0.474168011005377,-0.727908854029221,0.837076937885667,-0.212905808174108,2.56803335744059,2.33188752140947,2.3580012105522,1.72064521758094,1.74575355399205,2.11704588026656,1.18319059478203,0.754311209160502,1.89600334620874,-3.24599476847748,-0.327888841578958,0.66427803252552,3.62510403685402,-2.82112896227422,-0.0625828405333328,1.28140961177403,3.35062632275189,-2.88966646143983,0.304180843842847,0.85624343653575,3.80839314818428,-3.9897368918431,-1.23204249930196,-0.366450709782903,2.38603257403802,-2.07718042161305,0.51239166061217,1.72221612207038,2.77251023667259,-2.38411919098175,0.402119706316373,2.07608766130634,3.16651509642832,-1.89028388804365,-0.492758398768242,0.158307660724839,1.97786946171432,-3.59638823716758,-1.88841139297693,-1.46593884388387,0.64107565549737,-2.73060408875548,-0.188418630782546,0.413755607721776,2.57475889712779,-3013.58137938788
