"asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.217,-0.423,-0.124,0.211,-0.226,0.982,-0.31,-0.407,-0.269,-0.29,0.181,0.261,-0.27,-0.565,-0.281,0.431,-0.285,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4233.23789405856
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.217,-0.423,-0.124,0.211,-0.226,0.982,-0.31,-0.407,-0.269,-0.29,0.181,0.261,-0.27,-0.565,-0.281,0.431,-0.285,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4233.23789405856
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.217,-0.423,-0.124,0.211,-0.226,0.982,-0.31,-0.407,-0.269,-0.29,0.181,0.261,-0.27,-0.565,-0.281,0.431,-0.285,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4233.23789405856
-0.0648034183541313,0.529606848431286,1.10035026591504,0.0450884472229518,0.928503381146584,0.00754150096327067,-0.0485334603581578,-0.104734936030582,-0.165769626619294,0.027671325369738,0.0314666394842789,0.414891823311336,0.364503204764333,0.0713794468319973,0.467327856109477,1.32976180227706,-0.424668454095256,-0.608814787982963,-0.37469373077713,-0.11394845072506,-0.588446779035963,1.45685061077168,-0.709952732550446,-0.559924658323173,-0.481819752050564,-1.03878823943436,-0.858895629219245,-0.347833579462953,0.553411850433331,-0.489962474324275,0.0510445393910632,0.649389977817424,0.111799150621519,1.52968150703236,1.56911521096481,1.59787594364025,0.491130176465958,1.67928481439594,1.75950420432491,1.09146932279691,1.14516416558763,1.29549831378972,-2.45094046799932,-0.15644387510838,0.695656428229995,2.20174465316813,-2.4872140561929,-0.048590936581604,0.799580189574044,2.14745977387065,-2.51284626533743,0.0280800852342511,0.769319139886647,2.17496052896604,-2.59591040917439,-0.505066400161013,0.299833260010928,2.35713729448617,-2.29511447064579,0.202034465677571,0.926984448393341,2.02118624252034,-2.24453969672322,0.219095014675986,0.924936935713049,2.04280273424229,-2.13594338088296,-0.551827473624144,0.323422882298473,2.35943720286014,-2.14442724204855,-0.814835413417313,-0.00658173323608957,2.17466935969424,-2.6128901586635,0.00200691667851083,0.737490215920843,2.10709541675169,-3402.77426130578
-0.0203588423413698,0.492370066648305,1.10394367976179,0.0454695745249464,0.934775060940232,0.000810134861896705,-0.0555921521083993,-0.12058789503632,-0.183155127376473,0.0387547427804668,0.0291622479902605,0.377129608112649,0.316860985361866,0.1376174075,0.488861893673549,1.347053450414,-0.268628971657807,-0.605397659095529,-0.228802390218756,0.0413994332226435,-0.434035138124637,1.36197498964179,-0.667635058121727,-0.56667544991124,-0.5034443563084,-0.998202013402715,-0.820050549037007,-0.350926076379775,0.578891594407617,-0.488535958201939,0.0639253431642483,0.67044816890975,0.131262043716477,1.52654940796785,1.581616037305,1.61753101760463,0.458479095636996,1.79151377760223,1.8894507819669,1.10262250848152,1.17481046471693,1.2541528213226,-2.5608951323364,-0.0347995114263834,0.635076995708944,2.24123383494837,-2.6013267538385,0.0884042865991446,0.762422250104963,2.17894340862145,-2.63079647983248,0.184369018576389,0.721904611694309,2.21229792278228,-2.67406615747091,-0.446492044239046,0.187699346146012,2.40986217908432,-2.3416463483806,0.396533179330734,0.919093352946136,2.0266015294567,-2.28644490132243,0.42454402107315,0.913852925932747,2.05381761828183,-2.14601431430646,-0.485631148999476,0.232338897348823,2.40545041212228,-2.17281814510606,-0.793457986959171,-0.17006765264928,2.16051853936495,-2.73535104036492,0.145502262330729,0.687242046370979,2.12519657729341,-3233.86970881548
0.15068611213778,0.172436406281575,0.742810173751175,-0.00551492164872896,0.589997614298962,-0.0484166941616613,-0.0831992484866245,-0.204961449964496,-0.243774456512084,0.0903255840499747,0.00687090381128876,0.0731877214317725,-0.0434606714353083,0.149578480522828,0.730113377273917,1.27848652309326,-0.265344451261551,-0.646808524823592,-0.183941182069172,0.0617259993108924,-0.459396819813359,1.33489997476536,-0.498667322362454,-0.66805963413494,-0.56404224838253,-1.04388461312705,-0.910767185353379,-0.521600008223755,0.346777887321259,-0.524841232045035,-0.0346131932057722,0.677915076009692,0.0909603662677106,1.70755719122387,1.71489558758208,1.78100972678415,1.42173913314689,1.9964011534603,2.14630101313205,1.13968226912305,1.26993807445665,1.4431382791103,-2.93405642497143,0.242601140598969,0.557215460453758,2.41976622989956,-2.97796497210476,0.432636970968462,0.764462169936872,2.3291663749685,-3.02850516185605,0.610837362503393,0.685426283264297,2.3911140673738,-2.72409077104434,-0.533434285938336,0.122729684350428,2.57429453609975,-2.67612798274803,0.81707578150449,1.02362033904365,2.0529547911845,-2.6308825565675,0.928675039383315,0.973456153859265,2.11104589923772,-2.11002310133701,-0.480694839243758,0.224508199612933,2.51638361649844,-2.27883396699781,-0.946190009958005,-0.464331764449687,1.97900946159561,-3.04377066402097,0.46476774768801,0.675353597054246,2.19763352508535,-3154.1761886424
0.26121787944932,-0.160589569538588,0.31959093178507,-0.131300429113076,0.0848140585098877,-0.1345237328727,-0.138855362425841,-0.382574353506434,-0.378437821998943,0.177182117268666,-0.0223811743175848,-0.273415582610234,-0.511085907732044,-0.512297609872727,0.81012483908257,1.16816157846087,-0.147405203480025,-0.68692357172052,0.00292803103880726,0.232819368729724,-0.339991916099407,0.958827232001094,-0.0668217432363506,-0.829718121387479,-0.627100115570474,-0.927956463798728,-0.83714040043094,-0.699856874160245,0.125325478685975,-0.5768197070126,-0.132321977429919,0.720977244322277,0.0976757083453281,2.18162205979026,2.10988732017423,2.21615205033252,2.26881606392337,2.38121732562946,2.61179783689568,1.23049115802432,1.41776333097477,1.93218727253078,-3.5340139654994,0.562224417114727,0.596286073110843,2.74314818183504,-3.56999843935604,0.888335210048206,0.927076196242321,2.60465967542866,-3.66319089472491,0.729475532667388,1.26564674522193,2.71816634873097,-3.05491074182898,-0.820290177457996,0.0236100652223111,2.87390102378836,-3.24402653996521,1.33661308905998,1.39819425429766,2.10638780490852,-3.22294985793082,0.982122062397139,1.88307525077806,2.21900601534352,-2.04268986279048,-0.501497569481897,0.269127668047512,2.70144978203851,-2.48001304822176,-1.31071172124948,-0.865768816887647,1.66103022517999,-3.53078335384687,0.757517163619266,0.920836442450504,2.33174785834496,-3099.89242940234
0.283892148272867,-0.220909775028237,0.250707772401588,-0.155053468813103,-0.0014423138001534,-0.151481233793747,-0.150621448101129,-0.418315015007002,-0.406069288501312,0.194614064018858,-0.0276950295064498,-0.337935301342481,-0.599141242953975,-0.639315387205495,0.822361969994241,1.15027834920835,-0.120429261324965,-0.694291801838407,0.0438209209365683,0.270590572854366,-0.313265880698699,0.886174506790231,0.0151350847172591,-0.861776456455858,-0.640185434611741,-0.904931946687759,-0.82028252779369,-0.734928678683912,0.0875796273215271,-0.586746197344837,-0.149450740092112,0.731352812509594,0.101011212463705,2.27662226147273,2.19116928229356,2.30585440082709,2.42813346875647,2.46236383755185,2.70965904873516,1.24927949978236,1.44772657201749,2.02559027370957,-3.6555278790959,0.548438901630569,0.683367959149105,2.80900388676014,-3.68949912659864,0.912399839194314,1.02874474060669,2.66080951959354,-3.79135223543759,0.777111239420522,1.3602502980248,2.78541071884557,-3.12712843061268,-0.872270403456546,-0.00322861791321707,2.93565952064914,-3.35740678327781,1.42231134940386,1.49537580564734,2.11819936380919,-3.34129959800652,1.02493753848717,2.03533686206843,2.24498721215915,-2.03039048575629,-0.500747554260579,0.272669058739962,2.7392798631035,-2.52200023116187,-1.38163988541712,-0.950932142444719,1.59884573483821,-3.63170523526013,0.815577892598492,0.971967177271846,2.35964539513914,-3072.99620068637
0.303484871300732,-0.253893593720667,0.245928035823459,-0.176360219679033,-0.0306082047846457,-0.169339348051216,-0.166585320995338,-0.457067404672937,-0.435275813784438,0.213081679723523,-0.0304197668445281,-0.383740666033626,-0.665914628819224,-0.762524809956061,0.810462150833522,1.14431919428548,-0.106974839641702,-0.692941283083859,0.0845177392725469,0.30262447460605,-0.289560348258664,0.831414055609938,0.105396900099297,-0.888972974013567,-0.644782331186308,-0.839770548038108,-0.727644291796418,-0.736577898042712,0.0472005329983139,-0.599534545898675,-0.170777424034602,0.743044892558927,0.09767432429691,2.37844565356543,2.28519965971239,2.40801847066173,2.55280396032609,2.53271697010061,2.79618601884219,1.2716938354859,1.4717650146238,2.11440248889863,-3.76792115357294,0.615632299683635,0.677386163954279,2.88225672127944,-3.79256863526606,0.948016760708693,1.10388881946603,2.72604858167919,-3.90416481244171,0.862316357053025,1.40487795178826,2.86647836658609,-3.22285857912704,-0.946434858860009,-0.0222032362449005,2.99668785881081,-3.47355202151249,1.35869540186312,1.71327224734883,2.14156115248758,-3.46848227822073,1.12174004466828,2.06934985949008,2.33114477905937,-2.01378243436629,-0.506490654033429,0.299719374574508,2.76300127784658,-2.57452048635691,-1.47837544888125,-0.99381509047619,1.52607990949169,-3.72035577596782,0.783272861783201,1.09165272849212,2.39364052443203,-3050.57814975568
0.30687103481882,-0.25739767010664,0.251448639909259,-0.180005626782518,-0.0298086291574908,-0.172754792433095,-0.170006982936132,-0.464126918569549,-0.440183101706794,0.216510697815765,-0.030598353256248,-0.390544651406039,-0.675830029537393,-0.77867755958228,0.806493518883082,1.14402262217639,-0.110716290463045,-0.691034903757107,0.0880947234960305,0.303886619672228,-0.287904209139494,0.829824279361746,0.122005272846688,-0.892760086796639,-0.645530112677283,-0.820619771225209,-0.700235394505476,-0.730910919767536,0.0375582947556871,-0.602441797676078,-0.175815844634228,0.744892543418406,0.0950154255872106,2.39543512920718,2.30193566643059,2.42590459031319,2.566639605086,2.54286593818329,2.80856279852705,1.2765756535158,1.47424477701968,2.12790309800452,-3.7852960068176,0.604630876305712,0.695702748340449,2.8961406663075,-3.80696641843285,0.97521770843127,1.09182514878651,2.73910193674,-3.92038941425129,0.874969634069448,1.41103120093396,2.88283884512416,-3.24308924866739,-0.964230269381114,-0.0231319345983508,3.00662686095488,-3.49332363122583,1.36023774692019,1.73010555474148,2.14996966197516,-3.49126131929076,1.1376462781623,2.06661739584175,2.35325930139861,-2.01003636563272,-0.509156582948019,0.309322148204769,2.76390783147227,-2.58564402586973,-1.49816982705612,-0.994341665740662,1.51101760676517,-3.73255332594883,0.775010158921258,1.10957276945067,2.40093789575494,-3043.01558613265
