"asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,-303.216991672398
0,0,0,0,0,0,0,0,0,0,0,0,0,-303.216991672398
0,0,0,0,0,0,0,0,0,0,0,0,0,-303.216991672398
0.0175999999555643,0.0448000000687898,0.159713619450486,0.0125963169921306,0.126818345870561,-0.00266666665993398,-0.0101333333986986,-0.0224000000343949,-0.052266666716605,-0.0277333332633134,-0.0154666666276171,0.0314666667691199,0.0346666666700912,-283.321501330655
0.10010437429343,-0.0360063712309882,0.285908760361594,0.00359048854760532,0.108846589187241,-0.0375993260300187,-0.0426460297239673,-0.0728725756049572,-0.0724232816615317,0.0503882993304706,-0.0230460995452813,-0.0603337740058005,-0.039453813517488,-278.593061607423
0.0644650007520934,-0.0292377193412729,0.344647381420377,-0.0526506015487374,0.0779639167152117,-0.0794417872981279,-0.0815095747134441,-0.1395394694754,-0.0819360532401999,0.14413963995927,-0.0256731628014346,-0.080880009197104,-0.0310882542080847,-276.807561751283
0.0794718744401901,-0.0388907100078161,0.239078386483825,-0.340620122024914,0.29540675547325,-0.314990870824908,-0.351801343367952,-0.564714291316228,-0.223957648817063,0.493113457654518,-0.117724685424528,-0.255119359774215,0.00588226083502338,-274.156757838315
0.122406543291042,-0.00556677445605532,0.242014063612267,-0.338934633624444,0.233953362864699,-0.36006994769118,-0.524498825638474,-0.669462832108053,-0.246179106977007,0.446800770377712,-0.183854594360887,-0.294133819556498,0.0572043869663639,-273.056853069016
0.208672788813908,0.154914666306607,0.32936586828046,-0.264094123175288,0.295509481817384,-0.355313013279389,-1.697847146593,-0.636159491531896,0.127156566178347,0.522611301428346,-0.121752600424101,-0.508552701095202,0.155089307214458,-270.94065840976
0.345723385201116,0.30096337461373,0.351214191318277,-0.208693175688836,0.179359412148657,-0.326892278084267,-2.81667849068412,-0.34225553606611,-0.34531010801203,0.744364380647555,0.0772130065857005,-0.296774450175559,-0.0585126584223326,-269.564776787605
0.366824473417262,0.274315277996779,0.427576854530065,-0.537048894045818,0.15480613300573,-0.332996619061915,-2.87345760220479,-0.33988744160255,-0.30725055962502,0.572845925720243,0.00504738553848685,-0.191049951895962,-0.245579586791278,-269.091627558448
0.386905231652398,0.250380846201598,0.450151509014689,-0.452504749581101,0.144876791360532,-0.336209600026117,-2.63963064104821,-0.4910769219483,-0.239233385008761,0.584697206539965,-0.0542685518979438,-0.191518280630459,-0.186930672157433,-268.13193553281
0.299554030712659,0.229162794306954,0.472072701521149,-0.42703363638834,0.145495427787255,-0.442021307581671,-2.40412574834466,-0.465288929152215,-0.296196810720689,0.516212999491501,-0.0642198123581846,-0.45040260271088,-0.0209007220399339,-267.85904187161
0.221682615574249,0.170477883029066,0.445997099141265,-0.268808923463097,0.174440377120579,-0.304789602842353,-2.21877518815135,-0.694188144557213,-0.217085188051804,0.557018291968249,-0.210909362256101,-0.41262219590532,-0.0268560309258757,-267.622667134728
0.278051447024552,0.15321109912549,0.441078565812523,-0.25286387840805,0.171352289491527,-0.410514771669746,-2.20126649174066,-0.719976944372823,-0.172272975453575,0.551545743700492,-0.144078580991258,-0.340395358955505,-0.00168861433671611,-267.566447121639
0.323090031017398,0.155695254749933,0.443095806512984,-0.287574207245238,0.161938422830715,-0.402496732174678,-2.22040011317022,-0.686096210070061,-0.175219240986462,0.568671937901886,-0.147031669771338,-0.331478747422553,0.0341151823060378,-267.530986778425
0.325135993563783,0.181793183365146,0.445780320860823,-0.304797935122188,0.158163010449197,-0.39677869403414,-2.2538914958816,-0.669694568064001,-0.190512761735536,0.561773321792517,-0.128144160091954,-0.34876277708376,0.0154358325007112,-267.500136238801
0.318729688900204,0.193441857751153,0.446773819944194,-0.304016275891582,0.159651407938984,-0.415326380444846,-2.27305572314837,-0.644490926190906,-0.193861493042152,0.565666792035295,-0.151373482243994,-0.352005420920238,-0.000687479596455629,-267.495374105936
0.306877835295982,0.176400894674803,0.452245090711848,-0.328163838069984,0.15766188149484,-0.392721034767305,-2.32808513125354,-0.629137949640173,-0.218281452290698,0.550535464317165,-0.123681624292027,-0.364344928178621,0.0030195582630225,-267.488412467244
0.327137719290208,0.209652210049724,0.448862979383227,-0.324848014398298,0.154617631616713,-0.39586923178198,-2.31107844523599,-0.636406174336153,-0.207978051892228,0.559079926189551,-0.12604027327174,-0.367691653522275,-0.00285998795528123,-267.485852895268
0.317859604420571,0.192413442710203,0.449572891049055,-0.320713190124316,0.15695926794946,-0.398819894032868,-2.31305702027227,-0.6374094424115,-0.207904397572004,0.557251493345517,-0.13029701560093,-0.362367030550923,0.00102411467443856,-267.485608656671
0.31989978051743,0.196462026000366,0.449527283267409,-0.322319870520146,0.156326919925015,-0.397657134570123,-2.31557602826566,-0.636677979130712,-0.208500644956596,0.557331575492124,-0.128695320475874,-0.364145000502157,0.000141523359070163,-267.485549823017
0.320049310676099,0.196693041137034,0.449509739889936,-0.322274041826253,0.156313382295918,-0.397704991463811,-2.31644874209707,-0.636765109773501,-0.208402629511949,0.557370565680466,-0.1287269816352,-0.364204716978958,0.000158235767208545,-267.485548223259
