"asc_ruta1","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","logLike"
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-248.817654200563
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-248.817654200563
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-248.817654200563
0.00112881925633701,0.0014366755822266,7.39140086807311e-05,-1.21415178000461e-05,-0.000881227681020391,-0.0730319827562198,-0.999683924666897,-0.00037975187660777,-0.00161491109065537,-0.000987655461358373,-2.81824031844735e-05,0.000304561968732742,0.0010639656065905,0.00123680639262602,-244.848889073818
0.119769878626957,0.168650288470628,0.00553568587013455,0.00737388538024244,-0.105859591600209,-0.0715749033047769,-0.960785832319375,-0.0109969192031938,-0.18503208169796,-0.0992243699211102,0.0290924180818788,0.0519824316244677,0.123036093998113,0.143458153455151,-235.374790461108
1.44404533432466,0.217074976975224,0.0249837902755457,0.157623770116623,-0.491674522821818,-0.0671924284505279,-0.69783313549566,-0.0791367272358482,-0.468500537434714,-0.554015777188125,0.248951079086896,0.336086553151022,0.0275222802032872,0.176448254704267,-233.104456874856
1.18656599358037,0.252747249516562,0.123676595889454,0.420202669700752,-0.0578968176337914,-0.0677062832075052,-0.255669259647157,-0.330913597020308,-0.850124195781281,-1.13837004781287,0.686005470816019,0.953106204000378,-0.442748051245291,0.0905178345406343,-231.717512073445
1.04203533282741,0.332693327581993,0.271720455342793,0.289615281939292,-0.18998828529373,-0.0669579305449962,-0.142480399345693,-0.65775230078928,-0.964979838154591,-0.71826217512714,0.492297798140235,1.25161082029956,-0.683785013469869,0.116747876213456,-227.399654181067
0.853117327935737,0.425577215356615,0.528527495973171,0.101178678563065,-0.302078521851876,-0.0629298055495258,-0.360174139706692,-1.18538087863103,-0.555974734967386,-0.813368968500163,0.169181992156605,0.989035066067451,-0.421037627630478,0.117935739667552,-222.254781127073
0.864292365747256,0.556022422670124,0.759032120441063,0.448714637237363,-0.118673524290745,-0.0617208192670676,-0.545591037427703,-1.68096424310648,-0.405899883486056,-0.370569078295309,0.455509680768108,0.408148615010436,-0.0583526077409838,0.106506218889109,-222.236768632634
0.882462540796862,0.512215425218125,0.858683362043706,0.248495445855232,-0.0797773690120308,-0.0604925304453292,-0.608564586430472,-1.7834068756075,-0.545696198183997,-0.391512627652464,0.466356766984221,0.290210160810273,-0.123534218628068,0.0811928209969036,-221.699835604109
0.837794523308079,0.406923916698106,1.01158109249647,0.296868628843741,-0.213277087610093,-0.0582657611696828,-0.652555062449683,-1.93385598771723,-0.676169503443413,-0.522988195417764,0.234642741484361,0.307613690369646,-0.272844548555681,0.0910337383831525,-221.002462136773
0.840125734865563,0.341198828722405,1.21230637641539,0.17410184660027,-0.26174262426981,-0.0569827620329664,-0.584820638574216,-2.09550645036906,-0.522585393490908,-0.595636208763988,0.15833715254096,0.665208801602922,-0.226121731564592,0.171308314979205,-220.314309759807
0.817708093350964,0.365786578341113,1.26705032291251,0.167976297533905,-0.319885751355663,-0.0567934013254774,-0.528282635869001,-2.12162686595409,-0.504753203469933,-0.599541017773481,0.197863436334698,0.644510956346043,-0.224938933554003,0.124937661164721,-220.27176329585
0.878095518381217,0.616603009256364,1.69116038798763,0.240060109541256,-0.190029413455529,-0.0538794426993637,-0.440701416303194,-2.28263166775516,-0.454525844808209,-0.574776885596866,0.176049521559212,0.529865228402316,-0.26760782962039,0.0130221673366242,-220.246369293096
0.878146168288748,0.644590799489207,1.83098800685206,0.268154810706879,-0.204974992446106,-0.0532281732567164,-0.531429463133758,-2.32824176588443,-0.444665837072479,-0.572146987598413,0.235375741567549,0.533994210873326,-0.297121245906234,0.0161350882360357,-220.159395183539
0.83706983856862,0.248500921740735,2.14335425833742,0.286592306607859,-0.276794868196826,-0.0511386088466933,-0.579075167498171,-2.38793500823386,-0.557441962037185,-0.570226693524455,0.269504906000932,0.586109282854891,-0.150119844220343,0.166632956751658,-220.048985357168
0.842085524615753,0.402153902725237,2.31598079152779,0.272354262354066,-0.292335661587843,-0.0495397651431675,-0.564170742296386,-2.37601518737964,-0.485884457705414,-0.58937959558342,0.240820804948599,0.592877953923774,-0.249558652261297,0.14311146219344,-219.953025327417
0.845764296173265,0.444992501042588,2.40013063622269,0.277532795640011,-0.289829473611139,-0.0487133194235203,-0.578917215389497,-2.36893270472699,-0.490988979322216,-0.590911121495705,0.225251658421261,0.614721473991285,-0.240142789768184,0.0771872217254016,-219.930713556526
0.856290400050713,0.48086026672429,2.77315039000722,0.308996123860668,-0.275243316029672,-0.044802990984978,-0.558594111414247,-2.34118718930293,-0.477908960265648,-0.589150812033475,0.228158951546359,0.593060117628037,-0.255785918608256,0.072549257320688,-219.861193747169
0.857427658569668,0.462509307066569,3.35060506650511,0.345889117702391,-0.280062996414063,-0.0364086850536279,-0.542900678278157,-2.2394277788317,-0.476617295799988,-0.587578733869525,0.227449921719298,0.588326852167269,-0.253924237049172,0.0843028616440039,-219.759767265942
0.856037002412552,0.426114887902713,3.83307416064721,0.377469944457574,-0.282939193731203,-0.0240605249158346,-0.533182173033982,-2.09237640568987,-0.483902047615814,-0.582419508046365,0.230532838986586,0.584808960032081,-0.241251763179267,0.0972233360758272,-219.631829521435
