"","asc_real","b_t","b_d","alpha"
"asc_real",1,-0.345817598121141,0.521925152861081,0.607326718020003
"b_t",-0.345817598121141,1,-0.270851407814232,-0.174473653078092
"b_d",0.521925152861081,-0.270851407814232,1,-0.0143726358777902
"alpha",0.607326718020003,-0.174473653078092,-0.0143726358777902,1
