"","asc_Op2","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_PANEL1","b_ZER1","lambda1","lambda2","lambda3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_Op2",-39.1082721762359,-42.2915036324412,-9.54969436861575,11.3686837721616,-5.91171556152403,1.36424205265939,0,-1.36424205265939,-3.18323145620525,0,-1.81898940354586,-1.36424205265939,-1.36424205265939,-21.8278728425503,0,0,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0.909494701772928,0.909494701772928,0,0,0,0,0,0.454747350886464,0,0,0.454747350886464,0,0,0,0,0,0,0,0,0,-0.454747350886464,0,0,0,0,0,0,0,0.454747350886464,0,0,0,0,0.454747350886464,0,0,0,0,0.454747350886464,0.454747350886464,0,0,0
"b_tt",-42.2915036324412,-2170.96385313198,-69.576344685629,-13.1876731757075,-6.82121026329696,-29.1038304567337,-14.5519152283669,3.63797880709171,-8.18545231595635,0.454747350886464,-14.5519152283669,-14.5519152283669,-1.81898940354586,128.238752949983,0.909494701772928,0.454747350886464,0.454747350886464,-0.454747350886464,0.454747350886464,0,-3.18323145620525,-4.09272615797818,-7.73070496506989,0,-0.454747350886464,0,0,0,0,0,0,0.454747350886464,-0.454747350886464,0,0.454747350886464,0.454747350886464,-0.454747350886464,0,0,0,1.36424205265939,0.454747350886464,0,0,0.454747350886464,0,0,0,-0.909494701772928,-0.909494701772928,-0.909494701772928,0,-0.454747350886464,-0.454747350886464,-0.909494701772928,-0.909494701772928,0,-0.454747350886464,-0.909494701772928,-1.81898940354586,0,0,0,0
"b_dt",-9.54969436861575,-69.576344685629,-69.576344685629,11.8234311230481,-8.18545231595635,20.9183781407773,-1.36424205265939,0,-4.54747350886464,0,-2.72848410531878,-6.3664629124105,-2.27373675443232,-27.2848410531878,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0,0.909494701772928,0.909494701772928,0.454747350886464,0,0,0,0,0,0.454747350886464,0,0,0.454747350886464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454747350886464,0,0,0,0,0.454747350886464,0,0,0,0,0.454747350886464,0.454747350886464,0,0,0
"b_CongAB",11.3686837721616,-13.1876731757075,11.8234311230481,-35.0155460182577,17.2803993336856,-7.73070496506989,-0.909494701772928,0.909494701772928,1.81898940354586,0,-0.454747350886464,5.00222085975111,7.73070496506989,34.5607986673713,0.454747350886464,0,0,0,0,0,-1.36424205265939,-1.81898940354586,-0.909494701772928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454747350886464,0,0,0,0,0,0,0,-0.454747350886464,-0.454747350886464,-0.454747350886464,0,-0.454747350886464,-0.454747350886464,-0.454747350886464,-0.454747350886464,0,-0.454747350886464,-0.454747350886464,-0.454747350886464,0,0,0,0
"b_CongCD",-5.91171556152403,-6.82121026329696,-8.18545231595635,17.2803993336856,-29.5585778076202,4.09272615797818,0.909494701772928,-0.454747350886464,0,-0.454747350886464,-1.36424205265939,-0.454747350886464,-4.54747350886464,-16.8256519827992,0,0,0,0,0,-0.454747350886464,0,0.454747350886464,0.454747350886464,0,0,0,-0.454747350886464,0,0,0,0,0,0,-0.454747350886464,0,0,0,0,-0.454747350886464,0,0,-0.454747350886464,0,-0.454747350886464,0,0,-0.454747350886464,0,0,0,0,0,0,0,0,0,-0.454747350886464,0,0,0,0,0,0,0
"b_Sem",1.36424205265939,-29.1038304567337,20.9183781407773,-7.73070496506989,4.09272615797818,-42.2915036324412,-1.81898940354586,0,0.454747350886464,0,0.909494701772928,4.54747350886464,2.72848410531878,15.0066625792533,0.454747350886464,0,0,0,0.454747350886464,0,-0.454747350886464,-0.909494701772928,-0.454747350886464,0,0,0,0,0,0,0,0,0.454747350886464,0,0,0,0,0,0,0,0,0.454747350886464,0,0,0,0,0,0,0,0,0,-0.454747350886464,0,0,0,0,0,0,0,-0.454747350886464,0,0,0,0,0
"b_ACC_1",0,-14.5519152283669,-1.36424205265939,-0.909494701772928,0.909494701772928,-1.81898940354586,-11.3686837721616,0.454747350886464,-1.36424205265939,0,-0.454747350886464,1.81898940354586,1.36424205265939,0,0,0,0,0,0,-0.454747350886464,-0.454747350886464,-0.454747350886464,-0.454747350886464,0,0,0,-0.454747350886464,0,0,0,0,0,0,-0.454747350886464,0,0,0,0,-0.454747350886464,0,0,-0.454747350886464,0,-0.454747350886464,0,0,-0.454747350886464,0,0,0,-0.454747350886464,0,0,0,0,0,-0.454747350886464,-0.454747350886464,-0.454747350886464,0,0,0,0,0
"b_ACC_2",-1.36424205265939,3.63797880709171,0,0.909494701772928,-0.454747350886464,0,0.454747350886464,-1.81898940354586,0,0,0,0.909494701772928,1.36424205265939,-0.909494701772928,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0,0,0.454747350886464,0,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0,0,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464
"b_SI_CAMFD",-3.18323145620525,-8.18545231595635,-4.54747350886464,1.81898940354586,0,0.454747350886464,-1.36424205265939,0,-12.732925824821,-0.454747350886464,1.36424205265939,-2.27373675443232,-2.72848410531878,-6.3664629124105,0,0,0,0,0,-0.454747350886464,0,0,0,0,0,0,-0.454747350886464,0,0,0,0,0,0,-0.454747350886464,0,0,0,0,-0.454747350886464,0,0,-0.454747350886464,0,-0.454747350886464,0,0,-0.454747350886464,0,0,0,-0.454747350886464,0,0,0,0,0,-0.454747350886464,-0.454747350886464,0,0,0,0,0,0
"b_PANEL1",0,0.454747350886464,0,0,-0.454747350886464,0,0,0,-0.454747350886464,-2.72848410531878,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0,-0.454747350886464,0,0,0,0,0,0,0,0,0,0,0.454747350886464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
