"asc1","log_tt_a_mu","log_tt_b_mu","log_tt_a_sig","log_tt_b_sig","tc_a","tc_b","hw_a","hw_b","ch_a","ch_b","delta_a_mu","delta_a_sig","gamma_commute_a","gamma_car_av_a","logLike"
0,-3,-3,0.2,0.1,0,0,-0.0396,-0.0479,-0.7624,-2.1725,0.0329,0.0329,0,0,-1698.57489288138
0,-3,-3,0.2,0.1,0,0,-0.0396,-0.0479,-0.7624,-2.1725,0.0329,0.0329,0,0,-1698.57489288138
0,-3,-3,0.2,0.1,0,0,-0.0396,-0.0479,-0.7624,-2.1725,0.0329,0.0329,0,0,-1698.57489288138
-0.000148202295531519,-3.00082918461994,-3.00049750068574,0.201070946422988,0.100203813306871,-0.0118916376726702,-0.00678336812998168,-0.0317067925693933,-0.0462506594406208,-0.762054858859139,-2.17271603063797,0.0328772867042338,0.0329005522975698,-4.00289427489042e-06,3.17599013214931e-05,-1683.10719267645
-0.00278967817357779,-3.01607112841702,-3.00887721000195,0.220809959220915,0.103544861718867,-0.229118407850418,-0.120597233234747,-0.0284770993875745,-0.073582002434467,-0.753850866362276,-2.17638514988237,0.0327929518648561,0.0329113605846938,-0.000149122314954268,0.000698649397411149,-1656.82316626441
-0.00496110148365353,-2.99835246528939,-3.00024320407342,0.264271972791501,0.111172921574682,-0.25439110915178,-0.109411314783234,-0.0444252155754699,-0.0318780588935257,-0.740430755534156,-2.17861714342357,0.0327778418086333,0.0329408972254193,-0.00115554208877101,0.000677023751298343,-1652.93653214028
-0.0118285752837151,-2.94482001780501,-2.96888096813191,0.392491827441027,0.136052706859894,-0.317682971402774,-0.0410634088853176,-0.04553011438739,-0.0153368361795996,-0.70222897304949,-2.18070391913067,0.0320184886786736,0.0330241153750059,-0.0034617671338556,0.0006461626490264,-1641.17915450403
-0.0470115182650656,-2.58712202257796,-2.8366247811927,1.1446652930006,0.262880868451347,-0.391778525243925,-0.0777724609878945,-0.0396137335373585,-0.0280789476713224,-0.529895664853215,-2.22016008653177,0.0384858774566795,0.0335789024684231,-0.0188330824919748,-0.00067814236815458,-1562.9019827679
0.0129565591370799,-2.52164656868857,-2.68825404722981,1.16545776983308,0.475543026810339,-0.404542703903802,-0.0942943374819678,-0.0432812253657085,-0.0255042330205341,-0.613222667790776,-2.30073827297617,-0.098222967202448,0.0342418038131041,-0.064893272446285,-0.0349580170235505,-1552.94589415851
-0.00759025734093068,-2.50817690411725,-2.63135916430139,1.15502531797961,0.574776671926719,-0.403701411858188,-0.104704922567066,-0.0435018585598291,-0.0263584035241763,-0.581043653622392,-2.35936595539464,-0.151044157189552,0.0345486839430085,-0.0837407243414763,-0.0444104502673212,-1549.15698697597
0.0899257879640081,-2.47900456226934,-2.5632258342101,1.14079070945675,0.627670143012091,-0.403110864116042,-0.113252519135954,-0.0399697828816831,-0.034182922386584,-0.459206766278411,-2.59021154851864,-0.338198676113441,0.0356045661301502,-0.157542697350279,-0.0768469798438951,-1545.34709569317
0.0331497544380128,-2.47035450182657,-2.49561691596004,1.14236471992033,0.574720926433003,-0.403471427869369,-0.118862271296279,-0.0396459081445991,-0.0357501376711489,-0.455271053844558,-2.65305737775055,-0.468850455997173,0.0366762997554687,-0.213277770926455,-0.0858014854268511,-1543.8083895765
0.0426031590495347,-2.48441857476295,-2.4018006776064,1.13488373548544,0.540483962083385,-0.397409290393625,-0.135347751944396,-0.0396101510921073,-0.0360270424649717,-0.410000003624483,-2.62438517198265,-0.536158278423097,0.0387198320258273,-0.251018424677599,-0.0584947862622583,-1542.27350457743
0.0583031333954827,-2.59334854495716,-2.43720008649518,1.1692710715662,0.58200185585083,-0.366597305464264,-0.157789918787312,-0.0393045482033933,-0.0382548709790051,-0.315758822334951,-2.43957185843237,-0.815198686653189,0.0541654477268153,-0.465007274181977,0.106985217187403,-1536.93189715141
0.0508946989628708,-2.44108932532891,-2.44483853703045,1.06707523039356,0.5756280798571,-0.373390476823431,-0.164573606978198,-0.0381292158948311,-0.0408660133776044,-0.275256292778689,-2.32661497409669,-0.842945170017074,0.104422231745319,-0.682219176712179,0.217251097784852,-1531.23096857353
0.048981261661745,-2.51231290532308,-2.42594929332545,1.07025983825848,0.571279858024907,-0.354426926885215,-0.177579533328263,-0.0376026279380435,-0.0428467220769069,-0.23989914710328,-2.20874872521166,-0.870713070530098,0.204575818201419,-0.693253142877741,0.0183731981128455,-1526.73935423377
0.00484666456733722,-3.07770469781584,-2.19777386717035,1.27640000878786,0.534548847139731,-0.284396244442962,-0.17602168627336,-0.036717132908542,-0.0492704121769227,-0.497473926199142,-2.48560194886368,-0.741405868318165,0.916132962145779,-0.234184829520613,0.466632459962858,-1522.361971713
-0.015541396462757,-2.81446543608448,-2.29475089666389,1.13107508258614,0.532763604171461,-0.294679904800305,-0.19039593876273,-0.0373348838135388,-0.0501618958672174,-0.390791762652484,-2.26264945486155,-1.11556682934178,1.64166281222771,0.215704840125714,0.579272827183329,-1518.73285517168
-0.0210449473414741,-2.78594574816853,-2.27886436002907,1.01269610759921,0.601012508350459,-0.295048516192389,-0.19787850220484,-0.0302966346753458,-0.059926117392323,-0.327222670972592,-2.22764396491879,-0.801799662985595,2.0262816308587,-0.927465990390159,0.0169242713951344,-1517.19705450048
-0.0490625977184766,-2.46292443389925,-2.3399205109331,0.790110408685185,0.620301201957858,-0.332987677998757,-0.179890557756373,-0.0312002124453507,-0.0593059555566359,-0.482871853143265,-2.48160209663716,-0.648875344963888,0.915627328053072,-0.146649743500022,-0.333780001338518,-1516.46480426842
