"","asc1","log_tt_a_mu","log_tt_b_mu","log_tt_a_sig","log_tt_b_sig","tc_a","tc_b","hw_a","hw_b","ch_a","ch_b","delta_a_mu","delta_a_sig","gamma_commute_a","gamma_car_av_a"
"asc1",0.00285013424623137,-0.000122207130142844,0.000113809474577343,-8.81062887982964e-05,4.68996105908625e-05,0.000138092043989113,-2.60712849270886e-05,5.38101194933959e-06,-1.36654242850893e-06,6.36167707330373e-05,-3.51949924990799e-05,0.00312442371898204,-0.00551791170901341,-0.00124100306011506,0.00123093251155275
"log_tt_a_mu",-0.000122207130142844,0.0407536977753943,-0.00515675086152747,-0.00503613531271417,0.000309699714845938,-0.0393645935133725,0.000708842177888605,-0.000469521151819203,4.73245238446612e-05,-0.0104361882452383,0.00768744042941194,-0.00600090220329046,-0.00927289599953535,0.0206950288251203,-0.00612240294169448
"log_tt_b_mu",0.000113809474577343,-0.00515675086152747,0.0127142397301181,0.000186001742980112,-0.00433453435037327,0.00500473838775168,-0.00171534873100474,9.3042851478955e-05,-9.32933954885739e-05,0.00247934913574368,-0.00441715651259524,-0.00168145662988607,0.00481506635665982,-0.00441109287154274,0.000925549963638492
"log_tt_a_sig",-8.81062887982964e-05,-0.00503613531271417,0.000186001742980112,0.00727089382253719,-0.000863541441119313,0.00280729832424142,-8.7386253943139e-05,-6.52887341667772e-05,5.69186307454133e-06,0.000961964397989918,-0.000647054501109339,0.00234308934609699,-0.00133019627272501,-0.00452032826493607,0.00273471591311183
"log_tt_b_sig",4.68996105908625e-05,0.000309699714845938,-0.00433453435037327,-0.000863541441119313,0.00553983482431393,-0.000151225002165241,0.000465793141232415,-2.53790998498014e-06,-1.16295452523809e-05,-0.00040713832145511,-8.65941052870629e-05,0.00209677008593098,-0.00421144346371322,0.00139553596049528,-0.000295450176704674
"tc_a",0.000138092043989113,-0.0393645935133725,0.00500473838775168,0.00280729832424142,-0.000151225002165241,0.0509209642461059,-0.000663363370830657,0.000640040218578588,-8.77786385909236e-05,0.0121843075096443,-0.0116051465289538,0.0319074517788763,-0.00553636332110899,-0.0362609666345506,0.0102971340538934
"tc_b",-2.60712849270886e-05,0.000708842177888605,-0.00171534873100474,-8.7386253943139e-05,0.000465793141232415,-0.000663363370830657,0.000520735391206047,-1.49968869733028e-05,1.71297290164499e-05,-0.000810725302072362,0.00064962308203896,0.00261704402110857,-0.00224429203502582,0.000333436558812735,-0.000415124955013782
"hw_a",5.38101194933959e-06,-0.000469521151819203,9.3042851478955e-05,-6.52887341667772e-05,-2.53790998498014e-06,0.000640040218578588,-1.49968869733028e-05,5.07770255840415e-05,-1.08509197290467e-05,0.000366142075821779,-0.000129775621358006,-0.000959549581232034,0.00179796595664789,-0.000781268585429967,-0.000421963558671889
"hw_b",-1.36654242850893e-06,4.73245238446612e-05,-9.32933954885739e-05,5.69186307454133e-06,-1.16295452523809e-05,-8.77786385909236e-05,1.71297290164499e-05,-1.08509197290467e-05,1.40361213806064e-05,-5.32807272749847e-05,0.000148635209862323,0.000280930794660882,-0.000775272355845201,0.000227734021981082,0.000333058716572052
"ch_a",6.36167707330373e-05,-0.0104361882452383,0.00247934913574368,0.000961964397989918,-0.00040713832145511,0.0121843075096443,-0.000810725302072362,0.000366142075821779,-5.32807272749847e-05,0.0246997953626406,-0.00332966540893989,-0.0440620325260257,0.0390505950053115,-0.0226843826113087,0.00922674852723928
"ch_b",-3.51949924990799e-05,0.00768744042941194,-0.00441715651259524,-0.000647054501109339,-8.65941052870629e-05,-0.0116051465289538,0.00064962308203896,-0.000129775621358006,0.000148635209862323,-0.00332966540893989,0.0114163883722909,-0.0172752410771519,0.00203937319199927,0.0128326106933896,-0.00458809787339578
"delta_a_mu",0.00312442371898204,-0.00600090220329046,-0.00168145662988607,0.00234308934609699,0.00209677008593098,0.0319074517788763,0.00261704402110857,-0.000959549581232034,0.000280930794660882,-0.0440620325260257,-0.0172752410771519,-2.99769950966804,5.17526979178541,1.35932493654489,-0.788904876414943
"delta_a_sig",-0.00551791170901341,-0.00927289599953535,0.00481506635665982,-0.00133019627272501,-0.00421144346371322,-0.00553636332110899,-0.00224429203502582,0.00179796595664789,-0.000775272355845201,0.0390505950053115,0.00203937319199927,5.17526979178541,-8.16472493396376,-2.41643585116111,0.962866774536605
"gamma_commute_a",-0.00124100306011506,0.0206950288251203,-0.00441109287154274,-0.00452032826493607,0.00139553596049528,-0.0362609666345506,0.000333436558812735,-0.000781268585429967,0.000227734021981082,-0.0226843826113087,0.0128326106933896,1.35932493654489,-2.41643585116111,-0.0651196325950374,0.299794935215268
"gamma_car_av_a",0.00123093251155275,-0.00612240294169448,0.000925549963638492,0.00273471591311183,-0.000295450176704674,0.0102971340538934,-0.000415124955013782,-0.000421963558671889,0.000333058716572052,0.00922674852723928,-0.00458809787339578,-0.788904876414943,0.962866774536605,0.299794935215268,0.343266938022631
