"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4"
"lambda",3.24144982792037e-15,4.94689043197229e-15,4.56269829261858e-15,-2.21813773513997e-14,3.28089780511053e-15,-1.40418958613739e-15,-1.34844335229816e-15,3.6337864618581e-16,1.71885286714179e-14,6.47597728430499e-15,2.15608594035166e-16,-1.6839409377099e-16,3.48591688164733e-16,-2.8653459505811e-17,1.57958935656483e-16,-4.48621561857257e-17,-6.24339599352491e-16,0,2.47389848124241e-15,-3.443861081326e-15,1.3994660425724e-17,-4.29037019570398e-09,-1.37478323022357e-14,7.78517932609875e-15,-1.70406963864898e-14,-9.61385828390092e-15,1.11199494943663e-15,9.99288835101103e-15,-1.95365177408607e-14,-1.52429543045957e-15,-1.64192462577117e-15,2.02939955886677e-14,1.86155792059932e-16,-1.72905029130551e-15,6.14468067643205e-16,-3.59390647753163e-16,-4.56325894179016e-15,-8.27014969747755e-14,8.70416341363544e-16,-3.72849654226309e-15,4.07355935387727e-15,-2.05420618994878e-15
"gamma_EDUBASICA",-3.58513529724751e-09,1.95659909692894e-10,2.24459880249548e-09,6.27407054469746e-09,3.22940204144169e-11,3.11064144724099e-11,5.61319495039383e-08,2.21812638394e-09,4.58338937223982e-08,1.37234610155225e-08,3.24357824030433e-09,1.28860828472094e-11,-2.2288267521499e-14,9.72518856947437e-09,1.16387534613928e-08,3.78265619778207e-09,1.49733198879525e-11,2.47389848124241e-15,-173.321184810997,-131.811651221091,-24.5080290642327,-129.078157514097,-5.49032847120713,-1.341612264602,-5.24861300877654,1.2144570314089,5.46449728659062,3.31014281427721,1.40319334437657,1.0094231320437,5.95948185620501,2.31029209683361,0.495287030620028,0.336401150444007,5.21619113889888,2.29149328109677,0.97632361932201,0.940988517330828,5.84900475449963,3.24151593494771,1.68607673818782,0.787233306149503
"gamma_CSECO",-3.59517848083034e-12,1.91411848158568e-14,1.05512958386317e-14,5.93556380890738e-08,1.98746794481621e-08,9.56226190442725e-09,4.07913150853388e-08,2.09843011777988e-08,2.16803238857949e-07,1.29833771016833e-07,3.11250356184316e-08,7.91170262572065e-09,-2.97791840904219e-15,9.9541524153878e-08,1.68470908521615e-13,2.97754270614759e-09,1.17752100214801e-11,-3.443861081326e-15,-131.811651221091,-255.830109105163,-47.1928601955605,-200.562434739078,-8.34976123805212,-4.59834891286878,-9.18690387406137,2.60426093052354,7.43090775209062,5.24882988499665,2.1858783267183,1.34008517949787,8.65831856648998,3.82211905903484,0.918605189525728,0.791730584482587,7.12391058345322,3.34641807245888,1.64360285310118,1.74674124222232,8.09667761614573,4.36377028310516,3.26397487595358,1.2579894179416
"gamma_CONG_EF",-2.04988890933694e-10,2.15276645226339e-12,7.82324278258491e-10,6.71857211007722e-11,1.61561789558501e-08,1.08316932424626e-11,4.63729963795693e-11,1.8558831396864e-08,2.07718683170844e-07,1.14826462838564e-07,2.75626272389427e-08,-5.74696660621945e-10,-4.0307535953084e-10,6.77912727329408e-09,6.28910494571879e-11,1.22562451553392e-13,-6.57450388153806e-10,1.3994660425724e-17,-24.5080290642327,-47.1928601955605,-58.5425423406682,-47.9121088340014,-2.69719428273364,-2.54129856730568,-3.87978097478562,-0.15570530521104,1.27359950959578,1.06230846232289,0.695708264087654,0.39352747637558,1.34483409814389,0.907468596262729,0.378614804817898,0.483809952247299,1.28262926284811,1.00581175287906,0.538579684193974,0.875434591592943,1.08498202126702,0.690372370473692,0.843821333977611,0.461133593701036
"gamma_SININFO",-2.76354742156103e-09,-1.83605730217861e-09,-1.05458179966953e-08,-5.80495649493695e-08,9.90521851600932e-14,1.20577546899916e-11,-3.98423364206529e-08,9.18117681741794e-14,2.72774033421488e-10,1.04161845932244e-08,-3.04790737883135e-08,6.29672714495503e-14,-5.51281560763343e-09,7.4965237127834e-09,-5.418845197356e-08,-3.26272280569994e-08,-8.99217455242767e-09,-4.29037019570398e-09,-129.078157514097,-200.562434739078,-47.9121088340014,-239.311688511401,-6.20397969694871,-2.30777799602867,-5.76158422180388,4.76005672996368,7.68766259806974,5.27975394288538,1.83411864635626,0.493941133046555,8.76101535470777,3.58066127738197,0.77717114906997,0.514845798447015,7.3605603033823,3.26744183145354,1.22695097498848,0.612081846344174,8.58592096360637,4.28449307096908,3.03917482734381,0.753466336034155
"zeta_FRbr",-1.31558319051988e-10,-8.07788768736545e-11,-4.25916786693802e-10,2.12571582676037e-10,-6.17732129984769e-14,3.4245886593924e-11,4.37090252350469e-12,-6.5694701266929e-14,7.76458153446432e-10,6.75414509993704e-12,-9.76254357612108e-14,-2.48555987558305e-14,-2.62772591566374e-10,9.84395486992917e-12,-2.19134102177931e-09,-1.5637527537121e-09,-4.28114468629445e-10,-1.37478323022357e-14,-5.49032847120713,-8.34976123805212,-2.69719428273364,-6.20397969694871,-24.8527022178497,8.92403380579742,10.9065277861252,6.39337746391097,-2.44323835660675,6.83256873499259,8.0048391302741,4.11584926758596,-0.389355939384077,-3.31574374412414,-2.11425701832841,-1.08276202597091,0.172072117798743,-4.02377363764179,-3.08340892668871,-1.14196129413074,0.432398993658354,-1.10091436579448,-2.57523422535312,-1.38162397971795
"zeta_EnfCond",-2.31446550275043e-10,-1.41335488719556e-10,-8.1076073444505e-10,-4.45661071894888e-09,3.64394370455895e-14,1.02039092471566e-12,-3.05842611577304e-09,1.41039114229803e-10,1.47986971686709e-09,8.86226650295586e-10,5.53800396467108e-14,1.40008129738498e-14,-4.62289753146886e-10,6.37663566467479e-10,-4.17134502585071e-09,-2.73253011125796e-09,-7.53095696993319e-10,7.78517932609875e-15,-1.341612264602,-4.59834891286878,-2.54129856730568,-2.30777799602867,8.92403380579742,-48.0782605508322,8.29977334342906,6.00860345864055,0.596450208119253,-2.70102651598899,-2.69672352272421,-1.54696321421046,-3.2988733154865,15.0174917766991,10.2881581610134,5.91693548090447,0.343977799261796,-2.56581938896058,-2.38340564492003,-0.96230026955818,0.999911628263894,-0.773907331573772,-1.81386457336928,-1.16735504686222
"zeta_AFrSem",-1.02488698064894e-10,-6.25866183612661e-11,6.41173570882117e-11,1.79105267654004e-10,-7.68041384459549e-14,2.88543667230577e-11,1.23094642063167e-10,-6.97695784688803e-10,6.54216052528446e-10,3.91780226371544e-10,-1.13034879748366e-09,-3.07972566237738e-14,-2.04710222581774e-10,2.77626197163813e-10,-1.84716790623183e-09,-1.2100274351587e-09,3.92087934265101e-13,-1.70406963864898e-14,-5.24861300877654,-9.18690387406137,-3.87978097478562,-5.76158422180388,10.9065277861252,8.29977334342906,-18.7653756372972,5.26249489313135,0.451584573309003,-2.84188522619834,-4.13824596956995,-1.7216436105795,-0.0692751222312026,-2.54607725295827,-1.94754791673231,-1.07107864606351,-1.21879990564037,5.96870012253283,4.88149487197959,2.38072745040901,0.302057410133366,-0.665069069679601,-2.10189556851081,-1.37754060564136
"zeta_CulFr",-3.14646167607494e-15,1.96267090028524e-11,1.10835835913791e-10,6.1007024901162e-10,-4.18955876412449e-14,9.98200911747709e-11,4.25839103739897e-10,2.15695215666458e-10,2.26332798804972e-09,1.33448633871674e-09,3.9006793263761e-09,-1.36613432217287e-14,-1.21867413303084e-14,9.60432521245972e-10,5.79175245074907e-10,3.7356333055312e-10,1.46275447175244e-12,-9.61385828390092e-15,1.2144570314089,2.60426093052354,-0.15570530521104,4.76005672996368,6.39337746391097,6.00860345864055,5.26249489313135,-65.6708905210866,1.08626371158222,-2.08857115514691,-1.78391043421546,-1.06062934954231,1.42996977911693,-1.53130686311646,-1.22394905659172,-0.656754203007467,0.698883932584463,-1.62224502490815,-1.51248333551042,-0.608457603038899,-16.3439110879033,6.95613660012403,19.784616709763,12.6080324945686
"tau_FRbr_1",2.24071814166071e-15,6.09931853215908e-13,-2.81912053714427e-15,-8.21743223120576e-15,4.59092183930233e-09,3.08112571799812e-12,1.31093711060642e-11,-1.44170997983092e-14,5.45551700306525e-08,3.26288315803155e-08,-6.52541893358877e-10,1.83141553223331e-15,-1.53297275050786e-09,2.9571187052728e-11,1.78850372768064e-11,-9.8826425565209e-09,-1.86826599907789e-10,1.11199494943663e-15,5.46449728659062,7.43090775209062,1.27359950959578,7.68766259806974,-2.44323835660675,0.596450208119253,0.451584573309003,1.08626371158222,-13.5895855603453,1.20312038567386,-2.31021606166158e-13,-1.84154102621935e-15,4.01629470827917,0.763496645805613,0.0230114595477764,0.000672413656516846,5.22200723710624,0.295393208034742,0.00519935387703304,7.52172841358504e-06,2.00138320603076,1.97819099642713,0.705683021052341,0.0365886663419092
