"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ruta1",-0.600084964808651,0.470352957650177,-1.27581841476367,0.503121648111356,-1.19272340409378
"asc_ruta2",-1.59247119137052,0.48453174800525,-3.28661888086077,0.512467020967419,-3.10746082423862
"asc_ruta3",-2.2909417313445,0.505207656054506,-4.53465362982807,0.517725749415902,-4.42501021811091
"asc_rutaEC",0,NA,NA,NA,NA
"b_time",0.0813530800089511,0.0258804400985478,3.14341949747276,0.034760387906143,2.3403962069875
"b_dist",-0.175864752085368,0.0967088280596251,-1.81849739691748,0.09097847121085,-1.93303701133631
"b_cong",0.0303161201254451,0.079460147731231,0.38152609818934,0.0821325746890184,0.369112014815463
"b_CSECO",0.142060486164346,0.336334000827518,0.422379199887076,0.350352330540492,0.405478924444967
"b_CLLUVIA",0,NA,NA,NA,NA
"b_Hpico",0,NA,NA,NA,NA
"b_Hvalle",-0.0744019303137226,0.260008641195225,-0.286151760078845,0.25494640937806,-0.291833607287216
"b_Joven30",-0.997701614052276,0.592987889274508,-1.68249914053543,0.580533413914421,-1.71859464096127
"b_Adulto40",-0.349870639716458,0.418958422676248,-0.835096326460113,0.426869788805489,-0.819619117800541
"b_Adulto60",-0.505271047740897,0.38287219967249,-1.3196859113122,0.392280636029171,-1.28803463983199
"b_AdultoMayor",0,NA,NA,NA,NA
