"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60"
"asc_ruta1",0.22123190477027,0.206303475699876,0.202585541302635,0.00253800141546791,-0.00841265036851195,-0.000854869475628678,0.0957991782135788,0.0250238832598837,0.113976626276586,0.129283003194382,0.114007506226513
"asc_ruta2",0.206303475699876,0.234771014825023,0.201452087899146,0.00184634544266115,-0.00800863429946762,0.000401772880099394,0.0944619298716083,0.0258155793100861,0.112972792651534,0.128455878947636,0.114074879204738
"asc_ruta3",0.202585541302635,0.201452087899146,0.255234775736088,0.00106288771394713,-0.00639589534594792,0.000861500114721868,0.0935296954279733,0.0260175994166215,0.112056152954757,0.127359979230055,0.113770754372161
"b_time",0.00253800141546791,0.00184634544266115,0.00106288771394713,0.000669797179694521,-0.00125989455573794,-0.000805471311131381,0.00082116388401328,-0.000517566904885644,0.000298604088629899,0.000543447608123982,-0.000243775570302032
"b_dist",-0.00841265036851195,-0.00800863429946762,-0.00639589534594792,-0.00125989455573794,0.00935259742466613,0.000422866560132483,-0.00343793878018607,0.00053107283221395,-0.000732911538582982,0.000348506270030411,0.000981120501060559
"b_cong",-0.000854869475628678,0.000401772880099394,0.000861500114721868,-0.000805471311131381,0.000422866560132483,0.00631391507746905,-0.00279030546543833,-0.00104093459643525,0.00603066770213471,0.00223489435345716,0.00305492425608824
"b_CSECO",0.0957991782135788,0.0944619298716083,0.0935296954279733,0.00082116388401328,-0.00343793878018607,-0.00279030546543833,0.113120560112645,0.000102142053943783,-0.0109977735336792,0.00867325560977094,-0.00542250355016336
"b_Hvalle",0.0250238832598837,0.0258155793100861,0.0260175994166215,-0.000517566904885644,0.00053107283221395,-0.00104093459643525,0.000102142053943783,0.0676044934961871,0.00175807612376048,0.00531432814186474,0.00248088623450223
"b_Joven30",0.113976626276586,0.112972792651534,0.112056152954757,0.000298604088629899,-0.000732911538582982,0.00603066770213471,-0.0109977735336792,0.00175807612376048,0.351634636826236,0.119677130559985,0.119885076472613
"b_Adulto40",0.129283003194382,0.128455878947636,0.127359979230055,0.000543447608123982,0.000348506270030411,0.00223489435345716,0.00867325560977094,0.00531432814186474,0.119677130559985,0.17552615993137,0.117606959161112
"b_Adulto60",0.114007506226513,0.114074879204738,0.113770754372161,-0.000243775570302032,0.000981120501060559,0.00305492425608824,-0.00542250355016336,0.00248088623450223,0.119885076472613,0.117606959161112,0.146591121282051
