"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60"
"asc_ruta1",0.253131392798287,0.236440065505242,0.219017492171636,0.00452033790601922,-0.0141607973842585,-0.00162091857944473,0.106765272277944,0.0291688029586037,0.128030237098553,0.142014357508866,0.12636281684788
"asc_ruta2",0.236440065505241,0.262622447579221,0.218502975586018,0.00336869165681123,-0.0122619343199529,2.94300447498336e-05,0.111537211047128,0.0272197353061219,0.125343780895643,0.135706184920729,0.120023770012934
"asc_ruta3",0.219017492171636,0.218502975586018,0.268039951608257,-0.000337114085012709,-0.00319568745094821,0.00130977751373237,0.10643027244662,0.0254179953116733,0.122718573449575,0.135714219857008,0.118456664449906
"b_time",0.00452033790601922,0.00336869165681124,-0.000337114085012707,0.00120828456738553,-0.00241886989558472,-0.00130740235623057,0.000553446830908987,0.000458002908673291,0.00062231947184765,0.000616184034419821,5.03429594100403e-05
"b_dist",-0.0141607973842585,-0.0122619343199529,-0.00319568745094821,-0.00241886989558472,0.00827708222386347,0.00103438516626487,-0.00325656872013043,-0.000532332992791242,-0.00515590151551416,-0.00106554977529693,-0.000620947857421075
"b_cong",-0.00162091857944473,2.94300447498296e-05,0.00130977751373237,-0.00130740235623057,0.00103438516626487,0.00674575982504718,-0.00338166043060259,-0.0018249694324934,0.00629161305735767,0.00298232813308061,0.00379674820490893
"b_CSECO",0.106765272277944,0.111537211047128,0.10643027244662,0.000553446830908983,-0.00325656872013042,-0.00338166043060259,0.122746755515154,0.00245574650555512,-0.00179936606301631,0.0125684289094591,-0.00280806426389352
"b_Hvalle",0.0291688029586038,0.0272197353061219,0.0254179953116734,0.000458002908673291,-0.000532332992791244,-0.0018249694324934,0.00245574650555511,0.0649976716547654,-0.00647749949900174,0.00503861680946202,0.000831171288533238
"b_Joven30",0.128030237098553,0.125343780895643,0.122718573449574,0.000622319471847643,-0.00515590151551415,0.00629161305735767,-0.00179936606301635,-0.0064774994990018,0.337019044671133,0.12564001378023,0.126191287693812
"b_Adulto40",0.142014357508866,0.135706184920729,0.135714219857008,0.000616184034419819,-0.00106554977529694,0.00298232813308061,0.0125684289094591,0.00503861680946203,0.12564001378023,0.182217816594842,0.124799144404505
"b_Adulto60",0.12636281684788,0.120023770012934,0.118456664449906,5.03429594100405e-05,-0.000620947857421086,0.00379674820490893,-0.00280806426389347,0.000831171288533279,0.126191287693813,0.124799144404505,0.153884097403451
