"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4"
"tau_EnfCond_1",-4.27518101012987e-08,-2.82241051941579e-08,-1.9003761036615e-07,-8.75412659434279e-07,-6.13672487674202e-07,1.28094547160086e-08,5.30947892213973e-08,1.27792425320345e-12,-3.18773867149243e-06,-2.17981160977726e-06,-4.60174952662157e-07,1.0345754136831e-08,-8.25957047621555e-08,-1.56507628294368e-06,7.72449238529424e-08,-1.09402545073717e-06,-1.36108295536525e-07,3.50430105525191e-17,3.51834753790621e-17,8.24820313302055,10.8207045660232,0.880761227354274,9.72860746161274,-665.251845606736,-6.88517073750319,-2.49703125301416,-117.276532531672,2.18742469403356,-1.31198291745772,1.21356496144777,-0.723342246799101,0.351452346017157,-0.00129698373726828,-0.00460063052129939,-0.102672201405252,3.85926566721981,1.41078400612325,0.117371949124157,0.00238183015219361,-32.090765133022,3.79363222553143,-4.19300837437152e-13,-8.45105473326550e-09,3.66361740958849,0.490417936964962,0.0232111281206353,0.000436349763578034,2.2575339662106,1.97659549361596,0.889350105513654,0.0637658719675113,-0.0186067667149728,-0.0351207617482938,-0.0141671567210094,-0.00616604142806794,0.000133384189107161,0.00897490554030262,-0.000264166330108339,-2.72430525190733e-05,-0.0538085659962222,-0.0149436032817965,-0.0217848719271236,-0.00342242168126328
"tau_EnfCond_2",-3.13700176211138e-10,-2.07101013755783e-10,-2.79453663414092e-09,-6.44149242540876e-09,-4.51222192209319e-09,-1.05465329126927e-09,-4.43469009768571e-09,2.03822142351208e-10,2.05726166360324e-09,-3.20342349260795e-08,-3.3813536751363e-09,-8.64119095502311e-10,5.33068522015204e-11,-2.39942473551455e-08,-6.46080903062999e-09,-3.85287253717573e-09,-2.0880802536498e-09,-5.84441418320889e-15,-5.86415010465979e-15,3.60763985062325,5.89816566838322,-25.8034856484378,5.6176257675732,489.73810571689,-104.666870344403,-3.62601985548536,-21.9515692813397,-0.414027014933733,-3.49814461314062,18.1799105269739,-2.66586195485531,-1.87016105084721,0.0804025539029802,0.00624185975893182,-0.0197051644244277,0.788843039885088,2.18032752548119,0.773990691395142,0.0525816420082694,3.79363222553143,-43.7450085077766,21.6962607110133,-6.20976132325413e-11,0.675559288089326,1.56159840806153,0.474814404007835,0.0287645641800169,0.162123116584989,1.02175734698977,1.13520231251553,0.177865789114289,0.00158069876889148,-0.00714813581916163,-0.0173587571926562,-0.0160659984191875,-0.000403409343490205,-0.00399800120598142,3.11045112850774e-05,-0.00303432144918355,0.0167199885995787,0.00679767285426979,-0.0154359613065883,-0.00324323349119426
"tau_EnfCond_3",-3.58097913920925e-13,-6.02069857263172e-15,-1.46496841333317e-12,-7.31559764265651e-12,-3.74866789417654e-09,-1.20379742329571e-12,-1.02287116166881e-13,-5.9956283764922e-14,-2.67255706101798e-11,-1.27700226350126e-08,-2.94049954139039e-09,-6.88935479982731e-10,4.24848469758709e-11,-9.97408022465838e-09,-5.61064877141911e-09,-3.34161346730491e-09,-1.73589227364679e-09,-1.40369831058519e-14,-1.41082857477732e-14,5.02945276983292,4.98188191453178,-15.2470547174827,5.45454549463132,-1588.4236212825,-65.8080946668016,0.020691280167638,-0.367366823451852,-0.107998925514131,-1.61691546197857,12.2658385523587,-1.598285714861,-0.900573858668342,0.0153037213254434,-0.00774320322800621,0.0327600281085697,0.0210909833135563,0.280237378442232,0.533570577326286,0.202702230363895,-4.19300837437152e-13,21.6962607110133,-32.2700498009337,2.92499049707927,0.019077510632459,0.466331348250887,0.512501478041161,0.116946857871449,0.00781283380534583,0.0864867923315339,0.266636747031986,0.174179872668825,0.0117617368104543,0.0344882431591937,-0.00134367390775738,0.0028939006394966,-0.000199135180760486,0.00180853110554374,0.00664006984605695,0.00133851434196797,0.0147260973673082,-0.00039900906324113,0.0121536366529871,0.00572200725900148
"tau_EnfCond_4",1.43778791379105e-11,-1.00153060800619e-10,-7.40232188009072e-10,-3.410316279139e-09,-2.28687654897592e-09,4.90480791892487e-11,2.06539664220875e-10,1.07925253786971e-10,-1.3524861677282e-08,-1.62751908773546e-08,-1.7926880238648e-09,-4.58128937952958e-10,-2.93088882655443e-10,-1.27118063415885e-08,-3.73055173583766e-09,-4.25883277443249e-09,-1.15348235904432e-09,6.18253381691139e-18,5.80069674227612e-18,3.66081890335557,3.40351107017696,1.39492122570107,3.91133654711282,-625.081555389028,-1.79590414801905,0.00882597472039538,7.07205827405137,-0.0388113732975644,-0.539309450085012,6.11960603748374,-0.538520417713864,-0.320983888677932,0.0038718865870316,-0.00394345472051293,-0.0122118637713651,0.000857512055393314,0.014381135600797,0.111594520553525,0.15769035948802,-8.45105473326550e-09,-6.20976132325413e-11,2.92499049707927,-5.92108711724658,0.000832437578067774,0.0438242811566385,0.124041715222808,0.112232058597134,0.000483076735471355,0.00408831404324418,0.0670122159194901,0.0957365202645268,0.00903352170543147,0.000998349016066909,-0.00589322853519773,-0.000996406613981837,8.10639768632462e-05,0.000189059511771502,0.00168140482653692,0.0022651494211125,0.00104234075134914,-0.000821509401564272,-0.000274523362824118,0.000208918786362569
"tau_AFrSem_1",-5.58751259056948e-12,2.33517983452894e-10,-4.57155762023027e-15,5.81220962018955e-13,-3.0153586005862e-08,5.39274692410017e-14,5.00067984967661e-09,2.6129324504022e-09,-8.37233089578263e-10,1.68430253222518e-08,-6.01603103824279e-11,9.74359518652631e-10,6.83345811395068e-10,-1.47405318436267e-07,-2.30597428542978e-10,-5.37921685980208e-08,-3.56975307988854e-11,-1.93902563581526e-16,-1.94679817142964e-16,8.998521407846,10.5111640942792,-0.107038315488829,9.0497121252949,-888.34798636864,0.891760028626156,-1.11473856951708,-150.033534512463,5.09230166770483,-0.738879348787366,-0.378853051316809,0.277949308539534,-0.166036991521704,-0.0348317309495271,-0.00594961511522424,-0.0879480296008113,4.78411520225524,0.819933254499908,0.0252799937947265,0.000162156563688784,3.66361740958849,0.675559288089326,0.019077510632459,0.000832437578067774,-7.73465277386289,0.200878009940293,4.4294078105532e-11,2.64149544940184e-11,1.51107076679296,1.9640683222101,0.659519671175842,0.0318026770857929,-0.0132017950513326,-0.0361685578354458,-0.0111419894106909,-0.00291162358566775,-9.8937380756778e-05,0.011079577500253,-0.00035734685080761,1.55075502505155e-05,-0.0279622830643746,-0.0115417441277161,-0.0262872783172527,-0.003437607977041
"tau_AFrSem_2",-1.54668605965131e-13,-1.01849305003896e-13,2.96147586171837e-14,1.53908631870893e-13,-1.7347303875557e-09,2.41438262680587e-14,1.0935168114927e-13,5.24924019595389e-14,-2.35968422931898e-11,3.4206147614578e-13,-1.35894348684049e-09,-3.18794051122067e-10,1.99956576869412e-11,-4.62130202888169e-09,-2.59626010284864e-09,-1.42142740963823e-09,-8.03301680905844e-10,1.02056810973975e-14,1.02589894251672e-14,4.68647545272116,6.17897732323267,-41.0553541809544,5.94899030238666,-404.688564281996,-149.623195229006,-1.89550968089613,-25.4228167710351,-0.290167768063806,-4.08013870544848,-2.65840473365649,5.6437070570333,-1.74701246399715,0.104496456903048,0.00324113660912395,0.00590395358341245,0.259644234970621,2.02680579014235,1.6158950019415,0.0369805819482031,0.490417936964962,1.56159840806153,0.466331348250887,0.0438242811566385,0.200878009940293,-12.6761782003232,7.52243057873713,4.29467969123972e-16,0.067952047072435,0.626320549672417,1.05459069283162,0.222006537214759,0.0214815480923981,0.0462137465326682,-0.00893929859466496,-0.016782128363549,-0.00048380949906031,0.00358467981032876,-3.76082084974929e-05,-0.00424277194480252,0.0120633556603603,0.0234035813655906,0.00471983571861436,0.00118397669712025
"tau_AFrSem_3",9.09816490224193e-12,5.91116838017618e-12,-5.62241611292949e-13,-2.31142112152301e-09,-1.48654524316219e-09,-4.62103018989298e-13,1.30661576796293e-10,6.72092787067774e-11,-1.02595603970085e-11,4.26446151759736e-10,-1.11549024690959e-09,-3.10112415464782e-10,1.75771126049224e-11,-3.78326184489644e-09,-2.31837000390962e-09,-1.38254887608871e-09,-7.17776504899348e-10,1.00906937127042e-14,1.01506105108586e-14,14.9197314799907,14.9938676270975,-14.115695627033,16.5574261117491,-1335.96774522403,-49.3935102217643,-0.0571028679640669,51.5784552035926,-0.178916488051643,-2.44562829051173,-1.80780529741282,6.47758670417686,-1.06840856411516,0.031112713482594,-0.00494281131678281,0.0412259543021433,0.00352518813271539,0.484278150880031,0.865717861053106,0.203622706683898,0.0232111281206353,0.474814404007835,0.512501478041161,0.124041715222808,4.4294078105532e-11,7.52243057873713,-11.6755982767732,0.0904250345634964,0.00561286460585385,0.0751868669242269,0.346971769070206,0.240106960139507,0.0205529958976937,0.0611452905072853,-0.00236184383943237,0.00451892212862676,-0.000579326304377573,0.00195371892329101,0.00393994637522162,0.000509043752801591,0.031842265817872,0.0148787191279949,0.0162647752016943,0.00849810790450576
"tau_AFrSem_4",-6.285410805489e-11,3.63858833264592e-12,2.25205920449315e-11,-1.83191603971826e-12,-9.01556500378759e-10,-2.29529663160733e-10,-8.87309801058605e-10,4.07130974656493e-11,-1.32177655064511e-11,-2.94190011543646e-09,-6.77497500010398e-10,-1.72896259846958e-10,2.12996633771583e-11,-4.79733186580771e-09,-1.29270090611309e-09,-7.69825834940447e-10,-4.17483794200599e-10,-3.41187237468298e-15,-3.42362134012989e-15,6.47595167202135,6.01042075189517,2.34225684277826,5.17069538937794,-156.716158331547,-1.69976372050173,0.0237322178318245,1.70035107101337,-0.015959718454461,-0.621012907171372,-0.526718140134155,3.04177024914127,-0.363603854335955,0.0266760885014618,-0.00147552307386399,-0.0273311268962937,1.1278513377419e-05,0.00652583406490104,0.0690274137790869,0.20308725986831,0.000436349763578034,0.0287645641800169,0.116946857871449,0.112232058597134,2.64149544940184e-11,4.29467969123972e-16,0.0904250345634964,-1.38049945913893,8.67514935937927e-05,0.00435580610856706,0.0523930064327557,0.103748390564233,0.0106717898162755,-0.0135710026465674,-0.00652151982823831,-0.00329099459175893,0.000113571863594368,-0.00322608020652936,0.000608284760659051,0.00308887520719221,0.00333836573757129,0.000479976479823839,-0.00788916508050873,-0.00162726587753036
"tau_CulFr_1",-8.87066969365066e-10,-5.8563051846444e-10,-7.23553230628506e-09,-1.81662313016443e-08,-1.16829096239424e-08,-2.97433399954836e-09,-1.25401640789161e-08,5.19569664305866e-10,-6.61430084603124e-08,-8.29952570821709e-08,-9.54937498928973e-09,-2.24357354264024e-09,-1.57356260801961e-09,-6.22082191673705e-08,-1.82440344092418e-08,-2.08276920283561e-08,-5.64108176262604e-09,2.02938171470601e-15,2.03743424270891e-15,7.22100893551341,9.94757548484427,3.14473509597366,9.85144712987936,-509.335351911883,-24.3517766316825,4.30956567822123,-64.5016151788951,1.11675795292038,0.0968994542029866,0.503265083165741,-0.0420741213611596,-11.8643303879421,-0.0154762693090276,-0.00357939049599242,-0.108787295522902,2.01290476109239,0.21379989013585,0.0202706813107985,0.000391556463849517,2.2575339662106,0.162123116584989,0.00781283380534583,0.000483076735471355,1.51107076679296,0.067952047072435,0.00561286460585385,8.67514935937927e-05,-33.9818260096657,11.738936095027,-1.34761769010265e-09,-2.64762904741525e-10,-0.0570256427355163,-0.0116288721325613,-0.00272498984110433,-0.000346151225975368,0.000408734162928041,0.00698615929119817,1.91938720964984e-06,1.25103091595427e-06,-0.07822925037034,-0.0148611969124594,-0.00998037943866962,-0.00074738736071929
"tau_CulFr_2",1.1240195441569e-10,-7.82934530851347e-10,-5.78665357635903e-09,-2.66596260611227e-08,-1.86750022889283e-08,3.8344293922649e-10,3.25473867015147e-09,8.43687024573905e-10,-9.70776680128183e-08,-6.09379211494287e-08,-1.40336047458851e-08,3.14609576661839e-10,-2.51532533409493e-09,-4.75958257798555e-08,2.3116995345203e-09,-3.32928362183243e-08,-4.14498630002782e-09,-1.04142643849851e-15,-1.04587112246437e-15,3.99706955737623,5.1361368228421,-15.9085620130195,4.05402498176108,-103.032438506712,-62.2243824910145,-3.23670178688189,-11.4800687368214,0.69347828824224,-1.66255403034115,-1.2891968180235,-0.998008350164397,10.903384460142,0.0447276055252935,0.00254876516519003,-0.0788220513396307,1.955024128272,1.5352651788917,0.233724767595896,0.00359645411207368,1.97659549361596,1.02175734698977,0.0864867923315339,0.00408831404324418,1.9640683222101,0.626320549672417,0.0751868669242269,0.00435580610856706,11.738936095027,-88.8342183272297,48.8022583349867,-4.23222600351338e-10,0.00774291092263165,-0.0377387798477707,-0.00567411583412694,-0.000861876943616145,-0.000184639025847924,0.000759350259517732,-0.000213828746411727,-0.00226850325954713,0.0126946275872702,-0.00664520697895794,-0.0253378475920884,-0.00318409650489809
