"asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4468.84636819337
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4468.84636819337
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4468.84636819337
-0.00287999998545274,-0.00422400003299117,0.00543999997898936,0.0244374648318626,-0.00228535442147404,0.00158400001237169,0.0050879999762401,0.000256000028457493,0.0250399999786168,0.0195359999779612,0.00110400002449751,1.60000054165721e-05,0.000463999982457608,0.000415999966207892,0.000624000036623329,0.00131199997849762,0.00108800001908094,1,1,-0.0110700457589701,-0.0157759973080829,-0.00498332228744403,-0.0163872002740391,-0.234528251341544,-0.0106347957625985,-0.00443453155457974,-0.0153835735982284,-0.00604163605021313,1.00680107204244,1.00643970211968,1.00693996116752,1.00056596990908,1.00615525775356,1.00651152461069,0.999627125100233,-2.00279429875081,-0.990294195653405,0.997040293761529,2.00214024342131,-2.00327117479173,-0.989198000868782,0.998341417871416,2.00131598795997,-2.00353680906119,-0.988293933216482,0.997793567366898,2.00179754657438,-2.00433743395843,-0.994008971494623,0.993590452475473,2.00357106572483,-2.00311861361843,-0.987702078360599,0.999173354823142,2.000408161839,-2.00259554170771,-0.987435030692723,0.999130835523829,2.00052652775776,-2.00527816085378,-0.992339645221364,0.994651603745297,2.00301003298955,-4320.54664430529
-0.0635360956667513,-0.101172613223682,0.157087887149017,0.612493008673719,-0.0849207616540966,-0.00133880867041554,0.124640728874774,-0.00702331856484375,0.00227324383164733,0.0497494028333009,0.00684145694169154,-0.00654275667109507,0.0109750236111975,0.00291314201898335,-0.00443914157489352,0.00625804844050776,0.017419677474699,1,1,-0.288849354121751,-0.413454385499945,-0.0585743365237047,-0.429952872574376,-0.24664056817764,0.00277561835623901,0.00343506141223332,-0.0421013117216201,-0.00197146315801516,1.18340024604231,1.17418489110404,1.18817113945968,1.01154675098601,1.00820425064523,1.03994948505355,0.641579337255457,-2.07738252779299,-0.739753986501129,0.919821620045732,2.05751561312971,-2.08987800798091,-0.710605002018043,0.954885858526105,2.03532294292441,-2.09691983985031,-0.68615790385357,0.940113269312182,2.04833409037653,-2.11917008849377,-0.840073551948053,0.826865960267321,2.09549009906089,-2.17950761052176,-0.724405354746687,0.971435918968981,2.00730136171438,-2.16784182151681,-0.715460920086025,0.970893691183933,2.01092488671604,-2.20468498581717,-0.851358728088679,0.834622847307704,2.0724403586541,-3972.53719462565
-0.0751804777871842,-0.124251512570303,0.186010660217282,0.667838066576726,-0.107054774744472,0.00354817621175162,0.141875189099509,-0.00669708707692892,0.0661236876700551,0.113426111683778,0.0105880761883088,-0.00704513600147047,0.0134459936566139,0.00449978170914522,-0.00305909801898711,0.0109568747811313,0.0223158755580793,1,1,-0.340727227205816,-0.488288606695705,-0.0680339156451528,-0.508188098594472,-0.237745106146919,0.00620145090903696,0.00533423823924392,-0.0471013468869871,-0.000608828654002993,1.21841147309245,1.20768990474115,1.22460866456053,1.01115943491392,1.00383356199075,1.04156210506314,0.570844231435518,-2.09315390030543,-0.689820168182834,0.903596590270438,2.06888960553584,-2.10778410564658,-0.655185126389567,0.945701786473563,2.04235687381122,-2.11615907529645,-0.62595785011684,0.92796884368076,2.05797828230019,-2.14283459216766,-0.809868961688806,0.792384348419567,2.11376615734031,-2.21541343566538,-0.67247841888096,0.965545626918356,2.00869896944446,-2.20175649617935,-0.661734762516447,0.964886753747069,2.0130729017112,-2.24322436556991,-0.822929519888719,0.80171472779951,2.08641654780976,-3862.71564061461
-0.131269540384566,-0.351180391016826,0.450934405708815,0.0806890273442338,-0.388589182462915,0.0104336754594173,0.163280820075267,-0.0144805603390294,-0.196759508620337,0.234908281752648,0.0187100307696093,-0.0194230850998275,0.0367956532215847,0.0115542440625565,-0.0172927759146894,0.0301586763690719,0.0522348088506789,1,1,-0.671291846570054,-0.98164893745422,-0.117740795817494,-1.03669756594641,-0.292813202596674,0.034605610162842,0.0226834542420841,-0.107942647476902,0.0149426667781617,1.49985323911567,1.48330885748687,1.53165630906057,0.935242310027283,0.877856474189734,0.955918509139222,0.0790746248724048,-2.2535717357816,-0.269395541660921,0.744431243212091,2.1738076754493,-2.27950943869613,-0.190950271510661,0.854399470154172,2.1084826648458,-2.29935197582991,-0.118509145800542,0.808124617591183,2.14922704665398,-2.36348694697941,-0.568834132074521,0.468382611991467,2.26679787501697,-2.53172019884965,-0.244111054663683,0.906416593807548,2.02119633669286,-2.50776507106051,-0.216368775768215,0.904196367996737,2.03332635654113,-2.52479739330644,-0.565940064561665,0.500003267412443,2.20850330316132,-3531.2540296103
-0.163992823374031,-0.50485050851136,0.659427912260986,-0.129195813082881,-0.533348975489474,-0.0287279641598653,0.183244646634989,-0.0362170227963,0.0429094080026227,-0.157864701442667,0.00855817766645387,-0.0373532251201574,0.0450779664297614,-0.000102737826563445,-0.039430917741031,0.0157892038764587,0.0613166600110463,1,1,-0.691562277883849,-1.04708364236105,-0.0964537798162014,-1.13358911359511,-0.306575422779311,0.0606993003572712,0.0421404042434676,-0.158151860927182,0.0357532353015509,1.6275410091003,1.6157415481533,1.69059323647665,0.805241551294714,0.624252896413195,0.69632567764364,0.180919708660239,-2.40346525468633,0.00210738433672947,0.618316203154677,2.25167750575409,-2.43218416207486,0.108707171544657,0.782406801678838,2.15881070207588,-2.46315755734862,0.216442562600601,0.711478014731968,2.21962596974055,-2.52720545247627,-0.434362408954306,0.228343598863875,2.36685284891764,-2.76454028699303,0.0351886342540503,0.85799819209935,2.02991114477253,-2.7462263923763,0.0775143204192121,0.853052759849458,2.04896221596246,-2.64468089867097,-0.34895199350181,0.305929405505255,2.29724128279332,-3524.4597573446
-0.183750482708732,-0.651571001933458,0.807901761784103,-0.104763932876771,-0.527084388413401,-0.0183294886510762,0.226540886719691,-0.0421068558051393,-0.0512494423949854,-0.0259328602970742,0.0171993879247475,-0.0483329671562688,0.0635787981469932,0.00702673602818973,-0.0509817692054589,0.0348397831234203,0.0854571444111012,1,1,-0.53481478146165,-0.869955230369998,-0.0341734112545902,-0.988138420891369,-0.311864073310258,0.0861435855040258,0.0623142297050136,-0.206987089368529,0.0575890788057741,1.68190184098446,1.68037967332462,1.78083864128138,0.66730877075785,0.431700137030363,0.459011636735249,0.298766258464003,-2.55137385538063,0.185023861669029,0.514233177322748,2.3181504820017,-2.57661863380029,0.312368333634265,0.72587528418749,2.20312845521473,-2.6190893115781,0.452043520149957,0.632053184027546,2.28235370628537,-2.65643535454531,-0.376836072312312,0.0466388475154782,2.43857312281786,-2.93127311280463,0.225808139930597,0.815073567065742,2.0361104479835,-2.92967454626542,0.282751475692443,0.805630918392627,2.06220699440734,-2.69767756491832,-0.221997547558381,0.166553461681929,2.36480620509335,-3444.70435107552
-0.184266200813088,-0.769817897360701,0.92081240221483,-0.117531866357824,-0.482938086686113,-0.0212539692192874,0.241225155563976,-0.0514150209336209,-0.0330722242263771,-0.0500256835090439,0.0194077620610553,-0.0608056217250795,0.0779902564533238,0.00830195906260955,-0.0659732105325467,0.0434646402507881,0.103546775355351,1,1,-0.37595548957998,-0.680808533671173,0.023794735852247,-0.828209911985306,-0.314389189658386,0.109665329351056,0.0802050195706661,-0.249754346065293,0.0756482628022321,1.72253834802321,1.72903275458131,1.8500670440742,0.607111141884377,0.517133218117312,0.561902874373061,0.200255189796389,-2.67476377947812,0.276809616036777,0.468614071543929,2.37488301642447,-2.69427209005124,0.43179003658649,0.708157089916981,2.24215328412975,-2.74838518886485,0.569853196263153,0.624220415487062,2.33771400810495,-2.74124637593774,-0.399388856591715,-0.0377115933472697,2.49060342737721,-3.01263471719504,0.354084437451113,0.786325639725539,2.04024313800438,-3.01474004567073,0.427033363641782,0.770619534905045,2.07298341922628,-2.73180848472247,-0.2345211687442,0.118222895011627,2.41431792111263,-3393.36099059041
-0.181969406257665,-0.942600707643767,1.07954707850595,-0.133143167726903,-0.411567268904262,-0.0226541478705589,0.259430357956338,-0.0647583481701879,-0.0304197606400797,-0.0529154271642253,0.0240523349780591,-0.0795575815124488,0.101067641365928,0.0112856892928786,-0.088358098530001,0.0588746794873507,0.132603253751659,1,1,-0.235241655124677,-0.525532705385689,0.0877003707708415,-0.716117998640005,-0.312476506905545,0.146582041729167,0.109069033811289,-0.315236572754153,0.105573744812642,1.82267040125321,1.83432605474023,1.9842571596058,0.590543379734572,0.589319748531649,0.645599344628827,0.204961232212468,-2.84226872498683,0.333989031396133,0.487849553706974,2.46241691948295,-2.85349911158994,0.564774698097975,0.734407015226942,2.3030170634079,-2.92622733747124,0.484969263187625,0.881622756405534,2.42398384069618,-2.85152730224749,-0.46917585082248,-0.109088912930446,2.56883514568902,-3.14349370632612,0.523070233279345,0.758941921309097,2.04594334973784,-3.15458325405473,0.620610671153722,0.734130290900429,2.08886380286177,-2.77163499410374,-0.283171349645432,0.0968269118711426,2.48909138599051,-3370.15490567504
-0.169767812066298,-1.08433770879336,1.19747295852569,-0.147451599237518,-0.324747154216639,-0.0229510389879301,0.264817923867743,-0.0767974736265568,-0.0331811589311288,-0.0491219171513627,0.0283311182085922,-0.0968673895064805,0.12261169451244,0.0141003185944783,-0.109176826107228,0.0736492756994491,0.159422037907707,1,1,-0.164147035417686,-0.455707383633843,0.132062618309017,-0.684300529501268,-0.309216593892666,0.181039949180567,0.136566000311909,-0.375228043899274,0.134179088556692,1.93032037339999,1.94024948911916,2.11676907187215,0.638123473397902,0.635109754127571,0.692114501901255,0.268427189989071,-2.97470933424035,0.288785362077801,0.591239661674782,2.54086590288631,-2.97691078169996,0.566102916921701,0.860029562917939,2.35893112024803,-3.0693069310412,0.567651784860608,0.940534045542481,2.506053389903,-2.92669263934601,-0.568238887760455,-0.120970289030718,2.63129853780415,-3.24675894142766,0.598828908729685,0.783721575106283,2.05003219902234,-3.26951735403937,0.679340380257261,0.790903726182334,2.10229221114444,-2.7849271175236,-0.357546275713935,0.109160106526463,2.55085528880491,-3322.94366988293
-0.138263329021981,-1.21458563977655,1.28321672423486,-0.15845436746231,-0.191604857208635,-0.0238379918918118,0.252028687752343,-0.091321321144899,-0.0265071163136658,-0.0594839768592145,0.0322363401976898,-0.117480172161786,0.147591806801117,0.0164652162463398,-0.134177088511902,0.090412508578876,0.189340919386523,1,1,-0.104656905195377,-0.393777484276958,0.175624380930272,-0.662377465475196,-0.312049452705346,0.220974447362157,0.169065069055414,-0.445342462857032,0.167208846885242,2.04805278658087,2.04922533095927,2.2510105929557,0.742653560762928,0.643783008751239,0.702762434228211,0.273810976341594,-3.10365626814038,0.340154955647747,0.572843007706193,2.6286146720833,-3.09102314942426,0.622625667268203,0.901323058773715,2.42577805937773,-3.20727254304594,0.6124380973242,1.00994053575921,2.6014206797185,-2.97929946813878,-0.659871578117839,-0.140923159683906,2.68302215067431,-3.32996676933704,0.535012381721671,0.902795397845693,2.05368267093942,-3.36982923369631,0.629561101642672,0.914991336684953,2.11738700179954,-2.76145840351987,-0.437856043812639,0.0922246402901786,2.60718109381206,-3284.44368159172
-0.111678379339262,-1.24092245429619,1.27502213377595,-0.160705265103913,-0.121172231758884,-0.0240024183014129,0.228337445273334,-0.0998449494705263,-0.0226219767091977,-0.0649800754126171,0.0339986070291001,-0.129050704771101,0.161825168256974,0.0170009524499775,-0.148026004511553,0.100327035096408,0.20462599070435,1,1,-0.0984756966901768,-0.379703792443189,0.188551150050483,-0.663647571952832,-0.311810723842864,0.242055914352894,0.18781007797622,-0.482868028623389,0.185269355452634,2.09581513113556,2.08737415091385,2.29951530317413,0.810999120003324,0.642726345567648,0.70151941720076,0.27343057559895,-3.14761417516166,0.321510712977154,0.572341602259461,2.6709685424117,-3.12230887821963,0.624707627601867,0.898783086707814,2.46330859380063,-3.25313878250751,0.621173506921868,1.01045692254157,2.65400158688458,-2.98266668726018,-0.674054571903429,-0.174112250651983,2.68869532980866,-3.33177107091193,0.494882730598056,0.905966263886925,2.05740177733699,-3.38421688741994,0.650882943689274,0.868274466239367,2.12735024710803,-2.70942188808471,-0.451127842226166,0.0454307111985028,2.6207216310964,-3270.2494625533
-0.101195931447573,-1.24595544122146,1.25901289294424,-0.15463750188008,-0.116696318750316,-0.0245492228516062,0.210538273450624,-0.110884181808561,-0.0215954915601167,-0.0651030471377321,0.036376215468721,-0.143004140899524,0.179947892288751,0.0167484894355873,-0.163893590819204,0.113115147407096,0.222071193580399,1,1,-0.10565006623013,-0.376319912147751,0.196698983947283,-0.671755294846954,-0.310362421727541,0.265323652244374,0.210250704180493,-0.526400360381149,0.205752200588705,2.14291898421855,2.12077104949028,2.34541220864939,0.822529250214839,0.641378903823722,0.707987694610014,0.284547057008092,-3.19188858517699,0.329023377498094,0.531898155234321,2.71908433554956,-3.14827428878112,0.606767384228114,0.898515486298801,2.50735411629782,-3.296483786463,0.62112755020169,1.00447856016899,2.71533182932084,-2.99903278311471,-0.710137709371664,-0.198166173185947,2.68628130016744,-3.32018502271705,0.484261783338372,0.848611580350727,2.06279081564039,-3.38318836544849,0.624212955825883,0.839541929469273,2.13726818613514,-2.64682517881129,-0.485346368298198,0.0282399827247355,2.6278676863342,-3259.45817532216
-0.0908898658318287,-1.24527194585592,1.21507195301985,-0.127282091018246,-0.166329810194239,-0.0280783762165167,0.177318624916741,-0.146756986720768,-0.0110067603645671,-0.0764735162389698,0.0436900196118587,-0.187395009640078,0.237586814888965,0.0144425150771318,-0.213098840373818,0.153220812895183,0.2754951847138,1,1,-0.11705877871965,-0.352900392620185,0.220887704013022,-0.676940525605876,-0.313208684752895,0.334535795985272,0.278766586918959,-0.661628502206833,0.266141964603355,2.27343217266312,2.210963662536,2.47581441658995,0.814343807850859,0.629980148178897,0.667349487202935,0.22905892038813,-3.33412520467928,0.241748951166098,0.513551481044626,2.86632937858754,-3.2314836006484,0.601181659741745,0.843679507080512,2.64347270947451,-3.43326056951862,0.60410050638771,0.998520738203175,2.90379484532634,-3.06498624715711,-0.803662760483245,-0.285674643746439,2.67422917801697,-3.28027528242205,0.429515394989925,0.688263699019521,2.07604516614887,-3.38569107725431,0.493932030174379,0.790012998221316,2.16546154629105,-2.48348414172468,-0.5534248459453,-0.038232492838962,2.64540997505092,-3234.78218965131
