"asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","lambda3","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel1","zeta_UsoCel2","zeta_PasoPeaton","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.158,0.144,0.205,-0.233,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-6449.50081157137
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.158,0.144,0.205,-0.233,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-6449.50081157137
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.158,0.144,0.205,-0.233,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-6449.50081157137
-0.00308122410206124,-0.00442522409139201,0.00604367244523019,0.0208299794467166,-0.00335454882588238,0.00721547607099638,0.00406788452528417,0.00254428089829162,0.0804441865184345,0.0768999789142981,0.00342730496777222,0.00122563657350838,0.000230362522415817,0.0017958014504984,0.00299053522758186,0.00482260546414182,0.00190339836990461,0.994518409308512,0.995350754121318,1.00293635361595,0.149466154111549,0.129761188960168,0.201270033821929,-0.247057887659874,-0.194104515365325,-0.00881144177401439,-0.00219818105688319,-0.0071116735925898,-0.00454780214931816,1.00624913687352,1.00578093616059,1.00629629078321,1.00125810754253,1.00502530520316,1.0053937768098,0.999999565363396,0.99501513823634,1.00159926590277,1.00279820110882,-2.00226073455997,-0.990019534481689,0.997107577277347,2.00218098668847,-2.00274598074611,-0.98889059969224,0.998390520224348,2.00133012764854,-2.00299241906032,-0.987979710800573,0.997833131579682,2.00182242400479,-2.0039308592095,-0.99362817092333,0.993764210026711,2.00365091534331,-2.00252678553807,-0.987391126633156,0.999179183272645,2.00038703012979,-2.00201268400997,-0.987137908290606,0.999135948193725,2.00050604261924,-2.00790730357403,-0.981358955148607,0.991498865070753,2.00688667799113,-2.00126440933673,-0.995340365101583,0.993773596303072,2.00301321916049,-2.00130464340327,-0.997796323674265,0.990207204420585,2.00110015278915,-6158.64912212312
-0.00633986298416157,-0.00936425602408362,0.0118913847840954,0.0376650717512328,-0.00770071504063405,0.0142086045375817,0.00764368926872694,0.00506383966077259,0.143957699496675,0.151489407302435,0.00670723685474677,0.00237829209396083,0.000509118805256326,0.00376418482018043,0.00570628971526538,0.00951146230998327,0.00380164419567178,0.988208640999327,0.985929050108673,1.00539260416632,0.138807282123217,0.112329213535159,0.199315192210545,-0.2641819239649,-0.18003927335171,-0.00765262022730776,9.97327221392928e-06,-0.00102084683882624,-0.00361719140449533,1.01387508518402,1.01289057896196,1.01403516614619,1.00255441210668,1.00757542502871,1.00931839738349,0.987983426167699,0.989546602974691,1.00355228739208,1.00578955798429,-2.00510099697041,-0.978132983501501,0.993581615931438,2.00480074375663,-2.00614698920568,-0.975655845907357,0.996410328290405,2.00292803018907,-2.00669463788792,-0.973657095758812,0.995191469870672,2.00401508502596,-2.00876863217406,-0.986080902964049,0.986183608865702,2.00800141790765,-2.00955004990065,-0.974709977942863,0.997889424440956,2.00069230094408,-2.00852080239589,-0.974079277479409,0.997825947079148,2.00097719133695,-2.01992666176676,-0.961901738952265,0.980184996542646,2.01466790420989,-2.0028279330655,-0.989794286397603,0.986214267297069,2.00654133342127,-2.00290525762785,-0.995179826067599,0.978351967753498,2.00225427100448,-6068.0336742862
-0.0555061424404148,-0.107673364947333,0.0471891168318695,0.126491673315764,-0.0919965897243369,0.0562260606812662,0.0581521568767265,0.025494477115889,-0.217986783259863,0.598427738605286,0.0212730834296498,0.0118341412510056,0.00271299623293915,0.030470188314079,0.00809470126256371,0.0383752505004615,0.0150404430949418,0.899933713681707,0.950037008345449,1.02625771529048,-0.235037502806966,-0.419920602663232,0.119204787602898,-0.788520458930344,-0.21160542272882,0.00439881255492828,0.0362680349050403,0.0860696923762644,-0.00878011375118628,1.23440654556482,1.22080311108702,1.24227073471945,1.01967071295636,1.05799207477781,1.10173615543982,0.59302647899123,0.863901516340133,1.06398290383687,1.06889895714552,-2.09343402560714,-0.651000274223312,0.89126951276756,2.07766521326657,-2.10973038896447,-0.611637242270576,0.938306000948373,2.04729001586435,-2.11879668557807,-0.578803637896144,0.918448739602247,2.06515571574801,-2.15121018646866,-0.781635056339185,0.767731061270792,2.12775139235046,-2.22387993773185,-0.631806369243416,0.959862571949356,2.00868440646497,-2.20919556599096,-0.620184745442619,0.959433497587094,2.01379793030402,-2.36297457690213,-0.443228930531159,0.654089638906595,2.22676899160075,-2.04940137206551,-0.838166161468823,0.766287133733978,2.09928302868527,-2.04959396653388,-0.923735590450367,0.637691346024257,2.02417408837454,-5330.5847886824
-0.0974506212857796,-0.221991762773988,0.0159690536726779,-0.144378058073169,-0.191837284147702,0.0165162885941244,0.106246081018211,0.0188813182459,0.218471748651512,0.133114903783545,0.00887577100955016,0.0129267861148279,-0.0159024836948001,0.0261486204009169,-0.011040434534463,0.00964769111480813,-0.0040098416963048,0.885955717171334,1.09562295302661,1.05661093056647,-0.444525650925912,-0.805838550771667,0.0811027332188955,-1.16600525541953,-0.22193280848752,0.0295026947053918,0.084156401648635,0.207829735305113,-0.00980580509000722,1.43664048829542,1.42069621395223,1.4710117477583,0.931570036783983,0.974851806729664,1.05121528713374,0.182843491778755,0.722904271921684,1.14195907947829,1.12466795565288,-2.22462686448514,-0.317730028195791,0.757685187975195,2.16354435994089,-2.24832075697107,-0.243744650052522,0.861601429498414,2.10144283740295,-2.26716950674306,-0.175355081586455,0.817292931662698,2.14040579655656,-2.32812649077282,-0.591943504313644,0.500087188037425,2.24922330094924,-2.47338612981222,-0.292988244144898,0.909010753929922,2.01769968429666,-2.45191116961348,-0.266685210519185,0.906970728003674,2.02945051001626,-2.57871736851002,-0.0164373071960381,0.364852975008813,2.42938998346323,-2.10181393767379,-0.666705870319183,0.515694909324479,2.18074672191992,-2.11206673781765,-0.844698152393667,0.234956326753126,1.99392270260394,-5128.26683684598
-0.133641218218204,-0.316634640423185,-0.000236869856814457,0.275969183367433,-0.159621618807902,-0.00458661010409739,0.212327022683425,0.0202248488067593,0.325635190839426,-0.106628278279557,0.0064878158563758,0.014933170889093,-0.0283104658220204,0.028055512762567,-0.0248175693684419,-0.00649346569588187,-0.0184629935027887,0.842769683780649,1.19274763162966,1.09549684098134,-0.343634443256869,-0.815021224570923,0.125163856255343,-1.16734551128024,-0.226349891737769,0.0479210131775964,0.137184455257518,0.343990779452328,0.0102628358596592,1.51842321349785,1.51125272621173,1.58472316596725,0.799681910297967,0.861982051444461,0.938664629588547,0.0869502050344821,0.611240817838682,1.2014224332933,1.16168050279477,-2.34718556720912,-0.113915144571927,0.650495685365688,2.22674739564085,-2.36992241163848,-0.0199025194506206,0.800286746075252,2.14286111774296,-2.39835314961584,0.0770854930408184,0.734651035185132,2.19856141126995,-2.45777892623469,-0.497086937952698,0.301969003047798,2.32371574619667,-2.63607633991121,-0.0832439381135229,0.867424928682312,2.02393108671871,-2.61901061178108,-0.0441360538088434,0.862396072843818,2.04159845754268,-2.58648046763115,0.0224652977199051,0.415336157009411,2.55074795344682,-2.13509342543327,-0.551978642579983,0.350718210789536,2.22239793374123,-2.16391702598167,-0.794978085331904,-0.0559191392674496,1.92864932985088,-5115.31709614658
-0.193704357954533,-0.476408545265505,0.00483728654415062,0.186267927352963,-0.230621360265149,-0.0022009252659016,0.275013682568299,0.0285479769340731,0.298644871306171,-0.0842613193999502,0.0193704351014039,0.0211340894004228,-0.0402127738301747,0.0453402823104689,-0.0344694639134754,-0.00915921053933742,-0.0232280088680978,0.746312877150095,1.27218361217813,1.17382261281998,-0.101071895789681,-0.681614773812175,0.195583875727075,-1.02341862364243,-0.24399586705943,0.0750055736779641,0.204572547515822,0.521195921135967,0.0492842454029258,1.58978146328571,1.59487971474837,1.6975828478604,0.646210817848529,0.758429923450634,0.820905628615791,0.108295489188589,0.460197063044826,1.26999687106953,1.21041851569082,-2.50832135622449,0.105817152982195,0.521620266505236,2.30506323777061,-2.52687379422773,0.222442606712499,0.728954657432805,2.19549244507797,-2.5697317501733,0.357495510025707,0.634780837730558,2.27269425611201,-2.60244435470271,-0.416915574388746,0.0767896219317546,2.40607892360758,-2.80357650803996,0.151871108787393,0.815924652080487,2.03105991423307,-2.79685092659899,0.208718227644332,0.805209809019794,2.05683398591725,-2.51438866474894,-0.0643533521837387,0.622709575989873,2.68886928644051,-2.16934740734885,-0.427609190919259,0.180056043370162,2.26702999755812,-2.23022628053737,-0.749591390780517,-0.391983841552392,1.82693261816557,-4944.87761453073
-0.230428483414535,-0.541426535054429,0.00511141146215574,0.188251496147773,-0.248869832443254,-0.00275330255483127,0.296071114304792,0.033303180512842,0.293497629054865,-0.0932360632127222,0.0257915303796287,0.0245900725930701,-0.047103535893816,0.0533620270320813,-0.0407859612852665,-0.0166214489588463,-0.0290302748255116,0.688956129473318,1.29637503531198,1.22775111209425,-0.0625577033503909,-0.620743839929319,0.210861509720684,-0.963427577082952,-0.240383562883139,0.0887378545103989,0.208164264796387,0.524256548861762,0.0314985293109752,1.62963115369342,1.63559671114221,1.74710617527291,0.676160690409023,0.787408417885687,0.84766685162639,0.138151097894136,0.381280674741126,1.26763029361432,1.2259904392867,-2.56757201079878,0.123878928294123,0.51729830590356,2.33986682948724,-2.58142059505883,0.260745913245941,0.735705074385164,2.22091612525374,-2.63340639606347,0.39564991119453,0.646971680801156,2.30821287037091,-2.62480308480143,-0.476156533867855,0.0778548722261659,2.42931014618815,-2.8274641542719,0.20454607212949,0.803823618709449,2.03266171248142,-2.82513623613462,0.27392188478719,0.786935569898805,2.06294762900506,-2.41275227442689,0.00787803073534916,0.577953130872889,2.73649619733336,-2.16923460443674,-0.434076623694633,0.200084524520898,2.2846208766968,-2.25814900058569,-0.821387339584476,-0.416940937952448,1.77286339053698,-4905.57083674843
