"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB"
"asc_ruta1",0.247151290797959,0.232754153359594,0.229375204941647,0.00224086267238914,-0.0074625746716494,0.000179774771445255,0.0868250685582971,0.0226821097803237,0.108893177972077,0.118036827325077,0.106463536578022,0.0455226210620044,0.0204040683419832
"asc_ruta2",0.232754153359594,0.261771385984935,0.228793068434644,0.0015320201001691,-0.00703532927880939,0.00151972644544538,0.0851169485095744,0.023342694607049,0.108291408730572,0.117392269087828,0.106443623566696,0.0470706807741749,0.0195225789806495
"asc_ruta3",0.229375204941647,0.228793068434644,0.282888826513132,0.000748285431026449,-0.00540510032508566,0.00202098819987202,0.0839289905254251,0.0234739965573356,0.107685148926578,0.116378924830187,0.106064251445059,0.0480532603157027,0.0189911433912739
"b_time",0.00224086267238914,0.0015320201001691,0.000748285431026449,0.000681392367623448,-0.00125669980095829,-0.000866898054406574,0.00107401111416034,-0.00044189000895663,-1.56527035143273e-05,0.000407553025855519,-0.000201329498333893,-0.000967899133039233,0.000669895502845894
"b_dist",-0.0074625746716494,-0.00703532927880939,-0.00540510032508566,-0.00125669980095829,0.00928157971640796,0.00043425093446773,-0.0036717794725865,0.000524938175322107,-0.00113635776536438,-0.000235959537104101,0.000684720800969933,0.00142374036529745,0.00101740273645007
"b_cong",0.000179774771445255,0.00151972644544538,0.00202098819987202,-0.000866898054406574,0.00043425093446773,0.00657351802224417,-0.00375892979615241,-0.00142635336778509,0.00734746925224846,0.00286133603975988,0.0029260483662842,0.00364111350586435,-0.00263589416086705
"b_CSECO",0.0868250685582971,0.0851169485095744,0.0839289905254251,0.00107401111416034,-0.0036717794725865,-0.00375892979615241,0.118284091045042,0.00166261196812558,-0.0132543067063387,0.00973606840637784,-0.00318741935449537,-0.021375840815067,0.00270764937988316
"b_Hvalle",0.0226821097803237,0.023342694607049,0.0234739965573356,-0.00044189000895663,0.000524938175322107,-0.00142635336778509,0.00166261196812558,0.0682671185619927,0.000588878790609865,0.00509954321117351,0.00311786549232122,-0.00641177657534066,0.00219841343114846
"b_Joven30",0.108893177972077,0.108291408730572,0.107685148926578,-1.56527035143273e-05,-0.00113635776536438,0.00734746925224846,-0.0132543067063387,0.000588878790609865,0.363860339092842,0.130191248072657,0.122844073420369,0.00344921053638425,-0.0296883459665229
"b_Adulto40",0.118036827325077,0.117392269087828,0.116378924830187,0.000407553025855519,-0.000235959537104101,0.00286133603975988,0.00973606840637784,0.00509954321117351,0.130191248072657,0.18686503687876,0.1220376352453,-0.0108939183528044,-0.0277266182119299
"b_Adulto60",0.106463536578022,0.106443623566696,0.106064251445059,-0.000201329498333893,0.000684720800969933,0.0029260483662842,-0.00318741935449537,0.00311786549232122,0.122844073420369,0.1220376352453,0.149159037206809,-0.012161762056421,-0.00896269461569179
"b_USOCINTURON",0.0455226210620044,0.0470706807741749,0.0480532603157027,-0.000967899133039233,0.00142374036529745,0.00364111350586435,-0.021375840815067,-0.00641177657534066,0.00344921053638425,-0.0108939183528044,-0.012161762056421,0.096497100859837,0.00575002553675578
"b_USODISPMOB",0.0204040683419832,0.0195225789806495,0.0189911433912739,0.000669895502845894,0.00101740273645007,-0.00263589416086705,0.00270764937988316,0.00219841343114846,-0.0296883459665229,-0.0277266182119299,-0.00896269461569179,0.00575002553675578,0.0757681079452935
