"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB"
"asc_ruta1",0.288850036013006,0.274350466808389,0.254657247342397,0.00418548734382295,-0.0130787371008045,-0.00023417219037115,0.0945193858652895,0.0260313135650513,0.124020203426881,0.134324009397514,0.123512802429045,0.0545750370741308,0.0253640247614615
"asc_ruta2",0.274350466808389,0.302724432972989,0.256181792733425,0.00299922326043331,-0.0111201613668554,0.00152148649542863,0.0988525416713527,0.0238845688862392,0.120452714577062,0.127292796402792,0.116623601071288,0.0582945855632136,0.0262385398829951
"asc_ruta3",0.254657247342397,0.256181792733425,0.302848683647241,-0.000558406172946751,-0.00225441408523356,0.00252922893266296,0.0943576998237164,0.0224780806333038,0.117168223951506,0.127135538131667,0.11509154685861,0.0537847790608061,0.0266694268051766
"b_time",0.00418548734382294,0.0029992232604333,-0.000558406172946758,0.00122604505773456,-0.00236713275768006,-0.0014439603749327,0.000907491449956378,0.000615596767641299,-0.000138980154526321,6.88546682471015e-05,-3.20569995375023e-05,-0.00143184507814913,0.00195828340415565
"b_dist",-0.0130787371008045,-0.0111201613668554,-0.00225441408523356,-0.00236713275768006,0.00810813364344414,0.00106153040545,-0.0034833991320285,-0.000507756185976828,-0.00490283055434337,-0.00109383306073555,-0.000658119112954907,0.0015143068207877,-0.000322249960734732
"b_cong",-0.000234172190371125,0.00152148649542863,0.00252922893266297,-0.0014439603749327,0.00106153040544999,0.00727224771519751,-0.00484204108744709,-0.0026043773339508,0.00804623817203548,0.00398218680832763,0.00375372698414102,0.00536779857956203,-0.00423572426520514
"b_CSECO",0.0945193858652896,0.0988525416713528,0.0943576998237163,0.000907491449956382,-0.0034833991320285,-0.00484204108744709,0.128599005003732,0.00446957891244241,-0.00417924511551915,0.0118271797574373,-0.00265580916189435,-0.0234758161762054,0.00173820240871581
"b_Hvalle",0.0260313135650513,0.0238845688862392,0.0224780806333038,0.0006155967676413,-0.000507756185976828,-0.0026043773339508,0.0044695789124424,0.0659286475096942,-0.00831753394880337,0.0037887120703181,0.00121065840383799,-0.00821156954107367,0.00378571318015289
"b_Joven30",0.124020203426882,0.120452714577062,0.117168223951507,-0.000138980154526318,-0.00490283055434337,0.00804623817203548,-0.00417924511551907,-0.00831753394880336,0.348161276049961,0.134367497853639,0.128483747654789,0.0039560008416729,-0.0251301463272721
"b_Adulto40",0.134324009397514,0.127292796402792,0.127135538131667,6.88546682471015e-05,-0.00109383306073553,0.00398218680832764,0.0118271797574371,0.00378871207031812,0.134367497853639,0.18958620641362,0.126409315444161,-0.00268565006215406,-0.0230643501424734
"b_Adulto60",0.123512802429045,0.116623601071288,0.11509154685861,-3.20569995374956e-05,-0.000658119112954913,0.00375372698414102,-0.00265580916189424,0.00121065840383807,0.128483747654789,0.126409315444161,0.155185857852338,-0.00457956886116422,-0.00281000676535331
"b_USOCINTURON",0.0545750370741312,0.0582945855632139,0.0537847790608061,-0.00143184507814912,0.00151430682078769,0.00536779857956203,-0.0234758161762053,-0.00821156954107364,0.00395600084167294,-0.00268565006215408,-0.00457956886116412,0.102608292490211,0.00371055097353206
"b_USODISPMOB",0.0253640247614616,0.0262385398829952,0.0266694268051766,0.00195828340415565,-0.000322249960734737,-0.00423572426520514,0.00173820240871582,0.0037857131801529,-0.0251301463272721,-0.0230643501424734,-0.00281000676535331,0.00371055097353206,0.0799451792060798
