"asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2722.16591245369
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2722.16591245369
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2722.16591245369
-0.00287999998545274,-0.00422399997478351,0.00543999997898936,0.0244374648027588,-0.00228535439237021,0.00158400001237169,0.00508800000534393,0.000255999999353662,0.0250400000077207,0.019536000007065,0.00110399999539368,1.59999763127416e-05,0.000464000011561439,0.000415999995311722,0.000624000007519499,1,0.146498400314711,0.127921538951108,0.202431545052677,-0.248979659132427,1.00677422873559,1.00633958927938,1.00691053352784,1.00056269939523,-2.00286174265784,-0.990264639724046,0.997084979724605,2.00217279233038,-2.00333382497774,-0.989158853160916,0.998372104309965,2.0013337128039,-2.00360209975042,-0.988243882544339,0.997829475469189,2.00182195883826,-2.00442622063565,-0.993983462481992,0.993645290320273,2.00360685162013,-2689.29032802959
-0.0332438683061572,-0.0530317233817097,0.0826195821752105,0.321126038625256,-0.0448625303294736,-0.00111544731574859,0.0653361950134733,-0.00381913171375617,-0.00536962590724277,0.0216714281408202,0.00337683009647618,-0.00350190340696385,0.00575333212818751,0.00145696038295056,-0.00253348999760009,1,-0.00349359588139694,-0.081863029414859,0.168962527037093,-0.457449342926795,1.09605941851035,1.09001907123149,1.09819551659134,1.00721578330422,-2.04047112836468,-0.86282656014174,0.958593482746532,2.03076227835274,-2.04696918338019,-0.847333026060083,0.976851939670613,2.01890682892987,-2.05068695955067,-0.83444785484968,0.969158195199102,2.02583094213099,-2.06264867070746,-0.915409676453252,0.909945628883625,2.05077093086407,-2534.78289787904
-0.126383380746815,-0.290054631051633,0.389497194818704,0.0598761106877015,-0.402632845084944,0.0062726699946681,0.136376275450024,-0.0130606415914249,-0.134839273611106,0.20233178957016,0.0179238037209761,-0.0162662664327754,0.0313068670756901,0.0102372327874309,-0.011548191147409,1,-0.597794474901932,-0.917789282934732,0.0378473737888993,-1.28717123430851,1.4845053332646,1.45897838874265,1.5038432059513,0.999461064479768,-2.20959340249157,-0.325868199440666,0.782749102744166,2.15711216265701,-2.23611387439525,-0.252367911076338,0.877643334992459,2.09757114596322,-2.25309984570409,-0.188393510892199,0.837766332311503,2.13342386319166,-2.32033549195392,-0.592105056222496,0.536208346576857,2.2480485722069,-2221.1408613311
-0.132801515578193,-0.314660250577699,0.425150296185918,0.040131316721257,-0.431345599194542,-0.00173741842916174,0.140586003635946,-0.0173002272387772,-0.0770058804564314,0.123213659416364,0.0159930161785096,-0.0192902273660241,0.0325241029804688,0.00783850489742508,-0.0151195917713536,1,-0.607942621678712,-0.935616943162355,0.0367654155929868,-1.30409292559199,1.50780071016711,1.48286066008379,1.53245231456898,0.976246915597415,-2.23518492230044,-0.277704900890266,0.761528405324448,2.17066900250153,-2.26222359308174,-0.199220460221781,0.865589432970409,2.10631599679249,-2.28114098222232,-0.129251171261005,0.821586933415692,2.14556155647231,-2.34968944777864,-0.567685778237074,0.494942942972964,2.26595550574301,-2175.95867299879
-0.158857549460642,-0.438567805714838,0.565679944032702,0.033364627471264,-0.46453690803524,-0.00345697423127254,0.158014805290475,-0.0273725286313223,-0.0961672483747121,0.149867542872787,0.0224574721432758,-0.0295399536526258,0.048000095776663,0.0129103867639894,-0.0258247297468805,1,-0.499797161768761,-0.810814293649262,0.0691679817893326,-1.17440582231618,1.56478241517651,1.54889286325432,1.62231194222984,0.826829062326683,-2.37360157162975,-0.0852720622037666,0.658851697985425,2.23376385566195,-2.39860090423171,0.0129862048193775,0.80826658502047,2.14812018259921,-2.42851157113176,0.113399601779466,0.742295660795184,2.20411140728602,-2.48294414440773,-0.489510076781066,0.307794466916976,2.33894922084539,-2065.70415479368
-0.112307258930081,-0.717113622279042,0.770102096218694,-0.00505511355488603,-0.149683757534448,-0.0127274230410931,0.0702998615396691,-0.0644037360695937,-0.0879360331807422,0.128935465508794,0.0367291456348485,-0.0657499144542363,0.0972380849478207,0.0319335153502835,-0.0658031195610284,1,-0.361027431943369,-0.652514527966601,0.112665882390098,-1.01221674791985,1.78727318266673,1.75892223696035,1.86319501975984,1.4033681619999,-2.6099158074074,0.050812957783354,0.58176108617274,2.39030557260883,-2.61230346450237,0.19844524826333,0.817679483245355,2.26676283564258,-2.68929555552563,0.387566523001204,0.690577678612708,2.36871578690901,-2.45032386304546,-0.648412330876297,0.25603007726906,2.43346010950043,-1995.26711556617
-0.0728620122512731,-1.02763446950707,0.988192371618186,0.00548408339278003,-0.0854483597954875,-0.0322340691490189,0.0340430464600335,-0.123149103557412,-0.0844190638750511,0.127011927532229,0.0642936193169874,-0.122813126701273,0.184928601294387,0.0530502348222719,-0.11568116793921,1,-0.206711813675441,-0.434711291206471,0.180716037417892,-0.78190942225112,2.37865017749129,2.29052293220971,2.42835167460626,1.74490372793894,-2.78364314474505,0.00368217604552608,0.692602686283973,2.62550054139906,-2.73310994554922,0.258356364680575,0.988813811870823,2.46050502275604,-2.86918811281312,0.414006923041874,0.934103252659536,2.62650032847419,-2.69058849963688,-0.951238766334324,0.213836557929673,2.55361770952418,-1911.66782987725
