"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4"
"asc_ruta2",-36.390313556657,2.71500077939519,20.1050087814327,15.5146554406709,-10.0858921483112,15.6598080992813,4.96003617651122,4.69032881730169,177.323601850552,167.706551301118,8.10221080454217,2.33643592730469,1.22792068351016,3.85378159798066,6.78355441067509,-3.17646774943798e-15,3.10763753597731e-09,2.44927455740091e-09,1.99073264063801e-09,2.20422508706171e-09,9.67770962087901e-11,3.84672182149104e-10,2.22871295313905e-13,5.89159219252797e-10,7.83632002126909e-13,1.00634596268892e-10,8.02416235171253e-11,8.8472680426044e-11,9.21648472994278e-10,1.67191889653763e-10,1.18170978352215e-10,1.04704897095249e-13,6.20493012957197e-10,6.8721220237746e-11,1.24156837588707e-10,6.86206769958075e-11,5.95948530309607e-10,-7.36253355362416e-11,3.57487855758889e-10,-9.9424274810753e-12
"asc_ruta3",2.71500077939519,-19.564277156483,10.0335504677004,-16.4950853074205,-4.32061574404035,7.87723100059157,1.02075414675395,2.21065216860807,88.2701006940207,84.2889920116117,4.06549700575298,1.18378858345257,0.64676895713339,1.96713327432593,3.35155814290433,-1.03855685444752e-14,-1.74621511861282e-10,-2.77048916866968e-10,-2.45269275416731e-10,1.5333128568318e-09,-1.19387710439296e-11,1.16801455397672e-10,-9.98291997982700e-12,1.96568514794272e-10,5.36556586943515e-13,-1.2298408033495e-11,5.08373567834549e-11,-2.54710815922439e-12,6.41117187116791e-10,9.73961229860948e-11,-1.45810304003906e-11,-9.04750732509025e-12,-7.57430314970277e-11,-4.20530051478112e-12,4.13922524452586e-11,-4.01725930224218e-12,-1.7173117812178e-11,-5.12269334535334e-11,2.28596888097954e-10,-6.80795837123401e-12
"asc_rutaEC",20.1050087814327,10.0335504677004,-80.7346652319686,-162.688455377827,30.398142608025,58.3046567850281,-15.8637764878409,17.9414389134936,679.012951827511,630.660969584885,29.8158849915368,8.22989832861182,4.51681151134029,13.428344441291,26.0620307297598,7.36535777264645e-15,1.72633344441789e-08,6.24174099563978e-09,5.52586052112755e-09,6.10991678878121e-09,2.68633131652753e-10,1.02209702657239e-09,2.26943584198977e-10,1.63428556829717e-09,1.70902209634324e-09,2.79341906762567e-10,4.65009916512915e-10,2.4558041030843e-10,2.55440044403979e-09,4.64683609638771e-10,6.85354183106889e-10,2.23831633144458e-10,1.71996649234846e-09,1.9102297896036e-10,3.59603052362056e-10,1.98617195587196e-10,7.91206631472927e-10,2.36394854412902e-09,9.12187819538389e-10,3.42096217431953e-10
"b_time",15.5146554406709,-16.4950853074205,-162.688455377827,-3540.87499868049,-336.943289903272,193.444579798739,-387.112223880017,75.7732594933425,2361.07958687463,2109.89910774969,89.8593416067277,23.4972015302604,9.97849605317514,27.6055430216292,92.5153100065502,2.65667852316238e-14,7.2439820375995e-08,5.23490278516756e-08,4.2209288926758e-08,1.06988690616317e-07,4.70732084050241e-09,8.57227773586179e-09,1.90336207841164e-09,1.37066739131944e-08,1.43334679241864e-08,4.89136319537791e-09,1.8680652059404e-09,2.05967100588364e-09,2.14235956591516e-08,7.7843203039319e-09,2.50523546600172e-09,2.4513388668265e-12,-1.26724729003596e-09,3.34487712483697e-09,3.01597296519734e-09,1.66579289428948e-09,1.38646258514372e-08,-1.74155632486285e-09,1.59727880417919e-08,-2.31429865044422e-10
"b_dist",-10.0858921483112,-4.32061574404035,30.398142608025,-336.943289903272,-197.226237188875,-19.8048942835974,-38.4867190044902,-1.9103404166519,-221.128414064436,-205.771253876715,-12.279871623186,-1.42616365798912,-0.498790658202588,-9.02335119796059,-6.15498248569036,-3.95415174235971e-10,2.34977739736807e-08,-1.5967621567449e-09,-1.4365342010574e-09,1.81055251234528e-08,-6.99167680321076e-11,1.51435711875462e-09,-5.80102200843492e-11,2.31789014373486e-09,4.64944127924385e-09,8.26620475655656e-10,6.60029959892141e-10,3.48324994010499e-10,7.5704365350437e-09,1.26257523636604e-09,9.72020982222451e-10,-5.34018390133789e-11,-4.40036097976284e-10,5.156161809245e-10,4.88770219183394e-10,2.6997033699628e-10,2.34458492014587e-09,-6.04733236022803e-10,-2.33294072286144e-10,-8.0361329897623e-11
"b_clima",15.6598080992813,7.87723100059157,58.3046567850281,193.444579798739,-19.8048942835974,-103.5608158741,9.97745707326288,-29.1010010231992,-1093.00572255978,-1018.47802595875,-50.5142311215861,-13.6612794271045,-7.3366723456786,-22.9058216535591,-41.307288625505,7.2562494788965e-15,2.26572943880922e-08,7.77979438950872e-09,7.55181075453197e-09,7.61554110169322e-09,3.67636950232831e-10,1.46128886341858e-09,3.10149105661381e-10,2.23659751418936e-09,4.48313773921673e-09,7.97619060306016e-10,6.09189481281044e-10,3.35863501267433e-10,3.49578363895138e-09,5.83098196946883e-10,9.37937947939847e-10,2.81228656824838e-10,2.35385424442491e-09,2.61422757339354e-10,4.7132962171629e-10,2.6050093875156e-10,2.26236694875724e-09,3.23517367269441e-09,1.35977003225511e-09,4.2981836349945e-10
"b_cong",4.96003617651122,1.02075414675395,-15.8637764878409,-387.112223880017,-38.4867190044902,9.97745707326288,-235.006361101285,8.4559331560827,190.983342038683,128.047268900332,1.00650007265121,0.855723516594618,-2.21375947370464,-0.259268249459993,5.62099496523227,4.34248220306967e-16,5.49413860965576e-08,4.32465288001709e-08,3.48700208222195e-08,8.83862237847527e-08,1.6975441013331e-09,3.22436161682152e-09,1.57241019734947e-09,4.94283512072451e-09,1.08711001920418e-08,1.76544768362906e-09,1.5432504308857e-09,8.15572365432229e-10,1.77255039442761e-08,5.90399897348391e-09,2.06962056333137e-09,-1.2305174966825e-10,1.08536225742113e-08,1.32352390378912e-09,1.04227656487906e-09,5.76583056273659e-10,4.99973179741461e-09,1.49173980841044e-08,1.31955219175432e-08,2.17910654083552e-09
"b_Hvalle",4.69032881730169,2.21065216860807,17.9414389134936,75.7732594933425,-1.9103404166519,-29.1010010231992,8.4559331560827,-24.8424198967612,-338.792049861786,-316.292715779994,-13.728449745811,-3.36990068410487,-2.64577180363313,-5.90558753817552,-12.5706901706907,1.30681861278775e-16,-8.42758231421535e-14,-3.56609907438953e-14,-1.44191117480241e-09,1.97683630014091e-08,-7.12926006590325e-11,-1.3573173629467e-10,9.05705576949939e-13,-2.07618773408036e-10,6.47864960463818e-12,-7.28629431922032e-11,7.20636410746542e-10,-3.06669369113448e-11,-7.31836465538144e-10,1.26558881423088e-09,-8.7086507317649e-11,-5.36017141056917e-11,-4.48827664121552e-10,1.34955979372342e-14,-4.38187026346221e-11,-2.41807238983471e-11,-2.10043379064351e-10,-6.1678706089226e-10,2.9475324561649e-09,-8.32714062295012e-11
"b_T_prof",177.323601850552,88.2701006940207,679.012951827511,2361.07958687463,-221.128414064436,-1093.00572255978,190.983342038683,-338.792049861786,-19538.4534095858,-11921.6176153583,-593.057549754795,-159.546381249924,-23.5685931118586,-188.407946630069,-552.163010519293,2.66623534924362e-14,-8.77262283965453e-13,2.19868754892666e-07,1.78683204712461e-07,2.1522584659228e-07,8.69864866251724e-09,3.45755731322312e-08,9.87725928384336e-12,5.29200550358079e-08,-3.99204509590963e-13,9.85253418885608e-09,7.20233111025982e-09,3.80628807187193e-09,8.25873057076987e-08,1.50277575775489e-08,-9.49355934914347e-10,9.42648222968386e-12,5.56168293692771e-08,6.17691872782986e-09,1.16369073178285e-08,3.21780883310171e-09,2.56201774340114e-08,-6.83083992481735e-09,3.21321855155763e-08,-2.1783835762468e-13
"b_Hor_trab",167.706551301118,84.2889920116117,630.660969584885,2109.89910774969,-205.771253876715,-1018.47802595875,128.047268900332,-316.292715779994,-11921.6176153583,-11305.4588021373,-528.761749320297,-137.290786403863,-75.1583831499649,-238.158329861361,-458.323502628179,1.30877176380335e-14,-1.25713873628564e-08,-9.73866788267693e-09,-8.76102211805385e-09,1.10425733990473e-07,4.85506204105209e-09,-8.24703253597305e-10,-3.53804893891952e-10,-1.24171748916868e-09,7.87234506376192e-11,5.04156442491834e-09,4.019923626118e-09,-1.83382471816669e-10,-4.37621749828926e-09,7.700455889628e-09,-5.20845087077363e-10,-3.25698337347699e-10,-2.68378442990683e-09,4.90467983687332e-12,-2.66231157049499e-10,-1.4461896112418e-10,-1.25622139733466e-09,-3.68827387157949e-09,1.79322687236049e-08,-4.90124541220716e-10
"b_EduBasica",8.10221080454217,4.06549700575298,29.8158849915368,89.8593416067277,-12.279871623186,-50.5142311215861,1.00650007265121,-13.728449745811,-593.057549754795,-528.761749320297,-41.9835929297238,-6.8477229414643,-3.52913580908744,-12.1763961649389,-21.0875444203646,-5.22082533142447e-16,4.54627918630333e-08,-2.02928783786958e-13,-2.55852094860871e-09,7.00604969271239e-08,1.41579229059188e-09,2.69334629002579e-09,1.1927376208887e-09,4.1224459444569e-09,8.99560043940171e-09,1.47017247053598e-09,1.27699573523568e-09,6.18645186188711e-10,1.47609204922658e-08,4.68817329549385e-09,1.72876495553829e-09,-9.51106478115876e-11,9.05219662665082e-09,1.09518490440518e-09,8.69290137227638e-10,4.80149363772548e-10,4.16990610293338e-09,-1.11179604907145e-09,1.04595990714085e-08,-1.47749424686902e-10
"b_Info_traf",2.33643592730469,1.18378858345257,8.22989832861182,23.4972015302604,-1.42616365798912,-13.6612794271045,0.855723516594618,-3.36990068410487,-159.546381249924,-137.290786403863,-6.8477229414643,-11.7501228390407,-1.45665221931486,-2.49081936012545,-5.90229792750611,1.49381193666343e-16,1.42534874962642e-11,-7.08674746189297e-10,-6.37370879316262e-10,7.89661778350216e-09,-3.1021234508099e-11,-5.90603489693066e-11,-2.57446488723564e-11,2.02263250240242e-15,2.81899351016777e-12,-3.22064407185569e-11,2.87867069109462e-10,2.13401214843573e-13,3.30135062774164e-09,5.99800994336533e-10,-3.78917797780739e-11,-2.33223920317292e-11,-3.93656448814966e-10,-2.20245824444204e-11,-1.49668637272087e-14,6.92042804785839e-16,-1.13328218492628e-14,4.27214166943789e-12,1.1789290374013e-09,5.57093465318216e-13
"b_Joven30",1.22792068351016,0.64676895713339,4.51681151134029,9.97849605317514,-0.498790658202588,-7.3366723456786,-2.21375947370464,-2.64577180363313,-23.5685931118586,-75.1583831499649,-3.52913580908744,-1.45665221931486,-6.39150115022528,9.98820645463606e-09,8.76125750438073e-08,-2.68980883379967e-16,5.58182884905535e-09,4.39369555404851e-09,3.88977191149672e-09,4.68473659345452e-09,1.89361716496832e-10,7.52132119744754e-10,-1.38002230086129e-11,1.1519535483649e-09,1.2030208016122e-09,1.96909209852464e-10,1.56788182139759e-10,1.72870414025303e-10,1.80084146905331e-09,3.00340456884371e-10,2.31221697900566e-10,1.44854417349937e-10,1.21072812035615e-09,1.34464792034625e-10,2.42757287265909e-10,1.34170310434802e-10,5.57723482691937e-10,-1.43854879162519e-10,6.99408665885183e-10,2.21388659589597e-10
"b_Adulto40",3.85378159798066,1.96713327432593,13.428344441291,27.6055430216292,-9.02335119796059,-22.9058216535591,-0.259268249459993,-5.90558753817552,-188.407946630069,-238.158329861361,-12.1763961649389,-2.49081936012545,9.98820645463606e-09,-19.2492594707837,3.64550015023465e-07,-2.50777749888773e-17,6.74383742950483e-11,4.15759360900178e-08,3.37919744394225e-08,4.06981436307625e-08,1.6450595162105e-09,6.53405292012549e-09,1.86458526088254e-12,1.00007921867387e-08,1.04511532144523e-08,1.86068068184149e-09,1.48361669708811e-09,7.18828876808892e-10,1.71513111351707e-08,2.83803708688481e-09,-1.76489185644694e-10,1.36879801289069e-09,1.05180701147824e-08,1.16815330292439e-09,2.10752339565913e-09,6.07690512900242e-10,4.84518277977838e-09,-1.26987651315381e-09,6.07603732000963e-09,1.92061210173223e-09
"b_Adulto60",6.78355441067509,3.35155814290433,26.0620307297598,92.5153100065502,-6.15498248569036,-41.307288625505,5.62099496523227,-12.5706901706907,-552.163010519293,-458.323502628179,-21.0875444203646,-5.90229792750611,8.76125750438073e-08,3.64550015023465e-07,-36.1971467389194,2.69484966999072e-17,2.03725832643559e-07,-2.83971260219543e-08,-2.51399836314562e-08,1.56975598670011e-07,6.90169564391675e-09,1.19561240083799e-08,5.31098207740264e-09,2.01241339655842e-08,4.3907889809295e-08,1.43533674375592e-08,5.21188211107434e-09,6.30941737860454e-09,6.57272183235569e-08,1.09617940027917e-08,7.67431060631036e-09,-9.27378261660937e-10,-7.82522154977743e-09,4.90772321723586e-09,8.86016541968619e-09,4.89368419044677e-09,4.25000745283669e-08,-5.33481429269441e-09,2.34358386114334e-08,-7.08959930407929e-10
"lambda",-3.17646774943798e-15,-1.03855685444752e-14,7.36535777264645e-15,2.65667852316238e-14,-3.95415174235971e-10,7.2562494788965e-15,4.34248220306967e-16,1.30681861278775e-16,2.66623534924362e-14,1.30877176380335e-14,-5.22082533142447e-16,1.49381193666343e-16,-2.68980883379967e-16,-2.50777749888773e-17,2.69484966999072e-17,0,2.77567626987183e-15,-7.86608669813155e-15,-3.23368059256133e-16,-3.50145741865273e-15,3.29795531695577e-15,-1.52898366555654e-14,-7.16482614805074e-15,5.16626225994851e-15,-1.08996823509347e-16,6.31564114553185e-15,1.52036534816795e-14,7.81708959664004e-16,1.99558210756149e-15,2.19857863795699e-14,-2.75664081508676e-15,3.98912694163287e-15,2.91260463610341e-16,3.43992911756874e-15,-7.06764893523528e-15,5.85729037472403e-16,-3.57645767053344e-15,5.94902827001468e-15,1.37691142672123e-14,-2.77209213129495e-15
"gamma_EDUBASICA",3.10763753597731e-09,-1.74621511861282e-10,1.72633344441789e-08,7.2439820375995e-08,2.34977739736807e-08,2.26572943880922e-08,5.49413860965576e-08,-8.42758231421535e-14,-8.77262283965453e-13,-1.25713873628564e-08,4.54627918630333e-08,1.42534874962642e-11,5.58182884905535e-09,6.74383742950483e-11,2.03725832643559e-07,2.77567626987183e-15,-173.326012955938,-131.814853708876,-24.5080595103205,-129.086104901786,-5.4903493592773,-1.3421783518472,-5.24952978990742,1.21525675948491,5.46634658732864,3.3112767092342,1.40360481285991,1.00985228472157,5.96019801098413,2.31108077026722,0.495564766480016,0.336624270483603,5.21722115985552,2.29214239381445,0.976759794783464,0.941313728226729,5.84896326784202,3.24200231286665,1.68640231679873,0.787354746392413
"gamma_CSECO",2.44927455740091e-09,-2.77048916866968e-10,6.24174099563978e-09,5.23490278516756e-08,-1.5967621567449e-09,7.77979438950872e-09,4.32465288001709e-08,-3.56609907438953e-14,2.19868754892666e-07,-9.73866788267693e-09,-2.02928783786958e-13,-7.08674746189297e-10,4.39369555404851e-09,4.15759360900178e-08,-2.83971260219543e-08,-7.86608669813155e-15,-131.814853708876,-255.824786685945,-47.1911275408791,-200.55759654306,-8.34905187432363,-4.59804386333713,-9.18605848958968,2.60588117573592,7.43380489366915,5.25034646503218,2.18616126147815,1.34062031957696,8.65932063269077,3.82321792863871,0.918818542191701,0.791816948237296,7.12537881188166,3.34696116447085,1.64382049551171,1.74669821684438,8.09652316818725,4.36451020065784,3.26452779718677,1.25794300054613
"gamma_CONG_EF",1.99073264063801e-09,-2.45269275416731e-10,5.52586052112755e-09,4.2209288926758e-08,-1.4365342010574e-09,7.55181075453197e-09,3.48700208222195e-08,-1.44191117480241e-09,1.78683204712461e-07,-8.76102211805385e-09,-2.55852094860871e-09,-6.37370879316262e-10,3.88977191149672e-09,3.37919744394225e-08,-2.51399836314562e-08,-3.23368059256133e-16,-24.5080595103205,-47.1911275408791,-58.5400944722455,-47.9079180990539,-2.69762121793007,-2.54138945958353,-3.87936728463464,-0.154764637120007,1.27405259971146,1.06240403173962,0.695696287405577,0.393916204495793,1.34505426986081,0.90778710478213,0.378684788045094,0.483793232080226,1.28298650872303,1.00601844203238,0.538576132584561,0.875277999682692,1.08495785637681,0.690455267899725,0.843994956013385,0.461122336408182
