"asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_0","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_0","b_ACC_1","b_ACC_2","b_NO_CAMFD","b_SI_CAMFD","b_NO_PANEL","b_SI_PANEL","b_NO_ZER","b_SI_ZER","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_CONG_CD","b_CONG_EF","b_USOCINTURON","b_USODISPMOB","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_EduBasica","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_4","b_NoInfo_traf","lambda_1","lambda_2","gamma_CONG_EF","gamma_USOCINTURON","gamma_EDUBASICA","gamma_EXP_2","gamma_CONG_CD","gamma_USODISPMOB","gamma_LV1","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel1","zeta_UsoCel2","zeta_PasoPeaton","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-3779.46064276721
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-3779.46064276721
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-3779.46064276721
0.0716728827683255,-0.232327118283138,-0.336327117111068,1.62008653205703,-0.294963785563596,0.323433636367554,0,0.0204386487894226,0.0374808478227351,0.0209823811019305,-0.0667495041852817,0.0697504983691033,0.00972701309365221,-0.0794775151007343,0.131821845570812,-0.131821845570812,0.102856338344282,-0.168349477462471,0.0529564895259682,-0.0529564895259682,0.397854280890897,0.290643223706866,0.0234456965699792,0.145608242746675,0.227190554141998,0,0,0.393121390516171,0.177247893589083,0.0460642550024204,0.274513506155927,0.178852282260777,0.323960975947557,0.0536778643436264,0.0841163819131907,0.0677319549140521,0.105415609141346,0.384209291951265,1,0.513889590161852,-0.133863042719895,0.160883053467842,0.778726662247209,0.244302573264577,0.29828096012352,0.386668620194541,0,1.53849499090575,1.56525774925831,1.5802322011732,1.08934401921579,1.56085862161126,1.60894670241396,0.889882481511449,1,0.944122948363656,0.86670604266692,-2.20256179777789,-0.165777771850116,0.713641369453399,2.18945689225802,-2.19335424804012,-0.137403436179738,0.855357142223511,2.09337421943201,-2.26239795988658,-0.0105126853450199,0.771775059343781,2.15540698586847,-2.31132435469772,-0.486178348888643,0.427814058435615,2.3171946045768,-2.21859424305148,0.046682693413459,0.921697199170012,2.0376325333491,-2.21586677394225,0.0853753701667304,0.905622378719272,2.05909236278967,-2.4552560421871,-0.375303719716612,0.575466958049219,2.26589275512379,-2.11731187623809,-0.70662769919727,0.352370214182883,2.28268489768379,-2.17734862558427,-0.853281024115859,0.162104595598066,2.06359186227201,-3662.39764494161
0.159660017586282,-0.286852071455797,-0.507323265106747,1.27154768260298,-0.477891128039006,0.335291803407711,0,0.0311636586356586,0.0591316511842399,0.0247404990947576,-0.0984167882156427,0.0990605408611643,0.002444285471454,-0.101504831468085,0.180313635588851,-0.180313635588851,0.150188760818852,-0.2328354572181,0.0728775543519323,-0.0728775543519324,0.504473368623294,0.378146639438862,0.0305496351457693,0.199118844213538,0.275947434248871,0,0,0.500108916784437,0.234837142903892,0.0609557638456822,0.358299125357285,0.219351200489061,0.417446773897223,0.070475242765472,0.112970228754251,0.0862851116073934,0.14036690451958,0.491372249577102,1,0.428503608422118,-0.19995016079576,0.073239201386319,0.99905458523503,0.322299382503598,0.384903630577231,0.48932482933219,0,1.71343065121699,1.74840620980796,1.77133063422955,1.11623119140819,1.7517900353731,1.81325845204649,0.846251500961093,1,0.912191128859789,0.829094969142169,-2.26147577984222,0.0900404986657454,0.620909051984798,2.25550771308344,-2.24672257896705,0.125453071366505,0.81115174136476,2.12791243939984,-2.33552125215177,0.295022745055724,0.696135995442013,2.21166377531962,-2.40296778171161,-0.349093647162528,0.254520098013641,2.41328912157657,-2.2712139383081,0.372400411982604,0.897915124657946,2.05276576562238,-2.26847537941994,0.426588062418143,0.873930293027696,2.08249401100371,-2.58059288303057,-0.21499501031415,0.454270429019367,2.35094043128659,-2.14610296911972,-0.616113915762008,0.160357035816876,2.35893502533933,-2.23765051047884,-0.810166503067711,-0.101591537341323,2.04822660170496,-3320.30709726414
0.436330060312026,-0.379880965675695,-0.492689198269152,1.10251490992803,-0.255785589128719,0.350099333601723,0,0.0923624466320901,-0.0225915138237833,0.0409219573638733,-0.0944106148664196,0.153474455113437,0.00685726866817521,-0.160331709035114,0.172546197193325,-0.172546197193325,0.100375249429998,-0.228237227978733,0.0609997007771082,-0.0609997007771082,0.30660358021594,0.209657227763607,0.0143158939754051,0.202658713047262,0.097946418843447,0,0,0.353382052834371,0.180221692291077,0.0753621069268993,0.252170702313443,0.120086391214725,0.300820280771432,0.0125865613228817,0.136762685113482,0.105932918498438,0.139035396638969,0.31373461630626,1,0.154542212062301,-0.231216154354206,-0.151341067129177,1.14411448064821,0.434832180860888,0.468534943911767,0.497289715746535,0,1.95448052551858,1.99122106873242,2.05039577710239,1.20942956793078,2.02712661955141,2.11760139522961,0.853240238829264,1,0.709469724260342,0.729604482999199,-2.4182656386154,0.252779964421977,0.724200086265052,2.39133963888136,-2.38487494853196,0.359967166429945,0.938769637347842,2.20396354359185,-2.53231681836047,0.566746294517148,0.823748021183245,2.33491116319411,-2.52800345650951,-0.64358767067823,0.438026092036902,2.57969148493056,-2.41028232258816,0.767214388010425,1.0384881088111,2.09147344516741,-2.41920159640834,0.903295271791992,0.958158733730227,2.14185338812627,-2.72185307979421,-0.493445181127177,0.763075745029099,2.51097201615582,-2.12696218688537,-0.726866123935228,0.135501091390379,2.43019620275958,-2.34561602377716,-0.996157882233713,-0.279952197515191,1.87652552348404,-3139.66853992421
0.611371503970994,-0.450599957183149,-0.495766243313945,0.98653419469967,-0.136604465245493,0.353493386800815,0,0.131998300021988,-0.0725433261481887,0.0514156285434184,-0.0926238875952909,0.192112120708174,0.00969690450138306,-0.201808997874511,0.172479666556151,-0.172479666556151,0.0710947667941879,-0.230759145468099,0.0563924072978016,-0.0563924072978016,0.201162019805474,0.118399360306097,0.00536653652025924,0.213143690541062,-0.0044850672979623,0,0,0.280044788226694,0.15544971738166,0.0874693775331754,0.199420861022184,0.064117441146673,0.242695662841605,-0.0202528101715928,0.156700822578451,0.121899092916858,0.143818773102827,0.219881126074617,1,-0.06964261978269,-0.225859109588458,-0.188056503898941,1.24791462522019,0.509555291430742,0.534323418548558,0.507412642246989,0,2.10374540381522,2.13738001735047,2.22165853860247,1.28619808573799,2.18996714116965,2.29939862400217,0.880691246823398,1,0.578832535541851,0.641784703871999,-2.52763248626271,0.339007776270449,0.808788079861103,2.48570905186641,-2.47987627522828,0.487015130933462,1.04082418963485,2.25974684145883,-2.66864533355162,0.696388143512764,0.950607603881563,2.42192101231489,-2.62422841553511,-0.754913288270336,0.488308787011071,2.6952013210166,-2.50778385060072,0.959555890019506,1.18579034902987,2.12218384137376,-2.5249708936381,0.920011417116914,1.29758602220737,2.18502653427971,-2.81921998379485,-0.570540260335883,0.872957196125071,2.62639134677628,-2.1136413824794,-0.779367867432147,0.101677173483496,2.45880794996143,-2.42023370833165,-1.11437725454493,-0.395769538062345,1.76086237063819,-3043.53041253491
1.20063479825983,-0.771313432584917,-0.502443055673693,0.496964526525713,0.191377333520709,0.305550179518768,0,0.279572426942248,-0.260549386067873,0.104113866003892,-0.069818533383148,0.357553882707009,0.0245542043789684,-0.38210800642084,0.183348271345584,-0.183348271345584,-0.0563112254999376,-0.238690600032723,0.0569561763162364,-0.0569561658514909,-0.0962355609137935,-0.142805320582257,-0.0199436761327675,0.294825225924748,-0.342126203310211,0,0,0.089966684115228,0.12623737098893,0.152850101081826,0.0664811126852481,-0.11508496064173,0.109183462911023,-0.11691625199026,0.257650691176583,0.19863432431217,0.183229011093976,-0.0494309606279112,1,-1.25695159765561,-0.0153440838649757,0.0777307875713625,1.51121483722902,0.743024322907162,0.818856704369752,0.462253419640032,0,2.54524718949873,2.52452766404726,2.72822502785677,1.69057586599923,2.61614916638562,2.7998201912799,1.14505688063501,1,0.0166211635646166,0.186359255051146,-2.98418298141195,0.380913169307682,1.31218585114103,2.87794547390666,-2.86357320721648,0.625964835884532,1.60878072763472,2.5243095784376,-3.23203964903596,0.755105160756423,1.73458983017248,2.80660360011597,-3.05844444238308,-0.842458361017295,0.423094425604662,3.13965808877099,-2.9168649899723,1.01685667735071,2.2189652123713,2.30424240318568,-2.99354954968272,1.60399253281973,1.80958472200343,2.45611285666545,-3.14613558315755,-0.419216803954089,0.888161226072787,3.10906528090061,-2.02287363565084,-0.88394008772153,-0.00500482889126705,2.36664113365584,-2.71433213620804,-1.5695142223846,-0.646782953181405,1.26783770401868,-2836.34805164709
1.51528866136775,-1.01074392683101,-0.490289450142326,0.280982458381859,0.301414621748083,0.316687719499013,0,0.382838343603307,-0.393269120112826,0.16904512618438,-0.0342131111374702,0.506306900061854,0.036368628022667,-0.542675397709758,0.200179560450252,-0.200179560450252,-0.178781700600294,-0.229168681638552,0.0891879714074335,-0.089187951599059,-0.223791908696349,-0.249213692195947,-0.0352760105012039,0.383556456357364,-0.541443086653474,0,0,0.0189184400120317,0.174607747548499,0.218693689208226,0.0256346900174273,-0.217687560257426,0.132067186568811,-0.185943738830868,0.381730164672298,0.276458486125466,0.218010233762747,-0.180463559551675,1,-2.11857576363079,0.130731724889549,-0.382670577379884,1.454125384062,0.814219169543481,0.997505730645774,0.266568573802822,0,2.86462284895371,2.76969709002638,3.10499856654305,2.0405604830254,2.89161958422425,3.12483941015738,1.31831716214493,1,-0.530571075691091,-0.192780317462586,-3.33973909061986,0.322095560325547,1.68931584477779,3.23252576839547,-3.1468518287913,0.610932059925057,2.0204446509652,2.81000795609752,-3.66464721274162,0.716425059995028,2.29345960695222,3.20203729517235,-3.40969465423018,-0.86983471470982,0.306004528786989,3.47107937340403,-3.21689909522398,0.962236409114864,2.22594177263822,3.30238047765998,-3.34801361708531,1.9939191417746,2.19374689743715,2.76610323646093,-3.32579822003865,-0.273289398391627,0.788771845449995,3.49021997785736,-1.93533843794662,-0.890894677455148,-0.059383525987893,2.13262153866168,-2.96992558117746,-1.84746470400339,-0.760361804529782,0.816042319709408,-2729.08995272194
1.51100398314875,-1.0007335320538,-0.466668178586442,0.276544469701734,0.214065755729871,0.451735211925958,0,0.399738205854063,-0.419361045421523,0.203300693682644,0.00952250872870964,0.601601138663758,0.0191692718806013,-0.620770259160586,0.221279135230979,-0.221279135230979,-0.20898395973547,-0.247857373096844,0.115488386232834,-0.115488361502002,-0.271517855151298,-0.266434445047215,-0.0526789202332189,0.428071106586357,-0.632017866176282,0,0,-0.0421658201486751,0.219477475842193,0.2437189935224,0.0238913790915174,-0.265228041718271,0.214361670752133,-0.220944389969578,0.466257743572707,0.311299329669393,0.214984747032932,-0.233135504367636,1,-2.36913900544061,0.15550986887208,-0.830785712350864,1.1570540544173,0.685933115951186,0.976455657805709,0.0910158274846691,0,3.03017728556992,2.88918114072883,3.31841830709789,2.13870710058173,3.03966591864181,3.27649352406138,1.26180853110949,1,-0.674676438630972,-0.373770970982907,-3.46865621565607,0.285226406444992,1.72807453168343,3.44502884715151,-3.22707354228348,0.567480372097511,2.05601569272311,3.03960058771378,-3.81101908784514,0.690641708614724,2.36231112973159,3.50647891289991,-3.56594754192112,-0.913141039509952,0.179523586446331,3.58864792496605,-3.28527692285259,0.908903526400372,2.57972447490303,3.39911884124487,-3.44438710941191,2.04451568856422,2.31343479577645,3.01101343020637,-3.31863229175724,-0.329455617160633,0.700248168084653,3.64504090832582,-1.9655213192386,-0.828225435496081,-0.0701720882680802,1.96338588209059,-3.12373230206065,-1.83679650151647,-0.916259681938508,0.671059576677227,-2689.75044874439
