"","asc_ruta1","asc_ruta2","b_tt","b_dt","b_Sem","b_CongCD","b_CongEF","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",0.038367500248758,0.0204468549759228,-0.00370392135058537,0.000103414827368566,-0.00222580022095513,0.0272645599003387,0.0201689801889761,0.00366778342822708,0.0227216021721834,-0.000916779267658746,-0.0034607444508729,-7.0287668168108e-05,-0.00520429057782243
"asc_ruta2",0.0204468549759228,0.0595001457277143,0.00039124406872233,0.00101602466761268,-0.000322642254437695,0.0268923072716377,0.0178112725941248,-0.000863371012026341,0.0464231559039569,-0.00252224607932249,-0.00360280157267103,0.00503867994472478,-0.011036848394156
"b_tt",-0.00370392135058537,0.000391244068722329,0.0462097464637103,-0.00154608318756869,0.00267501924432461,-0.0149316827007124,-0.0136087609329451,-0.00029003911326547,-0.00587162799859488,-0.00441636998291437,-0.00293369623018958,-0.000957433396885505,0.0025755265460897
"b_dt",0.000103414827368566,0.00101602466761268,-0.00154608318756869,0.0566772127799104,0.000156685395943377,-0.00862897244854304,-0.0159739039352271,-0.00359190225724722,0.00540454036621686,-0.00428250283263368,-0.00193126373589377,0.00175745310055755,-0.00732318059940864
"b_Sem",-0.00222580022095513,-0.000322642254437694,0.00267501924432461,0.000156685395943376,0.0090492887057704,0.00311636691093549,0.00406509549389931,-0.00141631115553393,0.00235262425232666,0.00131558713565132,-0.00191849309757443,0.000249767253945398,-0.000437574955701978
"b_CongCD",0.0272645599003388,0.0268923072716377,-0.0149316827007124,-0.00862897244854305,0.00311636691093548,0.14210705036602,0.0740650237061981,0.00840189805692529,0.0548911609898472,-0.000797422609206727,-0.00891347712718727,0.00438599182049855,-0.00160107458102535
"b_CongEF",0.0201689801889761,0.0178112725941248,-0.0136087609329451,-0.0159739039352271,0.00406509549389931,0.0740650237061981,0.0782731689156097,0.0058214580131037,0.0477934911709048,-0.00245842775892056,-0.00485389535344034,-0.00187002439985909,0.0023986802087325
"b_ACC_1",0.00366778342822708,-0.00086337101202634,-0.00029003911326547,-0.00359190225724722,-0.00141631115553393,0.00840189805692529,0.0058214580131037,0.0335677726146347,-0.0126474478117334,-0.000658614920368974,-0.000120325414048412,-0.00122620475775976,0.000839821447322546
"b_ACC_2",0.0227216021721834,0.0464231559039569,-0.00587162799859488,0.00540454036621686,0.00235262425232666,0.0548911609898472,0.0477934911709048,-0.0126474478117335,0.441573050465121,-0.0137383915450294,-0.0165793215863508,-0.0263516102636826,-0.0226529450820698
"b_SI_CAMFD",-0.000916779267658747,-0.00252224607932249,-0.00441636998291437,-0.00428250283263368,0.00131558713565132,-0.000797422609206729,-0.00245842775892056,-0.000658614920368974,-0.0137383915450294,0.0480426977903079,-0.00149406617689536,0.00999402249832142,-0.00199977941843188
"b_SI_PANEL",-0.0034607444508729,-0.00360280157267103,-0.00293369623018958,-0.00193126373589377,-0.00191849309757443,-0.00891347712718727,-0.00485389535344034,-0.000120325414048412,-0.0165793215863508,-0.00149406617689536,0.0185264014176912,-0.00345446457873692,-0.00327202623926321
"b_SI_ZER",-7.02876681681083e-05,0.00503867994472478,-0.000957433396885505,0.00175745310055755,0.000249767253945398,0.00438599182049855,-0.00187002439985909,-0.00122620475775976,-0.0263516102636826,0.00999402249832142,-0.00345446457873692,0.0255554514952897,-0.0028642792774782
"b_Si_MTRP",-0.00520429057782243,-0.011036848394156,0.0025755265460897,-0.00732318059940864,-0.000437574955701976,-0.00160107458102535,0.0023986802087325,0.000839821447322546,-0.0226529450820698,-0.00199977941843188,-0.00327202623926321,-0.0028642792774782,0.0438831877907851
