"","asc_ruta1","asc_ruta2","b_tt","b_dt","b_Sem","b_CongCD","b_CongEF","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",1,0.408165130090235,-0.0423199988697401,0.0409175248882139,-0.183470288226254,0.252883430415194,0.390341074747982,0.040122459389022,0.0315705341650409,0.040474537330518,0.00987276953005074,0.00665076213359843,-0.0648199482172976
"asc_ruta2",0.408165130090235,1,-0.0102013575776296,0.0717335220580868,-0.0136816090791134,0.19858574387023,0.260438291004168,-0.0033496059966962,0.0652866046426593,-0.0401590027728042,-0.0205539060674333,0.00844405843911981,-0.158301811099755
"b_tt",-0.0423199988697401,-0.0102013575776296,1,-0.170610731626978,0.0185403920422303,-0.170406606251957,-0.19340099923067,-0.0714924663534179,-0.0338288947445493,-0.0819775431053238,0.00307813349417508,-0.0628443205552513,-0.0367628179296992
"b_dt",0.0409175248882139,0.0717335220580868,-0.170610731626978,1,0.117286695077542,-0.116310259522528,-0.220356134531695,-0.0199288236472165,0.0281912942284971,-0.122378667564003,-0.0404742238619749,-0.0443442626191941,-0.0684677959529297
"b_Sem",-0.183470288226254,-0.0136816090791134,0.0185403920422303,0.117286695077542,1,0.069844556965805,0.0447653128635129,-0.0184857782839407,0.0764184851702482,-0.0449588337815745,-0.0865546621036389,-0.0370995846302251,-0.125441513998038
"b_CongCD",0.252883430415194,0.19858574387023,-0.170406606251957,-0.116310259522528,0.069844556965805,1,0.685342628262496,0.090280181090868,0.0965624550595777,0.0495321968299839,-0.0725388102923983,0.0185654223902602,-0.0418702038667487
"b_CongEF",0.390341074747982,0.260438291004168,-0.19340099923067,-0.220356134531695,0.0447653128635129,0.685342628262496,1,0.0778353137279298,0.103177368911648,0.0361094603717623,-0.0778635151660621,0.0107445162912557,-0.00316724339650221
"b_ACC_1",0.040122459389022,-0.0033496059966962,-0.0714924663534179,-0.0199288236472165,-0.0184857782839407,0.090280181090868,0.0778353137279298,1,0.00501894266338154,-0.000121585297230269,-0.0349900075471108,0.0178519571265314,0.0272635566201323
"b_ACC_2",0.0315705341650409,0.0652866046426593,-0.0338288947445493,0.0281912942284971,0.0764184851702482,0.0965624550595777,0.103177368911648,0.00501894266338154,1,-0.03676367186772,-0.0254900369063327,-0.127997855158821,-0.080921284120975
"b_SI_CAMFD",0.040474537330518,-0.0401590027728042,-0.0819775431053238,-0.122378667564003,-0.0449588337815745,0.0495321968299839,0.0361094603717623,-0.000121585297230269,-0.03676367186772,1,-0.0584059457153236,0.134219772320454,0.104306824001869
"b_SI_PANEL",0.00987276953005074,-0.0205539060674333,0.00307813349417508,-0.0404742238619749,-0.0865546621036389,-0.0725388102923983,-0.0778635151660621,-0.0349900075471108,-0.0254900369063327,-0.0584059457153236,1,-0.034871381126941,-0.0634795829112185
"b_SI_ZER",0.00665076213359843,0.00844405843911981,-0.0628443205552513,-0.0443442626191941,-0.0370995846302251,0.0185654223902602,0.0107445162912557,0.0178519571265314,-0.127997855158821,0.134219772320454,-0.034871381126941,1,-0.0609163216672322
"b_Si_MTRP",-0.0648199482172976,-0.158301811099755,-0.0367628179296992,-0.0684677959529297,-0.125441513998038,-0.0418702038667487,-0.00316724339650221,0.0272635566201323,-0.080921284120975,0.104306824001869,-0.0634795829112185,-0.0609163216672322,1
