"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_CongCD","b_CongEF","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",0.0877450827590167,0.0740297715345659,0.0751975901295704,0.0048313558040564,-0.0295040769193958,-0.00394596313575067,0.00113904362160618,-0.000591665898509225,0.0016834194312913,-0.00166058472211141,0.00185157125655632,0.000224739417763232,-0.00017911388573195,-0.00210232716382896
"asc_ruta2",0.0740297715345659,0.103210997805067,0.072668344989794,0.0206433449322571,0.000797912339112673,-0.00106979489630649,6.43036378587419e-05,-0.00259159932196057,-0.000901186165603597,-0.00364431924267627,-0.00159639944177134,0.000367514142000666,-0.00110468717651656,-0.00704889464047386
"asc_ruta4",0.0751975901295704,0.072668344989794,0.127363909982101,-0.0349391599205443,-0.00226860706913942,0.000552624802932003,-0.00775192699379776,-0.0253041289078778,0.00244335700323757,-0.0118878292024631,0.000438264760903944,-0.00265155580743736,-0.00166787953193761,0.000264472631833389
"b_tt",0.0048313558040564,0.0206433449322571,-0.0349391599205443,0.296834674810806,-0.129217552905905,-0.00658070476261916,-0.0049912577871176,-0.0148514765032708,-0.00481853100315326,0.00166997244245918,-0.0118432151107319,0.00380850957282171,-0.00836262027647798,-0.0130826658013207
"b_dt",-0.0295040769193958,0.000797912339112673,-0.00226860706913942,-0.129217552905905,0.533236775286961,0.0239450386220391,-0.00426623581054559,-0.00119304002655094,-0.00613558156666177,0.00456646912703626,-0.00667852861916847,-0.00290217985386275,-0.00310153899863784,-0.0146362655848354
"b_Sem",-0.00394596313575067,-0.00106979489630649,0.000552624802932003,-0.00658070476261916,0.0239450386220391,0.00721355629846956,0.000305288609855734,0.00018088797722345,-0.00103272455630316,0.00149848146962613,-0.000823138349971225,-0.000621311241521626,-0.000288160459127394,-0.00199444264624895
"b_CongCD",0.00113904362160618,6.43036378587419e-05,-0.00775192699379776,-0.0049912577871176,-0.00426623581054559,0.000305288609855734,0.0172896369130658,0.0100252121799853,0.00154309223104083,0.00275993707384184,0.00134143605915521,-4.90685308216041e-05,0.000839970042093519,-0.00144560047510284
"b_CongEF",-0.000591665898509225,-0.00259159932196057,-0.0253041289078778,-0.0148514765032708,-0.00119304002655094,0.00018088797722345,0.0100252121799853,0.0206441468177472,0.000679467624103141,0.00500390768720249,0.000809129705151113,-0.000427144510832864,0.00157599367970345,0.000975986816392719
"b_ACC_1",0.0016834194312913,-0.000901186165603597,0.00244335700323757,-0.00481853100315326,-0.00613558156666177,-0.00103272455630316,0.00154309223104083,0.000679467624103141,0.0245773388653961,0.00177631206930968,-0.000798037033248986,-0.00083502547539949,-0.000497986780499802,0.00144185406197552
"b_ACC_2",-0.00166058472211141,-0.00364431924267627,-0.0118878292024631,0.00166997244245918,0.00456646912703626,0.00149848146962613,0.00275993707384184,0.00500390768720249,0.00177631206930968,0.456385757044271,-0.000101659125277355,0.00307700355972619,-0.000167492343365748,-0.00358149682472897
"b_SI_CAMFD",0.00185157125655632,-0.00159639944177134,0.000438264760903944,-0.0118432151107319,-0.00667852861916847,-0.000823138349971225,0.00134143605915521,0.000809129705151113,-0.000798037033248986,-0.000101659125277355,0.0219540817476565,-0.00112620429493792,0.00218768793707533,0.00291653151060656
"b_SI_PANEL",0.000224739417763232,0.000367514142000666,-0.00265155580743736,0.00380850957282171,-0.00290217985386275,-0.000621311241521626,-4.90685308216041e-05,-0.000427144510832864,-0.00083502547539949,0.00307700355972619,-0.00112620429493792,0.0112714407864135,0.000183081114374983,-0.00123835699076455
"b_SI_ZER",-0.00017911388573195,-0.00110468717651656,-0.00166787953193761,-0.00836262027647798,-0.00310153899863784,-0.000288160459127394,0.000839970042093519,0.00157599367970345,-0.000497986780499802,-0.000167492343365748,0.00218768793707533,0.000183081114374983,0.0160548377623854,-0.000548621642902556
"b_Si_MTRP",-0.00210232716382896,-0.00704889464047386,0.000264472631833389,-0.0130826658013207,-0.0146362655848354,-0.00199444264624895,-0.00144560047510284,0.000975986816392719,0.00144185406197552,-0.00358149682472897,0.00291653151060656,-0.00123835699076455,-0.000548621642902556,0.0307431839592793
