"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_CongCD","b_CongEF","b_ACC_1","b_ACC_2"
"asc_ruta1",-63.2760829151496,13.2113125198577,45.197498617651,-53.0734246423046,-3.84625133765676,-667.473068409733,2.22594304347916e-10,2.22594304347916e-10,2.22594304347916e-10,2.22594304347916e-10
"asc_ruta2",13.2113125198577,-32.8239531748923,17.7059096022775,8.62139642100978,0.26514583389288,-131.488512530383,2.87697082861912e-07,2.87697082861912e-07,2.87697082861912e-07,2.87697082861912e-07
"asc_ruta4",45.197498617651,17.7059096022775,-69.4265658526228,40.8016206795206,3.21777412863797,870.791717228132,-9.28450666636564e-09,-9.28450666636564e-09,-9.28450666636564e-09,-9.28450666636564e-09
"b_tt",-53.0734246423046,8.62139642100978,40.8016206795206,-44.7527258254801,-3.26928145821592,-589.947857428673,-1.61149751195551e-12,-1.61149751195551e-12,-1.61149751195551e-12,-1.61149751195551e-12
"b_dt",-3.84625133765676,0.26514583389288,3.21777412863797,-3.26928145821592,-0.24343727169848,-45.23875301157,7.94850136697461e-15,7.94850136697461e-15,7.94850136697461e-15,7.94850136697461e-15
"b_Sem",-667.473068409733,-131.488512530383,870.791717228132,-589.947857428673,-45.23875301157,-11249.3958543251,5.32646112265768e-08,5.32646112265768e-08,5.32646112265768e-08,5.32646112265768e-08
"b_CongCD",2.22594304347916e-10,2.87697082861912e-07,-9.28450666636564e-09,-1.61149751195551e-12,7.94850136697461e-15,5.32646112265768e-08,0,-17.1203173947444,0,0
"b_CongEF",2.22594304347916e-10,2.87697082861912e-07,-9.28450666636564e-09,-1.61149751195551e-12,7.94850136697461e-15,5.32646112265768e-08,-17.1203173947444,0,0,0
"b_ACC_1",2.22594304347916e-10,2.87697082861912e-07,-9.28450666636564e-09,-1.61149751195551e-12,7.94850136697461e-15,5.32646112265768e-08,0,0,0,0
"b_ACC_2",2.22594304347916e-10,2.87697082861912e-07,-9.28450666636564e-09,-1.61149751195551e-12,7.94850136697461e-15,5.32646112265768e-08,0,0,0,0
