"...1"	"ViajeId"	"MUESTRA"	"VALIDAR"	"GENERO"	"TIEMPO_PROFESION"	"HORAS_TRABAJO"	"NIVEL_EDUCATIVO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"CONG_A1"	"DISTAlt2"	"TIEMPOAlt2"	"CONG_A2"	"DISTAlt3"	"TIEMPOAlt3"	"CONG_A3"	"DISTEC"	"TIEMPOEC"	"Semaf_A1"	"Semaf_A2"	"Semaf_A3"	"Semaf_EC"	"CamFD_A1"	"CamFD_A2"	"CamFD_A3"	"CamFD_EC"	"ZER_A1"	"ZER_A2"	"ZER_A3"	"ZER_EC"	"MtrP_A1"	"MtrP_A2"	"MtrP_A3"	"MtrP_EC"	"Acc_EC"	"Acc_A1"	"Acc_A2"	"Acc_A3"	"Paneles_EC"	"Paneles_A1"	"Paneles_A2"	"Paneles_A3"	"INFOTRAFICO"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"COSTO"	"CHOICE"	"Experiencia"	"PasoPeaton"	"UsoPito"	"CinSeg"	"FRbr"	"UsoDirec"	"EnfCond"	"AFrSem"	"CulFr"	"OmLmVel"	"IgPare"	"UsoCel"	"ComVrb"	"Ans"	"ComAfec"	"PrPer"	"AmbTr"	"StrC"	"ConCl"	"DispMob"	"JOVEN30"	"ADULTO40"	"ADULTO60"	"ADULTOMAYOR"	"EDUBASICA"	"EDUSUP"	"EDUNR"	"HPICO"	"HVALLE"	"CSECO"	"CLLUVIA"	"CONG_AB_A1"	"CONG_CD_A1"	"CONG_EF_A1"	"CONG_AB_A2"	"CONG_CD_A2"	"CONG_EF_A2"	"CONG_AB_A3"	"CONG_CD_A3"	"CONG_EF_A3"	"CONG_AB_EC"	"CONG_CD_EC"	"CONG_EF_EC"	"SININFOTRF"	"CONINFOTRF"	"USOCINTURON"	"NOUSOCINTURON"	"USODISPMOB"	"NOUSODISPMOB"	"NO_MTRP_A1"	"NO_MTRP_A2"	"NO_MTRP_A3"	"NO_MTRP_EC"	"SI_MTRP_A1"	"SI_MTRP_A2"	"SI_MTRP_A3"	"SI_MTRP_EC"	"NO_ZER_A1"	"NO_ZER_A2"	"NO_ZER_A3"	"NO_ZER_EC"	"SI_ZER_A1"	"SI_ZER_A2"	"SI_ZER_A3"	"SI_ZER_EC"	"HTRB_1"	"HTRB_2"	"HTRB_3"	"SEMF_A1_1"	"SEMF_A1_2"	"SEMF_A1_3"	"SEMF_A2_1"	"SEMF_A2_2"	"SEMF_A2_3"	"SEMF_A3_1"	"SEMF_A3_2"	"SEMF_A3_3"	"SEMF_EC_1"	"SEMF_EC_2"	"SEMF_EC_3"	"NO_CAMFD_A1"	"SI_CAMFD_A1"	"NO_CAMFD_A2"	"SI_CAMFD_A2"	"NO_CAMFD_A3"	"SI_CAMFD_A3"	"NO_CAMFD_EC"	"SI_CAMFD_EC"	"ACC_A1_0"	"ACC_A1_1"	"ACC_A1_2"	"ACC_A2_0"	"ACC_A2_1"	"ACC_A2_2"	"ACC_A3_0"	"ACC_A3_1"	"ACC_A3_2"	"ACC_EC_0"	"ACC_EC_1"	"ACC_EC_2"	"NO_PANEL_A1"	"SI_PANEL_A1"	"NO_PANEL_A2"	"SI_PANEL_A2"	"NO_PANEL_A3"	"SI_PANEL_A3"	"NO_PANEL_EC"	"SI_PANEL_EC"	"EXP_1"	"EXP_2"	"EXP_3"	"EXP_4"	"EXP_5"	"SEM_A1_km"	"SEM_A2_km"	"SEM_A3_km"	"SEM_EC_km"	"Panel_A1_km"	"Panel_A2_km"	"Panel_A3_km"	"Panel_EC_km"	"ZER_A1_km"	"ZER_A2_km"	"ZER_A3_km"	"ZER_EC_km"
"80"	"80"	"{36916848-3FDC-E811-8FB7-74867AD5B714}"	1	0	1	11	14	1	3	4.6	12	2	5.8	13	1	5	14	2	4.7486110757439	10.8340499997139	6	10	4	5	1	3	1	2	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	3	1	2	1	2	10300	2	4	5	3	2	2	5	2	2	3	2	2	3	5	1	1	1	1	1	2	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1.30434782608696	1.72413793103448	0.8	1.05293946382348	0.217391304347826	0	0	0	0.434782608695652	0.344827586206897	0	0
"81"	"81"	"{36D03F80-18C1-E811-914C-74867AD5B714}"	1	0	1	18	16	1	3	3.9	11	3	4.2	11	3	4.2	14	3	3.90248803604043	9.6653333346049	6	6	10	5	2	1	2	2	0	0	1	1	2	2	2	2	0	0	0	0	0	0	0	0	1	1	2	1	1	2	2	7800	2	5	5	2	2	2	5	2	2	2	2	2	2	2	3	2	2	2	2	1	3	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1.53846153846154	1.42857142857143	2.38095238095238	1.28123390868179	0	0	0	0	0	0	0.238095238095238	0.256246781736358
"82"	"82"	"{375E5517-97C6-E811-914C-74867AD5B714}"	1	0	1	23	12	1	4	4.8	21	3	6	28	3	5.4	27	3	5.22862784078864	44.4528833309809	17	7	16	13	2	1	3	1	0	0	0	0	1	2	1	1	0	0	0	0	0	1	1	0	1	1	2	1	1	2	2	10800	1	5	1	1	1	1	2	1	1	4	1	1	1	1	1	3	4	3	3	2	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	3.54166666666667	1.16666666666667	2.96296296296296	2.4863119724427	0.208333333333333	0.166666666666667	0	0	0	0	0	0
"83"	"83"	"{3775FE62-577A-E811-B124-74867AD5B714}"	1	0	1	2	14	2	3	6.4	18	2	7.7	25	2	7.4	25	3	5.86085867446615	21.5048833330472	15	13	18	13	2	2	3	2	0	4	0	0	2	1	2	2	0	0	0	0	0	0	0	1	1	1	5	2	1	2	2	11500	4	1	4	4	2	5	4	4	5	4	4	4	2	2	4	2	2	2	4	3	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	2.34375	1.68831168831169	2.43243243243243	2.21810501192202	0	0	0.135135135135135	0	0	0.519480519480519	0	0
"84"	"84"	"{3790BFE2-7CE3-E811-8FB7-74867AD5B714}"	1	0	1	12	14	1	2	5	17	3	5.9	20	3	5.5	20	3	4.63779314741114	14.9566166679064	8	16	12	13	2	4	2	3	2	1	0	1	2	2	2	2	0	0	0	0	0	0	0	0	1	1	2	1	1	2	1	9900	1	4	5	2	2	2	3	2	2	2	2	2	2	5	1	1	2	2	1	1	3	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1.6	2.71186440677966	2.18181818181818	2.80305731342432	0	0	0	0	0.4	0.169491525423729	0	0.215619793340332
"85"	"85"	"{3819A850-CBC5-E811-914C-74867AD5B714}"	0	1	1	3	12	1	1	8.3	28	3	9.3	32	3	8.8	34	3	7.45356234115071	39.3309500018756	17	16	15	15	2	1	3	1	2	2	2	2	1	1	1	1	1	1	1	1	0	1	0	1	1	1	6	1	2	2	2	15000	4	2	2	2	2	2	4	2	2	2	1	1	1	3	4	2	4	4	3	2	4	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	2.04819277108434	1.72043010752688	1.70454545454545	2.01246052738914	0.120481927710843	0	0.113636363636364	0	0.240963855421687	0.21505376344086	0.227272727272727	0.268328070318552
"86"	"86"	"{38A2EF84-09CC-E811-914C-74867AD5B714}"	1	0	1	20	14	1	3	6.2	22	3	6.2	24	3	6.6	24	3	6.39070453803249	33.382450000445	8	20	18	20	2	4	2	4	1	3	1	3	2	1	1	1	0	0	0	0	1	1	1	0	1	2	6	1	2	2	1	12000	2	5	3	2	2	2	5	2	2	3	2	2	2	2	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1.29032258064516	3.2258064516129	2.72727272727273	3.12954540160253	0.161290322580645	0.161290322580645	0	0.156477270080126	0.161290322580645	0.483870967741935	0.151515151515152	0.469431810240379
"87"	"87"	"{3B02B1F0-0EE2-E811-8FB7-74867AD5B714}"	0	1	1	1	12	2	2	4.1	15	3	5.2	20	3	5.2	26	3	3.32041920432399	20.2890499989192	11	19	17	11	4	3	6	4	0	1	0	0	2	2	2	2	0	0	0	0	0	0	0	0	2	1	3	1	1	2	1	10200	1	1	4	1	2	1	4	1	1	1	1	1	1	5	2	2	2	2	2	1	3	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	2.68292682926829	3.65384615384615	3.26923076923077	3.312834712459	0	0	0	0	0	0.192307692307692	0	0
"88"	"88"	"{3B262979-60D4-E811-8FB7-74867AD5B714}"	1	0	1	10	15	1	2	5.8	14	1	7.4	15	1	6.7	16	2	4.76124845287191	11.6500500003497	9	9	13	12	2	3	2	0	0	0	1	0	2	0	2	1	0	1	0	1	0	0	0	1	1	2	1	1	1	1	2	10000	4	4	4	1	2	1	2	1	1	1	1	1	4	5	1	1	2	4	1	1	5	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1.55172413793103	1.21621621621622	1.94029850746269	2.52034736661595	0	0	0.149253731343284	0	0	0	0.149253731343284	0
"89"	"89"	"{3CFD12ED-BAE6-E811-8FB7-74867AD5B714}"	1	0	1	1	15	2	3	3	8	4	3	8	1	4.6	10	1	3.55656446810794	10.32600000302	5	4	6	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	4	1	1	2	1	8000	1	1	2	1	2	1	4	1	1	2	1	1	2	3	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1.66666666666667	1.33333333333333	1.30434782608696	1.40585108039949	0	0	0	0	0	0	0	0
"90"	"90"	"{3D69B31A-89CD-E811-914C-74867AD5B714}"	1	0	1	11	12	1	2	12.2	26	3	12.2	26	0	12.2	26	0	11.3335482967195	24.5650000015895	4	4	4	7	2	999	999	3	2	2	2	0	1	999	999	1	0	0	999	999	3	2	1	1	1	1	2	1	1	2	1	17000	1	4	5	2	2	2	3	2	2	2	2	2	4	4	3	2	1	1	1	1	3	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0.327868852459016	0.327868852459016	0.327868852459016	0.617635343913093	0.163934426229508	0.0819672131147541	0.0819672131147541	0.26470086167704	0.163934426229508	0.163934426229508	0.163934426229508	0
"91"	"91"	"{3E128564-1CD7-E811-8FB7-74867AD5B714}"	1	0	1	17	15	0	2	3.4	10	2	4.1	18	3	3.4	10	0	3.47000976239613	10.7747166673342	4	10	4	4	0	1	999	0	6	0	0	6	0	0	999	0	0	0	0	999	0	0	0	1	1	1	3	1	1	2	2	7800	1	5	3	2	2	2	5	2	2	3	2	2	2	3	1	1	3	3	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1.17647058823529	2.4390243902439	1.17647058823529	1.15273450909196	0	0	0.294117647058824	0	1.76470588235294	0	0	1.72910176363794
"92"	"92"	"{42F5F39B-A9CC-E811-914C-74867AD5B714}"	1	0	1	0.5	12	2	3	3.1	9	1	2.7	9	2	3	9	2	2.86788098003027	7.34643333355586	3	3	4	4	0	0	0	0	1	1	0	0	2	0	2	2	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	7000	3	1	3	3	2	1	3	3	1	1	1	1	3	5	1	1	2	1	3	1	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0.967741935483871	1.11111111111111	1.33333333333333	1.39475802094053	0	0	0.333333333333333	0.348689505235132	0.32258064516129	0.37037037037037	0	0
"93"	"93"	"{445DC354-9BDC-E811-8FB7-74867AD5B714}"	1	0	1	22	12	1	4	3.7	15	3	4.7	15	3	4.1	17	3	3.03554192053147	12.1200000007947	15	15	9	12	1	2	1	2	6	4	1	0	2	2	1	2	0	0	0	0	0	1	0	0	2	2	2	2	1	2	2	9800	1	5	3	3	1	2	3	2	2	2	2	2	4	5	4	2	1	4	3	2	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	4.05405405405405	3.19148936170213	2.19512195121951	3.95316563373271	0.27027027027027	0	0	0	1.62162162162162	0.851063829787234	0.24390243902439	0
"94"	"94"	"{4642D928-57CB-E811-914C-74867AD5B714}"	1	0	1	15	12	0	4	4.6	19	3	4.8	20	3	6.1	23	3	5.39426834664467	20.548766664664	11	11	13	10	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	2	1	2	1	2	1	10800	4	5	5	2	2	2	5	2	2	2	2	2	3	2	3	1	1	1	2	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	2.39130434782609	2.29166666666667	2.13114754098361	1.85381952794769	0	0	0	0	0	0	0	0
"95"	"95"	"{46B58ADA-CFC5-E811-914C-74867AD5B714}"	1	0	1	25	12	1	3	6.1	16	2	6.3	22	3	7.5	24	3	6.10965101808025	27.0566666682561	5	7	12	10	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	1	1	2	2	12700	4	5	4	2	2	4	5	2	2	4	2	2	5	3	5	2	2	2	3	2	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0.819672131147541	1.11111111111111	1.6	1.636754696857	0.163934426229508	0.158730158730159	0	0	0	0	0	0
"96"	"96"	"{47212798-FAEB-E811-8FB7-74867AD5B714}"	0	1	1	35	12	1	3	5.2	16	2	7.5	21	3	5.2	16	0	7.9856613284706	18.8832833329837	13	13	13	15	2	3	999	2	1	1	1	1	2	2	999	2	0	1	0	999	0	0	0	1	1	2	4	1	1	1	2	10400	1	5	4	2	2	1	4	2	1	2	1	1	2	2	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	2.5	1.73333333333333	2.5	1.87836666031926	0	0	0.192307692307692	0	0.192307692307692	0.133333333333333	0.192307692307692	0.125224444021284
"97"	"97"	"{47D17FF7-D1D7-E811-8FB7-74867AD5B714}"	1	0	1	40	14	1	4	7.2	21	3	8.4	27	3	8.7	27	3	6.20002156373171	26.6004499991735	11	11	17	11	3	3	3	3	0	2	1	0	2	2	2	0	1	1	0	0	0	0	0	0	1	2	5	1	1	2	1	12000	1	5	3	3	1	3	5	3	3	2	2	3	4	4	5	4	4	5	3	5	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1.52777777777778	1.30952380952381	1.95402298850575	1.77418737772571	0	0	0	0	0	0.238095238095238	0.114942528735632	0
"98"	"98"	"{49283310-13D2-E811-8FB7-74867AD5B714}"	1	0	1	22	12	1	3	6.7	13	1	6.7	15	2	7.4	16	2	6.98659258021562	14.7585500001907	8	6	7	8	3	1	1	3	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	2	1	1	1	1	1	1	12500	1	5	5	2	2	2	5	2	2	2	2	2	4	5	2	2	2	2	1	1	6	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1.19402985074627	0.895522388059702	0.945945945945946	1.14505031002582	0.149253731343284	0.149253731343284	0	0.143131288753228	0	0	0	0
"99"	"99"	"{494F40B8-A8CC-E811-914C-74867AD5B714}"	0	1	1	10	10	1	3	4.8	12	1	9.5	16	1	6.9	17	2	4.70605301356862	9.64128333330154	7	6	5	3	3	3	2	0	4	0	4	4	0	2	0	0	0	0	0	0	0	0	3	0	1	1	1	1	1	1	1	9300	4	4	4	2	2	2	5	2	2	4	2	2	2	2	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1.45833333333333	0.631578947368421	0.72463768115942	0.637476881656522	0	0.315789473684211	0	0	0.833333333333333	0	0.579710144927536	0.849969175542029
"100"	"100"	"{497AAECD-60BC-E811-914C-74867AD5B714}"	1	0	1	15	12	0	2	5.9	17	2	7.4	20	2	6.8	23	3	5.91862565377002	17.0245000004768	12	15	12	10	2	4	2	2	0	0	1	1	2	0	2	2	0	0	1	0	0	0	0	2	1	1	2	1	1	2	2	11100	1	5	1	2	2	4	2	4	4	4	4	2	1	1	5	4	4	4	5	5	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	2.03389830508475	2.02702702702703	1.76470588235294	1.68958143072121	0	0	0.294117647058824	0	0	0	0.147058823529412	0.168958143072121
"101"	"101"	"{49B01ED5-A3E9-E811-8FB7-74867AD5B714}"	1	0	1	22	15	2	4	4.8	14	2	4.8	14	0	4.8	14	0	7.76982445892784	28.0517166654269	14	14	14	22	3	999	999	3	0	0	0	0	2	999	999	2	0	0	999	999	1	1	1	1	1	1	4	1	1	1	1	14000	4	5	5	2	2	2	5	2	2	5	2	2	3	3	4	1	1	1	3	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	2.91666666666667	2.91666666666667	2.91666666666667	2.8314668003498	0.208333333333333	0.208333333333333	0.208333333333333	0.128703036379536	0	0	0	0
"102"	"102"	"{4A9D79A1-82CD-E811-914C-74867AD5B714}"	1	0	1	11	12	1	2	3	9	1	3	8	1	4.6	12	3	3.12591618058848	12.0245500008265	2	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	7200	1	4	2	1	2	1	4	1	1	2	1	1	2	2	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0.666666666666667	1	0.652173913043478	0.639812421209414	0	0	0	0	0	0	0	0
"103"	"103"	"{4BF7A619-E6D7-E811-8FB7-74867AD5B714}"	1	0	1	1	12	1	1	5.8	15	2	6.8	18	2	6.7	17	2	5.46507552295039	12.6758333325386	9	10	11	9	1	3	1	1	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	2	1	1	1	2	2	10500	1	1	5	2	1	3	3	2	2	2	2	2	5	5	1	2	2	2	3	2	3	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1.55172413793103	1.47058823529412	1.64179104477612	1.64682079180879	0.172413793103448	0	0.149253731343284	0.182980087978754	0.172413793103448	0.294117647058824	0	0
"104"	"104"	"{4C02589A-FDD5-E811-8FB7-74867AD5B714}"	1	0	1	3	14	1	1	6	14	1	5.4	16	2	4.8	22	3	5.15435063982563	15.855166665713	12	16	22	16	2	3	2	2	0	0	1	0	1	2	1	2	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	10200	2	2	4	2	2	2	5	2	2	4	2	2	2	3	1	1	4	4	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	2	2.96296296296296	4.58333333333333	3.10417375883866	0.166666666666667	0.185185185185185	0.208333333333333	0.194010859927417	0	0	0.208333333333333	0
"105"	"105"	"{4C2C5673-A6D3-E811-8FB7-74867AD5B714}"	1	0	1	15	10	1	2	5.5	19	2	7.2	19	2	7.2	20	2	5.58091401604086	18.3444499969482	16	16	21	16	2	2	2	2	0	0	0	0	1	2	2	1	0	0	0	0	1	1	1	1	2	1	1	1	1	1	1	11000	1	5	2	2	1	2	2	2	1	2	1	1	2	5	2	1	2	1	2	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	2.90909090909091	2.22222222222222	2.91666666666667	2.86691390586062	0.181818181818182	0.138888888888889	0.138888888888889	0.179182119116289	0	0	0	0
