"asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Cong","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-386.776126752449
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-386.776126752449
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-386.776126752449
0.217999999676977,-0.254000000040833,0.481999999919935,0.0187302689482749,-0.321332948715281,-0.0249786494350701,0.275517957106786,-0.00600000021222513,-0.117999999929452,-0.142000000323606,-0.205999999707274,-0.0679999998283165,0.00199999976757681,0.354000000243104,0.395999999909691,-341.02560825095
0.575567458673606,-0.294672577345197,0.480730203931512,0.0276321395680253,-0.42881440018117,-0.0349587574490836,0.332126877006165,-0.0256996678767794,-0.203959288533312,-0.225373472632093,-0.297015385936942,-0.0918394560214378,-0.00600404516076177,0.287700504926075,0.371493896719945,-326.512031363389
1.00061528279088,0.140291374020945,0.746448895587559,0.531769183285873,-0.412084249334344,0.334123072514137,0.28021403525905,-0.128153102145735,-0.520793941361967,-0.516568109144536,-0.446001311767685,-0.0366565104017644,0.0245804193759414,0.151384163223733,0.429316756188158,-315.09620341447
1.31439211925965,0.70072510191554,1.11941038993195,0.82563012012879,-0.453024441626625,0.00360827403285441,0.211509224537075,-0.250869729607524,-0.829173922830918,-0.694191803888538,-0.301964119476748,0.00869366659414578,0.0505659536550878,-0.0145171939407274,0.499927359474087,-305.885766137132
1.48316776992508,0.717778220926998,1.36697425901742,1.12368964235127,-0.329944855291723,-0.149507417754621,0.309218104662629,-0.260802795494182,-0.98817624460639,-0.587167116378212,-0.184638635084688,0.0754780464582719,0.129420854782774,-0.119960126572924,0.40573272578349,-302.285820204287
1.53092320081325,0.695054540575879,1.54063415336006,1.2490582649832,-0.329493258501327,-0.247866923913931,0.191452904729807,-0.269353281533638,-1.07360584821303,-0.536302830309581,-0.288990027733466,0.0609029923571476,0.144574210896436,-0.167638725712026,0.275028110601612,-300.785832577844
1.51627896189974,0.745423566512921,1.69641825896456,1.34277461901331,-0.444063414276537,-0.301289162078706,0.262133924406227,-0.269498281536373,-1.16063287853981,-0.535203232435202,-0.389741356637694,0.0314692523991004,0.156751453343753,-0.261715069439334,0.0658477567551677,-299.349511625186
