"asc_ruta1","asc_ruta2","asc_ruta3","b_tt","b_dt","b_CongAB","b_CongCD","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_EduBasica","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_4","b_NoInfo_traf","lambda_1","lambda_2","gamma_JOVEN30","gamma_USOCINTURON","gamma_EDUBASICA","gamma_EXP_2","gamma_USODISPMOB","gamma_LV1","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4437.06192469162
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4437.06192469162
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4437.06192469162
0.0189955128007568,-0.0610044851782732,-0.0850044860271737,0.484635880275164,-0.0559023043024354,0.0730677347746678,-0.0384466839022935,0.10366292699473,0.0774809494032525,0.00518442247994244,0.0370057881809771,0.0616516364971176,0.101279499358498,0.0392527872463688,0.00914856645977125,0.0688843836542219,0.0494796287966892,0.0779852358391509,0.0188955920748413,0.0217453140066937,0.0115183356683701,0.0231899481150322,0.0983243167866022,0.828965721826535,1.08757936448092,0.00936053111217916,-0.172235045465641,0.115223837201484,0.0482706818729639,-0.0958642529440113,-0.246582602267154,1.14321653434308,1.14778972836211,1.16098331980174,0.974522170668934,1.15416064998135,1.17039005324477,0.941556194971781,1.01253815134987,1.06470030930359,-2.07527747220593,-0.80161018029321,0.938048722106032,2.04046016983921,-2.07564064871985,-0.791732814628631,0.966462634620257,2.02276415762026,-2.08544551383238,-0.765583728731144,0.949932140589226,2.03545872023096,-2.09593732102076,-0.89568912278628,0.861580038850661,2.07187492301455,-2.07868784159655,-0.759419269685168,0.982935542357154,2.00810491765151,-2.07471333083231,-0.748209565586876,0.978756155178417,2.01358467125101,-2.10914551530732,-0.864262298797257,0.885990186885465,2.06098591838963,-2.02441277028993,-0.905343155842274,0.876715068239719,2.0736378977308,-2.02772395091597,-0.956842341634911,0.807849930948578,2.03404135350138,-4129.80160254228
0.147474194825653,-0.174973659330114,-0.336488715433874,0.13219887049003,-0.320724592913811,0.232997607573952,-0.107098501661363,0.29445686305665,0.232612874261483,0.0146728804614683,0.118655436477031,0.16628810575011,0.285320156800777,0.123262063540196,0.028637517090461,0.207628253934524,0.129824611823004,0.228435755404399,0.0571192871836358,0.0674244709272558,0.0323380425961361,0.0716979366482,0.278856413406606,0.489927161185492,1.27292936713157,0.0268616116205576,-0.667523836065699,0.352767396417851,0.16004106627192,-0.339646873178142,-0.743181999032699,1.47125613680587,1.48629493882949,1.53267453062645,0.896930578427697,1.51529151805693,1.57007319869865,0.785381994122486,1.03694066958989,1.1993553109386,-2.24961404408419,-0.354971824909991,0.784774752296257,2.13882382656301,-2.24783873532382,-0.325138017538776,0.883058153447496,2.07942651174438,-2.2776610901763,-0.239315675989638,0.825695940360951,2.12330477750201,-2.3169626770513,-0.665634330429289,0.530236314751452,2.2327299157813,-2.25134026299135,-0.21886347208644,0.940352476995101,2.02895762311926,-2.23840551896189,-0.180234253646861,0.925391430621379,2.04843673167284,-2.34980257690365,-0.56420316313362,0.610965610735359,2.20083235827602,-2.07644607744335,-0.677165984838988,0.595335787207995,2.23689616882018,-2.09524165084163,-0.852367023822149,0.362319043721473,2.09004290951731,-3460.26369535173
0.229183149749834,-0.17264792070201,-0.345070784173244,0.129677733589164,-0.263929705945803,0.187614399461734,-0.106905371214291,0.229675140416558,0.179051136668026,0.00462051067353089,0.10165235696045,0.119466983379446,0.225303300203589,0.0976452915035764,0.027957104578506,0.169605109685222,0.0943751045056643,0.18223387003616,0.048393714694384,0.0621232344455248,0.0243599918762532,0.060782059943647,0.210461746728164,0.573340251869478,1.23254326651629,0.0150846790607978,-0.805315215384145,0.306509269456553,0.180592294303724,-0.39137428945283,-0.56350085990396,1.52241170717425,1.53487939662451,1.59430730949911,0.8979625031702,1.57871807430353,1.64231717034368,0.770629333523585,1.01997653413866,1.18024506206942,-2.30267207602714,-0.271991474061249,0.736313693271667,2.17019219376852,-2.29627045064277,-0.241769204841666,0.858742075043832,2.0997334036379,-2.33342710874042,-0.134409107056817,0.783930579787074,2.1547648387494,-2.35174880142633,-0.641409146413594,0.448827284296364,2.26231515549003,-2.29451600338533,-0.112235746211254,0.928634022304161,2.03758664220811,-2.2835349416513,-0.060992511602217,0.907194819289615,2.06331722963128,-2.36982462185838,-0.523769730156929,0.546703771962313,2.23230908661234,-2.07581833560709,-0.622583117337231,0.547650224928365,2.2574937203124,-2.11804394850064,-0.829568199139978,0.258757259036264,2.05846616318742,-3378.68367644263
0.511570336492159,-0.212733791158632,-0.404711952937001,0.0722199813450419,-0.0879839521157203,0.0648548098920227,-0.132568291631333,0.0698980971178283,0.0366658932409024,-0.0327426741254829,0.0737016219536216,-0.011053775865779,0.102248160677207,0.0531761078438511,0.0400266941535368,0.0753053880679115,-0.000203373400732856,0.0555277053876559,0.0357260101983681,0.061063127124997,0.004824053362959,0.0375846751677323,0.0227894051607793,0.628847849815104,1.07302565326153,-0.00797044928808045,-0.242211147333884,0.401607700864918,0.370705946190553,-0.0682727829131055,-0.4808377902174,1.54675645080997,1.5419619474102,1.65708252419573,0.906468571276401,1.65356137165729,1.75509313582802,0.755507503720101,1.02962072447803,0.970490509002216,-2.54721623960364,-0.112537761955211,0.557560746343479,2.29965620151149,-2.50907654610078,-0.0872912373755563,0.780244280778755,2.19153544775556,-2.58585766037937,0.117823327387831,0.618830154753021,2.29561433879828,-2.43579638680711,-0.717092099310489,0.212625239698847,2.32347413338221,-2.48128075549242,0.143919231231115,0.896474580279294,2.07983600402483,-2.49140223015292,0.260404666778883,0.836855134028948,2.13803581066034,-2.32881856066641,-0.542067303657966,0.382961262590686,2.3267093064233,-2.03359586900493,-0.505128946282264,0.430342401378999,2.19501157580877,-2.22416067224061,-0.810895418600947,-0.11841448313283,1.69152022009907,-3329.92293603509
0.626218555187542,-0.268248065821303,-0.494984062452076,0.0732463566067659,-0.125525876075413,0.0647015797933683,-0.188024308739059,0.0878030174957826,0.0395474887921334,-0.0569091234009912,0.102808028054906,-0.0217136899209623,0.144364498252368,0.0771231480099501,0.0637364839607218,0.0958516514845878,-0.00775113569239272,0.0570087417537704,0.0576448417238846,0.0832658776788941,0.00578529651188658,0.052313212480989,0.0146738344315545,0.382662856150033,1.06116171689836,-0.0456682474731677,-0.219125264004074,0.421887573654698,0.517516640437276,-0.0419326054449982,-0.285332472322769,1.60825337850877,1.58068215463437,1.71942080797921,1.04452918101976,1.70012692255233,1.81102113781476,0.829355848105657,0.927469218273992,0.723312844491347,-2.64504710573176,-0.147534904954594,0.495093849294768,2.39800087333071,-2.57284154245486,-0.104342079480508,0.767135880351411,2.2697153879789,-2.685716628597,0.149126797458794,0.553764989239008,2.41211403432403,-2.44342745058145,-0.879532409802181,0.152537380988961,2.32269273484652,-2.53412060550078,0.198041344334169,0.909258303547971,2.12163832540432,-2.56714710281702,0.364234395394924,0.816262426765948,2.20859146851866,-2.21468444100889,-0.654795268957886,0.364695592518311,2.37049092917355,-1.94859429463656,-0.482848591784545,0.498483987752276,2.11957401339903,-2.29736527065179,-0.884358121264287,-0.24705291608496,1.34755759352545,-3291.17840719874
0.739589980550488,-0.276805781268226,-0.562293600788963,0.0878057700778856,-0.0765850696798904,-0.00301107465069406,-0.249637242859056,0.0461548107245836,-0.0105110680758414,-0.106504688620387,0.115337175487925,-0.0758697450920686,0.138612899599097,0.0741362936804176,0.097363296411129,0.080829263906863,-0.0545858089216505,-0.00293528216260835,0.0861149770823771,0.0962292114512148,-0.00198126074146368,0.060578191512681,-0.068686383521268,0.130971009540747,0.899649134701977,-0.10607898169792,-0.365316757951284,0.500229695202018,0.732851577485014,-0.125142627396021,-0.33290770850967,1.70784440675631,1.64716325567012,1.79949770141191,1.06700258486471,1.73802420877096,1.86445743807149,0.789533735375742,0.965396279652866,0.417663831527359,-2.7529966291006,-0.285226196896405,0.475506734536045,2.53183926579911,-2.62177350807038,-0.184993692886098,0.779721990379283,2.38327125371747,-2.78224772566118,0.0351848793415981,0.572429342904463,2.57805364173254,-2.60123162700332,-1.04294034552502,0.0600514058929171,2.29577718650281,-2.56814921573388,0.177984822253761,0.962757500263831,2.18877493619041,-2.62541045529199,0.360319352365681,0.862497677993393,2.31731923785093,-2.19537798384491,-0.684491133085678,0.321357575072939,2.41559284445198,-1.83051134091432,-0.473004545304542,0.463005477786611,1.96185074039797,-2.40040359507296,-1.07588360924522,-0.474755414648967,0.834802545433022,-3251.19334435329
0.67483723604191,-0.25298804864871,-0.574225933580011,0.0885153150704633,-0.110500252180158,-0.0514144073548559,-0.316399039821167,0.0916542628885239,0.0119999063984483,-0.162330685425316,0.132517690864073,-0.0661870639993953,0.211025110141437,0.0956323614715003,0.140790089961402,0.113962502265536,-0.0687903245338286,-0.027275388022842,0.135811642182039,0.11668114687276,-0.00231501758397749,0.082099208971683,-0.0806525128465434,-0.0516079755266388,0.729757091556331,-0.18472611288074,-0.460759761107478,0.487959734040936,0.902340956620177,-0.114350788644428,-0.243929621825007,1.73160671859648,1.62871009266244,1.81485387708145,1.10424369453757,1.69665269733311,1.84084991838613,0.731307563157449,0.87446001042096,0.0796534323587599,-2.9212736525267,-0.398085229221357,0.437944846074929,2.65010697576705,-2.72380752136013,-0.264842825642993,0.782816739518178,2.48889517396274,-2.91766701711952,-0.0738227883671773,0.57033537781744,2.73598202790454,-2.82650098808458,-1.09087900060791,-0.0573780190982899,2.24365469395456,-2.63230983725947,0.108176393866572,1.00866517265329,2.26071750812176,-2.70651605635786,0.26598677129023,0.92902272056326,2.42973198553738,-2.2780078187624,-0.60034941606865,0.297441515044089,2.435629345381,-1.77764555906006,-0.487351605828936,0.331627667663335,1.89407741359466,-2.51461503388864,-1.30472993542297,-0.856525140054587,0.626839960774885,-3221.89209011006
