"asc_ruta1","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","logLike"
0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-244.470174267079
0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-244.470174267079
0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-244.470174267079
0.166528337558702,0.11628190668489,-0.0606447927111731,-0.224367543978588,-0.086663538013454,0.180925811491761,-0.961737081775937,-0.0346131937476457,-0.138889507979911,-0.951763015360484,0.0068334902607603,0.0435030203789211,0.0740961975225218,0.10120713636752,-230.749923811583
0.535889444049986,0.0664021827139047,-0.124468556250148,-0.366966708017366,-0.130371364512977,0.333946180698205,-0.902391322950696,-0.0822657872753399,-0.150322450152442,-0.842423738692279,0.0251217125657459,0.0943065558249803,-0.00564903457643068,0.0671197499769799,-219.374905918422
0.761555604386977,0.157160238808111,-0.264774083707751,-0.19449766306084,0.0594681396393474,0.3012053580741,-0.772563904963855,-0.20009533153505,-0.328749561399295,-0.65923787386489,0.0667686351348449,0.181499706040758,-0.0271540442537689,0.18882158140997,-215.796764659794
0.754133577816613,0.157492862241336,-0.466165475425298,-0.303758652328793,0.273479452239443,0.266636020595797,-0.664712421972463,-0.334967536616452,-0.402027706119841,-0.554148461220713,0.105412445020877,0.233395704860262,-0.137156900920197,0.201392351505406,-213.967898556122
0.681763426381306,0.14376452217931,-1.46270819555273,-0.159054069468912,0.226212866413465,0.577027453794922,-0.38925756651215,-1.02460723952696,-0.533972413541675,-0.625159148719604,0.046552594999841,0.279075946340036,-0.545335596672586,0.215242015784185,-213.062490170798
0.748601019688308,0.171265265598822,-1.64623403443974,-0.188567801893803,0.159359151460898,0.467308460896741,-0.384156439910539,-1.19866130034299,-0.536572589738036,-0.663651530061393,0.0479489423947866,0.271657264684483,-0.561429949663659,0.218967138134695,-211.831400064312
0.88121140870786,0.302179422177793,-1.80216233394193,-0.247551972915336,0.139360932622896,0.485322112813074,-0.603291255328446,-1.74961101288757,-0.248910897027712,-0.446068765281344,0.274952620974053,0.321251536333701,-0.268905846406847,0.138394964911617,-209.914786584991
1.04079488930239,0.363884384378048,-1.49077973237057,-0.337681438458957,0.265405690278089,0.522077720570395,-0.668122181079619,-2.08863665811764,-0.320644046007284,-0.545354341859679,0.119278940617975,0.305223544957031,-0.247610772833806,0.0791228311860751,-208.450029629423
1.0299207264164,0.370635315306079,-1.12950966657144,-0.419174956289204,0.0629138242531495,0.441231988821789,-0.567303044031816,-2.32098968354353,-0.472296728940761,-0.341792294530191,0.137448216666386,0.297969054186776,-0.431293349150642,0.110539512261387,-208.235021598412
1.05751958827027,0.343941150752557,-1.0890415685839,-0.432242175535309,0.0605000823316178,0.423762689589797,-0.481848834644731,-2.34610609875342,-0.459497253593046,-0.458412843181455,0.269179426810483,0.376927391336649,-0.437694918815899,0.176669716184226,-208.050716815738
1.07463665574074,0.30772440249385,-1.16845938501123,-0.436651212611281,0.0854997903206219,0.402099792956929,-0.484617696694539,-2.32850781523628,-0.421883021414161,-0.477744389272646,0.190706983382327,0.422042977164027,-0.380001764211619,0.221062088172811,-207.830321717661
1.10029829654143,0.289858471521475,-1.27613993791768,-0.42531358877567,0.130634860781948,0.399495140421173,-0.561096589571911,-2.30874187775618,-0.483791748906326,-0.504116332425891,0.195955452583522,0.343125142349455,-0.328043301348599,0.167167824675662,-207.700117286243
1.10634799577454,0.315151846641437,-1.28767484175122,-0.424358738029484,0.141452420765219,0.402428414741414,-0.566790876083939,-2.31618398436606,-0.462742134092696,-0.507748865800772,0.184261542244531,0.328654393806783,-0.33732920447692,0.175515181986991,-207.683051076534
1.10809936013123,0.339801782981101,-1.30099331294503,-0.421012761458601,0.145955052809463,0.402234582104432,-0.560110408621252,-2.33205780430453,-0.452674901451955,-0.511801422348202,0.163505633641067,0.347223644598022,-0.329654995929677,0.151470683208349,-207.669787176401
1.10943842252034,0.335609962464194,-1.30550170397921,-0.420763468143577,0.148552738899105,0.402975187362932,-0.568937542750206,-2.3424597256824,-0.451377165236738,-0.513033504106539,0.157688223041381,0.351322404371826,-0.32926002283774,0.158572193315928,-207.666202107971
1.11191777094271,0.329174396317012,-1.31112431243754,-0.420918942204063,0.152621486902198,0.40428449784616,-0.561134155326663,-2.35884429597056,-0.444994385379579,-0.513465256558729,0.148757097328714,0.340419794067595,-0.31878886599057,0.16563053911151,-207.66366923151
1.11557749314859,0.344369342285399,-1.32237980041732,-0.420012660872213,0.157524698628025,0.404400944351343,-0.573255791688402,-2.38704243074659,-0.437397667199907,-0.516619000599874,0.139721712739281,0.346617372342479,-0.326398411970734,0.167377666992927,-207.662168463274
1.11472610222994,0.337755230530055,-1.31983949864786,-0.420238547740889,0.156322067046308,0.404716260656274,-0.571340745774325,-2.38641501694771,-0.440246822251361,-0.515882680777089,0.141508514350457,0.346032822142983,-0.323624765306517,0.168315726619043,-207.662025426557
1.11476594016942,0.338282649393572,-1.31992844378575,-0.420252379486394,0.156258240398167,0.404647607092111,-0.571102591015549,-2.38791715056548,-0.440203386402769,-0.515858388705956,0.141702198076874,0.34583249222519,-0.323860864488619,0.168063864181091,-207.662022308437
1.11478430132049,0.338291110982886,-1.31998516627718,-0.420250226976104,0.156243111895675,0.404655647662895,-0.571134492276337,-2.38895600762878,-0.440254936072342,-0.515858490139549,0.141730444297364,0.34586573567081,-0.323902646381034,0.168065883280095,-207.662021901276
