"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_SI_CAMFD","b_ACC_1","b_ACC_2","b_SI_PANEL","b_SI_ZER","b_HTRB_1","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_Exper_2","b_Exper_3","b_Exper_4","b_Exper_5","b_CSECO","b_CLLUVIA","b_Hpico","b_Hvalle","b_EduBasica","b_EduSuperior","b_Info_traf","b_NoInfo_traf","b_Joven30","b_Adulto40","b_Adulto60","b_AdultoMayor"
"asc_ruta1",-53.8232050220485,10.52396684446,5.7030075827327,133.554341590017,-9.59327384934034,9.2537720520741,-2.99389534490466,0.305407418207888,1.97630196104644,2.88663639992349,-2.91676083514292,-1.56776651999274,2.2425113442494,-3.20816220908794,-0.267065433386346,-1.6450575959352e-12,2.4187155690279,20.304045364572,14.8734696701182,4.7677884871312,3.4708562120119,6.35321115952824,17.408036428801,31.212622581026,6.38360801335004,24.0994194075329,13.4968111877688,21.8994388771907,6.13811731860045,6.91769615150931,30.2628188420943,2.59104120118095,9.99819963390083,20.334382335054,4.67260742616415
"asc_ruta2",10.52396684446,-28.1304399988051,2.41934369957164,14.3033368238953,-7.79637260538219,5.85085200901768,1.41213832833803,0.479793189061867,-0.882839702604187,-2.06356862885414,0.0878608010452554,0.238683437270142,-0.342099549361565,-1.24776086409613,-0.754961520889105,3.84899549028361e-13,1.06617164990354,8.1396344951647,5.98132330555156,1.60963818967227,1.50744266554024,2.44722326269417,7.36589553098255,12.5174008910571,2.66972856370375,9.72671210675214,5.46041734378993,9.02744295652826,2.59675109667466,2.85043994214714,12.188160531678,0.880080743457409,3.88481135927416,8.33935788465463,2.08287946831605
"asc_ruta3",5.7030075827327,2.41934369957164,-16.4616141574952,-19.2832948328115,-5.05040004631215,0.888070580433362,0.421904725792998,2.30567184103612,-0.262856222692783,-3.08805031726371,-0.58574509687464,0.161941105664985,-0.16094600005194,-1.07992322427181,-1.3010477747002,1.50732743952346e-12,0.609241126323017,4.44009758920328,3.28992416112205,0.950073981933161,0.700438049000711,1.42286193191788,3.83834073907915,6.81461274492761,1.52465013047522,5.54026909092897,2.79899378558927,5.07879429302969,1.34577788796941,1.72385341809761,6.53194025792137,0.483966140735045,2.27419453132755,4.37203955357582,1.20906264959706
"b_time",133.554341590017,14.3033368238953,-19.2832948328115,-2771.38680822886,-255.924559972888,-322.969182300617,14.2823805368045,-13.0537296577869,-2.15870280407197,-1.00911084380356,-8.53194981254217,6.75909631947092,8.14879601894828,27.930082915225,7.83230828060167,-3.14614237917244e-11,-2.1698561049486,-48.7211650549862,-77.6833624172994,-6.98027183748633,-8.88856055442642,-15.9165479824821,-76.4402408395514,-108.056702452719,-20.5176811360839,-61.813262929987,-66.7611206547938,-70.6661866892381,-24.7701181097455,-19.5616425707999,-103.82243143771,-2.18534879040014,-17.7869535393505,-83.4663420652858,-25.1357391937013
"b_dist",-9.59327384934034,-7.79637260538219,-5.05040004631215,-255.924559972888,-146.057734244908,-24.5697468374771,-2.26249441742376,0.383326150312595,-0.244710058472982,2.73000122949242,-3.29150953245199,-2.00332489355204,2.638113014927,1.72965674263903,4.5846405196963,7.74419446852776e-13,1.23653087964753,12.6134492191615,8.59006638557736,3.29053712606545,3.11153540877271,3.13131530118045,8.97692720974443,15.4876018989508,6.9524445983885,16.1884659141862,6.25158058323576,15.719800538227,2.96511033981874,3.92011937836149,18.389883498512,1.85954429235058,7.40384162336701,11.551172421617,1.62548816186981
"b_cong",9.2537720520741,5.85085200901768,0.888070580433362,-322.969182300617,-24.5697468374771,-191.72256693022,-0.256973465063858,-3.81526312184924,4.35236882327751,0.627244322246397,-0.908232016316722,1.26936663132647,3.31802945990005,-0.428785211075356,6.50316015466988,-1.43217383499007e-12,-1.96022829523018,-2.61069574390223,-11.4217706701585,0.0359871247385846,1.07851699493792,-1.75583644145388,-10.9227741064517,-16.3136729561385,0.320978265208132,-5.18040753134935,-10.8122871372835,-5.76208800354598,-0.733275885989884,-2.08005213911765,-12.9194236553496,2.12776639193518,-2.61968709862151,-8.93700917410948,-6.56376479349801
"b_Sem_1",-2.99389534490466,1.41213832833803,0.421904725792998,14.2823805368045,-2.26249441742376,-0.256973465063858,-7.68562396680598,5.65103483610483,0.942090959498444,0.881329512954643,0.603165150357469,-0.232677523912409,0.860614530084754,0.933680517281037,0.608770597950142,2.09604514305798e-14,-0.109025272216233,1.22874619972606,0.0401313508326192,0.189427895111312,0.457558368707377,-0.3058517277176,0.160227721779795,0.652223111755833,0.507629172834505,0.578284789535369,0.581567494192249,0.698857706693576,0.172435867863943,0.461233931826063,0.536279630588494,-0.273095598837426,1.1415639497032,0.523863448282676,-0.232479512959242
"b_Sem_2",0.305407418207888,0.479793189061867,2.30567184103612,-13.0537296577869,0.383326150312595,-3.81526312184924,5.65103483610483,-21.719081948613,8.37067826791464,4.24768470812284,0.600299941280145,-0.228978889454743,-0.420198158239726,1.97372625205431,1.08242284052816,-4.05960244846124e-13,0.735926559345992,-3.52900305389086,-0.297795931274118,-0.270108736471502,-0.670417123097887,0.45634531944984,-2.13658102603724,-2.11660645503429,-0.974265987743088,-2.39668190235502,-0.69419054240342,-1.02691426918863,-0.383796946000883,-0.421023970419001,-2.49807604856695,-0.00669150406153223,-1.9821688175664,-0.740507489654793,-0.361504631518293
"b_Sem_3",1.97630196104644,-0.882839702604187,-0.262856222692783,-2.15870280407197,-0.244710058472982,4.35236882327751,0.942090959498444,8.37067826791464,-21.8784795515169,8.87140941446128,-1.06875754157404,0.816259578750601,0.252339613306133,-0.576851253465357,0.569215383679259,2.58207266069632e-13,-0.656816937955917,-0.0212506818942516,-0.152538423492163,0.286660470779328,-0.0253853934386362,-0.312777853217776,-0.567183310040727,0.0144362459828167,-0.845042284451139,-1.01034078655797,0.179734749894546,-1.49159985736332,-0.00167548263043454,-0.774207343411424,-0.238423324757461,0.405010686055453,-0.177688416980934,-1.30041027505642,0.242481969129907
"b_Sem_4",2.88663639992349,-2.06356862885414,-3.08805031726371,-1.00911084380356,2.73000122949242,0.627244322246397,0.881329512954643,4.24768470812284,8.87140941446128,-15.9841208392409,-0.42997633808731,-0.453161873684423,-1.01137386488027,-1.38001317277602,-2.75512120333727,-1.35543046512633e-13,0.110956835515519,2.2749250954963,-0.120899394905786,0.232410672439094,0.379962788980491,0.0761896255194065,2.11829073969155,1.7821916862313,0.482790857584227,2.05496793515022,0.210014605740029,1.27245133799815,0.839891752212872,0.799113836164122,1.46586870725739,0.211508555647861,0.819365946868254,0.783566138941168,0.450541902387726
"b_SI_CAMFD",-2.91676083514292,0.0878608010452554,-0.58574509687464,-8.53194981254217,-3.29150953245199,-0.908232016316722,0.603165150357469,0.600299941280145,-1.06875754157404,-0.42997633808731,-13.0885891921498,-0.0577072649168877,-0.828780276370554,-1.57373696912149,0.74517769929159,4.26295291442791e-13,0.489297196430666,2.31020660632035,0.615141327285615,-0.310654880816592,0.522045581756652,1.02449469374695,2.18628622353838,2.51226564628065,0.902379485555328,2.26979137085909,1.14485376126122,1.96393655148601,0.600379571386333,0.173481305167594,3.40350254364039,0.499024904485442,0.337035170857319,2.23484355848562,0.343741497571667
