"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",-1.22826593870888,0.221220580346919,-5.552222748818,2.82059855472028e-08,0.23597324835248,-5.20510671139377,1.93885158372709e-07
"asc_ruta2",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",-0.677503323911812,0.507535634426458,-1.33488818903805,0.181912943967105,0.54332130384151,-1.24696624100984,0.212409876205082
"b_tt",-0.343755498946078,0.0782472037057148,-4.39319851274087,1.11695048830018e-05,0.0812689389989551,-4.22985095142559,2.33846197454923e-05
"b_dt",0.207886070106145,0.18168332062586,1.14422209694331,0.252531541362243,0.174704194562072,1.18993176224102,0.234073213372038
"b_Sem",-0.343929259615989,0.134658352101052,-2.55408783970483,0.0106466393878992,0.128056467603726,-2.68576250814824,0.0072364504742739
"b_Acc0",0,NA,NA,NA,NA,NA,NA
"b_Acc1",-0.615557858785787,0.571549392703874,-1.0769985352862,0.28148092005411,0.570300884373474,-1.07935631111993,0.280428918976814
"b_Acc2",-1.12752441474003,0.865525018932294,-1.30270574515678,0.192675239892208,0.888279252274424,-1.26933552917399,0.20432141963901
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",2.64685236400078,0.684981788319529,3.86412078267705,0.000111490047901786,0.707720379672876,3.73996911778097,0.000184042865173595
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.984449970890797,0.449184643734074,-2.19163763637835,0.0284056820838785,0.611627363273443,-1.60955841743574,0.107494292252368
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.669630984276152,0.386498233963915,1.7325589755183,0.0831740862582846,0.380280936102202,1.76088496872793,0.0782578745305542
"b_NO_MTRP",0,NA,NA,NA,NA,NA,NA
"b_SI_MTRP",0.771859110541343,0.449960569524553,1.71539277620908,0.086273238935866,0.446236010366055,1.72971049536808,0.083682012598099
"b_No_Info",-0.641984405025052,1.08013873181152,-0.59435365672738,0.552275597806998,1.11290833746281,-0.576852902808362,0.564038828489339
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",-0.535894082444277,1.06729405529868,-0.502105375537116,0.61559339910317,1.1302292945356,-0.474146339185512,0.635395555926639
