"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_Acc1","b_Acc2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.0489385451690275,0.0309063033839163,0.00426928624059481,0.00545899114169408,0.00275114450857782,-0.0041484930105746,0.00747896815053987,-0.013154508599383,-0.0061457318272835,0.00111083880924745,-0.00083765915591591,0.00203180849118978,0.00501841005553955
"asc_ruta4",0.0309063033839163,0.257592420212668,-0.00338264368766763,0.0145198407588174,0.000968557036548503,0.0198021113726234,-0.00721222610273743,0.000305099967450594,-0.0205691562796148,0.0147558894564064,0.0234866632716758,0.340873331321137,-0.364927228858809
"b_tt",0.00426928624059481,-0.00338264368766763,0.00612262488776364,-0.0044645169510404,-0.000896269093092926,0.00640790700509412,0.00393296915773406,0.00225468991210654,-0.000132318672417563,-0.00270905145349828,-0.00172290328924125,0.00608478406285122,0.00424783682518148
"b_dt",0.00545899114169408,0.0145198407588174,-0.0044645169510404,0.033008828993639,0.00629873781650682,-0.00705125101468,0.0076017271034217,-0.00147695773757731,-0.00561107141369871,-0.00402464668370923,0.00306110407517467,0.00280306048473907,0.00512429119614112
"b_Sem",0.00275114450857782,0.000968557036548503,-0.000896269093092926,0.00629873781650682,0.018132871790571,0.00051682093924802,-0.00669442054660328,-0.00983581874864715,0.00117370327386069,-0.0009374366261932,0.00122054011628429,0.00517257955121525,-0.00422134480139087
"b_Acc1",-0.0041484930105746,0.0198021113726234,0.00640790700509412,-0.00705125101468,0.00051682093924802,0.326668708300167,0.0555013552961254,0.00653993126437283,-0.0081473508886268,-0.0191499568125915,0.00660247982436469,0.0464823116974783,-0.0426364726097759
"b_Acc2",0.00747896815053987,-0.00721222610273743,0.00393296915773406,0.0076017271034217,-0.00669442054660328,0.0555013552961254,0.749133558397748,-0.0126162468477582,0.00149613033116243,-0.104850363110532,-0.0436671492665199,0.00076707901336788,-0.00762634185433431
"b_SI_CAMFD",-0.013154508599383,0.000305099967450594,0.00225468991210654,-0.00147695773757731,-0.00983581874864715,0.00653993126437283,-0.0126162468477582,0.46920005032942,-0.0500794954328668,-0.0003133247302014,0.0398639189243352,0.0271248737621213,-0.0471078631643959
"b_SI_PANEL",-0.0061457318272835,-0.0205691562796148,-0.000132318672417563,-0.00561107141369871,0.00117370327386069,-0.0081473508886268,0.00149613033116243,-0.0500794954328668,0.201766844166507,-0.0239626452938464,-0.0408626144125933,0.00511144590072779,-0.00899821674562997
"b_SI_ZER",0.00111083880924745,0.0147558894564064,-0.00270905145349828,-0.00402464668370923,-0.0009374366261932,-0.0191499568125915,-0.104850363110532,-0.0003133247302014,-0.0239626452938464,0.149380884857226,-0.0225486510830512,0.0164168083194962,-0.0307756311292268
"b_SI_MTRP",-0.00083765915591591,0.0234866632716758,-0.00172290328924125,0.00306110407517467,0.00122054011628429,0.00660247982436469,-0.0436671492665199,0.0398639189243352,-0.0408626144125933,-0.0225486510830512,0.20246451412686,0.0343441242947698,-0.0111837174747547
"b_No_Info",0.00203180849118978,0.340873331321137,0.00608478406285122,0.00280306048473907,0.00517257955121525,0.0464823116974783,0.00076707901336788,0.0271248737621213,0.00511144590072779,0.0164168083194962,0.0343441242947698,1.1666996799594,-0.0895066337516648
"b_UsoCel_F",0.00501841005553955,-0.364927228858809,0.00424783682518148,0.00512429119614112,-0.00422134480139087,-0.0426364726097759,-0.00762634185433431,-0.0471078631643959,-0.00899821674562997,-0.0307756311292268,-0.0111837174747547,-0.0895066337516648,1.13911660047591
