"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_Acc1","b_Acc2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.275267536608282,0.246638528212374,0.135822526078933,0.0923537597306939,-0.0328103654566172,0.0390603859625143,-0.0868100640929695,-0.0618476464574289,0.0129920595673444,-0.00841525643747255,0.00850310817807119,0.021254775734763
"asc_ruta4",0.275267536608282,1,-0.0851767151727077,0.157463628469428,0.0141718114441305,0.0682639149245399,-0.0164181102409079,0.000877599963542703,-0.090224614982408,0.0752231194691109,0.102844323026392,0.621794599624128,-0.673683078613092
"b_tt",0.246638528212374,-0.0851767151727077,1,-0.314044065618982,-0.0850621388776441,0.143282650452143,0.058072709352657,0.0420667509623755,-0.0037646742887818,-0.0895779075738418,-0.0489347772842861,0.0719940830903003,0.0508645151227284
"b_dt",0.135822526078933,0.157463628469428,-0.314044065618982,1,0.257457280192933,-0.067904311276279,0.0483412181127843,-0.0118679029024335,-0.0687552454207239,-0.0573145897002287,0.0374445468217182,0.0142836062889868,0.0264261960082534
"b_Sem",0.0923537597306939,0.0141718114441305,-0.0850621388776441,0.257457280192933,1,0.00671510855747088,-0.0574381005926757,-0.106634612881331,0.0194043955937495,-0.0180119655808904,0.0201439347031872,0.035562668688616,-0.0293719946941119
"b_Acc1",-0.0328103654566172,0.0682639149245399,0.143282650452143,-0.067904311276279,0.00671510855747088,1,0.112194145336922,0.0167047657990778,-0.0317349451899389,-0.0866895038614668,0.0256731322117412,0.0752929670526398,-0.0698945655048574
"b_Acc2",0.0390603859625143,-0.0164181102409079,0.058072709352657,0.0483412181127843,-0.0574381005926757,0.112194145336922,1,-0.0212799952456585,0.00384826437860737,-0.313431613846215,-0.112124561278769,0.000820504439951302,-0.00825567432346805
"b_SI_CAMFD",-0.0868100640929695,0.000877599963542703,0.0420667509623755,-0.0118679029024335,-0.106634612881331,0.0167047657990778,-0.0212799952456585,1,-0.162763124756019,-0.00118349965465289,0.129338109315995,0.0366614097766987,-0.0644362546847283
"b_SI_PANEL",-0.0618476464574289,-0.090224614982408,-0.0037646742887818,-0.0687552454207239,0.0194043955937495,-0.0317349451899389,0.00384826437860737,-0.162763124756019,1,-0.138026458428063,-0.202174692462475,0.010535116162845,-0.0187692733367379
"b_SI_ZER",0.0129920595673444,0.0752231194691109,-0.0895779075738418,-0.0573145897002287,-0.0180119655808904,-0.0866895038614668,-0.313431613846215,-0.00118349965465289,-0.138026458428063,1,-0.129657784010794,0.0393243609963187,-0.0746062761906118
"b_SI_MTRP",-0.00841525643747255,0.102844323026392,-0.0489347772842861,0.0374445468217182,0.0201439347031872,0.0256731322117412,-0.112124561278769,0.129338109315995,-0.202174692462475,-0.129657784010794,1,0.0706640378513737,-0.0232877558367673
"b_No_Info",0.00850310817807119,0.621794599624128,0.0719940830903003,0.0142836062889868,0.035562668688616,0.0752929670526398,0.000820504439951302,0.0366614097766987,0.010535116162845,0.0393243609963187,0.0706640378513737,1,-0.0776410847178967
"b_UsoCel_F",0.021254775734763,-0.673683078613092,0.0508645151227284,0.0264261960082534,-0.0293719946941119,-0.0698945655048574,-0.00825567432346805,-0.0644362546847283,-0.0187692733367379,-0.0746062761906118,-0.0232877558367673,-0.0776410847178967,1
