"asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_Acc1","b_Acc2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","b_No_Info","b_UsoCel_F","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,-248.286377238993
0,0,0,0,0,0,0,0,0,0,0,0,0,-248.286377238993
0,0,0,0,0,0,0,0,0,0,0,0,0,-248.286377238993
-0.133333333451446,-0.181333333330258,-0.448714955837204,0.15918236044854,-0.308610205138393,-0.0119999999697029,-0.0173333332895709,-0.00399999998990097,-0.0413333334563504,0.0133333332996699,0.0213333332794718,0.0653333331683825,-0.0773333333654591,-238.310502329256
-0.425660416031482,-0.228661652262737,-0.409703737866976,0.308765152618849,-0.476388910552918,-0.0341314310086579,-0.0267608579475927,-0.00366758728664735,-0.0707957629900181,0.0400559886340692,0.0442690377790272,0.0696090083568987,-0.102784884587926,-228.134165000192
-0.663999482662761,-0.229045849976097,-0.477402209264926,0.2905423724804,-0.420756791935159,-0.0618839431868419,-0.0348516650198066,0.00541662483355136,-0.100719282100432,0.0701511942059202,0.0709715194161522,0.0517417843556694,-0.108490439338957,-223.714811520679
-0.882940790526878,-0.584706942120205,-0.432189845262509,0.222935544582843,-0.264236884839894,-0.180573182579138,-0.105690362312797,0.0249431294053929,-0.271974727987327,0.174647549619901,0.213536344192275,0.122245779660701,-0.275636180615875,-220.486746935826
-0.949869605240114,-0.630961434952529,-0.401773976104594,0.0600812340793427,-0.348292254045752,-0.296731487544228,-0.189841200425866,0.0625393101965031,-0.417992994620294,0.29094657264703,0.348026405292821,0.035013652037621,-0.342936583448294,-218.441905097667
-1.02404427817877,-0.463402330146691,-0.431544437656877,0.442267889521429,-0.190893421617304,-1.00150678775971,-0.886939317890788,0.436272856984626,-1.28136013150095,1.04365799676957,1.1047015803533,-0.72848935387556,-0.718304812111121,-214.880924319071
-1.13356211274526,-0.416135635960594,-0.403943691805526,0.401238095944828,-0.207068217082737,-1.08414074481933,-1.29545649700227,0.843385667462932,-1.27141152958567,0.771333701468613,0.90226508563548,-0.754885299075703,-0.926373558492983,-212.05866877953
-1.24022798134108,-0.495837151424726,-0.363998497748372,0.309214036828262,-0.257373507442981,-0.883417341959656,-1.55340495894856,1.68838239810014,-0.776190814605975,0.938883886467545,0.769558098070193,-0.779184399980066,-1.08919227764228,-209.619399558076
-1.26800266135024,-0.62618872327074,-0.344228456573511,0.270926812857887,-0.291280253097242,-0.671732321226873,-1.49799420265931,2.34443895097158,-0.846781854100971,0.800654897901577,0.729933581598504,-0.90553357300636,-0.982713398484441,-208.330179534687
-1.23280479377687,-0.636674789669499,-0.342893380080645,0.200878886310192,-0.36397748936389,-0.732011994029445,-1.04725526075686,2.75773677031856,-0.94011896817917,0.625149595018061,0.800383731578551,-0.679998942037085,-0.65312227805387,-207.842066481414
-1.23185518997589,-0.652752953165681,-0.342561957662038,0.195091650714665,-0.363569486200935,-0.669633112171583,-1.05178573788768,2.7175811059898,-0.972410380896333,0.648211750213221,0.761382470753695,-0.681966255239427,-0.618187732857033,-207.792897325225
-1.23168306270223,-0.666010466935004,-0.343213508089008,0.197393020993514,-0.359326751100575,-0.642806713831068,-1.07505322546501,2.68658427618721,-0.965417633535787,0.640996815197346,0.778761608260727,-0.692141873116219,-0.596353712172186,-207.776145161171
-1.22655201723443,-0.70006601116439,-0.344645754162371,0.214361260813585,-0.338689983595048,-0.630734229161996,-1.1705871083039,2.6443157640234,-0.99533810676801,0.698856727510136,0.742610836910606,-0.689063912531215,-0.509277440692734,-207.764430725507
-1.22867752263017,-0.677513359902621,-0.344007967714065,0.207706081085032,-0.343751177993719,-0.60028629324378,-1.13151511155363,2.64120398851187,-0.995905082044041,0.672496716407763,0.782747588356413,-0.652768610281957,-0.522498409970125,-207.757830867718
-1.22718282827916,-0.69028338087006,-0.343855339628032,0.205874188354803,-0.345899049455662,-0.627877352330691,-1.10854375229589,2.63849963623338,-0.971834251444569,0.659217114116477,0.76762023312864,-0.67412404145712,-0.529937126818266,-207.757738629593
-1.22796511244445,-0.684188814678218,-0.343765395265427,0.207730504391645,-0.344105119717866,-0.617299908891794,-1.12798013681449,2.64716780945872,-0.98507626936418,0.669906187156256,0.771168993483026,-0.661273588253183,-0.527488945234922,-207.75619690954
-1.22799461002297,-0.682161426581743,-0.343789188309244,0.207762667311709,-0.343991691600506,-0.616249713005938,-1.12680239448604,2.64480282771533,-0.985272654320771,0.669773017601169,0.771688196616395,-0.655460518664908,-0.528873324653359,-207.756110367568
-1.22822016968059,-0.678116094490605,-0.343742629827323,0.207830741194114,-0.343892716369494,-0.615035384261842,-1.12685317767092,2.6456757714664,-0.984764259905567,0.669477627548557,0.772306066260419,-0.643408033385002,-0.534062196641904,-207.75600266262
-1.22826258200886,-0.677487742042189,-0.343748360434152,0.207885089737627,-0.343911644495338,-0.615499349362751,-1.12739123155331,2.64660785481989,-0.984504966617031,0.66960640350841,0.771900471414674,-0.641814222935207,-0.53568150181245,-207.755995761435
-1.22826593870888,-0.677503323911812,-0.343755498946078,0.207886070106145,-0.343929259615989,-0.615557858785787,-1.12752441474003,2.64685236400078,-0.984449970890797,0.669630984276152,0.771859110541343,-0.641984405025052,-0.535894082444277,-207.755995582184
