"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_Acc1","b_Acc2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.314459566352331,0.362726090334893,0.206459966149686,0.120266109599665,0.0782749273623265,-0.0150248968496566,-0.0519740673291397,-0.228007567672456,-0.0169376843931022,0.0898649938630169,0.0919113298002683,0.0605677940076899
"asc_ruta4",0.314459566352331,1,0.0105807036013587,0.251047299935417,-0.0087278678879104,0.187674736399774,0.0207410833132652,0.0511167777529803,-0.251001354486043,-0.0012446289906485,0.138829097134828,0.624885204181829,-0.631173739775887
"b_tt",0.362726090334893,0.0105807036013592,1,-0.274871051694826,-0.20913828275942,0.154954651349652,-0.0533407826325382,-0.00382741379562403,-0.049641357046994,-0.0603393981421409,-0.0556391573178648,-0.029180303595031,-0.0923921202974178
"b_dt",0.206459966149686,0.251047299935417,-0.274871051694826,1,0.305033923474703,-0.0184439141590975,0.0188695359689377,0.0809034620785494,-0.135146208117128,-0.0233506573853536,0.121535766036555,0.175398096738803,0.0832414357561116
"b_Sem",0.120266109599665,-0.00872786788791034,-0.20913828275942,0.305033923474703,1,-0.138811980524787,-0.0359817805059919,-0.12840672538633,-0.00331252508948524,-0.0103909666020501,0.0791975002451286,0.0639712664950817,0.0612026549077692
"b_Acc1",0.0782749273623264,0.187674736399774,0.154954651349651,-0.0184439141590975,-0.138811980524787,1,0.0213485240944902,0.0286746053949711,-0.0769764130707334,0.037494441847806,0.0300772298882344,0.171682176952176,-0.081006746457289
"b_Acc2",-0.0150248968496566,0.0207410833132653,-0.0533407826325383,0.0188695359689377,-0.0359817805059919,0.0213485240944902,1,0.0225585744130472,-0.0157599707699355,-0.240993952473394,-0.0469956651117698,0.0515193018677368,-0.044174322050308
"b_SI_CAMFD",-0.0519740673291396,0.0511167777529804,-0.00382741379562404,0.0809034620785494,-0.12840672538633,0.0286746053949711,0.0225585744130472,1,-0.211241916564116,0.117512412782432,-0.0195983906587906,-0.0237551696789871,-0.111506513706872
"b_SI_PANEL",-0.228007567672456,-0.251001354486043,-0.049641357046994,-0.135146208117128,-0.00331252508948522,-0.0769764130707334,-0.0157599707699355,-0.211241916564116,1,-0.143383127869157,-0.248341819028414,0.0157726732697474,0.0917585927364159
"b_SI_ZER",-0.0169376843931022,-0.00124462899064852,-0.0603393981421409,-0.0233506573853537,-0.0103909666020501,0.037494441847806,-0.240993952473394,0.117512412782432,-0.143383127869157,1,-0.0663441861306133,-0.0621364795971189,-0.00757654852041939
"b_SI_MTRP",0.0898649938630167,0.138829097134828,-0.0556391573178647,0.121535766036555,0.0791975002451286,0.0300772298882344,-0.0469956651117697,-0.0195983906587905,-0.248341819028414,-0.0663441861306134,1,0.0801904237618098,-0.00167951561448086
"b_No_Info",0.0919113298002683,0.624885204181829,-0.0291803035950313,0.175398096738803,0.0639712664950817,0.171682176952176,0.0515193018677368,-0.0237551696789869,0.0157726732697473,-0.0621364795971189,0.0801904237618099,1,-0.0192778521988583
"b_UsoCel_F",0.0605677940076898,-0.631173739775887,-0.0923921202974177,0.0832414357561114,0.0612026549077692,-0.0810067464572891,-0.044174322050308,-0.111506513706872,0.091758592736416,-0.00757654852041939,-0.00167951561448113,-0.0192778521988585,1
