"ViajesId"	"Dia"	"AM/PM"	"HoraPico/Valle"	"Clima"	"Congestion"	"Pavimento"	"Incidente"	"Alt1_Distancia"	"Alt1_Tiempo"	"Alt1_Velocidad"	"Alt2_Distancia"	"Alt2_Tiempo"	"Alt2_Velocidad"	"Alt3_Distancia"	"Alt3_Tiempo"	"Alt3_Velocidad"	"Alt4_Distancia"	"Alt4_Tiempo"	"Alt4_VelPromedio"	"Alt4_VelTotal"	"Costo"	"Choice"
"12"	12	3	1	1	1	1	1	1	3.4	10	20.4	4.2	12	21	3.9	14	16.7142857142857	2.76399721459216	7.22566666603088	29.6500026820757	22.9514923038412	7300	1
"13"	13	3	2	2	2	2	1	1	4.9	18	16.3333333333333	0	0	0	0	0	0	4.37178317857192	19.6127166668574	22.0330119023505	13.3743323359979	9500	4
"14"	14	4	1	1	1	1	1	1	2.4	8	18	2.4	8	18	2.6	9	17.3333333333333	2.46359452833276	8.91083333492279	20.5856427632367	16.5883106713101	6600	2
"15"	15	3	1	1	1	2	1	1	5.4	14	23.1428571428571	5.5	14	23.5714285714286	5.6	16	21	5.23567800730912	20.4150666673978	25.4513372280868	15.3876881989428	11500	4
"16"	16	6	1	2	1	1	1	1	8.8	17	31.0588235294118	7.5	18	25	6.9	21	19.7142857142857	4.43820034492775	23.1583999991417	24.1846174034065	11.4987227401519	12200	4
"17"	17	2	2	1	1	4	1	1	7.3	19	23.0526315789474	8.1	20	24.3	6.8	20	20.4	6.60283796996291	20.5518833359083	26.6881583419408	19.2765924038497	12500	3
"18"	18	2	2	1	2	6	2	1	5.7	23	14.8695652173913	5.4	30	10.8	5.7	34	10.0588235294118	4.35762874990881	70.8360499978066	18.0190849070118	3.69102632067464	21500	3
"19"	19	5	2	2	1	6	1	1	5.4	16	20.25	5.5	17	19.4117647058824	5.2	20	15.6	5.43079881163333	23.1963333328565	21.3485083539486	14.0473894741136	9500	4
"20"	20	5	2	2	1	1	1	1	7.6	21	21.7142857142857	7	23	18.2608695652174	7.2	23	18.7826086956522	5.58286448252434	14.4128999988238	29.9527328232288	23.2411151800676	14000	4
"21"	21	5	2	2	1	2	1	1	7.3	21	20.8571428571429	6.9	20	20.7	7.8	22	21.2727272727273	6.78092493064287	24.201166665554	25.3948815732515	16.8114001056675	10800	4
"22"	22	6	1	2	1	1	1	1	1.8	5	21.6	0	0	0	0	0	0	2.02278372741952	4.32483333349228	47.5335483236452	28.0628209890271	6300	4
"23"	23	3	2	2	1	2	1	1	11.2	25	26.88	11.3	26	26.0769230769231	10.9	27	24.2222222222222	7.9054003921349	21.5533333341281	36.5021199750696	22.0069915021932	17800	1
"24"	24	5	1	1	1	3	1	1	6.6	20	19.8	6.7	20	20.1	8.1	23	21.1304347826087	6.24646435179677	21.4881000002225	24.7586298513129	17.4416472886819	11800	1
"25"	25	6	1	2	1	1	1	1	3.6	10	21.6	0	0	0	0	0	0	3.15221163699731	5.86423333088557	33.8079567938912	32.2519053298442	7400	4
"26"	26	6	2	2	2	4	2	1	6.6	22	18	8.8	27	19.5555555555556	0	0	0	6.22314724893921	25.3781666636467	19.0265244029981	14.7129948307582	11300	1
"27"	27	4	1	2	1	1	1	1	4.2	14	18	5.1	18	17	6	16	22.5	2.98609686687911	14.0485500017802	25.9085249533974	12.7533312683546	10500	4
"28"	28	1	2	2	1	3	1	1	5	14	21.4285714285714	5.9	16	22.125	5.3	15	21.2	5.33103395755496	20.4066666682561	22.3520618482014	15.6743892892054	10800	3
"29"	29	3	1	2	1	2	1	1	5.7	19	18	5.9	19	18.6315789473684	5.9	22	16.0909090909091	6.36603958238424	23.9391666650772	24.9693674485906	15.9555418234448	12500	4
"30"	30	3	2	1	2	2	1	1	3	9	20	3	14	12.8571428571429	4.6	17	16.2352941176471	2.54612260750997	11.8005499998728	14.6865934087351	12.9457827348932	6500	2
"31"	31	3	2	2	1	2	1	1	4.2	8	31.5	4.5	15	18	4.8	15	19.2	3.67809109059792	18.6805499990781	26.1758682280675	11.8136492473062	9800	4
"32"	32	2	1	2	1	2	1	1	5.8	15	23.2	5.6	17	19.7647058823529	7.4	18	24.6666666666667	2.24832307877832	18.1158333301544	27.9668803453798	7.44649071716477	10900	4
"33"	33	3	2	2	1	1	1	1	7	20	21	7.8	23	20.3478260869565	8.4	29	17.3793103448276	2.37608622118186	15.7068833311399	26.1659043696593	9.07660484039295	11000	1
"34"	34	3	1	2	1	3	1	1	6.5	19	20.5263157894737	7.8	20	23.4	6.6	27	14.6666666666667	7.01179764902764	23.269883330663	22.6656610992634	18.0795001403074	13000	1
"35"	35	4	2	2	1	2	1	1	5.1	13	23.5384615384615	5.4	14	23.1428571428571	5.3	16	19.875	3.80938883249998	11.7963333328565	27.6102098149348	19.3757944524489	8600	1
"36"	36	6	1	2	1	1	1	1	3.6	10	21.6	0	0	0	0	0	0	2.39929725460373	6.57099999984105	28.9139158648542	21.9080558940353	8900	1
"37"	37	1	2	2	1	6	1	2	8	20	24	7.5	22	20.4545454545455	7.3	22	19.9090909090909	6.31415109695135	35.5969500025113	17.7520570714355	10.6427394984782	13800	3
"38"	38	3	1	1	1	6	1	1	5.7	20	17.1	5.8	22	15.8181818181818	6.4	22	17.4545454545455	6.39574423991573	26.7703833301862	22.1763952405495	14.3346716280388	12300	4
"39"	39	4	2	2	1	3	1	1	5.3	11	28.9090909090909	5.4	13	24.9230769230769	6	15	24	3.80144723851796	13.2478833357493	23.6514302246168	17.2168510644706	8000	4
"40"	40	2	1	1	1	5	1	1	4.8	16	18	5.2	18	17.3333333333333	5.9	16	22.125	4.80184107535545	14.8357333342234	24.5478677909778	19.4200352642297	10800	3
"41"	41	3	2	1	2	5	2	1	5.7	12	28.5	5.6	16	21	6	21	17.1428571428571	6.18203823038035	16.3699333349864	29.1121438765679	22.6587540848485	11200	2
"42"	42	6	2	2	1	1	1	1	7	15	28	7.2	16	27	7.6	16	28.5	6.69750870264542	15.2309999982516	29.9995891627384	26.3837254418525	12100	1
"43"	43	4	2	2	2	2	1	1	4.8	14	20.5714285714286	4.7	17	16.5882352941176	5.3	18	17.6666666666667	4.6130956407692	14.6347333351771	24.5429753265875	18.9129335059936	10000	1
"44"	44	6	2	2	1	1	1	1	3	8	22.5	2.9	10	17.4	3.2	14	13.7142857142857	2.53262021203206	6.53450000286102	28.0025954695089	23.2546044311564	6500	1
"45"	45	5	2	2	1	1	1	1	6.3	22	17.1818181818182	6.6	25	15.84	7.6	26	17.5384615384615	4.97362026681428	26.6689500013987	15.7422205847529	11.1896874827545	13000	1
"46"	46	3	1	2	1	4	1	1	6.7	17	23.6470588235294	6.9	20	20.7	7.3	21	20.8571428571429	7.08514356867066	20.6709999998411	27.8502199891034	20.5654595386536	12500	4
"47"	47	2	2	2	2	2	1	1	6.7	25	16.08	6.9	28	14.7857142857143	6.2	26	14.3076923076923	6.23200069808799	29.7498999993006	20.0854000413502	12.5687831520129	12600	4
"48"	48	3	2	2	1	4	1	1	4.5	18	15	6	19	18.9473684210526	5.7	19	18	4.49151994174282	11.8507333358129	25.545490920023	22.7404658317783	8800	4
"49"	49	6	2	2	1	1	2	1	4.5	16	16.875	4.6	15	18.4	5.3	15	21.2	2.630331288637	10.1517833352089	25.5566747515748	15.5460249797552	8500	1
"50"	50	2	2	2	2	2	1	1	5.5	17	19.4117647058824	4.7	20	14.1	5.9	21	16.8571428571429	2.88790600743973	16.7344000021617	20.4624044798338	10.3543814193518	10500	2
"51"	51	1	2	2	1	1	1	1	3.4	11	18.5454545454545	3.3	15	13.2	3.9	16	14.625	2.25792978352373	8.22833333412806	20.5587867378621	16.4645477413416	6000	1
"52"	52	5	2	2	1	3	1	1	5.8	18	19.3333333333333	0	0	0	0	0	0	4.79854997903428	17.8704333345095	22.5968152890229	16.1111369463027	10300	4
"53"	53	2	2	1	1	2	1	1	5.7	15	22.8	4.3	16	16.125	5.5	14	23.5714285714286	4.14609453488178	15.668666668733	28.2717254917224	15.8766331145025	9300	2
"54"	54	4	2	2	2	4	2	1	5.7	18	19	6.6	22	18	7.5	32	14.0625	5.04939219768544	20.7561166644096	20.4113058717035	14.5963494404816	10000	1
"55"	55	4	1	2	1	2	1	1	4.3	15	17.2	5.7	17	20.1176470588235	5.5	18	18.3333333333333	4.28048297678505	31.9890499989192	21.2970142536094	8.02865288640271	9500	1
"56"	56	6	1	2	1	1	1	1	4.3	13	19.8461538461538	5.2	14	22.2857142857143	4.5	15	18	4.05318019096232	11.5539333343506	28.5722524760015	21.0483135413909	9000	4
"57"	57	2	2	2	1	3	2	1	4.2	16	15.75	6	17	21.1764705882353	5.1	18	17	4.16407324227504	17.6693333347638	15.8911461690351	14.1400011988535	9300	1
"58"	58	4	1	1	1	1	1	1	3	8	22.5	3	8	22.5	4.6	10	27.6	3.91157619875953	13.2180499990781	25.8200262608477	17.7556123590046	8300	1
"59"	59	6	2	2	1	2	1	1	2.3	6	23	0	0	0	0	0	0	1.67889412663829	5.17211666901906	20.2360353877348	19.4762906648435	6000	1
"60"	60	2	2	2	2	2	1	1	4.5	20	13.5	4.6	22	12.5454545454545	4.7	24	11.75	3.94464696484992	22.8236666679382	17.9838304727349	10.36988584413	10000	4
"61"	61	1	1	2	1	2	1	1	6.1	15	24.4	6.9	17	24.3529411764706	7.2	18	24	3.76790983719713	14.6074000000954	28.8466432351069	15.4767166114676	10000	1
"62"	62	1	1	1	1	1	1	1	6.4	15	25.6	5.6	16	21	6.5	18	21.6666666666667	7.08642430674411	16.3997166673342	35.7208588067872	25.9263904998769	13000	4
"63"	63	2	2	1	1	2	2	1	7.1	20	21.3	8.5	22	23.1818181818182	7.3	25	17.52	7.46795409376879	23.3891666650772	24.197973900399	19.1574694405492	13000	3
"64"	64	3	2	1	1	1	1	1	4	11	21.8181818181818	3.9	11	21.2727272727273	4.6	13	21.2307692307692	3.89067979239141	10.582333334287	29.7144868804618	22.0594816066823	8500	2
"65"	65	4	1	2	1	2	1	1	6.6	17	23.2941176470588	6.2	19	19.5789473684211	6.4	23	16.695652173913	5.41052745047332	11.7742833336194	36.4172008968955	27.5712447059491	12700	1
"66"	66	6	1	2	1	5	1	1	6	17	21.1764705882353	4.5	20	13.5	4.9	22	13.3636363636364	5.42730943222081	12.7379999995232	31.1517527075613	25.5643402375128	9900	1
"67"	67	1	2	1	1	1	1	1	5.1	15	20.4	7.3	16	27.375	6.7	18	22.3333333333333	4.66839230006162	17.7182666699092	27.1655764551524	15.8087437796269	9500	1
"68"	68	3	2	2	1	2	1	1	5.5	22	15	6.7	22	18.2727272727273	5.8	23	15.1304347826087	5.47404251300272	26.3142333348592	17.7287394179439	12.4815550048751	12200	1
"69"	69	2	2	2	2	3	1	1	6.6	23	17.2173913043478	6.7	27	14.8888888888889	6.5	26	15	5.87797646684588	33.6188999970754	19.3797100925198	10.4904856506737	14000	4
"70"	70	2	2	1	1	2	1	1	3.7	10	22.2	4.1	14	17.5714285714286	0	0	0	3.63471267080803	15.7786666671435	27.3710741637677	13.8213681072688	8600	4
"71"	71	5	2	2	1	2	2	1	7.4	21	21.1428571428571	7.1	24	17.75	8.1	25	19.44	6.93811790042332	21.7688333352407	27.1098640718265	19.1230769060779	13500	1
"72"	72	4	2	2	1	4	1	1	4.5	16	16.875	5.3	16	19.875	5.7	17	20.1176470588235	4.17875825036459	14.105166665713	24.0345436308784	17.7754365449181	8700	1
"73"	73	1	1	1	1	2	1	1	5.4	15	21.6	5	15	20	4.8	18	16	4.40622572994384	10.1679999987284	30.8543550283251	26.0005452232191	9300	4
"74"	74	6	1	1	2	1	1	1	8.8	19	27.7894736842105	9	19	28.4210526315789	9	21	25.7142857142857	7.06894343125276	15.6474999984105	31.6867008172909	27.1057105555679	14300	1
"75"	75	4	1	1	1	1	1	1	3.9	10	23.4	4.4	12	22	4.2	12	21	4.07525029408923	13.4006000002225	23.7638498861588	18.246572365513	9200	4
"76"	76	3	2	1	2	6	1	1	6.4	29	13.2413793103448	6.3	30	12.6	6.7	30	13.4	6.00751792225942	39.7268333355586	15.7669965903819	9.07323954796402	14400	4
"77"	77	4	2	2	1	6	1	1	6.3	17	22.2352941176471	5.2	20	15.6	5.7	20	17.1	4.50354361601553	24.5118333339691	21.2308415307809	11.0237620042261	9400	2
"78"	78	1	2	2	1	1	2	1	10.3	22	28.0909090909091	9.3	23	24.2608695652174	8.3	21	23.7142857142857	6.7313428354099	15.5195500016212	30.2513369184569	26.0239871698859	12500	3
"79"	79	6	1	1	1	1	1	1	6.4	15	25.6	6.5	14	27.8571428571429	6.8	16	25.5	5.22708303447035	13.738399998347	33.5741854818688	22.8283484325654	11500	1
"80"	80	2	1	1	1	6	1	2	4.7	14	20.1428571428571	6.1	16	22.875	4.7	17	16.5882352941176	4.82116742516463	16.3461666663488	26.2858837069119	17.6965065519237	10600	4
"81"	81	2	1	1	1	3	1	2	4.6	12	23	5.8	13	26.7692307692308	5	14	21.4285714285714	4.36000857528505	10.8340499997139	33.2891302762201	24.1461424420241	10300	4
"82"	82	2	2	1	1	2	1	1	3.9	11	21.2727272727273	4.2	11	22.9090909090909	4.2	14	18	3.64823704863113	9.6653333346049	26.3762493114166	22.6473537269696	7800	2
"83"	83	2	2	1	1	2	1	1	4.8	21	13.7142857142857	6	28	12.8571428571429	5.4	27	12	5.17298239363462	44.4528833309809	15.9921083175522	6.98220048645894	10800	1
"84"	84	3	2	2	1	5	2	1	6.4	18	21.3333333333333	7.7	25	18.48	7.4	25	17.76	5.67510913995811	21.5048833330472	29.3016812095491	15.8339174932523	11500	4
"85"	85	4	2	2	1	2	1	1	5	17	17.6470588235294	5.9	20	17.7	5.5	20	16.5	4.54326128661592	14.9566166679064	24.5136657587746	18.2257580875148	9900	4
"86"	86	1	2	1	1	6	1	2	8.3	28	17.7857142857143	9.3	32	17.4375	8.8	34	15.5294117647059	7.41991768939628	39.3309500018756	17.8506729800575	11.3192043757536	15000	4
"87"	87	2	2	2	2	6	1	2	6.2	22	16.9090909090909	6.2	24	15.5	6.6	24	16.5	6.35926597070307	33.382450000445	18.1757144527866	11.4298368824666	12000	2
"88"	88	4	1	2	1	2	1	1	5.3	12	26.5	4.4	13	20.3076923076923	4.3	14	18.4285714285714	3.73174361881211	11.4121666669846	28.6497056816014	19.6198166099767	7500	2
"89"	89	2	2	2	1	3	1	1	4.1	15	16.4	5.2	20	15.6	5.2	26	12	2.97717763006127	20.2890499989192	25.2297297816048	8.80428890525639	10200	1
"90"	90	6	1	1	2	1	1	1	5.8	14	24.8571428571429	7.4	15	29.6	6.7	16	25.125	4.76124845287191	11.6500500003497	32.3666589153799	24.5213460168617	10000	4
"91"	91	1	2	2	1	4	1	1	3	8	22.5	3	8	22.5	4.6	10	27.6	3.53092898724199	10.32600000302	28.9029871254302	20.5167285660042	8000	1
"92"	92	4	2	2	1	2	1	1	12.2	26	28.1538461538462	0	0	0	0	0	0	11.0046621272696	24.5650000015895	32.6755547699171	26.8788816443499	17000	4
"93"	93	2	2	1	1	3	1	1	3.4	10	20.4	4.1	18	13.6666666666667	0	0	0	3.47000976239613	10.7747166673342	25.8296743059579	19.3230682691611	7800	1
"94"	94	3	1	2	1	1	1	1	3.1	9	20.6666666666667	2.7	9	18	3	9	20	2.86788098003027	7.34643333355586	28.9154707855236	23.4226393937109	7000	3
"95"	95	2	2	1	2	2	2	1	3.7	15	14.8	4.7	15	18.8	4.1	17	14.4705882352941	3.03554192053147	12.1200000007947	20.6101858660538	15.0274352491704	9800	4
"96"	96	1	2	1	2	1	2	1	4.6	19	14.5263157894737	4.8	20	14.4	6.1	23	15.9130434782609	4.82217371885635	20.548766664664	27.2493281462938	14.0801843659512	10800	4
"97"	97	1	2	1	1	2	1	1	6.1	16	22.875	6.3	22	17.1818181818182	7.5	24	18.75	5.73074268252384	27.0566666682561	23.2605752925349	12.7083119723259	12700	4
"98"	98	1	1	1	2	4	1	1	5.2	16	19.5	7.5	21	21.4285714285714	0	0	0	6.81618225704591	18.8832833329837	25.1407047437554	21.6578297434324	10400	1
"99"	99	3	2	2	2	5	1	1	7.2	21	20.5714285714286	8.4	27	18.6666666666667	8.7	27	19.3333333333333	6.16915883760683	26.6004499991735	19.0450677014243	13.9151604678835	12000	1
"100"	100	3	1	2	1	1	1	1	6.7	13	30.9230769230769	6.7	15	26.8	7.4	16	27.75	6.98659258021562	14.7585500001907	31.4226831764181	28.4035731699604	12500	1
"101"	101	3	1	2	1	1	1	1	4.8	12	24	9.5	16	35.625	6.9	17	24.3529411764706	4.70605301356862	9.64128333330154	32.6276372918197	29.2868875493803	9300	4
"102"	102	3	2	1	1	2	1	1	5.9	17	20.8235294117647	7.4	20	22.2	6.8	23	17.7391304347826	5.91862565377002	17.0245000004768	31.9861675997088	20.859205216967	11100	1
"103"	103	5	1	2	1	4	1	1	4.8	14	20.5714285714286	0	0	0	0	0	0	7.73485214480254	28.0517166654269	26.0241861540949	16.5441257739543	14000	4
"104"	104	4	2	2	1	1	1	1	3	9	20	3	8	22.5	4.6	12	23	3.12591618058848	12.0245500008265	19.8602870088645	15.5976706672946	7200	1
"105"	105	3	2	1	2	1	1	1	5.8	15	23.2	6.8	18	22.6666666666667	6.7	17	23.6470588235294	5.46507552295039	12.6758333325386	32.2130552992402	25.8684792372032	10500	1
"106"	106	1	1	1	1	1	1	1	6	14	25.7142857142857	5.4	16	20.25	4.8	22	13.0909090909091	4.79851103559559	15.855166665713	26.8503687602357	18.1587912764327	10200	2
"107"	107	5	1	2	1	1	1	1	5.5	19	17.3684210526316	7.2	19	22.7368421052632	7.2	20	21.6	5.58091401604086	18.3444499969482	26.8852222362503	18.2537411052475	11000	1
"108"	108	3	2	1	1	1	1	1	4.2	13	19.3846153846154	4.2	13	19.3846153846154	5.4	17	19.0588235294118	2.22700488308263	13.2605000019073	19.6084394603529	10.0765652098894	8800	4
"109"	109	6	2	2	1	2	1	1	4	12	20	4.3	13	19.8461538461538	4.8	13	22.1538461538462	2.89686825103835	13.6909500002861	28.2899736862599	12.695400615638	9800	4
"110"	110	6	2	2	1	5	2	1	9.5	23	24.7826086956522	8.4	26	19.3846153846154	9.6	27	21.3333333333333	7.80166030894318	27.3485000014305	21.9228787877859	17.1160984519117	14300	2
"111"	111	4	2	2	1	2	1	1	5.5	17	19.4117647058824	6.1	21	17.4285714285714	7.2	26	16.6153846153846	4.62833208804925	15.8730666677157	23.2290122381091	17.4950393075442	9200	1
"112"	112	3	2	2	1	3	1	1	4.3	13	19.8461538461538	6.4	15	25.6	6.5	16	24.375	2.90693497277456	16.5717666665713	14.3504069374126	10.5248946521983	7100	1
"113"	113	5	2	2	1	2	1	2	7.6	23	19.8260869565217	7.8	26	18	11.4	28	24.4285714285714	5.65880588383564	26.2917833328247	28.9114935189155	12.9138578670031	16700	1
"114"	114	4	2	2	1	2	2	1	11.4	24	28.5	11.9	24	29.75	12.3	25	29.52	9.60050591436877	17.5812833309174	38.441197077604	32.7638400462585	16000	4
"115"	115	1	1	1	1	2	2	1	4.6	16	17.25	5.6	20	16.8	5.8	21	16.5714285714286	5.3944326450201	26.9423833330472	18.1493461400444	12.013263811899	12600	4
"116"	116	3	2	2	1	1	1	1	4.2	15	16.8	5.2	16	19.5	5.6	18	18.6666666666667	4.31039187684314	18.9902166644732	21.5110269099311	13.6187762983463	9700	4
"117"	117	1	1	2	1	1	1	1	4.8	14	20.5714285714286	5.3	17	18.7058823529412	6.5	18	21.6666666666667	4.56210227379283	15.5092333316803	26.3797370509095	17.6492371075775	9300	1
"118"	118	2	2	2	1	2	1	1	3.7	15	14.8	5.5	15	22	4	18	13.3333333333333	5.30153729148076	22.9080500006676	23.6592603365456	13.885609533748	10500	4
"119"	119	1	2	2	1	5	3	1	6.4	25	15.36	6.8	27	15.1111111111111	8.6	29	17.7931034482759	7.3272479155984	24.2633833328883	23.6241398863414	18.1192733471755	12600	4
"120"	120	1	2	2	2	3	1	1	8.7	26	20.0769230769231	12	27	26.6666666666667	12.7	31	24.5806451612903	7.08040364818672	22.0212166666985	28.1594929750898	19.2915870780947	15600	1
"121"	121	3	2	2	1	3	1	1	4.7	12	23.5	5.3	13	24.4615384615385	6.4	17	22.5882352941176	4.23554152460858	17.95643333594	19.9359521567229	14.1527265867362	9300	4
"122"	122	1	2	1	1	5	1	1	6.6	19	20.8421052631579	7.4	18	24.6666666666667	6.4	23	16.695652173913	6.11685873581715	25.225933333238	19.4066951261119	14.5489770111083	11000	4
"123"	123	5	1	2	1	4	1	1	6.3	16	23.625	6.8	17	24	6	19	18.9473684210526	5.63147195454446	21.8766166687012	22.3165118063176	15.4451816014166	11000	4
"124"	124	6	2	2	2	2	1	1	11.6	24	29	8.2	27	18.2222222222222	9.8	26	22.6153846153846	7.19227301752897	30.1344000021617	26.4145199926647	14.3203906837628	15300	2
"125"	125	1	2	1	1	3	2	1	5.1	16	19.125	4.9	15	19.6	5.4	16	20.25	4.18117077851841	17.7356666644414	21.8984699184621	14.1449572467484	9000	2
"126"	126	1	2	2	2	2	2	1	7	20	21	6.2	20	18.6	0	0	0	6.14257868389767	28.3620500008265	19.5082416055005	12.9946432300599	11400	2
"127"	127	5	2	2	1	1	1	1	2.3	7	19.7142857142857	0	0	0	0	0	0	2.26533439650018	8.337433330218	22.2405684967646	16.3023868865476	6000	4
"128"	128	5	1	2	1	3	1	1	3.9	10	23.4	3.6	13	16.6153846153846	4	15	16	4.31924092731231	15.9431166688601	22.3712034000852	16.2549431846607	8500	4
"129"	129	3	1	2	1	1	1	1	2.4	8	18	2.6	10	15.6	3.4	10	20.4	2.79338084021125	9.60693333148956	22.0139376053016	17.4460303438671	7000	4
"130"	130	5	2	2	1	2	1	1	6.3	17	22.2352941176471	6.8	21	19.4285714285714	6	23	15.6521739130435	5.60513527710435	19.4450500011444	26.0227926090625	17.2953073716173	11000	1
"131"	131	1	2	2	1	1	1	1	5.7	15	22.8	6.6	18	22	0	0	0	4.83113454065247	15.5004499991735	26.8072659134203	18.700623043499	9300	4
"132"	132	6	2	2	1	6	2	2	7.5	28	16.0714285714286	5.6	30	11.2	5.5	32	10.3125	4.62333714979271	25.8201666673024	19.0916159009448	10.7435491242917	11600	4
"133"	133	3	2	2	1	2	2	1	6.2	15	24.8	6.7	15	26.8	5.7	14	24.4285714285714	5.12599993345262	15.4635999997457	28.7735786982916	19.8892881355063	11500	3
"134"	134	1	2	2	1	6	1	1	4.8	16	18	6	17	21.1764705882353	6.4	22	17.4545454545455	4.74258161433351	37.5235500017802	14.1452359512212	7.58336822732685	12700	4
"135"	135	1	2	1	2	2	1	1	5.6	18	18.6666666666667	4.7	19	14.8421052631579	4.9	20	14.7	4.17987505984889	18.2788333336512	25.8436021668181	13.7203780467338	10000	2
"136"	136	3	1	1	1	3	1	1	5.3	13	24.4615384615385	5.4	14	23.1428571428571	0	0	0	4.98484594165401	17.2079499999682	21.5958745230842	17.3809638277536	10000	4
"137"	137	5	2	2	2	2	1	1	7.6	16	28.5	5.4	14	23.1428571428571	4.8	15	19.2	4.3129399670589	16.711333334446	24.0421606161258	15.4850838556452	9400	4
"138"	138	5	2	2	1	1	1	1	3.9	13	18	4.3	15	17.2	4.4	17	15.5294117647059	3.85727552846867	17.2242166678111	21.6635493221412	13.4366941714472	8600	1
"139"	139	1	1	2	1	1	1	1	3.7	9	24.6666666666667	0	0	0	0	0	0	3.5942642321419	10.0606666684151	27.6751356647986	21.4355430943313	8900	1
"140"	140	2	2	1	2	2	1	1	5.2	11	28.3636363636364	5.9	17	20.8235294117647	4.8	15	19.2	3.21636116452032	14.566833337148	24.4482332175991	13.2480179737542	9500	4
"141"	141	4	2	1	1	4	1	1	3.5	9	23.3333333333333	3.6	10	21.6	4.4	11	24	3.52759194362303	8.06611666679382	36.2022891659244	26.2400762796693	8200	1
"142"	142	2	2	2	1	2	1	1	7.4	20	22.2	8	24	20	7.6	24	19	6.54568751129521	23.7803333322207	24.6435620582574	16.5153803855884	14100	4
"143"	143	4	1	2	1	2	2	1	7.3	23	19.0434782608696	7.2	25	17.28	7	26	16.1538461538462	6.34764834546654	24.5275666673978	30.2434340884181	15.5277898493792	11600	1
"144"	144	1	1	2	1	3	1	2	4.5	13	20.7692307692308	5.7	16	21.375	5.3	16	19.875	4.67262702305341	13.2115500013034	28.925536124225	21.2206456740917	9100	1
"145"	145	1	1	2	1	1	1	1	5.6	14	24	6.7	14	28.7142857142857	6.7	18	22.3333333333333	5.00912791242916	13.5151166677475	27.233517032001	22.2378897744166	10000	4
"146"	146	1	1	2	1	1	1	1	3	8	22.5	3	8	22.5	4.6	11	25.0909090909091	2.81291104050343	6.94266666968664	28.0067674246826	24.3097746816964	6800	1
"147"	147	5	1	1	1	1	1	1	5.5	13	25.3846153846154	7.3	16	27.375	6.9	17	24.3529411764706	4.8920643213181	14.8771666646004	28.5885780977953	19.7298226131669	9800	1
"148"	148	4	2	1	1	3	1	1	4	11	21.8181818181818	3.9	10	23.4	4.6	11	25.0909090909091	4.84453258346274	17.967616669337	19.0762483898451	16.1775465470508	9600	4
"149"	149	5	2	2	2	3	2	1	6.4	26	14.7692307692308	6.1	35	10.4571428571429	6.2	38	9.78947368421053	6.0088874353625	44.2217166662216	19.0985769880414	8.15285505180626	17200	4
