"ViajesId"	"Dia"	"AM/PM"	"HoraPico/Valle"	"Clima"	"Congestion"	"Pavimento"	"Incidente"	"Alt1_Distancia"	"Alt1_Tiempo"	"Alt1_Velocidad"	"Alt2_Distancia"	"Alt2_Tiempo"	"Alt2_Velocidad"	"Alt3_Distancia"	"Alt3_Tiempo"	"Alt3_Velocidad"	"Alt4_Distancia"	"Alt4_Tiempo"	"Alt4_VelPromedio"	"Alt4_VelTotal"	"Costo"	"Choice"
"1"	1	3	2	2	2	2	1	1	10.1	24	25.25	11.1	27	24.6666666666667	8.4	30	16.8	6.4800083582619	22.1199999968211	26.0349124266611	17.5768762003431	14800	3
"2"	2	5	2	2	1	6	1	2	8	24	20	7.2	28	15.4285714285714	6.8	29	14.0689655172414	5.62191677043744	52.4813833316167	13.0165037274052	6.42732688837177	15900	3
"3"	3	3	1	2	1	2	1	1	5.8	18	19.3333333333333	5.4	20	16.2	6.7	25	16.08	4.6118611667335	19.8945500016212	23.4000328635051	13.908918270655	9800	4
"4"	4	1	2	2	1	2	1	1	9.8	17	34.5882352941176	8.7	18	29	8.4	26	19.3846153846154	5.66417631783556	21.357216668129	27.4185304748775	15.9126811490042	15200	4
"5"	5	4	1	1	1	1	1	1	6.3	18	21	7.4	21	21.1428571428571	7.6	23	19.8260869565217	6.24244856575479	18.2935499986013	29.8799854327541	20.4742608172785	11500	1
"6"	6	2	2	2	1	6	1	2	4.6	16	17.25	5.2	20	15.6	5.1	28	10.9285714285714	4.78786320352643	35.2122833331426	14.2947895855092	8.15828355956682	12000	4
"7"	7	4	2	1	1	5	1	1	5.2	26	12	5.6	29	11.5862068965517	5.9	33	10.7272727272727	5.38568444871494	25.9026000022888	19.8332513305674	12.475236728913	11600	1
"8"	8	2	1	2	1	1	1	1	7.8	17	27.5294117647059	6.7	18	22.3333333333333	7.1	19	22.4210526315789	5.36221384973433	14.9695000012716	30.101735455899	21.4925569295388	11500	2
"9"	9	1	2	2	1	2	1	2	5.1	11	27.8181818181818	5.4	16	20.25	5.3	17	18.7058823529412	4.29936377724541	24.1902833342552	15.798590364061	10.6638613144903	9000	3
"10"	10	5	1	2	1	2	1	1	6.1	17	21.5294117647059	5.8	17	20.4705882352941	5.7	19	18	5.36099042527625	17.3442666649818	23.6182084555779	18.5455765717675	10800	2
"11"	11	2	1	1	1	5	1	1	6.4	17	22.5882352941176	6.1	17	21.5294117647059	6.3	19	19.8947368421053	6.10252462287688	16.7100666681925	26.393581665363	21.9120297149729	11000	4
