"CODVIAJE"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"GENERO"	"TIEMPO_PROFESION"	"HORASTRABAJO"	"NIVELEDUCATIVO"	"INFOTRAFICO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"VELAlt1"	"DISTAlt2"	"TIEMPOAlt2"	"VELAlt2"	"DISTAlt3"	"TIEMPOAlt3"	"VELAlt3"	"DISTEC"	"TIEMPOEC"	"VELPROMEC"	"VELTOTALEC"	"COSTO"	"CHOICE"
"1"	1	"2"	"2"	"1"	"1"	"2"	"1"	1	10	14	1	1	4	10.1	24	25.25	11.1	27	24.6666666666667	8.4	30	16.8	7.73476294124306	22.1199999968211	41.535736203386	20.9803696447233	14800	3
"2"	2	"1"	"6"	"1"	"2"	"2"	"2"	1	21	10	0	1	3	8	24	20	7.2	28	15.4285714285714	6.8	29	14.0689655172414	5.97650183766384	52.4813833316167	14.3960927508891	6.83271071560727	15900	3
"3"	3	"1"	"2"	"1"	"1"	"1"	"2"	1	10	12	4	1	2	5.8	18	19.3333333333333	5.4	20	16.2	6.7	25	16.08	4.6118611667335	19.8945500016212	23.4000328635051	13.908918270655	9800	4
"4"	4	"1"	"2"	"1"	"1"	"2"	"1"	1	12	12	1	1	2	9.8	17	34.5882352941176	8.7	18	29	8.4	26	19.3846153846154	7.25357902960908	21.357216668129	63.5535481070185	20.377877348878	15200	4
"5"	5	"1"	"1"	"1"	"1"	"1"	"2"	1	10	8	2	1	3	6.3	18	21	7.4	21	21.1428571428571	7.6	23	19.8260869565217	6.25408258109686	18.2935499986013	30.762172723934	20.5124185789255	11500	1
"6"	6	"1"	"6"	"1"	"2"	"2"	"1"	1	15	13	4	2	4	4.6	16	17.25	5.2	20	15.6	5.1	28	10.9285714285714	4.78786320352643	35.2122833331426	14.2947895855092	8.15828355956682	12000	4
"7"	7	"1"	"5"	"1"	"1"	"2"	"2"	1	2	10	1	1	2	5.2	26	12	5.6	29	11.5862068965517	5.9	33	10.7272727272727	5.38568444871494	25.9026000022888	19.8332513305674	12.475236728913	11600	1
"8"	8	"1"	"1"	"1"	"1"	"1"	"1"	1	6	10	1	2	2	7.8	17	27.5294117647059	6.7	18	22.3333333333333	7.1	19	22.4210526315789	5.5117573711736	14.9695000012716	32.0169030821407	22.0919497807091	11500	2
"9"	9	"1"	"2"	"1"	"2"	"2"	"1"	1	15	12	4	1	2	5.1	11	27.8181818181818	5.4	16	20.25	5.3	17	18.7058823529412	4.34436271383387	24.1902833342552	17.2840043087279	10.7754737399423	9000	3
"10"	10	"1"	"2"	"1"	"1"	"1"	"1"	1	25	12	1	2	3	6.1	17	21.5294117647059	5.8	17	20.4705882352941	5.7	19	18	5.36099042527625	17.3442666649818	23.6182084555779	18.5455765717675	10800	2
"11"	11	"1"	"5"	"1"	"1"	"1"	"2"	1	10	14	4	1	3	6.4	17	22.5882352941176	6.1	17	21.5294117647059	6.3	19	19.8947368421053	6.10252462287688	16.7100666681925	26.393581665363	21.9120297149729	11000	4
"12"	12	"1"	"1"	"1"	"1"	"1"	"2"	1	7	12	1	1	3	3.4	10	20.4	4.2	12	21	3.9	14	16.7142857142857	2.76399721459216	7.22566666603088	29.6500026820757	22.9514923038412	7300	1
"13"	13	"2"	"2"	"1"	"1"	"2"	"1"	1	22	16	1	2	3	4.9	18	16.3333333333333	0	0	0	0	0	0	4.37178317857192	19.6127166668574	22.0330119023505	13.3743323359979	9500	4
"14"	14	"1"	"1"	"1"	"1"	"1"	"2"	1	18	12	4	1	3	2.4	8	18	2.4	8	18	2.6	9	17.3333333333333	2.46359452833276	8.91083333492279	20.5856427632367	16.5883106713101	6600	2
"15"	15	"1"	"2"	"1"	"1"	"1"	"2"	1	10	14	1	2	3	5.4	14	23.1428571428571	5.5	14	23.5714285714286	5.6	16	21	5.30979527223473	20.4150666673978	28.3664374830078	15.605519272825	11500	4
"16"	16	"1"	"1"	"1"	"1"	"1"	"1"	1	18	12	1	0	2	8.8	17	31.0588235294118	7.5	18	25	6.9	21	19.7142857142857	4.43820034492775	23.1583999991417	24.1846174034065	11.4987227401519	12200	4
"17"	17	"1"	"4"	"1"	"1"	"2"	"2"	1	10	16	2	1	2	7.3	19	23.0526315789474	8.1	20	24.3	6.8	20	20.4	6.60283796996291	20.5518833359083	26.6881583419408	19.2765924038497	12500	3
"18"	18	"2"	"6"	"2"	"1"	"2"	"2"	1	20	15	1	2	3	5.7	23	14.8695652173913	5.4	30	10.8	5.7	34	10.0588235294118	5.18778293730232	70.8360499978066	30.2698707836842	4.39418878166946	21500	3
"19"	19	"1"	"6"	"1"	"1"	"2"	"1"	1	20	-1	4	1	4	5.4	16	20.25	5.5	17	19.4117647058824	5.2	20	15.6	5.73121367198812	23.1963333328565	22.7085709386342	14.8244472686641	9500	4
"20"	20	"1"	"1"	"1"	"1"	"2"	"1"	2	8	12	1	1	3	7.6	21	21.7142857142857	7	23	18.2608695652174	7.2	23	18.7826086956522	5.65309412435009	14.4128999988238	32.7011619782269	23.5334767804318	14000	4
"21"	21	"1"	"2"	"1"	"1"	"2"	"1"	1	15	12	4	1	3	7.3	21	20.8571428571429	6.9	20	20.7	7.8	22	21.2727272727273	7.2701031829413	24.201166665554	29.5519619067509	18.0241802804217	10800	4
"22"	22	"1"	"1"	"1"	"1"	"1"	"1"	1	4	12	1	1	1	1.8	5	21.6	0	0	0	0	0	0	2.02278372741952	4.32483333349228	47.5335483236452	28.0628209890271	6300	4
"23"	23	"1"	"2"	"1"	"1"	"2"	"1"	1	6	12	1	1	1	11.2	25	26.88	11.3	26	26.0769230769231	10.9	27	24.2222222222222	10.1168377793121	21.5533333341281	45.767380548698	28.1631735262764	17800	1
"24"	24	"1"	"3"	"1"	"1"	"1"	"2"	1	25	15	4	1	4	6.6	20	19.8	6.7	20	20.1	8.1	23	21.1304347826087	6.24646435179677	21.4881000002225	24.7586298513129	17.4416472886819	11800	1
"25"	25	"1"	"1"	"1"	"1"	"1"	"1"	1	18	11	1	1	2	3.6	10	21.6	0	0	0	0	0	0	3.15221163699731	5.86423333088557	33.8079567938912	32.2519053298442	7400	4
"26"	26	"2"	"4"	"2"	"1"	"2"	"1"	1	20	10	1	1	3	6.6	22	18	8.8	27	19.5555555555556	0	0	0	6.22314724893921	25.3781666636467	19.0265244029981	14.7129948307582	11300	1
"27"	27	"1"	"1"	"1"	"1"	"1"	"1"	1	12	10	1	1	3	4.2	14	18	5.1	18	17	6	16	22.5	3.54738638044935	14.0485500017802	29.1682967848926	15.1505445615377	10500	4
