"CODVIAJE"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"GENERO"	"TIEMPO_PROFESION"	"HORASTRABAJO"	"NIVELEDUCATIVO"	"INFOTRAFICO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"VELAlt1"	"DISTAlt2"	"TIEMPOAlt2"	"VELAlt2"	"DISTAlt3"	"TIEMPOAlt3"	"VELAlt3"	"DISTEC"	"TIEMPOEC"	"VELPROMEC"	"VELTOTALEC"	"COSTO"	"CHOICE"
"28"	28	"1"	"3"	"1"	"1"	"2"	"2"	1	20	14	1	1	3	5	14	21.4285714285714	5.9	16	22.125	5.3	15	21.2	5.35162929150614	20.4066666682561	37.1039492436693	15.7349440116968	10800	3
"29"	29	"1"	"2"	"1"	"1"	"1"	"1"	1	3	-1	4	1	2	5.7	19	18	5.9	19	18.6315789473684	5.9	22	16.0909090909091	6.36603958238424	23.9391666650772	24.9693674485906	15.9555418234448	12500	4
"30"	30	"2"	"2"	"1"	"1"	"2"	"2"	1	12	14	2	1	3	3	9	20	3	14	12.8571428571429	4.6	17	16.2352941176471	2.54612260750997	11.8005499998728	14.6865934087351	12.9457827348932	6500	2
"31"	31	"1"	"2"	"1"	"1"	"2"	"1"	1	10	12	1	1	2	4.2	8	31.5	4.5	15	18	4.8	15	19.2	4.00758480174602	18.6805499990781	64.5796650449415	12.871949065559	9800	4
"32"	32	"1"	"2"	"1"	"1"	"1"	"1"	1	1	18	1	1	3	5.8	15	23.2	5.6	17	19.7647058823529	7.4	18	24.6666666666667	3.15650373100609	18.1158333301544	726.383062420239	10.4544030853452	10900	4
"33"	33	"1"	"1"	"1"	"1"	"2"	"1"	1	0	0	4	1	2	7	20	21	7.8	23	20.3478260869565	8.4	29	17.3793103448276	5.0934231312904	15.7068833311399	73.398075501177	19.4567809179267	11000	1
"34"	34	"1"	"3"	"1"	"1"	"2"	"1"	1	20	12	2	1	3	6.5	19	20.5263157894737	7.8	20	23.4	6.6	27	14.6666666666667	7.01179764902764	23.269883330663	22.6656610992634	18.0795001403074	13000	1
"35"	35	"1"	"2"	"1"	"1"	"2"	"1"	1	20	15	2	1	3	5.1	13	23.5384615384615	5.4	14	23.1428571428571	5.3	16	19.875	3.80938883249998	11.7963333328565	27.6102098149348	19.3757944524489	8600	1
"36"	36	"1"	"1"	"1"	"1"	"1"	"1"	1	28	12	1	1	3	3.6	10	21.6	0	0	0	0	0	0	2.39929725460373	6.57099999984105	28.9139158648542	21.9080558940353	8900	1
"37"	37	"1"	"6"	"1"	"2"	"2"	"2"	1	1	16	3	1	2	8	20	24	7.5	22	20.4545454545455	7.3	22	19.9090909090909	7.06357971415996	35.5969500025113	19.6303140367692	11.9059296602574	13800	3
"38"	38	"1"	"6"	"1"	"1"	"1"	"2"	1	6	14	1	1	4	5.7	20	17.1	5.8	22	15.8181818181818	6.4	22	17.4545454545455	6.39574423991573	26.7703833301862	22.1763952405495	14.3346716280388	12300	4
"39"	39	"1"	"3"	"1"	"1"	"2"	"1"	1	2	12	1	1	3	5.3	11	28.9090909090909	5.4	13	24.9230769230769	6	15	24	3.80144723851796	13.2478833357493	23.6514302246168	17.2168510644706	8000	4
"40"	40	"1"	"5"	"1"	"1"	"1"	"2"	1	-1	12	4	1	3	4.8	16	18	5.2	18	17.3333333333333	5.9	16	22.125	5.64549274090123	14.8357333342234	36.0220664405947	22.8320068056686	10800	3
"41"	41	"2"	"5"	"2"	"1"	"2"	"2"	1	-1	10	1	1	2	5.7	12	28.5	5.6	16	21	6	21	17.1428571428571	6.2928990893376	16.3699333349864	58.4594136604879	23.0650875378516	11200	2
"42"	42	"1"	"1"	"1"	"1"	"2"	"1"	1	15	10	4	1	3	7	15	28	7.2	16	27	7.6	16	28.5	7.09674130805823	15.2309999982516	31.8835142857386	27.956436119255	12100	1
"43"	43	"2"	"2"	"1"	"1"	"2"	"1"	1	8	12	1	1	3	4.8	14	20.5714285714286	4.7	17	16.5882352941176	5.3	18	17.6666666666667	4.6130956407692	14.6347333351771	24.5429753265875	18.9129335059936	10000	1
"44"	44	"1"	"1"	"1"	"1"	"2"	"1"	1	15	12	1	1	4	3	8	22.5	2.9	10	17.4	3.2	14	13.7142857142857	2.53262021203206	6.53450000286102	28.0025954695089	23.2546044311564	6500	1
"45"	45	"1"	"1"	"1"	"1"	"2"	"1"	1	14	14	2	1	3	6.3	22	17.1818181818182	6.6	25	15.84	7.6	26	17.5384615384615	6.33638655798182	26.6689500013987	22.7513862031643	14.2556491147559	13000	1
"46"	46	"1"	"4"	"1"	"1"	"1"	"1"	1	12	15	1	1	3	6.7	17	23.6470588235294	6.9	20	20.7	7.3	21	20.8571428571429	7.08514356867066	20.6709999998411	27.8502199891034	20.5654595386536	12500	4
"47"	47	"2"	"2"	"1"	"1"	"2"	"2"	1	15	12	1	2	2	6.7	25	16.08	6.9	28	14.7857142857143	6.2	26	14.3076923076923	6.47320523924045	29.7498999993006	21.5949636829281	13.0552477273388	12600	4
"48"	48	"1"	"4"	"1"	"1"	"2"	"1"	1	3	10	1	2	2	4.5	18	15	6	19	18.9473684210526	5.7	19	18	4.64159732382637	11.8507333358129	66.1428027733698	23.5003042881716	8800	4
"49"	49	"1"	"1"	"2"	"1"	"2"	"1"	1	18	12	1	1	2	4.5	16	16.875	4.6	15	18.4	5.3	15	21.2	2.630331288637	10.1517833352089	25.5566747515748	15.5460249797552	8500	1
"50"	50	"2"	"2"	"1"	"1"	"2"	"1"	1	0	12	1	1	3	5.5	17	19.4117647058824	4.7	20	14.1	5.9	21	16.8571428571429	4.38749730530849	16.7344000021617	30.6811183157618	15.7310592721881	10500	2
"51"	51	"1"	"1"	"1"	"1"	"2"	"1"	1	4	13	2	2	1	3.4	11	18.5454545454545	3.3	15	13.2	3.9	16	14.625	2.25792978352373	8.22833333412806	20.5587867378621	16.4645477413416	6000	1
"52"	52	"1"	"3"	"1"	"1"	"2"	"1"	1	13	14	1	1	2	5.8	18	19.3333333333333	0	0	0	0	0	0	4.79854997903428	17.8704333345095	22.5968152890229	16.1111369463027	10300	4
"53"	53	"1"	"2"	"1"	"1"	"2"	"2"	1	15	12	1	1	2	5.7	15	22.8	4.3	16	16.125	5.5	14	23.5714285714286	4.14609453488178	15.668666668733	28.2717254917224	15.8766331145025	9300	2
"54"	54	"2"	"4"	"2"	"1"	"2"	"1"	1	1	15	1	1	3	5.7	18	19	6.6	22	18	7.5	32	14.0625	6.24985553793692	20.7561166644096	123.416701735798	18.066545796556	10000	1
"55"	55	"1"	"2"	"1"	"1"	"1"	"1"	1	35	14	1	1	3	4.3	15	17.2	5.7	17	20.1176470588235	5.5	18	18.3333333333333	4.38871899411864	31.9890499989192	48.0357923365601	8.23166488707902	9500	1
"56"	56	"1"	"1"	"1"	"1"	"1"	"1"	1	42	10	1	1	4	4.3	13	19.8461538461538	5.2	14	22.2857142857143	4.5	15	18	4.09073760330632	11.5539333343506	59.2456875918398	21.2433505625879	9000	4
"57"	57	"1"	"3"	"2"	"1"	"2"	"1"	1	1	5	2	2	1	4.2	16	15.75	6	17	21.1764705882353	5.1	18	17	4.16604526925258	17.6693333347638	17.0117163051614	14.146697638182	9300	1
"58"	58	"1"	"1"	"1"	"1"	"1"	"2"	1	15	14	1	1	3	3	8	22.5	3	8	22.5	4.6	10	27.6	3.93480301965578	13.2180499990781	27.297711540109	17.8610446469648	8300	1
"59"	59	"1"	"2"	"1"	"1"	"2"	"1"	1	10	16	1	2	3	2.3	6	23	0	0	0	0	0	0	1.67889412663829	5.17211666901906	20.2360353877348	19.4762906648435	6000	1
"60"	60	"2"	"2"	"1"	"1"	"2"	"1"	1	11	14	1	1	3	4.5	20	13.5	4.6	22	12.5454545454545	4.7	24	11.75	4.48312964728217	22.8236666679382	20.3660578428629	11.7854761353833	10000	4
"61"	61	"1"	"2"	"1"	"1"	"1"	"1"	1	43	12	1	1	3	6.1	15	24.4	6.9	17	24.3529411764706	7.2	18	24	4.84228033522813	14.6074000000954	37.5390253645493	19.8897011180492	10000	1
"62"	62	"1"	"1"	"1"	"1"	"1"	"2"	1	15	10	1	1	2	6.4	15	25.6	5.6	16	21	6.5	18	21.6666666666667	7.6710397827606	16.3997166673342	46.0284197785723	28.0652645592597	13000	4
"63"	63	"1"	"2"	"2"	"1"	"2"	"1"	1	1	12	1	2	1	7.1	20	21.3	8.5	22	23.1818181818182	7.3	25	17.52	7.46795409376879	23.3891666650772	24.197973900399	19.1574694405492	13000	3
"64"	64	"1"	"1"	"1"	"1"	"2"	"2"	1	16	15	1	1	2	4	11	21.8181818181818	3.9	11	21.2727272727273	4.6	13	21.2307692307692	3.89067979239141	10.582333334287	29.7144868804618	22.0594816066823	8500	2
"65"	65	"1"	"2"	"1"	"1"	"1"	"1"	1	15	12	2	1	2	6.6	17	23.2941176470588	6.2	19	19.5789473684211	6.4	23	16.695652173913	5.49711694401198	11.7742833336194	38.329589208491	28.01249191099	12700	1
"66"	66	"1"	"5"	"1"	"1"	"1"	"1"	1	25	10	0	1	4	6	17	21.1764705882353	4.5	20	13.5	4.9	22	13.3636363636364	5.42730943222081	12.7379999995232	31.1517527075613	25.5643402375128	9900	1
"67"	67	"1"	"1"	"1"	"1"	"2"	"1"	1	3	12	1	1	3	5.1	15	20.4	7.3	16	27.375	6.7	18	22.3333333333333	4.73736064190911	17.7182666699092	30.1882175565947	16.042293741818	9500	1
"68"	68	"1"	"2"	"1"	"1"	"2"	"1"	1	18	14	1	1	3	5.5	22	15	6.7	22	18.2727272727273	5.8	23	15.1304347826087	5.50862162060594	26.3142333348592	19.0844411850945	12.5604000325752	12200	1
"69"	69	"2"	"3"	"1"	"1"	"2"	"1"	1	28	15	1	1	3	6.6	23	17.2173913043478	6.7	27	14.8888888888889	6.5	26	15	5.91130071093373	33.6188999970754	20.143818309065	10.5499597752121	14000	4
"70"	70	"1"	"2"	"1"	"1"	"2"	"2"	1	10	12	2	2	3	3.7	10	22.2	4.1	14	17.5714285714286	0	0	0	3.63471267080803	15.7786666671435	27.3710741637677	13.8213681072688	8600	4
"71"	71	"1"	"2"	"2"	"1"	"2"	"1"	1	17	12	0	1	3	7.4	21	21.1428571428571	7.1	24	17.75	8.1	25	19.44	7.56381662217391	21.7688333352407	125.799845530399	20.8476490375692	13500	1
"72"	72	"1"	"4"	"1"	"1"	"2"	"1"	1	1	10	1	1	1	4.5	16	16.875	5.3	16	19.875	5.7	17	20.1176470588235	4.23771345728268	14.105166665713	27.3710731912375	18.0262178719962	8700	1
"73"	73	"1"	"2"	"1"	"1"	"1"	"2"	1	35	12	0	1	4	5.4	15	21.6	5	15	20	4.8	18	16	4.40622572994384	10.1679999987284	30.8543550283251	26.0005452232191	9300	4
"74"	74	"2"	"1"	"1"	"1"	"1"	"2"	1	3	12	2	2	1	8.8	19	27.7894736842105	9	19	28.4210526315789	9	21	25.7142857142857	7.32946998553507	15.6474999984105	50.9279953365068	28.1046939879709	14300	1
"75"	75	"1"	"1"	"1"	"1"	"1"	"2"	1	30	13	2	1	3	3.9	10	23.4	4.4	12	22	4.2	12	21	4.07525029408923	13.4006000002225	23.7638498861588	18.246572365513	9200	4
"76"	76	"2"	"6"	"1"	"1"	"2"	"2"	1	25	15	1	2	3	6.4	29	13.2413793103448	6.3	30	12.6	6.7	30	13.4	6.00751792225942	39.7268333355586	15.7669965903819	9.07323954796402	14400	4
"77"	77	"1"	"6"	"1"	"1"	"2"	"1"	1	3	12	2	1	4	6.3	17	22.2352941176471	5.2	20	15.6	5.7	20	17.1	4.61121818511702	24.5118333339691	64.7288900218792	11.2873275261545	9400	2
"78"	78	"1"	"1"	"2"	"1"	"2"	"1"	1	16	15	1	1	3	10.3	22	28.0909090909091	9.3	23	24.2608695652174	8.3	21	23.7142857142857	6.8309536102594	15.5195500016212	35.164660989943	26.409091537625	12500	3
"79"	79	"1"	"1"	"1"	"1"	"1"	"2"	1	35	13	1	1	4	6.4	15	25.6	6.5	14	27.8571428571429	6.8	16	25.5	6.0618003980079	13.738399998347	36.8004320434445	26.4738269321199	11500	1
"80"	80	"1"	"6"	"1"	"2"	"1"	"2"	1	5	15	1	1	2	4.7	14	20.1428571428571	6.1	16	22.875	4.7	17	16.5882352941176	4.82116742516463	16.3461666663488	26.2858837069119	17.6965065519237	10600	4
"81"	81	"1"	"3"	"1"	"2"	"1"	"2"	1	11	14	1	1	3	4.6	12	23	5.8	13	26.7692307692308	5	14	21.4285714285714	4.7486110757439	10.8340499997139	42.1559034783703	26.2982600737635	10300	4
"82"	82	"1"	"2"	"1"	"1"	"2"	"2"	1	18	16	1	1	3	3.9	11	21.2727272727273	4.2	11	22.9090909090909	4.2	14	18	3.90248803604043	9.6653333346049	38.7247754357095	24.2256810040993	7800	2
"83"	83	"1"	"2"	"1"	"1"	"2"	"2"	1	23	12	1	1	4	4.8	21	13.7142857142857	6	28	12.8571428571429	5.4	27	12	5.22862784078864	44.4528833309809	48.6803536494624	7.05730757916161	10800	1
"84"	84	"1"	"5"	"2"	"1"	"2"	"2"	1	2	14	2	1	3	6.4	18	21.3333333333333	7.7	25	18.48	7.4	25	17.76	5.86085867446615	21.5048833330472	30.870217997674	16.3521705754885	11500	4
"85"	85	"1"	"2"	"1"	"1"	"2"	"1"	1	12	14	1	1	2	5	17	17.6470588235294	5.9	20	17.7	5.5	20	16.5	4.63779314741114	14.9566166679064	32.5620819953111	18.6049823314499	9900	4
"86"	86	"1"	"6"	"1"	"2"	"2"	"2"	1	3	12	1	1	1	8.3	28	17.7857142857143	9.3	32	17.4375	8.8	34	15.5294117647059	7.45356234115071	39.3309500018756	19.1531147867944	11.37052983586	15000	4
"87"	87	"2"	"6"	"1"	"2"	"2"	"1"	1	20	14	1	1	3	6.2	22	16.9090909090909	6.2	24	15.5	6.6	24	16.5	6.39070453803249	33.382450000445	19.0369587044358	11.486343041833	12000	2
"88"	88	"1"	"2"	"1"	"1"	"1"	"1"	1	3	12	0	1	0	5.3	12	26.5	4.4	13	20.3076923076923	4.3	14	18.4285714285714	4.23035474598606	11.4121666669846	33.6250562395081	22.2412879311927	7500	2
"89"	89	"1"	"3"	"1"	"1"	"2"	"1"	1	1	12	2	2	2	4.1	15	16.4	5.2	20	15.6	5.2	26	12	3.32041920432399	20.2890499989192	29.0536394680325	9.8193435508342	10200	1
"90"	90	"2"	"1"	"1"	"1"	"1"	"2"	1	10	15	1	1	2	5.8	14	24.8571428571429	7.4	15	29.6	6.7	16	25.125	4.76124845287191	11.6500500003497	32.3666589153799	24.5213460168617	10000	4
"91"	91	"1"	"4"	"1"	"1"	"2"	"1"	1	1	15	2	1	3	3	8	22.5	3	8	22.5	4.6	10	27.6	3.55656446810794	10.32600000302	31.5002996242412	20.665685456524	8000	1
"92"	92	"1"	"2"	"1"	"1"	"2"	"1"	1	11	12	1	1	2	12.2	26	28.1538461538462	0	0	0	0	0	0	11.3335482967195	24.5650000015895	33.9346933962068	27.6821859458242	17000	4
"93"	93	"1"	"3"	"1"	"1"	"2"	"2"	1	17	15	0	1	2	3.4	10	20.4	4.1	18	13.6666666666667	0	0	0	3.47000976239613	10.7747166673342	25.8296743059579	19.3230682691611	7800	1
"94"	94	"1"	"1"	"1"	"1"	"1"	"1"	1	-1	12	2	1	3	3.1	9	20.6666666666667	2.7	9	18	3	9	20	2.86788098003027	7.34643333355586	28.9154707855236	23.4226393937109	7000	3
"95"	95	"2"	"2"	"2"	"1"	"2"	"2"	1	22	12	1	2	4	3.7	15	14.8	4.7	15	18.8	4.1	17	14.4705882352941	3.03554192053147	12.1200000007947	20.6101858660538	15.0274352491704	9800	4
"96"	96	"2"	"1"	"2"	"1"	"2"	"1"	1	15	12	0	1	4	4.6	19	14.5263157894737	4.8	20	14.4	6.1	23	15.9130434782609	5.39426834664467	20.548766664664	30.6401935498154	15.7506338983957	10800	4
"97"	97	"1"	"2"	"1"	"1"	"2"	"2"	1	25	12	1	0	3	6.1	16	22.875	6.3	22	17.1818181818182	7.5	24	18.75	6.10965101808025	27.0566666682561	133.068807542761	13.5485669975341	12700	4
"98"	98	"2"	"4"	"1"	"1"	"1"	"2"	1	35	12	1	1	3	5.2	16	19.5	7.5	21	21.4285714285714	0	0	0	7.9856613284706	18.8832833329837	33.9652251866354	25.373748370937	10400	1
"99"	99	"2"	"5"	"1"	"1"	"2"	"1"	1	40	14	1	1	4	7.2	21	20.5714285714286	8.4	27	18.6666666666667	8.7	27	19.3333333333333	6.20002156373171	26.6004499991735	26.6282908523253	13.9847744619155	12000	1
"100"	100	"1"	"1"	"1"	"1"	"1"	"1"	1	22	12	1	2	3	6.7	13	30.9230769230769	6.7	15	26.8	7.4	16	27.75	6.98659258021562	14.7585500001907	31.4226831764181	28.4035731699604	12500	1
"101"	101	"1"	"1"	"1"	"1"	"1"	"1"	1	10	10	1	1	3	4.8	12	24	9.5	16	35.625	6.9	17	24.3529411764706	4.70605301356862	9.64128333330154	32.6276372918197	29.2868875493803	9300	4
"102"	102	"1"	"2"	"1"	"1"	"2"	"2"	1	15	12	0	1	2	5.9	17	20.8235294117647	7.4	20	22.2	6.8	23	17.7391304347826	5.91862565377002	17.0245000004768	31.9861675997088	20.859205216967	11100	1
"103"	103	"1"	"4"	"1"	"1"	"1"	"1"	1	22	15	2	1	4	4.8	14	20.5714285714286	0	0	0	0	0	0	7.76982445892784	28.0517166654269	27.3714043725442	16.6189282850642	14000	4
"104"	104	"1"	"1"	"1"	"1"	"2"	"1"	1	11	12	1	1	2	3	9	20	3	8	22.5	4.6	12	23	3.12591618058848	12.0245500008265	19.8602870088645	15.5976706672946	7200	1
"105"	105	"2"	"1"	"1"	"1"	"2"	"2"	1	1	12	1	1	1	5.8	15	23.2	6.8	18	22.6666666666667	6.7	17	23.6470588235294	5.46507552295039	12.6758333325386	32.2130552992402	25.8684792372032	10500	1
"106"	106	"1"	"1"	"1"	"1"	"1"	"2"	1	3	14	1	1	1	6	14	25.7142857142857	5.4	16	20.25	4.8	22	13.0909090909091	5.15435063982563	15.855166665713	27.9868219292264	19.5053792186442	10200	2
"107"	107	"1"	"1"	"1"	"1"	"1"	"1"	1	15	10	1	2	2	5.5	19	17.3684210526316	7.2	19	22.7368421052632	7.2	20	21.6	5.58091401604086	18.3444499969482	26.8852222362503	18.2537411052475	11000	1
"108"	108	"1"	"1"	"1"	"1"	"2"	"2"	3	12	11	1	1	3	4.2	13	19.3846153846154	4.2	13	19.3846153846154	5.4	17	19.0588235294118	3.72626720054955	13.2605000019073	41.7906992332787	16.8603017986361	8800	4
"109"	109	"1"	"2"	"1"	"1"	"2"	"1"	1	25	12	2	2	3	4	12	20	4.3	13	19.8461538461538	4.8	13	22.1538461538462	4.18896493236783	13.6909500002861	52.7463852164013	18.357958792985	9800	4
"110"	110	"1"	"5"	"2"	"1"	"2"	"1"	1	22	12	0	2	3	9.5	23	24.7826086956522	8.4	26	19.3846153846154	9.6	27	21.3333333333333	7.98356463528468	27.3485000014305	29.4072865444009	17.5151791905233	14300	2
"111"	111	"1"	"2"	"1"	"1"	"2"	"1"	1	8	14	1	1	2	5.5	17	19.4117647058824	6.1	21	17.4285714285714	7.2	26	16.6153846153846	4.62833208804925	15.8730666677157	23.2290122381091	17.4950393075442	9200	1
"112"	112	"1"	"3"	"1"	"1"	"2"	"1"	1	8	10	0	1	3	4.3	13	19.8461538461538	6.4	15	25.6	6.5	16	24.375	2.92624794877176	16.5717666665713	15.9993798181781	10.5948195179743	7100	1
"113"	113	"1"	"2"	"1"	"2"	"2"	"1"	1	10	12	1	1	3	7.6	23	19.8260869565217	7.8	26	18	11.4	28	24.4285714285714	7.79009744525161	26.2917833328247	52.0043796343322	17.7776395308853	16700	1
"114"	114	"1"	"2"	"2"	"1"	"2"	"1"	1	21	10	1	1	3	11.4	24	28.5	11.9	24	29.75	12.3	25	29.52	9.60050591436877	17.5812833309174	38.441197077604	32.7638400462585	16000	4
"115"	115	"1"	"2"	"2"	"1"	"1"	"2"	1	5	12	0	2	4	4.6	16	17.25	5.6	20	16.8	5.8	21	16.5714285714286	5.3944326450201	26.9423833330472	18.1493461400444	12.013263811899	12600	4
"116"	116	"1"	"1"	"1"	"1"	"2"	"1"	1	10	14	2	2	3	4.2	15	16.8	5.2	16	19.5	5.6	18	18.6666666666667	4.50774224347259	18.9902166644732	27.1382670485311	14.242309047181	9700	4
"117"	117	"1"	"1"	"1"	"1"	"1"	"1"	1	20	14	1	1	3	4.8	14	20.5714285714286	5.3	17	18.7058823529412	6.5	18	21.6666666666667	4.56210227379283	15.5092333316803	26.3797370509095	17.6492371075775	9300	1
"118"	118	"1"	"2"	"1"	"1"	"2"	"1"	1	5	12	1	2	3	3.7	15	14.8	5.5	15	22	4	18	13.3333333333333	5.98448097786227	22.9080500006676	26.7682099057761	15.6743528437066	10500	4
"119"	119	"1"	"5"	"3"	"1"	"2"	"1"	1	25	-1	0	2	3	6.4	25	15.36	6.8	27	15.1111111111111	8.6	29	17.7931034482759	7.3891413413626	24.2633833328883	26.6786877227808	18.2723272512787	12600	4
