"asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","lambda","gamma_CSECO","gamma_CONG_CD","gamma_CONG_EF","gamma_USOCINTURON","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_IgPare","zeta_UsoPito","zeta_UsoCel","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.272,0.415,0.589,-0.228,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5015.76060133479
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.272,0.415,0.589,-0.228,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5015.76060133479
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.272,0.415,0.589,-0.228,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5015.76060133479
-0.00287999998545274,-0.00422399997478351,0.00544000003719703,0.0244374647736549,-0.00228535442147404,0.00158400001237169,0.0050879999762401,0.000255999970249832,0.0250399999786168,0.0195359999779612,0.00110400002449751,1.60000054165721e-05,0.000463999982457608,0.000416000024415553,0.000623999978415668,1,0.261614774240181,0.411942578523885,0.587195357737131,-0.238048061376438,1.0038283894537,1.00354250910459,1.00367178738816,1.00443677412113,1.0022751071956,1.00035221211147,0.997917440952733,0.993497942399699,-2.00567951303674,-0.992312197806314,0.99568017362617,2.00403056375217,-2.00254278216744,-0.989354301826097,0.997911203885451,2.00255784636829,-2.00558745092712,-0.992456553562079,0.995292750769295,2.00437558005797,-2.00369841238717,-0.992854514508508,0.994971687381621,2.00430458795745,-2.00278695713496,-0.988151477533393,0.997347873693798,2.00161328591639,-2.00546523160301,-0.995570482511539,0.994940707227215,2.0042637741426,-2.00440492329653,-0.991291815706063,0.995432277210057,2.00344704207964,-2.00158742722124,-0.998278881714214,0.988788916962221,1.99970190878958,-4982.31596497097
-0.0337446962637402,-0.0538248739433587,0.0838374240586016,0.325911021852795,-0.0455133696818917,-0.00110598365573266,0.0663115584080948,-0.00386749556543112,-0.00505187669106912,0.0222739161772044,0.00344038614990309,-0.00354966873371667,0.00583946939786146,0.00148343930616293,-0.00255847432956089,1,0.124025447492409,0.371463628016641,0.563285045183574,-0.371180671771523,1.05504230982767,1.05128773091813,1.05278809824443,1.06385091294559,1.03309800572906,1.00488480971563,0.970032501343249,0.9056844703578,-2.08128125907704,-0.890256835173142,0.938037111901626,2.05781315769929,-2.0359757644004,-0.847532472211993,0.969975807385359,2.03681433022306,-2.07997784622438,-0.892306064415103,0.932501982048156,2.06273787831227,-2.05295914011312,-0.897776709162228,0.927875069526922,2.06171168066491,-2.03931208973241,-0.830290122776599,0.961816553058276,2.02318863924977,-2.07844129519182,-0.936870799047253,0.927444456195671,2.06103007792471,-2.06273754384424,-0.875448494382238,0.934371945958267,2.0494061198685,-2.02283643017965,-0.975253178470014,0.838908774059569,1.99482531197426,-4810.52531743478
-0.138779381703585,-0.31667913753719,0.426249695031851,0.102766137631554,-0.435324196570052,0.00654818623121814,0.153596341953084,-0.014427946701775,-0.146206712683825,0.218397489119881,0.0195093132630657,-0.0178111618152917,0.034161903133641,0.0111128794504686,-0.0126793736711425,1,-0.477220760651388,0.195755842849078,0.458597304791425,-0.953426006006847,1.30156447575996,1.29747074807166,1.28904243213677,1.3530755274035,1.19900868430675,1.01726435292104,0.832659960490073,0.441336685174284,-2.43629403236011,-0.427271523887959,0.664087456664353,2.31378314777787,-2.1767662653825,-0.181769947113381,0.834751731542024,2.20518932480624,-2.42977684199729,-0.437588625692007,0.634881324981702,2.33961616471777,-2.2854856632734,-0.457751414715088,0.608608849125163,2.33376825407034,-2.18833641837953,-0.0873780627896266,0.786884661096188,2.12778242273766,-2.4287248844738,-0.676101349495995,0.607053018234054,2.32580582784437,-2.32297801643725,-0.338734641355216,0.639548669231652,2.26652451472032,-2.12655639740667,-0.863366525401132,0.112669311047523,1.93316292034949,-4145.91456907924
-0.147705058413254,-0.349500168839741,0.475562709007258,0.0700915438763046,-0.476548537338491,-0.00596216064047543,0.157658303965988,-0.0206678646511743,-0.0551466821558803,0.0935092598706012,0.0163306877387222,-0.0222641491058652,0.0355222263363518,0.00725435462044775,-0.0179663940764325,1,-0.490036513669661,0.193629779914293,0.455661121378552,-0.966331135906578,1.32646683109148,1.33385653013893,1.31242779823904,1.38586082964227,1.2269823275215,1.00881208604015,0.812008614748292,0.359707071302369,-2.48602192843007,-0.384594189867767,0.632603050750529,2.34702492420767,-2.19107480480915,-0.103163270578007,0.81924461216812,2.22996742223044,-2.4788351863778,-0.395830607250931,0.600797082456014,2.37539354712359,-2.31936651036225,-0.413068879037266,0.569974089412869,2.36886054008617,-2.20032001207146,0.00342532840759512,0.763890823862966,2.14190763931347,-2.47763548395667,-0.657680196059184,0.569078897485142,2.35744853386263,-2.34917914204201,-0.281255631517777,0.604166554740181,2.29409409567221,-2.14043207997785,-0.84982207197106,0.0148823458202544,1.90393865953978,-4049.58005307061
-0.157745955925336,-0.429409475316245,0.557261693284266,0.0669221591715551,-0.432762977779788,-0.00729378892382565,0.149665012621897,-0.0291413578077942,-0.076102115200939,0.120810003188842,0.022428738055006,-0.0312952994750926,0.0483631215209583,0.0121808701155076,-0.0273525512313868,1,-0.262280638464454,0.270399121869818,0.490675920600487,-0.750128213874532,1.35242059935152,1.42584741142492,1.33461523993742,1.43662007104829,1.31005993364731,0.95589566627986,0.757530171056679,0.121944630984725,-2.61281589657678,-0.373089468067206,0.590465754155209,2.42116978643171,-2.20793250551481,0.02869148126556,0.803309904030448,2.2980012561393,-2.60402493371883,-0.386212410590196,0.555421523837257,2.4545378495096,-2.41118949488605,-0.376716091005862,0.506745545297396,2.44629670452241,-2.19726128449475,0.169958208770677,0.72253725054109,2.17568949874648,-2.59919100923412,-0.687302478717256,0.508138316263546,2.41585725064929,-2.37267828827396,-0.218524014757336,0.552819327075642,2.35260699064684,-2.17102641082162,-0.831101695120477,-0.197934616535819,1.74906717897036,-3929.04895235557
-0.134330680129596,-0.632561833372191,0.71080674492464,0.0386635037980897,-0.0756207632127933,-0.0225587447378027,0.0485980062808941,-0.0656494628697303,-0.0681527360990437,0.100346088260799,0.0424996960364806,-0.0687557387854597,0.097450455320055,0.0293002509670041,-0.0674515889385886,1,-0.313039986301365,0.265617127878179,0.465497274674858,-0.852687827756379,1.53647890337929,1.61940893105069,1.52047530228641,1.62104543429835,1.51942539142524,1.06063385075304,0.668451220304838,0.0535061102939274,-2.9542675011034,-0.620048015717796,0.670105781500438,2.6394871126368,-2.18426670695023,0.155531348077359,0.968574438953231,2.5461851171138,-2.93931519662625,-0.640184359510378,0.636878434297238,2.68454823519383,-2.66485200444268,-0.543144148179368,0.556359423483772,2.67354795362818,-2.07829017697923,0.342399106805125,0.840015381499216,2.29284511233571,-2.90289277128189,-0.944440189146746,0.500145400008647,2.53197016100128,-2.2647542088377,-0.336731461365672,0.660719219159025,2.49858252959504,-2.22497989579779,-0.956010121700275,-0.404733930181406,1.07557794731577,-3802.18292495516
-0.184342756940536,-0.835473792518909,0.91062459768779,0.0395277327589234,-0.255416861241719,-0.0540058077331794,0.102184916258586,-0.120702337847511,-0.06658766234255,0.107489384489597,0.0799940323586458,-0.1267429577214,0.191728967228869,0.0403143416920525,-0.113886639471677,1,-0.0995013145153673,0.337585729985571,0.478076507172472,-0.716692757494994,1.91225239794145,1.67679594436336,1.89725977130579,1.91706915444802,1.51094469150718,1.39210688542558,0.69608970166644,0.611875464466689,-3.49631025841518,-0.879492420016492,0.677224162192838,2.9649391940449,-2.25428564303734,0.219265734904561,1.27939517546252,2.95191135282474,-3.4771655425997,-0.89901469175283,0.640692793214971,3.02675524011845,-3.08696962261276,-0.767766080515316,0.601411180985537,3.00742100684491,-2.04361600483093,0.375335916720181,1.16867854506271,2.50115711417926,-3.36087611638987,-1.19736043712891,0.41548517537678,2.6768275238811,-2.10557541292646,-0.24310890908427,0.675841032960772,2.70999873488501,-2.31500425039007,-1.26480246139178,-0.612376479033228,0.485030617293026,-3683.03654031103
