"asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda4","lambda5","gamma_USOCINTURON","gamma_USODISPMOB","gamma_EXP_2","gamma_LV4","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-4002.50806271187
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-4002.50806271187
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-4002.50806271187
-0.0255173785262741,0.123034757416463,0.448042592324782,-0.0795451691374183,0.0595400262682233,-0.0566165428608656,-0.00618700287304819,-0.0117002578917891,0.0270618002105039,-0.00839262283989229,-0.0285000649455469,-0.0590216586715542,-0.0106007733847946,-7.18377123121172e-05,0.88583218655549,0.907201431051362,-0.515237021318171,-0.0938152246817481,-0.0392908747016918,0.281055330560776,1.08223421828006,1.09833280273597,0.817937004991109,1.10798673829413,1.29228126950329,1.07596979412483,1.09006000618683,-2.01037733745761,-0.851937639323296,0.99752945441287,2.01561404715176,-1.94471084864927,-0.916890406893799,0.987030832562596,2.01193993957713,-2.02721952041611,-0.988925558136543,0.933353712549433,1.90549051144626,-1.93901392590487,-0.864178808638826,0.989630068012048,2.0069061643444,-3.71649514263845,-1.94630195069476,1.99130950673134,3.98591529511032,-1.90629282037844,-0.949526264390443,0.925262634496903,2.03392181242816,-1.93270585255232,-0.961029584665084,1.01981914247153,1.99489973633899,-3627.93369290582
0.0282463760284227,0.539207728223026,0.293308801138563,-0.589257917846904,0.280937781435683,-0.266329475463666,-0.0244721517598899,-0.0790614674140972,0.115108938417606,-0.0491274374409213,-0.140425961265191,-0.290256198942379,-0.0610647696365532,-0.0133584527246417,0.420361155165559,0.515240291666078,-2.18118822489917,-0.418739479438087,-0.184824920259596,1.22875658506308,1.37920017035581,1.44562756982481,-0.0368393985686707,1.51725130160988,2.48537897186754,1.3210011623703,1.39335364940663,-2.07353448942582,-0.37912649146274,0.983384449115558,2.07175609158893,-1.79721101752449,-0.643992597505649,0.931922551600058,2.05267738301517,-2.12414724646953,-0.963783696283169,0.67872813713706,1.55078254981965,-1.77752656966426,-0.406248698157725,0.951525583703952,2.03193286460168,-2.73636213457311,-1.75631072597962,1.95901761156742,3.93429652322532,-1.62126642975238,-0.778739286082027,0.652076990561155,2.14377578699344,-1.75117222870728,-0.844570946739841,1.08229996067298,1.97559844425953,-3306.73459802362
0.0328579255394031,0.68127094846089,0.352230803668575,-0.714842236606101,0.350873202203118,-0.333771551397888,-0.0288771040581711,-0.101309871377264,0.150161110263482,-0.0650566912723157,-0.179699669031464,-0.364004864079667,-0.0744829284102365,-0.0145433381350524,0.232334881919502,0.278624283189211,-2.09871155777585,-0.378519882514771,-0.208104220738952,1.14543147179951,1.31254798356728,1.39887065914588,-0.284523105815298,1.63614017202679,2.8130390430614,1.24133574977509,1.47162512355369,-2.14315485568267,-0.262366980115495,0.977493508819649,2.09331904661226,-1.79813318621969,-0.576981742648267,0.905170628600914,2.06615463242346,-2.14824705973248,-0.936845310750048,0.593413776400625,1.42421194874535,-1.73523161757092,-0.251376009630855,0.939542505739979,2.04121435367367,-2.45166679159594,-1.67205672801164,1.94613757169245,3.91404205231265,-1.57223623322586,-0.728509075954276,0.546951452328046,2.1757568377189,-1.70879574873906,-0.8028096391839,1.10514873432809,1.96737894972047,-3137.91111660091
0.295570934686073,0.615705166521952,0.360082627931886,-0.605277579445486,0.267482373593247,-0.44271933225626,0.00424269522370084,-0.170363288609596,0.2811265419484,-0.12643735841252,-0.261765091513496,-0.480093056309652,-0.0545339953524469,-0.00563564348666907,0.370582319636484,0.990062981230548,-1.9497248231304,-0.27581649233143,-0.310617670383003,1.08733688208849,0.924020023572427,1.01346294889911,-0.407135437140481,1.92588021039778,3.65740369596581,0.742463062563594,1.6109256194052,-2.38633848779006,0.0846675681606644,1.01944947430593,2.19183520560386,-1.8084514873371,-0.368078366647489,0.824508326204435,2.11863327327927,-2.19546397453735,-0.745258878227654,0.392312013210762,1.06803150392581,-1.61417361062815,0.310226332639424,0.936952859031716,2.08704757870764,-1.73165134614194,-1.12103019974705,1.89834943161124,3.8293180520357,-1.39345427620584,-0.541006777763297,0.15717724111157,2.28277119239523,-1.61464232407625,-0.631333374433608,1.21353344830369,1.93785836021129,-2981.55733438339
0.393830504347734,0.782900179867092,0.331511037893767,-0.654796119619056,0.315558129897505,-0.574284201035967,0.0125936939149248,-0.230950366365038,0.394121312287351,-0.176240532102709,-0.360626141444137,-0.606702809720026,-0.0417752414310842,0.0109681812492726,0.210635557550837,1.05964921328604,-1.78399057196346,-0.126357391185708,-0.369336464115794,1.43746253620059,0.910854371428361,0.645021820346041,0.00968062509109907,1.996549252467,4.00704831655706,0.493617960772133,1.5973052804679,-2.35368287920114,0.11269637259489,1.18780592400453,2.27458727592238,-1.72756085913168,-0.3357128058316,0.831971447903925,2.1427237565601,-2.16457514986813,-0.665828185672162,0.322542473689587,0.984943885438011,-1.53894363137472,0.52040703864049,1.10233695889068,2.13320229963079,-1.61530284424881,-0.41535220014114,1.87073493402106,3.75531463728117,-1.14425771620992,-0.524520607498585,0.0516181553586075,2.31238833946725,-1.58733745788377,-0.5341023405975,1.30885300618464,1.93300862406926,-2897.33530815306
0.505132425096233,0.906696707912062,0.301071372864166,-0.518435434635376,0.303372886135435,-0.687655345308362,0.0226969301163728,-0.29777189030591,0.533973248980117,-0.234359035744028,-0.476975224322668,-0.702127350893138,0.00615997101085395,0.0504258958959037,0.0987516281239715,1.07525406217676,-1.45845198106078,0.162491658145397,-0.439204864284151,2.09250005522225,0.338444352758176,0.66234955874723,0.196802628396844,2.01598037747167,4.26661568898548,0.485762919540688,1.5766845888217,-2.38875210226223,0.0174099991221115,1.3844118199823,2.40961387758717,-1.43872278692161,-0.30992518938856,0.885683960601474,2.1600296474207,-2.0874242504021,-0.752667911278962,0.223791346969045,0.818236634710271,-1.44662785899409,0.642975774383424,1.41545145495898,2.21955252908663,-1.43498330866659,0.339881338540966,1.86179815342504,3.65503952801113,-0.952310380075366,-0.426817053255413,0.132962440017102,2.31061058475473,-1.54114950570914,-0.442808123834944,1.4173584568503,1.96392550412853,-2877.47447331001
0.624408177932784,0.90062085193975,0.287060970704944,-0.197124080653151,0.197748563183781,-0.738060242790383,0.0349007129438345,-0.351439085781038,0.662282485027727,-0.283050709909341,-0.573309118925264,-0.722452915610524,0.0831377911562738,0.1041944579384,0.141581645539333,1.03914702124708,-1.0296789126195,0.420268726442016,-0.504722155776236,2.71941133906302,0.449410206986914,0.587279783905647,0.0762721631522757,2.02055890076406,4.3886672007244,0.414164314384968,1.59904514406785,-2.27256324148924,-0.0466059381044717,1.51575688388708,2.5671872559967,-1.17983026435172,-0.261771855764131,0.948465453924436,2.17376983267641,-2.00264920294099,-0.945196398659322,0.0724698828640751,0.612543955105888,-1.33590916844944,0.737009135502212,1.7220508410829,2.3407577811828,-1.16794794595316,0.920732548919628,1.89070805896485,3.55479729327114,-0.999801048881845,-0.226864999053749,0.332307213655362,2.28755012503756,-1.46025239966695,-0.364947690484977,1.50586090129342,2.03017576531954,-2830.38972088332
