"asc_bus","asc_air","asc_rail","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_access","b_cost","logLike"
0,0,0,0,0,0,0,0,0,-1170.8600760604
0,0,0,0,0,0,0,0,0,-1170.8600760604
0,0,0,0,0,0,0,0,0,-1170.8600760604
-3.14709333237261e-06,-1.63839999586344e-07,1.22197333257645e-06,0.000636467198301107,-0.00117954560303595,-1.41824000189081e-05,0.000168541866489686,-3.70773333357647e-05,-2.72213333752006e-06,-1107.07337731834
-2.94505343044911e-06,-1.45290582207008e-05,1.4546348373221e-05,0.000475245363360895,-0.00126621241895972,-0.00108976061191275,0.00192025910055684,-0.000517905334167343,-0.00197848250975716,-1100.62584169463
-2.40511871317862e-06,-1.76349697283297e-05,1.54717910513255e-05,0.000799467662889323,-0.00113850365285769,-0.00133705131046815,0.00197750566059705,-0.000651426585719863,-0.00276072710960638,-1098.42625667729
-4.5861606855011e-06,-1.27708417420032e-05,4.02299772179932e-06,-0.00180495430951115,-0.00396097075365894,-0.00180150100078786,-0.00181906529072881,-0.00103531030967324,-0.0194381001334805,-1060.58252195702
-2.76823473368794e-06,-4.48004745601477e-05,1.88971411142127e-05,-0.00394779744316693,-0.00567772339354728,-0.00958064305549567,-0.00617276390030107,-0.00386444272852674,-0.0199596148712813,-1056.4906910079
-1.13506901687927e-05,-1.82865616278371e-05,2.85143759003978e-05,-0.00392608140748626,-0.00568254629803746,-0.00983588652419802,-0.00618277108660932,-0.00330123227163449,-0.0199762181816026,-1056.46747800683
-0.693192074121414,2.03672343040258,0.807099637921087,-0.00376289582490193,-0.00531243362479568,-0.0254482666916265,-0.0102643623306722,-0.0130048220383643,-0.0339773386087097,-1027.86028859998
0.574246364132196,0.918543284929744,1.25776051831188,-0.00385412121222194,-0.00947224369472523,-0.0142865327744576,-0.0144099302025487,-0.00727096030772946,-0.0342825249589984,-1026.55941560686
0.69688017276172,1.64443359224156,0.623740422606013,-0.00379476025801342,-0.00958189313679808,-0.0212345942401197,-0.00930534813691675,-0.0120993949651011,-0.0340781243409506,-1025.90511440122
0.386756920898685,1.68698221534697,1.00816095077167,-0.00358874933451382,-0.00854146853610415,-0.0211516322594609,-0.0115247779962475,-0.0115994724808376,-0.0339273371089484,-1025.76901271667
0.476821358866043,1.62273216529132,0.94556201944622,-0.00364983903108526,-0.00885687281698395,-0.0206306429761769,-0.0112581890820504,-0.0114316011247907,-0.033958322997309,-1025.75644538116
0.474659631017525,1.62937056939457,0.944198590130872,-0.00364618017552087,-0.00884614846635294,-0.0206884922917203,-0.0112370022804554,-0.0114674101161532,-0.0339483445325478,-1025.75637989666
0.47465562785392,1.62909330208229,0.944535652535437,-0.00364609334312741,-0.0088461354009793,-0.0206852243647466,-0.0112393620860028,-0.011465798355716,-0.0339473669610131,-1025.75637946342
