"ViajeId"	"MUESTRA"	"VALIDAR"	"GENERO"	"TIEMPO_PROFESION"	"HORAS_TRABAJO"	"NIVEL_EDUCATIVO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"CONG_A1"	"DISTAlt2"	"TIEMPOAlt2"	"CONG_A2"	"DISTAlt3"	"TIEMPOAlt3"	"CONG_A3"	"DISTEC"	"TIEMPOEC"	"Semaf_A1"	"Semaf_A2"	"Semaf_A3"	"Semaf_EC"	"CamFD_A1"	"CamFD_A2"	"CamFD_A3"	"CamFD_EC"	"ZER_A1"	"ZER_A2"	"ZER_A3"	"ZER_EC"	"MtrP_A1"	"MtrP_A2"	"MtrP_A3"	"MtrP_EC"	"Acc_EC"	"Acc_A1"	"Acc_A2"	"Acc_A3"	"Paneles_EC"	"Paneles_A1"	"Paneles_A2"	"Paneles_A3"	"INFOTRAFICO"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"COSTO"	"CHOICE"	"Experiencia"	"PasoPeaton"	"UsoPito"	"CinSeg"	"FRbr"	"UsoDirec"	"EnfCond"	"AFrSem"	"CulFr"	"OmLmVel"	"IgPare"	"UsoCel"	"ComVrb"	"Ans"	"ComAfec"	"PrPer"	"AmbTr"	"StrC"	"ConCl"	"DispMob"	"Satisf_DispMob"	"JOVEN30"	"ADULTO40"	"ADULTO60"	"ADULTOMAYOR"	"EDUBASICA"	"EDUSUP"	"EDUNR"	"HPICO"	"HVALLE"	"CSECO"	"CLLUVIA"	"CONG_AB_A1"	"CONG_CD_A1"	"CONG_EF_A1"	"CONG_AB_A2"	"CONG_CD_A2"	"CONG_EF_A2"	"CONG_AB_A3"	"CONG_CD_A3"	"CONG_EF_A3"	"CONG_AB_EC"	"CONG_CD_EC"	"CONG_EF_EC"	"SININFOTRF"	"CONINFOTRF"	"USOCINTURON"	"NOUSOCINTURON"	"USODISPMOB"	"NOUSODISPMOB"	"NO_MTRP_A1"	"NO_MTRP_A2"	"NO_MTRP_A3"	"NO_MTRP_EC"	"SI_MTRP_A1"	"SI_MTRP_A2"	"SI_MTRP_A3"	"SI_MTRP_EC"	"NO_ZER_A1"	"NO_ZER_A2"	"NO_ZER_A3"	"NO_ZER_EC"	"SI_ZER_A1"	"SI_ZER_A2"	"SI_ZER_A3"	"SI_ZER_EC"	"HTRB_1"	"HTRB_2"	"HTRB_3"	"SEMF_A1_1"	"SEMF_A1_2"	"SEMF_A1_3"	"SEMF_A2_1"	"SEMF_A2_2"	"SEMF_A2_3"	"SEMF_A3_1"	"SEMF_A3_2"	"SEMF_A3_3"	"SEMF_EC_1"	"SEMF_EC_2"	"SEMF_EC_3"	"NO_CAMFD_A1"	"SI_CAMFD_A1"	"NO_CAMFD_A2"	"SI_CAMFD_A2"	"NO_CAMFD_A3"	"SI_CAMFD_A3"	"NO_CAMFD_EC"	"SI_CAMFD_EC"	"ACC_A1_0"	"ACC_A1_1"	"ACC_A1_2"	"ACC_A2_0"	"ACC_A2_1"	"ACC_A2_2"	"ACC_A3_0"	"ACC_A3_1"	"ACC_A3_2"	"ACC_EC_0"	"ACC_EC_1"	"ACC_EC_2"	"NO_PANEL_A1"	"SI_PANEL_A1"	"NO_PANEL_A2"	"SI_PANEL_A2"	"NO_PANEL_A3"	"SI_PANEL_A3"	"NO_PANEL_EC"	"SI_PANEL_EC"	"EXP_1"	"EXP_2"	"EXP_3"	"EXP_4"	"EXP_5"	"SEM_A1_km"	"SEM_A2_km"	"SEM_A3_km"	"SEM_EC_km"	"Panel_A1_km"	"Panel_A2_km"	"Panel_A3_km"	"Panel_EC_km"	"ZER_A1_km"	"ZER_A2_km"	"ZER_A3_km"	"ZER_EC_km"
"127"	"{57646952-ACCC-E811-914C-74867AD5B714}"	0	1	1	4	13	2	2	2.4	8	2	2.6	10	2	3.4	10	2	2.79338084021125	9.60693333148956	4	5	4	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	7000	1	2	5	2	2	2	5	2	2	2	2	2	4	5	1	1	2	4	1	2	5	2	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1.66666666666667	1.92307692307692	1.17647058823529	1.43195655329887	0	0	0	0	0	0	0	0
"133"	"{60D70C69-4FCB-E811-914C-74867AD5B714}"	0	1	1	9	16	1	3	5.6	18	3	4.7	19	3	4.9	20	3	4.60026668614235	18.2788333336512	21	20	17	10	3	2	2	3	2	6	0	0	2	2	2	1	0	0	0	0	0	0	1	0	2	2	2	1	1	2	2	10000	2	4	2	5	2	4	4	5	4	4	4	2	5	1	5	5	4	4	5	5	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	3.75	4.25531914893617	3.46938775510204	2.17378701763608	0	0.212765957446809	0	0	0.357142857142857	1.27659574468085	0	0
"134"	"{6113CA0C-0CD2-E811-8FB7-74867AD5B714}"	0	1	1	10	8	3	4	5.3	13	2	5.4	14	2	5.3	13	0	4.98484594165401	17.2079499999682	9	14	9	12	2	2	999	2	0	0	0	0	1	2	999	1	0	1	0	999	0	0	0	1	1	1	3	1	1	1	2	10000	4	4	5	2	2	2	5	2	2	2	2	2	2	5	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1.69811320754717	2.59259259259259	1.69811320754717	2.40729606099287	0	0	0.188679245283019	0	0	0	0	0
"136"	"{6272E1C4-E3C8-E811-914C-74867AD5B714}"	0	1	1	9	14	1	2	3.9	13	3	4.3	15	3	4.4	17	3	4.11416604935264	17.2242166678111	10	12	8	9	0	2	1	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	8600	1	4	4	1	2	1	4	1	1	1	1	1	2	3	1	1	2	1	1	2	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	2.56410256410256	2.7906976744186	1.81818181818182	2.18756362578417	0	0	0	0	0	0	0	0
"137"	"{64557BBA-09D6-E811-8FB7-74867AD5B714}"	0	1	1	7	10	1	3	3.7	9	2	3.7	9	0	3.7	9	0	3.68057878393072	10.0606666684151	14	14	14	14	2	999	999	2	0	0	0	0	1	999	999	1	0	0	999	999	0	0	1	1	1	1	1	1	1	1	1	8900	1	3	4	2	2	4	5	4	4	2	2	2	4	4	3	1	2	1	2	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	3.78378378378378	3.78378378378378	3.78378378378378	3.80374957903999	0	0.27027027027027	0.27027027027027	0	0	0	0	0
"139"	"{653E753C-29DE-E811-8FB7-74867AD5B714}"	0	1	1	1	12	0	1	3.5	9	2	3.6	10	1	4.4	11	2	3.52759194362303	8.06611666679382	3	7	6	3	2	0	3	2	1	1	2	2	1	1	2	1	0	0	0	0	1	1	0	1	1	1	4	1	1	2	2	8200	1	1	2	1	2	1	4	1	1	2	1	1	2	4	1	1	3	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0.857142857142857	1.94444444444444	1.36363636363636	0.85043849967489	0.285714285714286	0	0.227272727272727	0.28347949989163	0.285714285714286	0.277777777777778	0.454545454545455	0.56695899978326
"151"	"{707EA9A3-FEEB-E811-8FB7-74867AD5B714}"	0	1	1	1	12	4	3	5.9	20	3	7.1	19	3	5.9	20	3	6.86103242350522	20.5562333345413	19	12	18	14	3	2	2	4	3	2	1	3	2	2	0	2	0	0	0	0	0	0	0	1	1	2	2	1	2	1	2	10800	4	1	4	1	2	1	4	1	1	2	1	1	2	2	1	1	1	2	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	3.22033898305085	1.69014084507042	3.05084745762712	2.0405092318231	0	0	0.169491525423729	0	0.508474576271186	0.28169014084507	0.169491525423729	0.437251978247807
"159"	"{7DC817C9-35E4-E811-8FB7-74867AD5B714}"	0	1	1	0.5	16	0	1	7.4	18	2	7.3	17	2	8	20	3	6.53910558443523	26.0719999988874	15	13	14	15	4	2	2	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	3	1	1	1	1	12400	2	1	3	2	2	2	5	2	2	3	2	2	3	4	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	2.02702702702703	1.78082191780822	1.75	2.29389169609127	0	0	0.125	0	0	0	0.125	0
"164"	"{80300F0C-90E2-E811-8FB7-74867AD5B714}"	0	1	1	10	12	4	3	6.9	17	2	6.8	17	2	6.8	18	2	7.11844985127695	18.8272833347321	15	12	18	18	4	3	4	4	4	4	0	2	0	0	2	2	0	0	0	0	0	0	0	0	1	1	6	1	1	1	2	12800	3	4	2	2	2	1	4	1	1	2	1	1	2	2	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	2.17391304347826	1.76470588235294	2.64705882352941	2.52864041695413	0	0	0	0	0.579710144927536	0.588235294117647	0	0.280960046328236
"167"	"{8116154C-40CB-E811-914C-74867AD5B714}"	0	1	1	4	6	1	2	4.2	14	3	4	15	3	4.8	21	3	3.70190928827676	12.9816666682561	9	13	12	13	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	2	1	8000	2	2	5	2	2	2	5	2	2	2	2	2	2	5	2	1	2	2	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	2.14285714285714	3.25	2.5	3.51170139181112	0	0	0	0	0	0	0	0
"174"	"{83E52D59-AAD8-E811-8FB7-74867AD5B714}"	0	1	1	30	14	0	3	7.1	24	3	6.2	29	3	7.1	32	3	5.65713060662664	33.6253333330154	12	8	12	11	2	2	5	1	0	4	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	6	1	2	2	2	12500	4	5	2	2	2	1	4	2	1	4	1	1	1	2	1	2	3	3	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1.69014084507042	1.29032258064516	1.69014084507042	1.94444865513885	0.140845070422535	0	0	0	0	0.645161290322581	0.140845070422535	0.353536119116155
"178"	"{85E8BE6A-06DD-E811-8FB7-74867AD5B714}"	0	1	1	5	12	4	4	5.2	15	3	5.9	16	3	5.3	15	3	4.63080525204337	16.5272833307584	6	6	9	6	2	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4	1	1	1	2	9800	1	2	3	2	2	2	5	2	2	3	2	2	3	3	1	2	3	3	1	1	5	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1.15384615384615	1.01694915254237	1.69811320754717	1.29567098451235	0	0.169491525423729	0	0	0	0	0.188679245283019	0
"179"	"{8693C4FD-66D4-E811-8FB7-74867AD5B714}"	0	1	1	17	12	1	2	6.2	17	2	7.2	19	2	7.1	19	1	5.80596658606115	16.2860500017802	23	26	20	23	4	4	3	4	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	2	12800	1	5	4	4	2	4	2	4	2	4	2	2	4	1	4	2	2	1	4	1	3	2	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	3.70967741935484	3.61111111111111	2.8169014084507	3.96144201987279	0.161290322580645	0	0	0.172236609559686	0	0	0	0
"182"	"{880C34B5-7F66-E811-95E4-74867AD5B714}"	0	1	1	0.5	12	2	1	4	19	3	5.4	19	3	4.8	24	3	4.59410471068975	19.1248333334923	22	12	24	23	4	1	1	3	1	0	0	0	2	2	2	2	0	0	0	0	0	0	1	1	0	1	4	1	1	1	1	9400	1	1	1	1	2	1	4	1	1	4	3	1	1	2	2	1	1	2	1	1	2	2	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	5.5	2.22222222222222	5	5.00641614599743	0	0.185185185185185	0.208333333333333	0	0.25	0	0	0
"184"	"{89405035-CC53-E811-884F-74867AD5B714}"	0	1	1	18	12	1	3	6.9	19	3	6	20	3	5.3	22	3	4.80135417056955	19.633266667525	20	15	14	14	1	3	2	1	3	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	1	2	5	2	1	2	1	12500	4	5	2	1	1	1	2	1	1	2	2	1	2	1	2	3	3	5	1	2	4	3	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	2.89855072463768	2.5	2.64150943396226	2.91584405204153	0	0	0	0	0.434782608695652	0	0	1.04137287572912
"196"	"{93260574-3CCE-E811-914C-74867AD5B714}"	0	1	1	8	12	1	1	3.6	11	3	4	12	3	4.6	13	3	3.69848809924649	12.3528833349546	7	5	9	7	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	2	1	1	1	1	1	1	8300	1	3	4	1	2	3	4	1	3	3	1	1	2	3	1	1	3	3	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1.94444444444444	1.25	1.95652173913044	1.8926652762317	0.277777777777778	0	0	0.270380753747385	0	0	0	0
"199"	"{96293207-17D7-E811-8FB7-74867AD5B714}"	0	1	1	10	13	1	2	7.2	23	3	8.4	32	3	9	33	3	6.67491892426702	19.2669499993324	10	10	19	10	3	2	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	2	1	2	2	1	2	2	13000	1	4	1	4	2	2	2	1	2	2	1	1	2	4	2	2	2	2	3	2	1	4	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1.38888888888889	1.19047619047619	2.11111111111111	1.49814553756518	0	0	0.222222222222222	0	0	0	0	0
"205"	"{97B6A3B9-E3E2-E811-8FB7-74867AD5B714}"	0	1	1	20	12	1	4	3.3	11	2	4.5	15	3	4.4	14	3	3.99237313908985	19.442733335495	7	11	9	8	1	3	1	2	0	1	1	2	0	2	2	1	1	0	0	0	1	1	1	0	1	1	2	1	1	2	2	9000	4	5	2	5	1	2	1	2	2	2	2	2	3	5	2	2	3	3	4	2	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	2.12121212121212	2.44444444444444	2.04545454545455	2.00382071547144	0.303030303030303	0.222222222222222	0	0.250477589433931	0	0.222222222222222	0.227272727272727	0.500955178867861
"213"	"{9DE61FDB-58D1-E811-8FB7-74867AD5B714}"	0	1	1	20	14	4	2	9	18	2	9.1	20	2	9.2	20	2	9.12147634141476	23.7089499990145	7	12	9	12	3	4	3	3	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	3	1	1	1	1	15400	4	5	2	2	2	3	5	2	3	5	2	2	2	2	3	2	1	1	3	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0.777777777777778	1.31868131868132	0.978260869565218	1.3155765087627	0.111111111111111	0.10989010989011	0.108695652173913	0.109631375730225	0	0	0	0
"215"	"{9E88E04A-45E7-E811-8FB7-74867AD5B714}"	0	1	1	18	15	0	2	6.9	15	2	7	19	3	7.1	19	3	6.64791897101758	16.3150000015895	12	26	21	14	5	4	4	3	7	1	1	0	1	2	2	1	1	1	1	1	0	1	1	1	1	1	4	1	1	1	2	12300	4	5	4	2	2	2	5	2	2	4	2	2	2	5	1	1	1	1	1	1	3	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1.73913043478261	3.71428571428571	2.95774647887324	2.10592217820866	0.144927536231884	0.142857142857143	0.140845070422535	0	1.01449275362319	0.142857142857143	0.140845070422535	0
"216"	"{9F160EA4-7A7F-E811-B124-74867AD5B714}"	0	1	1	5	10	0	3	6.6	20	2	7.9	19	2	7.4	22	2	5.03966567506179	18.5812333345413	10	10	17	13	1	1	3	1	1	1	0	0	2	0	2	2	0	0	0	0	1	2	0	0	2	1	3	1	1	1	1	12500	1	2	3	3	2	4	3	4	4	4	3	3	5	1	5	5	5	5	5	5	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1.51515151515152	1.26582278481013	2.2972972972973	2.57953619112653	0.303030303030303	0	0	0.198425860855887	0.151515151515152	0.126582278481013	0	0
"228"	"{A5FCB53E-EEDE-E811-8FB7-74867AD5B714}"	0	1	1	10	14	1	3	8.3	23	3	7.8	38	3	8.3	23	0	7.67473188046829	30.5377166668574	9	7	9	8	0	0	999	8	0	0	0	1	2	1	999	2	0	0	0	999	0	1	1	1	1	2	2	1	1	2	2	14200	4	4	1	1	2	1	4	1	1	4	1	1	3	4	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1.08433734939759	0.897435897435897	1.08433734939759	1.04238169158189	0.120481927710843	0.128205128205128	0.120481927710843	0	0	0	0	0.130297711447736
"232"	"{A83D77D6-44DC-E811-8FB7-74867AD5B714}"	0	1	1	25	12	1	3	2.4	6	2	2.4	6	0	2.4	6	0	2.55816780271752	7.74599999984105	7	7	7	7	1	999	999	1	0	0	0	0	2	999	999	2	0	0	999	999	0	0	1	1	1	1	1	1	1	1	2	6800	1	5	3	2	2	2	5	2	2	3	2	2	3	3	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	2.91666666666667	2.91666666666667	2.91666666666667	2.73633339946033	0	0.416666666666667	0.416666666666667	0	0	0	0	0
"236"	"{AA6A7427-7FDC-E811-8FB7-74867AD5B714}"	0	1	1	20	13	1	3	7	22	3	7.2	24	3	7.6	24	3	5.11087051002903	19.6557166655858	13	15	13	13	3	5	3	3	3	4	3	0	2	2	2	1	0	0	0	1	0	0	1	1	1	2	3	2	1	2	1	12200	3	5	4	2	2	4	4	4	4	4	4	4	2	1	4	3	3	2	3	5	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1.85714285714286	2.08333333333333	1.71052631578947	2.54359799851907	0	0.138888888888889	0.131578947368421	0	0.428571428571429	0.555555555555556	0.394736842105263	0
"237"	"{AB4A427D-EBC8-E811-914C-74867AD5B714}"	0	1	1	3	15	1	1	5.9	17	2	5.3	18	3	6.2	19	2	5.08489743239253	21.2827333331108	16	15	13	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	10400	2	2	4	2	2	2	5	2	2	4	2	2	2	4	1	1	3	3	1	1	4	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	2.71186440677966	2.83018867924528	2.09677419354839	2.75325120833613	0	0	0	0	0	0	0	0
"250"	"{B2AEB536-36C0-E811-914C-74867AD5B714}"	0	1	1	45	17	1	3	4.3	14	3	5.6	15	2	4.5	16	3	3.49942863757503	8.85538333257039	10	16	14	13	2	4	4	5	0	0	0	0	1	2	2	2	0	0	0	0	1	0	1	0	2	1	1	1	1	2	1	9500	4	5	2	2	1	5	1	2	5	5	2	3	2	3	4	2	2	2	5	2	1	6	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	2.32558139534884	2.85714285714286	3.11111111111111	3.71489215708325	0	0.178571428571429	0	0.28576093516025	0	0	0	0
"257"	"{B759BE4B-F8EB-E811-8FB7-74867AD5B714}"	0	1	1	18	12	1	3	5.6	15	2	6.1	19	3	6	20	3	5.88810177281286	13.9858333349228	13	17	14	10	1	3	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	4	1	1	1	2	10400	4	5	2	1	1	1	2	1	1	2	1	1	1	3	1	1	1	1	1	1	3	2	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	2.32142857142857	2.78688524590164	2.33333333333333	1.69834020977236	0	0	0	0	0	0	0	0
