"ViajeId"	"MUESTRA"	"VALIDAR"	"GENERO"	"TIEMPO_PROFESION"	"HORAS_TRABAJO"	"NIVEL_EDUCATIVO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"CONG_A1"	"DISTAlt2"	"TIEMPOAlt2"	"CONG_A2"	"DISTAlt3"	"TIEMPOAlt3"	"CONG_A3"	"DISTEC"	"TIEMPOEC"	"Semaf_A1"	"Semaf_A2"	"Semaf_A3"	"Semaf_EC"	"CamFD_A1"	"CamFD_A2"	"CamFD_A3"	"CamFD_EC"	"ZER_A1"	"ZER_A2"	"ZER_A3"	"ZER_EC"	"MtrP_A1"	"MtrP_A2"	"MtrP_A3"	"MtrP_EC"	"Acc_EC"	"Acc_A1"	"Acc_A2"	"Acc_A3"	"Paneles_EC"	"Paneles_A1"	"Paneles_A2"	"Paneles_A3"	"INFOTRAFICO"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"COSTO"	"CHOICE"	"Experiencia"	"PasoPeaton"	"UsoPito"	"CinSeg"	"FRbr"	"UsoDirec"	"EnfCond"	"AFrSem"	"CulFr"	"OmLmVel"	"IgPare"	"UsoCel"	"ComVrb"	"Ans"	"ComAfec"	"PrPer"	"AmbTr"	"StrC"	"ConCl"	"DispMob"
"1"	"{00793F3F-F1CC-E811-914C-74867AD5B714}"	0	1	1	10	14	1	4	10.1	24	"2"	11.1	27	"3"	8.4	30	"3"	7.73476294124306	22.1199999968211	21	20	21	18	3	2	5	5	0	0	1	0	2	2	1	1	0	0	0	0	0	2	0	0	1	"2"	"2"	"1"	"1"	"2"	"1"	14800	3	4	5	2	1	2	4	2	2	2	2	2	4	1	3	2	2	2	3	1	3
"2"	"{01023F7A-67C3-E811-914C-74867AD5B714}"	1	0	1	21	10	0	3	8	24	"3"	7.2	28	"3"	6.8	29	"3"	5.97650183766384	52.4813833316167	20	19	13	8	5	4	1	0	3	3	0	5	2	2	2	2	1	4	0	0	0	1	1	1	1	"1"	"6"	"1"	"2"	"2"	"2"	15900	3	5	4	4	2	2	5	2	2	4	2	2	5	3	4	2	2	4	3	2	1
"3"	"{01579974-02D2-E811-8FB7-74867AD5B714}"	0	1	1	10	12	4	2	5.8	18	"3"	5.4	20	"3"	6.7	25	"3"	4.6118611667335	19.8945500016212	14	17	12	12	2	0	2	1	0	0	1	1	2	2	2	0	0	0	0	1	0	0	0	2	1	"1"	"2"	"1"	"1"	"1"	"2"	9800	4	4	3	2	2	2	5	2	2	3	2	2	2	5	1	1	3	3	1	1	1
"4"	"{019DE0D5-31C0-E811-914C-74867AD5B714}"	1	0	1	12	12	1	2	9.8	17	"0"	8.7	18	"0"	8.4	26	"0"	7.25357902960908	21.357216668129	8	14	14	17	3	4	3	4	5	1	0	9	1	2	2	1	0	0	0	0	0	1	2	1	1	"1"	"2"	"1"	"1"	"2"	"1"	15200	4	4	1	2	2	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1
"5"	"{0221C89B-CED2-E811-8FB7-74867AD5B714}"	1	0	1	10	8	2	3	6.3	18	"3"	7.4	21	"3"	7.6	23	"2"	6.25408258109686	18.2935499986013	17	14	21	17	2	3	2	2	1	3	4	1	2	2	1	2	0	0	0	0	0	0	1	0	1	"1"	"1"	"1"	"1"	"1"	"2"	11500	1	4	3	3	2	1	4	3	1	1	1	1	3	5	1	2	2	2	2	1	1
"6"	"{0275F221-8CC6-E811-914C-74867AD5B714}"	1	0	1	15	13	4	4	4.6	16	"2"	5.2	20	"3"	5.1	28	"3"	4.78786320352643	35.2122833331426	6	9	14	6	0	0	1	1	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	1	2	"1"	"6"	"1"	"2"	"2"	"1"	12000	4	5	4	4	2	4	5	4	2	4	2	2	2	1	4	2	1	1	3	3	1
"7"	"{03DF384B-A6D8-E811-8FB7-74867AD5B714}"	1	0	1	2	10	1	2	5.2	26	"3"	5.6	29	"3"	5.9	33	"3"	5.38568444871494	25.9026000022888	6	11	11	7	1	2	2	1	6	6	6	6	1	2	2	1	0	0	0	0	0	0	0	1	1	"1"	"5"	"1"	"1"	"2"	"2"	11600	1	1	2	2	2	1	4	1	1	2	1	1	1	5	1	1	1	1	1	1	5
"8"	"{04857B76-DDC0-E811-914C-74867AD5B714}"	1	0	1	6	10	1	2	7.8	17	"0"	6.7	18	"0"	7.1	19	"0"	5.5117573711736	14.9695000012716	12	13	16	12	2	4	3	3	3	2	7	0	1	0	2	2	0	1	0	0	1	1	0	1	2	"1"	"1"	"1"	"1"	"1"	"1"	11500	2	3	1	1	2	4	2	1	2	2	1	1	2	5	5	1	1	2	2	5	3
"9"	"{04B1F452-BDC5-E811-914C-74867AD5B714}"	1	0	1	15	12	4	2	5.1	11	"2"	5.4	16	"3"	5.3	17	"3"	4.34436271383387	24.1902833342552	5	7	8	8	1	3	2	2	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	"1"	"2"	"1"	"2"	"2"	"1"	9000	3	5	4	2	2	2	5	2	2	4	2	2	4	2	1	3	1	1	1	1	1
"10"	"{04C56E00-AAD3-E811-8FB7-74867AD5B714}"	1	0	1	25	12	1	3	6.1	17	"2"	5.8	17	"2"	5.7	19	"3"	5.36099042527625	17.3442666649818	10	10	10	10	1	3	1	3	8	2	1	2	1	2	2	0	0	0	0	0	1	0	1	1	2	"1"	"2"	"1"	"1"	"1"	"1"	10800	2	5	4	1	2	2	2	1	1	2	1	1	2	5	2	4	2	2	3	1	3
"11"	"{051C17B0-41DC-E811-8FB7-74867AD5B714}"	1	0	1	10	14	4	3	6.4	17	"2"	6.1	17	"3"	6.3	19	"3"	6.10252462287688	16.7100666681925	11	13	15	17	6	3	3	5	2	2	2	3	2	2	2	2	0	0	0	1	1	1	0	1	1	"1"	"5"	"1"	"1"	"1"	"2"	11000	4	4	3	3	2	1	4	3	1	3	1	1	3	1	1	1	1	1	1	3	1
"12"	"{071F74A3-0FD2-E811-8FB7-74867AD5B714}"	0	1	1	7	12	1	3	3.4	10	"3"	4.2	12	"2"	3.9	14	"3"	2.76399721459216	7.22566666603088	11	13	13	11	2	3	2	2	3	6	6	0	1	2	1	1	1	0	0	0	0	0	1	1	1	"1"	"1"	"1"	"1"	"1"	"2"	7300	1	3	4	1	2	1	1	1	1	1	1	1	2	5	2	2	2	3	1	1	1
"13"	"{08C503A7-58E8-E811-8FB7-74867AD5B714}"	1	0	1	22	16	1	3	4.9	18	"3"	0	0	"0"	0	0	"0"	4.37178317857192	19.6127166668574	11	999	999	9	2	999	999	2	0	999	999	0	2	999	999	1	0	0	999	999	0	0	999	999	2	"2"	"2"	"1"	"1"	"2"	"1"	9500	4	5	5	2	1	2	3	2	2	2	2	2	3	5	1	1	2	1	3	1	3
"14"	"{09CAC4F7-D8D2-E811-8FB7-74867AD5B714}"	0	1	1	18	12	4	3	2.4	8	"2"	2.4	8	"1"	2.6	9	"2"	2.46359452833276	8.91083333492279	5	5	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"1"	"1"	"1"	"1"	"1"	"2"	6600	2	5	3	2	2	2	5	2	2	2	2	2	2	3	1	1	1	1	1	1	1
"15"	"{0AFFFCBB-0AD2-E811-8FB7-74867AD5B714}"	1	0	1	10	14	1	3	5.4	14	"2"	5.5	14	"2"	5.6	16	"2"	5.30979527223473	20.4150666673978	10	15	16	15	2	3	4	3	3	4	2	4	1	1	2	1	1	0	0	0	1	0	1	1	2	"1"	"2"	"1"	"1"	"1"	"2"	11500	4	4	4	1	2	1	4	1	1	1	1	1	3	5	2	2	2	2	2	1	1
"16"	"{0B4811D4-93C6-E811-914C-74867AD5B714}"	0	1	1	10	16	2	2	7.3	19	"3"	8.1	20	"3"	6.8	20	"3"	6.60283796996291	20.5518833359083	18	27	21	22	4	1	5	4	0	0	0	0	2	2	2	2	0	0	0	0	0	1	1	1	1	"1"	"4"	"1"	"1"	"2"	"2"	12500	3	4	2	2	2	1	4	1	1	1	1	1	1	4	4	2	1	1	3	1	4
"17"	"{0C1D8C2A-12E2-E811-8FB7-74867AD5B714}"	0	1	1	20	15	1	3	5.7	23	"3"	5.4	30	"3"	5.7	34	"3"	5.18778293730232	70.8360499978066	13	13	12	12	1	4	3	3	3	2	1	0	1	2	2	2	1	1	0	0	1	0	1	1	2	"2"	"6"	"2"	"1"	"2"	"2"	21500	3	5	1	3	2	1	3	3	1	4	1	1	1	4	4	4	2	1	5	2	2
"18"	"{0C1FF5E1-42CE-E811-914C-74867AD5B714}"	1	0	1	20	8	4	4	5.4	16	"3"	5.5	17	"3"	5.2	20	"3"	5.73121367198812	23.1963333328565	11	14	16	15	2	2	3	2	3	3	2	2	2	1	1	1	0	0	0	0	0	1	1	1	1	"1"	"6"	"1"	"1"	"2"	"1"	9500	4	5	3	3	2	3	4	3	3	3	1	1	3	2	4	2	3	3	3	2	1
"19"	"{0C97D2B2-DCD3-E811-8FB7-74867AD5B714}"	1	0	2	8	12	1	3	7.6	21	"3"	7	23	"3"	7.2	23	"3"	5.65309412435009	14.4128999988238	6	8	12	9	4	3	2	0	8	9	10	0	2	2	2	2	0	0	0	0	1	1	0	1	1	"1"	"1"	"1"	"1"	"2"	"1"	14000	4	3	4	1	2	1	1	1	1	1	1	1	3	5	3	1	1	1	3	1	3
"20"	"{0D4FE76E-4AE4-E811-8FB7-74867AD5B714}"	1	0	1	15	12	4	3	7.3	21	"3"	6.9	20	"3"	7.8	22	"3"	7.2701031829413	24.201166665554	14	17	15	20	3	2	1	3	0	0	0	0	1	1	1	2	0	0	0	0	0	1	1	1	1	"1"	"2"	"1"	"1"	"2"	"1"	10800	4	5	4	1	2	1	2	1	1	2	1	2	3	2	1	1	3	3	1	1	1
"21"	"{0D5CB44F-00E5-E811-8FB7-74867AD5B714}"	1	0	1	4	12	1	1	1.8	5	"4"	0	0	"0"	0	0	"0"	2.02278372741952	4.32483333349228	1	999	999	2	0	999	999	1	0	999	999	0	0	999	999	0	0	0	999	999	1	0	999	999	1	"1"	"1"	"1"	"1"	"1"	"1"	6300	4	2	5	2	1	2	3	2	2	2	2	2	4	5	1	2	2	1	1	1	3
