"Time.or","Time.Time.6.221713..75.59181","Time.Time.6.21883..75.58655","Time.Time.6.214981..75.59758","Time.Time.6.232039..75.604523","Time.Time.6.241308..75.58755","Time.Time.6.207895..75.5909","Time.Time.6.262951..75.604237","Time.Time.6.25696..75.59199","Time.Time.6.273829..75.592982","Time.Time.6.286315..75.574404","Time.Time.6.276734..75.58055","Time.Time.6.255575..75.601588","Time.Time.6.275722..75.59619","Time.Time.6.293733..75.57159","Time.Time.6.245128..75.596843","Time.Time.6.27907..75.571295","Time.Time.6.234699..75.58744","Time.Time.6.230405..75.609889","Time.Time.6.24448..75.589435","Time.Time.6.241586..75.5765","Distance.or","Distance.Distance.6.221713..75.59181","Distance.Distance.6.21883..75.58655","Distance.Distance.6.214981..75.59758","Distance.Distance.6.232039..75.604523","Distance.Distance.6.241308..75.58755","Distance.Distance.6.207895..75.5909","Distance.Distance.6.262951..75.604237","Distance.Distance.6.25696..75.59199","Distance.Distance.6.273829..75.592982","Distance.Distance.6.286315..75.574404","Distance.Distance.6.276734..75.58055","Distance.Distance.6.255575..75.601588","Distance.Distance.6.275722..75.59619","Distance.Distance.6.293733..75.57159","Distance.Distance.6.245128..75.596843","Distance.Distance.6.27907..75.571295","Distance.Distance.6.234699..75.58744","Distance.Distance.6.230405..75.609889","Distance.Distance.6.24448..75.589435","Distance.Distance.6.241586..75.5765","Status.or","Status.status.6.221713..75.59181","Status.status.6.21883..75.58655","Status.status.6.214981..75.59758","Status.status.6.232039..75.604523","Status.status.6.241308..75.58755","Status.status.6.207895..75.5909","Status.status.6.262951..75.604237","Status.status.6.25696..75.59199","Status.status.6.273829..75.592982","Status.status.6.286315..75.574404","Status.status.6.276734..75.58055","Status.status.6.255575..75.601588","Status.status.6.275722..75.59619","Status.status.6.293733..75.57159","Status.status.6.245128..75.596843","Status.status.6.27907..75.571295","Status.status.6.234699..75.58744","Status.status.6.230405..75.609889","Status.status.6.24448..75.589435","Status.status.6.241586..75.5765"
"6.269552+-75.554713",1307,1207,1473,1333,966,1542,1378,982,1047,859,788,1277,1167,1024,1112,573,1115,1663,1022,952,"6.269552+-75.554713",9340,8549,10309,9274,7053,11192,8661,6606,5462,4387,4006,8239,7454,5302,8002,2860,7831,10624,6881,5178,"6.269552+-75.554713","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.265994+-75.562178",1105,1000,1271,1130,763,1318,1159,779,916,729,658,1074,948,894,909,443,912,1444,819,840,"6.265994+-75.562178",7760,8315,8729,7693,5473,10850,6973,5026,5105,4030,3649,6659,5765,4945,6421,2504,6251,8936,5301,3951,"6.265994+-75.562178","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.223611+-75.574438",847,703,1013,945,707,1017,1264,929,1204,1220,1160,1134,1175,1275,810,890,633,1222,757,740,"6.223611+-75.574438",5126,4443,6095,5287,4336,6888,7756,6563,8330,9111,8712,6851,8019,10527,5208,7688,3604,7398,4916,3961,"6.223611+-75.574438","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.248156+-75.55767",1239,1066,1405,1265,898,1369,1294,914,1111,1025,954,1207,1082,1080,1043,738,1046,1579,954,761,"6.248156+-75.55767",8714,6665,9683,8647,6427,9583,7927,5980,7031,6455,6073,6458,6719,7871,7375,4928,7205,9890,6255,3268,"6.248156+-75.55767","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.244864+-75.57721",663,496,858,893,391,798,961,723,943,918,848,817,914,1017,494,633,495,907,442,167,"6.244864+-75.57721",4761,4202,7456,5380,2763,7120,5110,3652,5873,6745,6363,4485,5562,8057,3634,5218,2894,5824,3343,686,"6.244864+-75.57721","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.269477+-75.565793",1077,973,1341,1103,736,1342,1131,752,930,743,672,1047,920,908,881,457,884,1417,792,805,"6.269477+-75.565793",7582,8137,9169,7515,5295,9244,6795,4848,4762,3687,3306,6481,5587,4602,6243,2160,6073,8758,5123,3771,"6.269477+-75.565793","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.209042+-75.56778",943,610,984,1300,1127,924,1869,1380,1655,1723,1601,1623,1637,1778,1299,1387,990,1555,1246,1005,"6.209042+-75.56778",6288,3366,6145,7558,6658,5810,11478,9558,11325,11896,11622,10332,11010,13313,8688,10235,5648,8413,8397,6859,"6.209042+-75.56778","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.271251+-75.55765",1323,1212,1489,1349,982,1546,1290,957,925,738,667,1292,1032,903,1127,452,1130,1662,1038,988,"6.271251+-75.55765",8724,8713,9693,8657,6437,11361,7225,6324,4995,3920,3538,7623,7187,4835,7385,2393,7215,9900,6265,5073,"6.271251+-75.55765","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.282256+-75.561384",1128,1036,1294,1154,786,1338,1265,836,966,516,700,1131,1004,507,932,484,968,1467,843,852,"6.282256+-75.561384",9809,10353,10779,9743,7522,13271,9041,7058,5945,2460,3799,8691,7797,2403,8471,2654,8283,10985,7350,7756,"6.282256+-75.561384","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.26785+-75.568856",980,875,1244,1006,638,1194,1034,655,748,560,489,949,823,725,784,274,787,1319,695,704,"6.26785+-75.568856",7288,7843,8875,7222,5001,10379,6501,4554,4438,3363,2982,6187,5294,4278,5950,1836,5779,8464,4829,5235,"6.26785+-75.568856","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
