"Time.or","Time.Time.6.282256..75.561384","Time.Time.6.266524..75.563666","Time.Time.6.261663..75.565777","Time.Time.6.253639..75.564185","Time.Time.6.252321..75.567432","Time.Time.6.235712..75.56956","Time.Time.6.209042..75.56778","Time.Time.6.223611..75.574438","Distance.or","Distance.Distance.6.282256..75.561384","Distance.Distance.6.266524..75.563666","Distance.Distance.6.261663..75.565777","Distance.Distance.6.253639..75.564185","Distance.Distance.6.252321..75.567432","Distance.Distance.6.235712..75.56956","Distance.Distance.6.209042..75.56778","Distance.Distance.6.223611..75.574438","Status.or","Status.status.6.282256..75.561384","Status.status.6.266524..75.563666","Status.status.6.261663..75.565777","Status.status.6.253639..75.564185","Status.status.6.252321..75.567432","Status.status.6.235712..75.56956","Status.status.6.209042..75.56778","Status.status.6.223611..75.574438"
"6.286183+-75.565989",231,535,607,475,842,745,1171,847,"6.286183+-75.565989",1740,4010,4648,5199,6313,7318,10983,8837,"6.286183+-75.565989","OK","OK","OK","OK","OK","OK","OK","OK"
"6.275893+-75.56978",333,284,501,423,789,776,1202,878,"6.275893+-75.56978",2256,1643,2421,3810,4925,6151,9817,7671,"6.275893+-75.56978","OK","OK","OK","OK","OK","OK","OK","OK"
"6.265202+-75.572182",415,407,369,303,670,600,1026,702,"6.265202+-75.572182",3486,1524,1488,2718,3833,4831,8496,6350,"6.265202+-75.572182","OK","OK","OK","OK","OK","OK","OK","OK"
"6.260895+-75.573703",464,460,359,192,559,568,999,676,"6.260895+-75.573703",4137,3691,1565,1559,2674,3495,8095,5949,"6.260895+-75.573703","OK","OK","OK","OK","OK","OK","OK","OK"
"6.254212+-75.577288",507,541,469,388,755,435,926,587,"6.254212+-75.577288",4777,3022,2479,2627,3742,2726,7145,4619,"6.254212+-75.577288","OK","OK","OK","OK","OK","OK","OK","OK"
"6.24796+-75.580281",574,557,583,501,738,414,906,661,"6.24796+-75.580281",5655,5192,3127,3274,2880,2256,6674,4589,"6.24796+-75.580281","OK","OK","OK","OK","OK","OK","OK","OK"
"6.239645+-75.577397",643,757,583,501,829,251,844,562,"6.239645+-75.577397",6725,4176,3477,3625,3250,1084,5938,3305,"6.239645+-75.577397","OK","OK","OK","OK","OK","OK","OK","OK"
"6.236897+-75.576467",856,821,647,565,907,553,739,400,"6.236897+-75.576467",8023,5325,4626,4774,4445,3418,5073,2547,"6.236897+-75.576467","OK","OK","OK","OK","OK","OK","OK","OK"
"6.231378+-75.57567",826,809,719,638,980,537,706,360,"6.231378+-75.57567",8447,7984,4881,5029,4699,3335,4557,2225,"6.231378+-75.57567","OK","OK","OK","OK","OK","OK","OK","OK"
"6.213594+-75.578073",1072,1036,862,780,1122,731,563,423,"6.213594+-75.578073",9843,7144,6446,6593,6264,4516,2403,2256,"6.213594+-75.578073","OK","OK","OK","OK","OK","OK","OK","OK"
"6.204031+-75.579593",916,898,1012,930,1273,637,811,425,"6.204031+-75.579593",11239,10776,7839,7987,7657,5729,3973,3501,"6.204031+-75.579593","OK","OK","OK","OK","OK","OK","OK","OK"
"6.195293+-75.581542",1007,990,1100,941,1396,728,711,516,"6.195293+-75.581542",12053,11590,8967,9582,8586,6543,3924,4316,"6.195293+-75.581542","OK","OK","OK","OK","OK","OK","OK","OK"
