"Time.or","Time.Time.6.286183..75.565989","Time.Time.6.275893..75.56978","Time.Time.6.265202..75.572182","Time.Time.6.260895..75.573703","Time.Time.6.254212..75.577288","Time.Time.6.24796..75.580281","Time.Time.6.239645..75.577397","Time.Time.6.236897..75.576467","Time.Time.6.231378..75.57567","Time.Time.6.213594..75.578073","Time.Time.6.204031..75.579593","Time.Time.6.195293..75.581542","Distance.or","Distance.Distance.6.286183..75.565989","Distance.Distance.6.275893..75.56978","Distance.Distance.6.265202..75.572182","Distance.Distance.6.260895..75.573703","Distance.Distance.6.254212..75.577288","Distance.Distance.6.24796..75.580281","Distance.Distance.6.239645..75.577397","Distance.Distance.6.236897..75.576467","Distance.Distance.6.231378..75.57567","Distance.Distance.6.213594..75.578073","Distance.Distance.6.204031..75.579593","Distance.Distance.6.195293..75.581542","Status.or","Status.status.6.286183..75.565989","Status.status.6.275893..75.56978","Status.status.6.265202..75.572182","Status.status.6.260895..75.573703","Status.status.6.254212..75.577288","Status.status.6.24796..75.580281","Status.status.6.239645..75.577397","Status.status.6.236897..75.576467","Status.status.6.231378..75.57567","Status.status.6.213594..75.578073","Status.status.6.204031..75.579593","Status.status.6.195293..75.581542"
"6.286315+-75.574404",325,351,423,358,552,614,651,678,853,1006,1128,1048,"6.286315+-75.574404",1723,1712,2977,3112,4343,5355,5928,5952,7836,9489,11970,11393,"6.286315+-75.574404","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.273829+-75.592982",801,753,520,521,524,764,801,778,906,1060,1182,1101,"6.273829+-75.592982",7450,5730,4288,3735,3591,5072,5645,5750,7898,9551,12032,11455,"6.273829+-75.592982","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.27907+-75.571295",455,256,296,341,539,514,551,661,753,906,1028,947,"6.27907+-75.571295",3550,1618,2443,2923,4180,4944,5517,5763,7425,9078,11559,10982,"6.27907+-75.571295","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.241308+-75.58755",598,472,403,364,313,157,300,324,531,685,806,726,"6.241308+-75.58755",6454,5163,3993,3478,2584,1124,2075,2725,4097,5750,8230,7654,"6.241308+-75.58755","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.232039+-75.604523",1123,997,928,889,838,682,701,849,778,1047,1120,975,"6.232039+-75.604523",9341,8050,6879,6364,5471,4011,4199,5612,4359,6041,7552,6256,"6.232039+-75.604523","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.25696+-75.59199",822,697,610,572,449,534,610,636,840,994,1115,1035,"6.25696+-75.59199",7334,6043,4865,4349,2881,3327,4294,4954,6316,7969,10450,9874,"6.25696+-75.59199","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.207895+-75.5909",1143,924,855,817,829,803,766,790,595,544,520,375,"6.207895+-75.5909",11318,10915,9745,9229,7304,5700,5169,7121,5622,3190,3917,2621,"6.207895+-75.5909","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.21883+-75.58655",918,792,723,684,641,582,451,635,433,365,514,541,"6.21883+-75.58655",9363,8072,6902,6386,5499,3673,3123,5196,2770,1906,3754,3785,"6.21883+-75.58655","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
